   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_34.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.378626, 0, 5.04882e-10, 9.65561e-38, 1.41421, -5.04882e-10, 0, 9.65561e-38, 9.65561e-38, 9.65561e-38, 9.65561e-38, 9.65561e-38, 9.65561e-38, 9.65561e-38, 9.65561e-38, 9.65561e-38, 3.92353e-12, 9.65561e-38, 2.77765e-14, 5.6659e-13, 9.65561e-38, 5.00364e-10, 9.65561e-38, 9.65561e-38, 9.65561e-38
0.386516, 0, 8.11933e-10, 8.83728e-37, 1.41421, -8.11933e-10, 0, 8.83728e-37, 8.83728e-37, 8.83728e-37, 8.83728e-37, 8.83728e-37, 8.83728e-37, 8.83728e-37, 8.83728e-37, 8.83728e-37, 6.31438e-12, 8.83728e-37, 4.74736e-14, 9.71669e-13, 8.83728e-37, 8.046e-10, 8.83728e-37, 8.83728e-37, 8.83728e-37
0.394406, 0, 1.29278e-09, 7.4098e-36, 1.41421, -1.29278e-09, 0, 7.4098e-36, 7.4098e-36, 7.4098e-36, 7.4098e-36, 7.4098e-36, 7.4098e-36, 7.4098e-36, 7.4098e-36, 7.4098e-36, 1.00634e-11, 7.4098e-36, 8.0829e-14, 1.65842e-12, 7.4098e-36, 1.28097e-09, 7.4098e-36, 7.4098e-36, 7.4098e-36
0.402297, 0, 2.03822e-09, 5.71885e-35, 1.41421, -2.03822e-09, 0, 5.71885e-35, 5.71885e-35, 5.71885e-35, 5.71885e-35, 5.71885e-35, 5.71885e-35, 5.71885e-35, 5.71885e-35, 5.71885e-35, 1.58849e-11, 5.71885e-35, 1.37193e-13, 2.81881e-12, 5.71885e-35, 2.01938e-09, 5.71885e-35, 5.71885e-35, 5.71885e-35
0.410187, 0, 3.1824e-09, 4.16069e-34, 1.41421, -3.1824e-09, 0, 4.16069e-34, 4.16069e-34, 4.16069e-34, 4.16069e-34, 4.16069e-34, 4.16069e-34, 4.16069e-34, 4.16069e-34, 4.16069e-34, 2.48385e-11, 4.16069e-34, 2.32289e-13, 4.77415e-12, 4.16069e-34, 3.15255e-09, 4.16069e-34, 4.16069e-34, 4.16069e-34
0.418077, 0, 4.9214e-09, 2.97816e-33, 1.41421, -4.9214e-09, 0, 2.97816e-33, 2.97816e-33, 2.97816e-33, 2.97816e-33, 2.97816e-33, 2.97816e-33, 2.97816e-33, 2.97816e-33, 2.97816e-33, 3.84806e-11, 2.97816e-33, 3.92553e-13, 8.0617e-12, 2.97816e-33, 4.87447e-09, 2.97816e-33, 2.97816e-33, 2.97816e-33
0.425967, 0, 7.5389e-09, 2.01542e-32, 1.41421, -7.5389e-09, 0, 2.01542e-32, 2.01542e-32, 2.01542e-32, 2.01542e-32, 2.01542e-32, 2.01542e-32, 2.01542e-32, 2.01542e-32, 2.01542e-32, 5.90765e-11, 2.01542e-32, 6.62398e-13, 1.3579e-11, 2.01542e-32, 7.46558e-09, 2.01542e-32, 2.01542e-32, 2.01542e-32
0.433857, 0, 1.14411e-08, 1.27591e-31, 1.41421, -1.14411e-08, 0, 1.27591e-31, 1.27591e-31, 1.27591e-31, 1.27591e-31, 1.27591e-31, 1.27591e-31, 1.27591e-31, 1.27591e-31, 1.27591e-31, 8.98936e-11, 1.27591e-31, 1.11636e-12, 2.28236e-11, 1.27591e-31, 1.13273e-08, 1.27591e-31, 1.27591e-31, 1.27591e-31
0.441747, 0, 1.7204e-08, 7.5494e-31, 1.41421, -1.7204e-08, 0, 7.5494e-31, 7.5494e-31, 7.5494e-31, 7.5494e-31, 7.5494e-31, 7.5494e-31, 7.5494e-31, 7.5494e-31, 7.5494e-31, 1.35603e-10, 7.5494e-31, 1.87923e-12, 3.82894e-11, 7.5494e-31, 1.70282e-08, 7.5494e-31, 7.5494e-31, 7.5494e-31
0.449638, 0, 2.5636e-08, 4.184e-30, 1.41421, -2.5636e-08, 0, 4.184e-30, 4.184e-30, 4.184e-30, 4.184e-30, 4.184e-30, 4.184e-30, 4.184e-30, 4.184e-30, 4.184e-30, 2.0283e-10, 4.184e-30, 3.15944e-12, 6.41189e-11, 4.184e-30, 2.53659e-08, 4.184e-30, 4.184e-30, 4.184e-30
0.457528, 0, 3.78611e-08, 2.17822e-29, 1.41421, -3.78611e-08, 0, 2.17822e-29, 2.17822e-29, 2.17822e-29, 2.17822e-29, 2.17822e-29, 2.17822e-29, 2.17822e-29, 2.17822e-29, 2.17822e-29, 3.00891e-10, 2.17822e-29, 5.30359e-12, 1.07169e-10, 2.17822e-29, 3.74478e-08, 2.17822e-29, 2.17822e-29, 2.17822e-29
0.465418, 0, 5.5427e-08, 1.06862e-28, 1.41421, -5.5427e-08, 0, 1.06862e-28, 1.06862e-28, 1.06862e-28, 1.06862e-28, 1.06862e-28, 1.06862e-28, 1.06862e-28, 1.06862e-28, 1.06862e-28, 4.4279e-10, 1.06862e-28, 8.88542e-12, 1.78734e-10, 1.06862e-28, 5.47966e-08, 1.06862e-28, 1.06862e-28, 1.06862e-28
0.473308, 0, 8.04461e-08, 8.53606e-28, 1.41421, -8.04461e-08, 0, 8.53606e-28, 8.53606e-28, 8.53606e-28, 8.53606e-28, 8.53606e-28, 8.53606e-28, 8.53606e-28, 8.53606e-28, 8.53606e-28, 6.46551e-10, 8.53606e-28, 1.48575e-11, 2.97435e-10, 8.53606e-28, 7.94873e-08, 8.53606e-28, 8.53606e-28, 8.53606e-28
0.481198, 0, 1.15772e-07, 3.59223e-27, 1.41421, -1.15772e-07, 0, 3.59223e-27, 3.59223e-27, 3.59223e-27, 3.59223e-27, 3.59223e-27, 3.59223e-27, 3.59223e-27, 3.59223e-27, 3.59223e-27, 9.36937e-10, 3.59223e-27, 2.47508e-11, 4.93187e-10, 3.59223e-27, 1.14317e-07, 3.59223e-27, 3.59223e-27, 3.59223e-27
0.489089, 0, 1.65229e-07, 1.44101e-26, 1.41421, -1.65229e-07, 0, 1.44101e-26, 1.44101e-26, 1.44101e-26, 1.44101e-26, 1.44101e-26, 1.44101e-26, 1.44101e-26, 1.44101e-26, 1.44101e-26, 1.34779e-09, 1.44101e-26, 4.10768e-11, 8.14662e-10, 1.44101e-26, 1.63025e-07, 1.44101e-26, 1.44101e-26, 1.44101e-26
0.496979, 0, 2.33897e-07, 5.52373e-26, 1.41421, -2.33897e-07, 0, 5.52373e-26, 5.52373e-26, 5.52373e-26, 5.52373e-26, 5.52373e-26, 5.52373e-26, 5.52373e-26, 5.52373e-26, 5.52373e-26, 1.92502e-09, 5.52373e-26, 6.78698e-11, 1.33959e-09, 5.52373e-26, 2.30565e-07, 5.52373e-26, 5.52373e-26, 5.52373e-26
0.504869, 0, 3.2847e-07, 2.04081e-25, 1.41421, -3.2847e-07, 0, 2.04081e-25, 2.04081e-25, 2.04081e-25, 2.04081e-25, 2.04081e-25, 2.04081e-25, 2.04081e-25, 2.04081e-25, 2.04081e-25, 2.73049e-09, 2.04081e-25, 1.11571e-10, 2.19109e-09, 2.04081e-25, 3.23436e-07, 2.04081e-25, 2.04081e-25, 2.04081e-25
0.512759, 0, 4.60134e-07, 6.41645e-10, 1.41421, -4.60134e-07, 6.41645e-10, 6.41667e-10, 6.4173e-10, 6.41826e-10, 6.41894e-10, 6.4182e-10, 6.42243e-10, 6.4184e-10, 6.49158e-10, 2.38298e-09, 4.48867e-09, 6.41685e-10, 8.24012e-10, 4.20373e-09, 6.41647e-10, 4.50777e-07, 6.41645e-10, 6.41645e-10, 6.56624e-10
0.520649, 0, 6.41798e-07, 2.33975e-09, 1.41421, -6.41798e-07, 2.33975e-09, 2.33983e-09, 2.34006e-09, 2.34041e-09, 2.34066e-09, 2.34039e-09, 2.34193e-09, 2.34046e-09, 2.36716e-09, 8.6926e-09, 7.72445e-09, 2.3399e-09, 2.63601e-09, 8.09123e-09, 2.33976e-09, 6.23925e-07, 2.33975e-09, 2.33975e-09, 2.3944e-09
0.528539, 0, 8.94e-07, 6.62889e-09, 1.41421, -8.94e-07, 6.62889e-09, 6.62911e-09, 6.62977e-09, 6.63076e-09, 6.63146e-09, 6.6307e-09, 6.63507e-09, 6.6309e-09, 6.70657e-09, 2.46347e-08, 1.41178e-08, 6.6293e-09, 7.10691e-09, 1.58456e-08, 6.62891e-09, 8.58562e-07, 6.62889e-09, 6.62889e-09, 6.78377e-09
0.53643, 0, 1.249e-06, 1.70702e-08, 1.41421, -1.249e-06, 1.70702e-08, 1.70708e-08, 1.70725e-08, 1.7075e-08, 1.70769e-08, 1.70749e-08, 1.70862e-08, 1.70754e-08, 1.72704e-08, 6.34603e-08, 2.74205e-08, 1.70713e-08, 1.7836e-08, 3.17192e-08, 1.70703e-08, 1.1762e-06, 1.70702e-08, 1.70702e-08, 1.74693e-08
0.54432, 0, 1.7612e-06, 4.16782e-08, 1.41421, -1.7612e-06, 4.16782e-08, 4.16796e-08, 4.16837e-08, 4.169e-08, 4.16944e-08, 4.16896e-08, 4.17172e-08, 4.16909e-08, 4.21671e-08, 1.54981e-07, 5.58954e-08, 4.16808e-08, 4.28958e-08, 6.47577e-08, 4.16784e-08, 1.60782e-06, 4.16782e-08, 4.16782e-08, 4.26528e-08
0.55221, 0, 2.52759e-06, 9.79108e-08, 1.41421, -2.52759e-06, 9.79108e-08, 9.79142e-08, 9.79238e-08, 9.79385e-08, 9.79489e-08, 9.79376e-08, 9.80024e-08, 9.79406e-08, 9.90596e-08, 3.64151e-07, 1.17322e-07, 9.7917e-08, 9.98316e-08, 1.33979e-07, 9.79112e-08, 2.20027e-06, 9.79108e-08, 9.79108e-08, 1.00201e-07
0.5601, 0, 3.72736e-06, 2.2262e-07, 1.41421, -3.72736e-06, 2.2262e-07, 2.22627e-07, 2.22649e-07, 2.22682e-07, 2.22706e-07, 2.22681e-07, 2.22828e-07, 2.22687e-07, 2.25232e-07, 8.28098e-07, 2.48963e-07, 2.22634e-07, 2.25625e-07, 2.78415e-07, 2.22621e-07, 3.02838e-06, 2.2262e-07, 2.2262e-07, 2.27828e-07
0.56799, 0, 5.69769e-06, 4.9118e-07, 1.41421, -5.69769e-06, 4.9118e-07, 4.91197e-07, 4.91245e-07, 4.91319e-07, 4.91371e-07, 4.91314e-07, 4.91639e-07, 4.9133e-07, 4.96945e-07, 1.82734e-06, 5.26722e-07, 4.91211e-07, 4.95844e-07, 5.76657e-07, 4.91182e-07, 4.21739e-06, 4.9118e-07, 4.9118e-07, 5.02673e-07
0.575881, 0, 9.07498e-06, 1.05345e-06, 1.41421, -9.07498e-06, 1.05345e-06, 1.05349e-06, 1.05359e-06, 1.05375e-06, 1.05386e-06, 1.05374e-06, 1.05444e-06, 1.05377e-06, 1.06582e-06, 3.91976e-06, 1.10113e-06, 1.05352e-06, 1.06063e-06, 1.18312e-06, 1.05345e-06, 5.98457e-06, 1.05345e-06, 1.05345e-06, 1.07811e-06
0.583771, 0, 1.50371e-05, 2.19579e-06, 1.41421, -1.50371e-05, 2.19579e-06, 2.19587e-06, 2.19608e-06, 2.19641e-06, 2.19664e-06, 2.19639e-06, 2.19784e-06, 2.19646e-06, 2.22157e-06, 8.17134e-06, 2.25937e-06, 2.19593e-06, 2.20675e-06, 2.39058e-06, 2.1958e-06, 8.70972e-06, 2.19579e-06, 2.19579e-06, 2.24719e-06
0.591661, 0, 2.57444e-05, 4.45367e-06, 1.41421, -2.57444e-05, 4.45367e-06, 4.45383e-06, 4.45427e-06, 4.45493e-06, 4.45541e-06, 4.45489e-06, 4.45784e-06, 4.45503e-06, 4.50598e-06, 1.65761e-05, 4.538e-06, 4.45395e-06, 4.47027e-06, 4.74346e-06, 4.45369e-06, 1.30639e-05, 4.45367e-06, 4.45367e-06, 4.55795e-06
0.599551, 0, 4.50505e-05, 8.79374e-06, 1.41421, -4.50505e-05, 8.79374e-06, 8.79404e-06, 8.79491e-06, 8.79623e-06, 8.79716e-06, 8.79615e-06, 8.80197e-06, 8.79642e-06, 8.89703e-06, 3.27341e-05, 8.90497e-06, 8.79429e-06, 8.81865e-06, 9.22086e-06, 8.79377e-06, 2.02163e-05, 8.79374e-06, 8.79374e-06, 8.99967e-06
0.607441, 0, 7.96575e-05, 1.69091e-05, 1.41421, -7.96575e-05, 1.69091e-05, 1.69097e-05, 1.69114e-05, 1.69139e-05, 1.69157e-05, 1.69138e-05, 1.6925e-05, 1.69143e-05, 1.71078e-05, 6.29532e-05, 1.70551e-05, 1.69102e-05, 1.69462e-05, 1.75331e-05, 1.69092e-05, 3.21707e-05, 1.69091e-05, 1.69091e-05, 1.73052e-05
0.615331, 0, 0.000140902, 3.16758e-05, 1.41421, -0.000140902, 3.16758e-05, 3.16769e-05, 3.168e-05, 3.16848e-05, 3.16881e-05, 3.16845e-05, 3.17055e-05, 3.16855e-05, 3.20481e-05, 0.00011795, 3.18664e-05, 3.16778e-05, 3.17306e-05, 3.25798e-05, 3.16759e-05, 5.22866e-05, 3.16758e-05, 3.16758e-05, 3.24179e-05
0.623222, 0, 0.000247414, 5.78305e-05, 1.41421, -0.000247414, 5.78305e-05, 5.78325e-05, 5.78382e-05, 5.78469e-05, 5.78531e-05, 5.78464e-05, 5.78847e-05, 5.78482e-05, 5.85103e-05, 0.000215383, 5.80782e-05, 5.78342e-05, 5.79109e-05, 5.91306e-05, 5.78308e-05, 8.60593e-05, 5.78305e-05, 5.78305e-05, 5.91858e-05
0.631112, 0, 0.00042891, 0.000102936, 1.41421, -0.00042891, 0.000102936, 0.00010294, 0.00010295, 0.000102965, 0.000102976, 0.000102964, 0.000103033, 0.000102968, 0.000104147, 0.000383451, 0.000103257, 0.000102943, 0.000103053, 0.000104794, 0.000102937, 0.000142227, 0.000102936, 0.000102936, 0.000105349
0.639002, 0, 0.000731381, 0.0001787, 1.41421, -0.000731381, 0.0001787, 0.000178706, 0.000178724, 0.000178751, 0.00017877, 0.000178749, 0.000178868, 0.000178755, 0.000180802, 0.000665831, 0.000179114, 0.000178712, 0.00017887, 0.000181338, 0.000178701, 0.000234305, 0.0001787, 0.0001787, 0.000182891
0.646892, 0, 0.00122387, 0.000302687, 1.41421, -0.00122387, 0.000302687, 0.000302697, 0.000302727, 0.000302773, 0.000302805, 0.00030277, 0.000302971, 0.000302779, 0.000306248, 0.00112807, 0.000303218, 0.000302706, 0.00030293, 0.000306416, 0.000302688, 0.000382583, 0.000302687, 0.000302687, 0.000309787
0.654782, 0, 0.0020068, 0.000500418, 1.41421, -0.0020068, 0.000500418, 0.000500435, 0.000500484, 0.000500559, 0.000500613, 0.000500555, 0.000500887, 0.00050057, 0.000506307, 0.00186549, 0.000501098, 0.000500449, 0.000500765, 0.000505669, 0.00050042, 0.000616608, 0.000500418, 0.000500418, 0.00051216
0.662672, 0, 0.00322175, 0.000807812, 1.41421, -0.00322175, 0.000807812, 0.00080784, 0.00080792, 0.000808041, 0.000808127, 0.000808034, 0.00080857, 0.000808059, 0.000817323, 0.00301229, 0.000808681, 0.000807863, 0.000808306, 0.000815179, 0.000807815, 0.000978101, 0.000807812, 0.000807812, 0.000826775
