   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_370.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.679264, 0, 0.00781245, 0.000180633, 1.41421, -0.00781245, 0.000280463, 0.000180633, 0.000180638, 0.000266272, 0.00091361, 0.000212015, 0.000762377, 0.000314735, 0.000347302, 0.000189015, 0.00029507, 0.000180938, 0.000186648, 0.000180783, 0.000182538, 0.00573783, 0.000180635, 0.000291713, 0.000180633, 0.000180633
0.687131, 0, 0.0112337, 0.000273579, 1.41421, -0.0112337, 0.000425224, 0.000273579, 0.000273586, 0.000403667, 0.001387, 0.000321248, 0.00115727, 0.000477284, 0.000526754, 0.000286311, 0.000447413, 0.000273965, 0.000282715, 0.000273807, 0.000276584, 0.00808833, 0.000273581, 0.000436247, 0.000273579, 0.000273579
0.694998, 0, 0.0160153, 0.000405412, 1.41421, -0.0160153, 0.000630817, 0.000405412, 0.000405422, 0.000598775, 0.0020604, 0.000476268, 0.00171893, 0.0007082, 0.000781732, 0.000424337, 0.000663799, 0.0004059, 0.000418992, 0.000405751, 0.000410056, 0.0113452, 0.000405415, 0.000641876, 0.000405412, 0.000405412
0.702865, 0, 0.0226034, 0.000587987, 1.41421, -0.0226034, 0.000915926, 0.000587987, 0.000588002, 0.000869308, 0.00299581, 0.000691074, 0.00249901, 0.00102851, 0.00113549, 0.00061552, 0.000963911, 0.0005886, 0.000607743, 0.00058848, 0.00059502, 0.0158125, 0.000587991, 0.000928341, 0.000587987, 0.000587987
0.710731, 0.969114, 0.0315376, 0.000834895, 1.72311, 0.937577, 0.00130204, 0.000834895, 0.000834915, 0.00123563, 0.00426478, 0.000981741, 0.00355711, 0.00146241, 0.0016148, 0.000874115, 0.00137039, 0.000835663, 0.000863037, 0.000835597, 0.000845337, 0.0218643, 0.000834901, 0.00131911, 0.000834895, 0.000834895
0.718598, 0.0308855, 0.0434446, 0.001161, 1.42509, -0.0125591, 0.00181274, 0.001161, 0.00116103, 0.00172009, 0.00594622, 0.00136587, 0.0049589, 0.00203648, 0.00224908, 0.00121572, 0.0019081, 0.00116196, 0.00120026, 0.00116198, 0.00117621, 0.0299438, 0.00116101, 0.00184114, 0.001161, 0.001161
0.726465, 0, 0.0590201, 0.00158171, 1.41421, -0.0590201, 0.00247257, 0.00158171, 0.00158175, 0.00234593, 0.00812266, 0.00186175, 0.00677309, 0.00277841, 0.003069, 0.0016565, 0.00260292, 0.0015829, 0.00163537, 0.00158305, 0.00160344, 0.0405519, 0.00158172, 0.00252448, 0.00158171, 0.00158171
0.734332, 0, 0.0789932, 0.00211193, 1.41421, -0.0789932, 0.00330543, 0.00211193, 0.00211198, 0.00313577, 0.010875, 0.0024871, 0.00906692, 0.00371517, 0.00410447, 0.00221213, 0.00348007, 0.00211339, 0.00218382, 0.00211373, 0.00214242, 0.0542232, 0.00211194, 0.00340153, 0.00211193, 0.00211193
0.742198, 0, 0.104074, 0.00276482, 1.41421, -0.104074, 0.0043326, 0.00276482, 0.00276489, 0.00410973, 0.0142758, 0.00325765, 0.0119008, 0.00487082, 0.00538217, 0.00289645, 0.004562, 0.0027666, 0.00285925, 0.00276719, 0.00280686, 0.0714874, 0.00276485, 0.00450644, 0.00276482, 0.00276482
0.750065, 0.957048, 0.134886, 0.00355046, 1.71961, 0.822163, 0.00557053, 0.00355046, 0.00355055, 0.00528337, 0.0183824, 0.00418547, 0.0153222, 0.00626403, 0.00692287, 0.00372006, 0.00586611, 0.00355261, 0.0036721, 0.00355351, 0.0036074, 0.0928148, 0.00355048, 0.00587463, 0.00355046, 0.00355046
