   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_67.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.191407, 0, 3.30027e-16, 0, 1.41421, -3.30027e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66033e-18, 0, 0, 1.10838e-20, 0, 6.37652e-20, 0, 3.28291e-16, 0, 0, 0
0.199324, 0, 6.48927e-16, 0, 1.41421, -6.48927e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26467e-18, 0, 0, 2.21068e-20, 0, 1.27622e-19, 0, 6.45513e-16, 0, 0, 0
0.207242, 0, 1.26365e-15, 0, 1.41421, -1.26365e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35724e-18, 0, 0, 4.3684e-20, 0, 2.5303e-19, 0, 1.257e-15, 0, 0, 0
0.215159, 0, 2.43725e-15, 0, 1.41421, -2.43725e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22614e-17, 0, 0, 8.55346e-20, 0, 4.97056e-19, 0, 2.4244e-15, 0, 0, 0
0.223077, 0, 4.65655e-15, 0, 1.41421, -4.65655e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34261e-17, 0, 0, 1.65976e-19, 0, 9.67601e-19, 0, 4.63199e-15, 0, 0, 0
0.230995, 0, 8.8139e-15, 0, 1.41421, -8.8139e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.43407e-17, 0, 0, 3.19227e-19, 0, 1.86687e-18, 0, 8.76738e-15, 0, 0, 0
0.238912, 0, 1.65293e-14, 0, 1.41421, -1.65293e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.31547e-17, 0, 0, 6.08651e-19, 0, 3.57049e-18, 0, 1.6442e-14, 0, 0, 0
0.24683, 0, 3.07159e-14, 0, 1.41421, -3.07159e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54523e-16, 0, 0, 1.15055e-18, 0, 6.77013e-18, 0, 3.05534e-14, 0, 0, 0
0.254747, 0, 5.65621e-14, 0, 1.41421, -5.65621e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84548e-16, 0, 0, 2.1566e-18, 0, 1.27286e-17, 0, 5.62627e-14, 0, 0, 0
0.262665, 0, 1.03223e-13, 0, 1.41421, -1.03223e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.19286e-16, 0, 0, 4.00882e-18, 0, 2.37324e-17, 0, 1.02676e-13, 0, 0, 0
0.270582, 0, 1.86699e-13, 0, 1.41421, -1.86699e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.39238e-16, 0, 0, 7.39115e-18, 0, 4.3887e-17, 0, 1.85709e-13, 0, 0, 0
0.2785, 0, 3.34697e-13, 0, 1.41421, -3.34697e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6838e-15, 0, 0, 1.35183e-17, 0, 8.05056e-17, 0, 3.32919e-13, 0, 0, 0
0.286418, 0, 5.94741e-13, 0, 1.41421, -5.94741e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99209e-15, 0, 0, 2.45316e-17, 0, 1.46516e-16, 0, 5.91578e-13, 0, 0, 0
0.294335, 0, 1.04759e-12, 0, 1.41421, -1.04759e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.27049e-15, 0, 0, 4.41772e-17, 0, 2.64588e-16, 0, 1.04201e-12, 0, 0, 0
0.302253, 0, 1.82922e-12, 0, 1.41421, -1.82922e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.20333e-15, 0, 0, 7.89658e-17, 0, 4.74187e-16, 0, 1.81946e-12, 0, 0, 0
0.31017, 0, 3.16641e-12, 0, 1.41421, -3.16641e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59321e-14, 0, 0, 1.40136e-16, 0, 8.43525e-16, 0, 3.14949e-12, 0, 0, 0
0.318088, 0, 5.43394e-12, 0, 1.41421, -5.43394e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73438e-14, 0, 0, 2.46977e-16, 0, 1.4897e-15, 0, 5.40486e-12, 0, 0, 0
0.326005, 0, 9.24537e-12, 5.60519e-45, 1.41421, -9.24537e-12, 5.60519e-45, 0, 5.60519e-45, 5.60519e-45, 5.60519e-45, 5.60519e-45, 5.60519e-45, 5.60519e-45, 5.60519e-45, 5.60519e-45, 5.60519e-45, 5.60519e-45, 4.65287e-14, 5.60519e-45, 5.60519e-45, 4.32408e-16, 5.60519e-45, 2.61241e-15, 5.60519e-45, 9.1958e-12, 5.60519e-45, 5.60519e-45, 5.60519e-45
0.333923, 0, 1.55959e-11, 1.20512e-43, 1.41421, -1.55959e-11, 1.20512e-43, 0, 1.20512e-43, 1.20512e-43, 1.20512e-43, 1.20512e-43, 1.20512e-43, 1.20512e-43, 1.20512e-43, 1.20512e-43, 1.20512e-43, 1.20512e-43, 7.85013e-14, 1.20512e-43, 1.20512e-43, 7.52344e-16, 1.20512e-43, 4.55018e-15, 1.20512e-43, 1.55121e-11, 1.20512e-43, 1.20512e-43, 1.20512e-43
0.34184, 0, 2.6085e-11, 1.82869e-42, 1.41421, -2.6085e-11, 1.82869e-42, 0, 1.82869e-42, 1.82869e-42, 1.82869e-42, 1.82869e-42, 1.82869e-42, 1.82869e-42, 1.82869e-42, 1.82869e-42, 1.82869e-42, 1.82869e-42, 1.31325e-13, 1.82869e-42, 1.82869e-42, 1.30136e-15, 1.82869e-42, 7.8737e-15, 1.82869e-42, 2.59445e-11, 1.82869e-42, 1.82869e-42, 1.82869e-42
0.349758, 0, 4.32593e-11, 2.50258e-41, 1.41421, -4.32593e-11, 2.50258e-41, 0, 2.50258e-41, 2.50258e-41, 2.50258e-41, 2.50258e-41, 2.50258e-41, 2.50258e-41, 2.50258e-41, 2.50258e-41, 2.50258e-41, 2.50258e-41, 2.17848e-13, 2.50258e-41, 2.50258e-41, 2.2389e-15, 2.50258e-41, 1.35401e-14, 2.50258e-41, 4.30256e-11, 2.50258e-41, 2.50258e-41, 2.50258e-41
0.357676, 0, 7.11361e-11, 3.0718e-40, 1.41421, -7.11361e-11, 3.0718e-40, 0, 3.0718e-40, 3.0718e-40, 3.0718e-40, 3.0718e-40, 3.0718e-40, 3.0718e-40, 3.0718e-40, 3.0718e-40, 3.0718e-40, 3.0718e-40, 3.58356e-13, 3.0718e-40, 3.0718e-40, 3.83303e-15, 3.0718e-40, 2.31478e-14, 3.0718e-40, 7.07508e-11, 3.0718e-40, 3.0718e-40, 3.0718e-40
0.365593, 0, 1.15995e-10, 3.39481e-39, 1.41421, -1.15995e-10, 3.39481e-39, 0, 3.39481e-39, 3.39481e-39, 3.39481e-39, 3.39481e-39, 3.39481e-39, 3.39481e-39, 3.39481e-39, 3.39481e-39, 3.39481e-39, 3.39481e-39, 5.84594e-13, 3.39481e-39, 3.39481e-39, 6.5336e-15, 3.39481e-39, 3.93557e-14, 3.39481e-39, 1.15364e-10, 3.39481e-39, 3.39481e-39, 3.39481e-39
0.373511, 0, 1.87559e-10, 3.39242e-38, 1.41421, -1.87559e-10, 3.39242e-38, 0, 3.39242e-38, 3.39242e-38, 3.39242e-38, 3.39242e-38, 3.39242e-38, 3.39242e-38, 3.39242e-38, 3.39242e-38, 3.39242e-38, 3.39242e-38, 9.45791e-13, 3.39242e-38, 3.39242e-38, 1.10946e-14, 3.39242e-38, 6.65743e-14, 3.39242e-38, 1.86535e-10, 3.39242e-38, 3.39242e-38, 3.39242e-38
0.381428, 0, 3.00749e-10, 3.08194e-37, 1.41421, -3.00749e-10, 3.08194e-37, 0, 3.08194e-37, 3.08194e-37, 3.08194e-37, 3.08194e-37, 3.08194e-37, 3.08194e-37, 3.08194e-37, 3.08194e-37, 3.08194e-37, 3.08194e-37, 1.51762e-12, 3.08194e-37, 3.08194e-37, 1.87796e-14, 3.08194e-37, 1.12103e-13, 3.08194e-37, 2.99101e-10, 3.08194e-37, 3.08194e-37, 3.08194e-37
0.389346, 0, 4.78248e-10, 2.5593e-36, 1.41421, -4.78248e-10, 2.5593e-36, 0, 2.5593e-36, 2.5593e-36, 2.5593e-36, 2.5593e-36, 2.5593e-36, 2.5593e-36, 2.5593e-36, 2.5593e-36, 2.5593e-36, 2.5593e-36, 2.41539e-12, 2.5593e-36, 2.5593e-36, 3.17051e-14, 2.5593e-36, 1.88004e-13, 2.5593e-36, 4.75613e-10, 2.5593e-36, 2.5593e-36, 2.5593e-36
0.397263, 0, 7.54227e-10, 1.95232e-35, 1.41421, -7.54227e-10, 1.95232e-35, 0, 1.95232e-35, 1.95232e-35, 1.95232e-35, 1.95232e-35, 1.95232e-35, 1.95232e-35, 1.95232e-35, 1.95232e-35, 1.95232e-35, 1.95232e-35, 3.81328e-12, 1.95232e-35, 1.95232e-35, 5.34191e-14, 1.95232e-35, 3.14198e-13, 1.95232e-35, 7.50047e-10, 1.95232e-35, 1.95232e-35, 1.95232e-35
0.405181, 0, 1.17969e-09, 1.3743e-34, 1.41421, -1.17969e-09, 1.3743e-34, 0, 1.3743e-34, 1.3743e-34, 1.3743e-34, 1.3743e-34, 1.3743e-34, 1.3743e-34, 1.3743e-34, 1.3743e-34, 1.3743e-34, 1.3743e-34, 5.97214e-12, 1.3743e-34, 1.3743e-34, 8.98716e-14, 1.3743e-34, 5.23582e-13, 1.3743e-34, 1.1731e-09, 1.3743e-34, 1.3743e-34, 1.3743e-34
0.413098, 0, 1.83007e-09, 9.48549e-34, 1.41421, -1.83007e-09, 9.48549e-34, 0, 9.48549e-34, 9.48549e-34, 9.48549e-34, 9.48549e-34, 9.48549e-34, 9.48549e-34, 9.48549e-34, 9.48549e-34, 9.48549e-34, 9.48549e-34, 9.27939e-12, 9.48549e-34, 9.48549e-34, 1.51045e-13, 9.48549e-34, 8.70511e-13, 9.48549e-34, 1.81977e-09, 9.48549e-34, 9.48549e-34, 9.48549e-34
0.421016, 0, 2.81594e-09, 6.28467e-33, 1.41421, -2.81594e-09, 6.28467e-33, 0, 6.28467e-33, 6.28467e-33, 6.28467e-33, 6.28467e-33, 6.28467e-33, 6.28467e-33, 6.28467e-33, 6.28467e-33, 6.28467e-33, 6.28467e-33, 1.43057e-11, 6.28467e-33, 6.28467e-33, 2.53694e-13, 6.28467e-33, 1.44488e-12, 6.28467e-33, 2.79994e-09, 6.28467e-33, 6.28467e-33, 6.28467e-33
0.428934, 0, 4.29789e-09, 3.91084e-32, 1.41421, -4.29789e-09, 3.91084e-32, 0, 3.91084e-32, 3.91084e-32, 3.91084e-32, 3.91084e-32, 3.91084e-32, 3.91084e-32, 3.91084e-32, 3.91084e-32, 3.91084e-32, 3.91084e-32, 2.18848e-11, 3.91084e-32, 3.91084e-32, 4.25922e-13, 3.91084e-32, 2.39548e-12, 3.91084e-32, 4.27318e-09, 3.91084e-32, 3.91084e-32, 3.91084e-32
0.436851, 0, 6.50707e-09, 2.27581e-31, 1.41421, -6.50707e-09, 2.27581e-31, 0, 2.27581e-31, 2.27581e-31, 2.27581e-31, 2.27581e-31, 2.27581e-31, 2.27581e-31, 2.27581e-31, 2.27581e-31, 2.27581e-31, 2.27581e-31, 3.32254e-11, 2.27581e-31, 2.27581e-31, 7.14841e-13, 2.27581e-31, 3.96893e-12, 2.27581e-31, 6.46916e-09, 2.27581e-31, 2.27581e-31, 2.27581e-31
0.444769, 0, 9.77324e-09, 1.23981e-30, 1.41421, -9.77324e-09, 1.23981e-30, 0, 1.23981e-30, 1.23981e-30, 1.23981e-30, 1.23981e-30, 1.23981e-30, 1.23981e-30, 1.23981e-30, 1.23981e-30, 1.23981e-30, 1.23981e-30, 5.00663e-11, 1.23981e-30, 1.23981e-30, 1.19927e-12, 1.23981e-30, 6.5741e-12, 1.23981e-30, 9.7154e-09, 1.23981e-30, 1.23981e-30, 1.23981e-30
0.452686, 0, 1.45627e-08, 6.34031e-30, 1.41421, -1.45627e-08, 6.34031e-30, 0, 6.34031e-30, 6.34031e-30, 6.34031e-30, 6.34031e-30, 6.34031e-30, 6.34031e-30, 6.34031e-30, 6.34031e-30, 6.34031e-30, 6.34031e-30, 7.48904e-11, 6.34031e-30, 6.34031e-30, 2.01078e-12, 6.34031e-30, 1.0889e-11, 6.34031e-30, 1.44749e-08, 6.34031e-30, 6.34031e-30, 6.34031e-30
0.460604, 0, 2.15289e-08, 3.05314e-29, 1.41421, -2.15289e-08, 3.05314e-29, 0, 3.05314e-29, 3.05314e-29, 3.05314e-29, 3.05314e-29, 3.05314e-29, 3.05314e-29, 3.05314e-29, 3.05314e-29, 3.05314e-29, 3.05314e-29, 1.11218e-10, 3.05314e-29, 3.05314e-29, 3.36821e-12, 3.05314e-29, 1.8037e-11, 3.05314e-29, 2.13962e-08, 3.05314e-29, 3.05314e-29, 3.05314e-29
0.468521, 0, 3.15797e-08, 1.38888e-28, 1.41421, -3.15797e-08, 1.38888e-28, 0, 1.38888e-28, 1.38888e-28, 1.38888e-28, 1.38888e-28, 1.38888e-28, 1.38888e-28, 1.38888e-28, 1.38888e-28, 1.38888e-28, 1.38888e-28, 1.64003e-10, 1.38888e-28, 1.38888e-28, 5.634e-12, 1.38888e-28, 2.98762e-11, 1.38888e-28, 3.13802e-08, 1.38888e-28, 1.38888e-28, 1.38888e-28
0.476439, 0, 4.59658e-08, 5.98678e-28, 1.41421, -4.59658e-08, 5.98678e-28, 0, 5.98678e-28, 5.98678e-28, 5.98678e-28, 5.98678e-28, 5.98678e-28, 5.98678e-28, 5.98678e-28, 5.98678e-28, 5.98678e-28, 5.98678e-28, 2.40176e-10, 5.98678e-28, 5.98678e-28, 9.40554e-12, 5.98678e-28, 4.94718e-11, 5.98678e-28, 4.56667e-08, 5.98678e-28, 5.98678e-28, 5.98678e-28
0.484357, 0, 6.63949e-08, 2.45248e-27, 1.41421, -6.63949e-08, 2.45248e-27, 0, 2.45248e-27, 2.45248e-27, 2.45248e-27, 2.45248e-27, 2.45248e-27, 2.45248e-27, 2.45248e-27, 2.45248e-27, 2.45248e-27, 2.45248e-27, 3.49362e-10, 2.45248e-27, 2.45248e-27, 1.56616e-11, 2.45248e-27, 8.18594e-11, 2.45248e-27, 6.5948e-08, 2.45248e-27, 2.45248e-27, 2.45248e-27
0.492274, 0, 9.51789e-08, 9.57404e-27, 1.41421, -9.51789e-08, 9.57404e-27, 0, 9.57404e-27, 9.57404e-27, 9.57404e-27, 9.57404e-27, 9.57404e-27, 9.57404e-27, 8.60691e-14, 9.57404e-27, 9.57404e-27, 9.57404e-27, 5.04842e-10, 9.57404e-27, 9.57404e-27, 2.59955e-11, 9.57404e-27, 1.3527e-10, 9.57404e-27, 9.45127e-08, 9.57404e-27, 9.57404e-27, 9.57404e-27
0.500192, 0, 1.35424e-07, 3.57127e-26, 1.41421, -1.35424e-07, 3.57127e-26, 0, 3.57127e-26, 3.57127e-26, 3.57127e-26, 3.57127e-26, 3.57127e-26, 3.57127e-26, 3.54274e-13, 3.57127e-26, 3.57127e-26, 3.57127e-26, 7.24841e-10, 3.57127e-26, 3.57127e-26, 4.29837e-11, 3.57127e-26, 2.23078e-10, 3.57127e-26, 1.34433e-07, 3.57127e-26, 3.57127e-26, 3.57127e-26
0.508109, 0, 1.91263e-07, 1.27787e-25, 1.41421, -1.91263e-07, 1.27787e-25, 0, 1.27787e-25, 1.27787e-25, 1.27787e-25, 1.27787e-25, 1.27787e-25, 1.27787e-25, 1.01687e-12, 1.27787e-25, 1.27787e-25, 1.27787e-25, 1.03419e-09, 1.27787e-25, 1.27787e-25, 7.07592e-11, 1.27787e-25, 3.66851e-10, 1.27787e-25, 1.8979e-07, 1.27787e-25, 1.27787e-25, 1.27787e-25
0.516027, 0, 2.69879e-07, 4.43138e-25, 1.41421, -2.69879e-07, 3.06634e-12, 0, 1.06464e-14, 8.99016e-14, 6.70247e-14, 1.15658e-13, 2.72509e-13, 4.57139e-14, 9.32739e-12, 6.38554e-12, 6.03626e-12, 1.64709e-09, 1.46655e-09, 1.00901e-12, 2.37503e-14, 1.15903e-10, 2.97466e-14, 6.01093e-10, 1.65264e-15, 2.66006e-07, 4.43138e-25, 4.43138e-25, 1.64158e-11
0.523944, 0, 3.79924e-07, 6.04991e-10, 1.41421, -3.79924e-07, 6.15782e-10, 6.04991e-10, 6.05029e-10, 6.05307e-10, 6.05227e-10, 6.05398e-10, 6.0595e-10, 6.05152e-10, 6.34967e-10, 6.27463e-10, 6.26234e-10, 6.40142e-09, 2.67221e-09, 6.08542e-10, 6.05075e-10, 7.93816e-10, 6.05462e-10, 1.58549e-09, 6.04997e-10, 3.70742e-07, 6.04991e-10, 6.04991e-10, 6.62762e-10
0.531862, 0, 5.34675e-07, 2.12131e-09, 1.41421, -5.34675e-07, 2.15102e-09, 2.12131e-09, 2.12142e-09, 2.12218e-09, 2.12196e-09, 2.12243e-09, 2.12395e-09, 2.12176e-09, 2.20122e-09, 2.18318e-09, 2.17979e-09, 1.80784e-08, 5.01812e-09, 2.13109e-09, 2.12154e-09, 2.42712e-09, 2.12309e-09, 3.71223e-09, 2.12133e-09, 5.13518e-07, 2.12131e-09, 2.12131e-09, 2.28035e-09
0.539779, 0, 7.55879e-07, 5.82759e-09, 1.41421, -7.55879e-07, 5.90239e-09, 5.82759e-09, 5.82785e-09, 5.82979e-09, 5.82923e-09, 5.83042e-09, 5.83424e-09, 5.82871e-09, 6.02513e-09, 5.98336e-09, 5.97484e-09, 4.60058e-08, 9.86347e-09, 5.85221e-09, 5.82817e-09, 6.31971e-09, 5.83276e-09, 8.39321e-09, 5.82764e-09, 7.07586e-07, 5.82759e-09, 5.82759e-09, 6.22803e-09
0.547697, 0, 1.08061e-06, 1.46521e-08, 1.41421, -1.08061e-06, 1.48316e-08, 1.46521e-08, 1.46527e-08, 1.46573e-08, 1.4656e-08, 1.46588e-08, 1.4668e-08, 1.46547e-08, 1.51198e-08, 1.50259e-08, 1.50054e-08, 1.11071e-07, 2.02429e-08, 1.47111e-08, 1.46535e-08, 1.54387e-08, 1.46655e-08, 1.87619e-08, 1.46522e-08, 9.71257e-07, 1.46521e-08, 1.46521e-08, 1.5613e-08
0.555615, 0, 1.57576e-06, 3.51237e-08, 1.41421, -1.57576e-06, 3.55401e-08, 3.51237e-08, 3.51252e-08, 3.51359e-08, 3.51328e-08, 3.51394e-08, 3.51607e-08, 3.51299e-08, 3.61962e-08, 3.59908e-08, 3.59434e-08, 2.58781e-07, 4.28252e-08, 3.52607e-08, 3.51269e-08, 3.63725e-08, 3.51567e-08, 4.16627e-08, 3.51239e-08, 1.33095e-06, 3.51237e-08, 3.51237e-08, 3.73528e-08
0.563532, 0, 2.36648e-06, 8.13972e-08, 1.41421, -2.36648e-06, 8.23358e-08, 8.13972e-08, 8.14005e-08, 8.14248e-08, 8.14178e-08, 8.14326e-08, 8.14806e-08, 8.14112e-08, 8.39206e-08, 8.33518e-08, 8.32449e-08, 5.85558e-07, 9.19469e-08, 8.17061e-08, 8.14045e-08, 8.33655e-08, 8.1475e-08, 9.172e-08, 8.13977e-08, 1.82661e-06, 8.13972e-08, 8.13972e-08, 8.6422e-08
0.57145, 0, 3.69106e-06, 1.8333e-07, 1.41421, -3.69106e-06, 1.85391e-07, 1.8333e-07, 1.83337e-07, 1.83391e-07, 1.83375e-07, 1.83408e-07, 1.83513e-07, 1.83361e-07, 1.89385e-07, 1.87621e-07, 1.87387e-07, 1.29013e-06, 1.97702e-07, 1.84008e-07, 1.83346e-07, 1.8641e-07, 1.83508e-07, 1.99487e-07, 1.83331e-07, 2.52189e-06, 1.8333e-07, 1.8333e-07, 1.94361e-07
0.579367, 0, 6.00433e-06, 4.02155e-07, 1.41421, -6.00433e-06, 4.06564e-07, 4.02155e-07, 4.0217e-07, 4.02284e-07, 4.02251e-07, 4.02321e-07, 4.02547e-07, 4.02221e-07, 4.16815e-07, 4.11338e-07, 4.10835e-07, 2.77075e-06, 4.21626e-07, 4.03606e-07, 4.02189e-07, 4.06937e-07, 4.02549e-07, 4.27227e-07, 4.02157e-07, 3.52312e-06, 4.02155e-07, 4.02155e-07, 4.25762e-07
