   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_639.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.273871, 0, 1.6501e-12, 0, 1.41421, -1.6501e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.89822e-17, 0, 5.16568e-13, 0, 1.13348e-12, 0, 0
0.281738, 0, 2.82921e-12, 0, 1.41421, -2.82921e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.53606e-17, 0, 9.05863e-13, 0, 1.92326e-12, 0, 0
0.289604, 0, 4.80769e-12, 0, 1.41421, -4.80769e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47415e-16, 0, 1.57409e-12, 0, 3.23345e-12, 0, 0
0.297471, 0, 8.10821e-12, 0, 1.41421, -8.10821e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52869e-16, 0, 2.71699e-12, 0, 5.39097e-12, 0, 0
0.305338, 0, 1.35736e-11, 0, 1.41421, -1.35736e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30963e-16, 0, 4.65942e-12, 0, 8.91374e-12, 0, 0
0.313205, 0, 2.25589e-11, 4.62428e-44, 1.41421, -2.25589e-11, 4.62428e-44, 0, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 7.30002e-16, 4.62428e-44, 7.94077e-12, 4.62428e-44, 1.46174e-11, 4.62428e-44, 4.62428e-44
0.321072, 0, 3.72282e-11, 9.12245e-43, 1.41421, -3.72282e-11, 9.12245e-43, 0, 9.12245e-43, 9.12245e-43, 9.12245e-43, 9.12245e-43, 9.12245e-43, 9.12245e-43, 9.12245e-43, 9.12245e-43, 9.12245e-43, 9.12245e-43, 9.12245e-43, 9.12245e-43, 1.22944e-15, 9.12245e-43, 1.34521e-11, 9.12245e-43, 2.37748e-11, 9.12245e-43, 9.12245e-43
0.328938, 0, 6.10162e-11, 1.34973e-41, 1.41421, -6.10162e-11, 1.34973e-41, 0, 1.34973e-41, 1.34973e-41, 1.34973e-41, 1.34973e-41, 1.34973e-41, 1.34973e-41, 1.34973e-41, 1.34973e-41, 1.34973e-41, 1.34973e-41, 1.34973e-41, 1.34973e-41, 2.05953e-15, 1.34973e-41, 2.26591e-11, 1.34973e-41, 3.8355e-11, 1.34973e-41, 1.34973e-41
0.336805, 0, 9.93428e-11, 1.81527e-40, 1.41421, -9.93428e-11, 1.81527e-40, 0, 1.81527e-40, 1.81527e-40, 1.81527e-40, 1.81527e-40, 1.81527e-40, 1.81527e-40, 1.81527e-40, 1.81527e-40, 1.81527e-40, 1.81527e-40, 1.81527e-40, 1.81527e-40, 3.43326e-15, 1.81527e-40, 3.79623e-11, 1.81527e-40, 6.13771e-11, 1.81527e-40, 1.81527e-40
0.344672, 0, 1.60715e-10, 2.195e-39, 1.41421, -1.60715e-10, 2.195e-39, 0, 2.195e-39, 2.195e-39, 2.195e-39, 2.195e-39, 2.195e-39, 2.195e-39, 2.195e-39, 2.195e-39, 2.195e-39, 2.195e-39, 2.195e-39, 2.195e-39, 5.6982e-15, 2.195e-39, 6.32804e-11, 2.195e-39, 9.74292e-11, 2.195e-39, 2.195e-39
0.352539, 0, 2.58426e-10, 2.39604e-38, 1.41421, -2.58426e-10, 2.39604e-38, 0, 2.39604e-38, 2.39604e-38, 2.39604e-38, 2.39604e-38, 2.39604e-38, 2.39604e-38, 2.39604e-38, 2.39604e-38, 2.39604e-38, 2.39604e-38, 2.39604e-38, 2.39604e-38, 9.4209e-15, 2.39604e-38, 1.04992e-10, 2.39604e-38, 1.53424e-10, 2.39604e-38, 2.39604e-38
