   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_125.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.24025, 0, 2.92471e-11, 0, 1.41421, -2.92471e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4315e-13, 0, 3.7357e-16, 1.20222e-12, 0, 2.79013e-11, 0, 0
0.248122, 0, 4.45836e-11, 0, 1.41421, -4.45836e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17851e-13, 0, 5.86437e-16, 1.91293e-12, 0, 4.24522e-11, 0, 0
0.255994, 0, 6.75775e-11, 0, 1.41421, -6.75775e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2962e-13, 0, 9.17003e-16, 3.03126e-12, 0, 6.42157e-11, 0, 0
0.263866, 0, 1.01854e-10, 0, 1.41421, -1.01854e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.95866e-13, 0, 1.42869e-15, 4.78426e-12, 0, 9.65727e-11, 0, 0
0.271738, 0, 1.52661e-10, 0, 1.41421, -1.52661e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.417e-13, 0, 2.21847e-15, 7.52216e-12, 0, 1.44394e-10, 0, 0
0.27961, 0, 2.27545e-10, 1.68156e-43, 1.41421, -2.27545e-10, 1.68156e-43, 0, 1.68156e-43, 1.68156e-43, 1.68156e-43, 1.68156e-43, 1.68156e-43, 1.68156e-43, 1.68156e-43, 1.68156e-43, 1.68156e-43, 1.10311e-12, 1.68156e-43, 3.43446e-15, 1.17836e-11, 1.68156e-43, 2.14655e-10, 1.68156e-43, 1.68156e-43
0.287482, 0, 3.37305e-10, 2.78438e-42, 1.41421, -3.37305e-10, 2.78438e-42, 0, 2.78438e-42, 2.78438e-42, 2.78438e-42, 2.78438e-42, 2.78438e-42, 2.78438e-42, 2.78438e-42, 2.78438e-42, 2.78438e-42, 1.63137e-12, 2.78438e-42, 5.30278e-15, 1.8395e-11, 2.78438e-42, 3.17273e-10, 2.78438e-42, 2.78438e-42
0.295354, 0, 4.973e-10, 3.84726e-41, 1.41421, -4.973e-10, 3.84726e-41, 0, 3.84726e-41, 3.84726e-41, 3.84726e-41, 3.84726e-41, 3.84726e-41, 3.84726e-41, 3.84726e-41, 3.84726e-41, 3.84726e-41, 2.39909e-12, 3.84726e-41, 8.16862e-15, 2.86211e-11, 3.84726e-41, 4.66272e-10, 3.84726e-41, 3.84726e-41
0.303226, 0, 7.29261e-10, 4.71234e-40, 1.41421, -7.29261e-10, 4.71234e-40, 0, 4.71234e-40, 4.71234e-40, 4.71234e-40, 4.71234e-40, 4.71234e-40, 4.71234e-40, 4.71234e-40, 4.71234e-40, 4.71234e-40, 3.50846e-12, 4.71234e-40, 1.2559e-14, 4.43936e-11, 4.71234e-40, 6.81347e-10, 4.71234e-40, 4.71234e-40
0.311098, 0, 1.06377e-09, 5.18755e-39, 1.41421, -1.06377e-09, 5.18755e-39, 0, 5.18755e-39, 5.18755e-39, 5.18755e-39, 5.18755e-39, 5.18755e-39, 5.18755e-39, 5.18755e-39, 5.18755e-39, 5.18755e-39, 5.10249e-12, 5.18755e-39, 1.92791e-14, 6.86574e-11, 5.18755e-39, 9.89989e-10, 5.18755e-39, 5.18755e-39
