   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_323.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.251681, 0, 1.27576e-11, 0, 1.41421, -1.27576e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.56428e-12, 0, 8.19332e-12, 0, 0, 0
0.259551, 0, 2.04081e-11, 0, 1.41421, -2.04081e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.48936e-12, 0, 1.29187e-11, 0, 0, 0
0.267422, 0, 3.24622e-11, 0, 1.41421, -3.24622e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22282e-11, 0, 2.02341e-11, 0, 0, 0
0.275292, 0, 5.1352e-11, 0, 1.41421, -5.1352e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98699e-11, 0, 3.14821e-11, 0, 0, 0
0.283162, 0, 8.07995e-11, 0, 1.41421, -8.07995e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2139e-11, 0, 4.86605e-11, 0, 0, 0
0.291032, 0, 1.26476e-10, 1.59748e-43, 1.41421, -1.26476e-10, 1.59748e-43, 0, 1.59748e-43, 1.59748e-43, 1.59748e-43, 1.59748e-43, 1.59748e-43, 1.59748e-43, 1.59748e-43, 1.59748e-43, 1.59748e-43, 1.59748e-43, 1.59748e-43, 5.1756e-11, 1.59748e-43, 7.47198e-11, 1.59748e-43, 1.59748e-43, 1.59748e-43
0.298902, 0, 1.96986e-10, 2.83483e-42, 1.41421, -1.96986e-10, 2.83483e-42, 0, 2.83483e-42, 2.83483e-42, 2.83483e-42, 2.83483e-42, 2.83483e-42, 2.83483e-42, 2.83483e-42, 2.83483e-42, 2.83483e-42, 2.83483e-42, 2.83483e-42, 8.29997e-11, 2.83483e-42, 1.13986e-10, 2.83483e-42, 2.83483e-42, 2.83483e-42
0.306772, 0, 3.05342e-10, 4.21174e-41, 1.41421, -3.05342e-10, 4.21174e-41, 0, 4.21174e-41, 4.21174e-41, 4.21174e-41, 4.21174e-41, 4.21174e-41, 4.21174e-41, 4.21174e-41, 4.21174e-41, 4.21174e-41, 4.21174e-41, 4.21174e-41, 1.32582e-10, 4.21174e-41, 1.7276e-10, 4.21174e-41, 4.21174e-41, 4.21174e-41
0.314642, 0, 4.71152e-10, 5.5013e-40, 1.41421, -4.71152e-10, 5.5013e-40, 0, 5.5013e-40, 5.5013e-40, 5.5013e-40, 5.5013e-40, 5.5013e-40, 5.5013e-40, 5.5013e-40, 5.5013e-40, 5.5013e-40, 5.5013e-40, 5.5013e-40, 2.11004e-10, 5.5013e-40, 2.60148e-10, 5.5013e-40, 5.5013e-40, 5.5013e-40
0.322513, 0, 7.24449e-10, 3.03129e-38, 1.41421, -7.24449e-10, 3.03129e-38, 0, 3.03129e-38, 3.03129e-38, 3.03129e-38, 3.03129e-38, 3.03129e-38, 3.03129e-38, 3.03129e-38, 3.03129e-38, 3.03129e-38, 3.03129e-38, 3.03129e-38, 3.35188e-10, 3.03129e-38, 3.89261e-10, 3.03129e-38, 3.03129e-38, 3.03129e-38
