   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_706.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.110366, 0, 7.57254e-12, 0, 1.41421, -7.57254e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63763e-14, 0, 0, 3.46549e-14, 0, 0, 7.51151e-12, 0, 0, 0
0.11825, 0, 1.09718e-11, 0, 1.41421, -1.09718e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.82154e-14, 0, 0, 5.14561e-14, 0, 0, 1.08822e-11, 0, 0, 0
0.126133, 0, 1.58322e-11, 0, 1.41421, -1.58322e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.51433e-14, 0, 0, 7.61602e-14, 0, 0, 1.57009e-11, 0, 0, 0
0.134017, 0, 2.27529e-11, 0, 1.41421, -2.27529e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.92472e-14, 0, 0, 1.12382e-13, 0, 0, 2.25613e-11, 0, 0, 0
0.1419, 0, 3.25664e-11, 0, 1.41421, -3.25664e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13428e-13, 0, 0, 1.6535e-13, 0, 0, 3.22876e-11, 0, 0, 0
0.149783, 0, 4.64243e-11, 0, 1.41421, -4.64243e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61698e-13, 0, 0, 2.42617e-13, 0, 0, 4.602e-11, 0, 0, 0
0.157667, 0, 6.59128e-11, 0, 1.41421, -6.59128e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29588e-13, 0, 0, 3.55074e-13, 0, 0, 6.53281e-11, 0, 0, 0
0.16555, 0, 9.32071e-11, 0, 1.41421, -9.32071e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.24681e-13, 0, 0, 5.18416e-13, 0, 0, 9.2364e-11, 0, 0, 0
0.173434, 0, 1.31277e-10, 0, 1.41421, -1.31277e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.57339e-13, 0, 0, 7.55243e-13, 0, 0, 1.30065e-10, 0, 0, 0
0.181317, 0, 1.8416e-10, 0, 1.41421, -1.8416e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.4165e-13, 0, 0, 1.09808e-12, 0, 0, 1.8242e-10, 0, 0, 0
0.189201, 0, 2.57321e-10, 0, 1.41421, -2.57321e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.96699e-13, 0, 0, 1.59372e-12, 0, 0, 2.5483e-10, 0, 0, 0
