   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_158.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.439701, 0, 1.19137e-07, 3.55602e-27, 1.41421, -1.19137e-07, 0, 3.55602e-27, 3.55602e-27, 3.55602e-27, 3.55602e-27, 3.55602e-27, 3.55602e-27, 3.55602e-27, 3.55602e-27, 3.55602e-27, 3.55602e-27, 1.21822e-09, 3.55602e-27, 3.55602e-27, 3.06998e-11, 2.03401e-10, 3.55602e-27, 1.17685e-07, 3.55602e-27, 3.55602e-27, 3.55602e-27
0.447602, 0, 1.6123e-07, 1.36692e-26, 1.41421, -1.6123e-07, 0, 1.36692e-26, 1.36692e-26, 1.36692e-26, 1.36692e-26, 1.36692e-26, 1.36692e-26, 8.36545e-14, 1.36692e-26, 1.36692e-26, 1.36692e-26, 1.66129e-09, 1.36692e-26, 1.36692e-26, 4.74832e-11, 3.09684e-10, 1.36692e-26, 1.59212e-07, 1.36692e-26, 1.36692e-26, 1.36692e-26
0.455503, 0, 2.16966e-07, 5.01879e-26, 1.41421, -2.16966e-07, 0, 5.01879e-26, 5.01879e-26, 5.01879e-26, 5.01879e-26, 5.01879e-26, 5.01879e-26, 2.71662e-13, 5.01879e-26, 5.01879e-26, 5.01879e-26, 2.2546e-09, 5.01879e-26, 5.01879e-26, 7.32301e-11, 4.69789e-10, 5.01879e-26, 2.14168e-07, 5.01879e-26, 5.01879e-26, 5.01879e-26
0.463404, 0, 2.90344e-07, 1.77332e-25, 1.41421, -2.90344e-07, 0, 1.77332e-25, 1.77332e-25, 1.77332e-25, 1.77332e-25, 1.77332e-25, 1.77332e-25, 6.82232e-13, 1.77332e-25, 1.77332e-25, 1.77332e-25, 3.04534e-09, 1.77332e-25, 1.77332e-25, 1.12562e-10, 7.09813e-10, 1.77332e-25, 2.86476e-07, 1.77332e-25, 1.77332e-25, 1.77332e-25
0.471304, 0, 3.89419e-07, 7.86679e-10, 1.41421, -3.89419e-07, 7.86679e-10, 7.86709e-10, 7.86764e-10, 7.86734e-10, 7.87124e-10, 7.87191e-10, 7.87421e-10, 7.92188e-10, 8.00668e-10, 7.88367e-10, 2.92286e-09, 4.88118e-09, 7.87268e-10, 7.86721e-10, 9.59052e-10, 1.85444e-09, 7.86681e-10, 3.81903e-07, 7.86679e-10, 7.86679e-10, 8.08312e-10
0.479205, 0, 5.2119e-07, 2.53753e-09, 1.41421, -5.2119e-07, 2.53753e-09, 2.53762e-09, 2.5378e-09, 2.5377e-09, 2.53896e-09, 2.53918e-09, 2.53992e-09, 2.55367e-09, 2.58271e-09, 2.54298e-09, 9.43726e-09, 8.01769e-09, 2.53943e-09, 2.53766e-09, 2.80042e-09, 4.1361e-09, 2.53753e-09, 5.06803e-07, 2.53753e-09, 2.53753e-09, 2.6074e-09
0.487106, 0, 6.97793e-07, 6.33274e-09, 1.41421, -6.97793e-07, 6.33274e-09, 6.33298e-09, 6.33342e-09, 6.33318e-09, 6.33633e-09, 6.33687e-09, 6.33872e-09, 6.37175e-09, 6.44566e-09, 6.34636e-09, 2.3577e-08, 1.36349e-08, 6.33749e-09, 6.33307e-09, 6.73189e-09, 8.71369e-09, 6.33275e-09, 6.70106e-07, 6.33274e-09, 6.33274e-09, 6.50736e-09
0.495006, 0, 9.37465e-07, 1.43824e-08, 1.41421, -9.37465e-07, 1.43824e-08, 1.4383e-08, 1.4384e-08, 1.43834e-08, 1.43906e-08, 1.43918e-08, 1.4396e-08, 1.44695e-08, 1.46391e-08, 1.44134e-08, 5.35798e-08, 2.40695e-08, 1.43932e-08, 1.43832e-08, 1.49855e-08, 1.79091e-08, 1.43824e-08, 8.83633e-07, 1.43824e-08, 1.43824e-08, 1.47793e-08
0.502907, 0, 1.2693e-06, 3.10977e-08, 1.41421, -1.2693e-06, 3.10977e-08, 3.10989e-08, 3.1101e-08, 3.10998e-08, 3.11154e-08, 3.1118e-08, 3.11271e-08, 3.12836e-08, 3.1653e-08, 3.11647e-08, 1.15897e-07, 4.38933e-08, 3.11211e-08, 3.10993e-08, 3.20043e-08, 3.62915e-08, 3.10977e-08, 1.16384e-06, 3.10977e-08, 3.10977e-08, 3.19564e-08
0.510808, 0, 1.74142e-06, 6.50993e-08, 1.41421, -1.74142e-06, 6.50993e-08, 6.51018e-08, 6.51064e-08, 6.51038e-08, 6.51363e-08, 6.51419e-08, 6.5161e-08, 6.54931e-08, 6.62622e-08, 6.52396e-08, 2.42686e-07, 8.19286e-08, 6.51483e-08, 6.51028e-08, 6.64548e-08, 7.27099e-08, 6.50994e-08, 1.53434e-06, 6.50993e-08, 6.50993e-08, 6.68977e-08
0.518708, 0, 2.43581e-06, 1.32879e-07, 1.41421, -2.43581e-06, 1.32879e-07, 1.32884e-07, 1.32894e-07, 1.32888e-07, 1.32955e-07, 1.32966e-07, 1.33005e-07, 1.33767e-07, 1.35254e-07, 1.33166e-07, 4.95471e-07, 1.5492e-07, 1.32979e-07, 1.32886e-07, 1.34894e-07, 1.43954e-07, 1.32879e-07, 2.03044e-06, 1.32879e-07, 1.32879e-07, 1.36551e-07
0.526609, 0, 3.49485e-06, 2.65307e-07, 1.41421, -3.49485e-06, 2.65307e-07, 2.65318e-07, 2.65336e-07, 2.65326e-07, 2.65458e-07, 2.65481e-07, 2.65559e-07, 2.67938e-07, 2.70049e-07, 2.6588e-07, 9.8945e-07, 2.94053e-07, 2.65507e-07, 2.65322e-07, 2.68286e-07, 2.81319e-07, 2.65308e-07, 2.70684e-06, 2.65307e-07, 2.65307e-07, 2.72641e-07
0.53451, 0, 5.1649e-06, 5.18953e-07, 1.41421, -5.1649e-06, 5.18953e-07, 5.18973e-07, 5.19009e-07, 5.18989e-07, 5.19248e-07, 5.19293e-07, 5.19445e-07, 5.25194e-07, 5.28231e-07, 5.20072e-07, 1.93574e-06, 5.56286e-07, 5.19344e-07, 5.18981e-07, 5.23331e-07, 5.41951e-07, 5.18954e-07, 3.65076e-06, 5.18953e-07, 5.18953e-07, 5.333e-07
0.54241, 0, 7.87545e-06, 9.95686e-07, 1.41421, -7.87545e-06, 9.95686e-07, 9.95724e-07, 9.95794e-07, 9.95755e-07, 9.96253e-07, 9.96338e-07, 9.9663e-07, 1.00965e-06, 1.01349e-06, 9.97834e-07, 3.71464e-06, 1.04397e-06, 9.96435e-07, 9.95739e-07, 1.00208e-06, 1.0285e-06, 9.95688e-07, 5.00437e-06, 9.95686e-07, 9.95686e-07, 1.02322e-06
0.550311, 0, 1.23556e-05, 1.87267e-06, 1.41421, -1.23556e-05, 1.87267e-06, 1.87274e-06, 1.87287e-06, 1.8728e-06, 1.87374e-06, 1.8739e-06, 1.87445e-06, 1.90121e-06, 1.90616e-06, 1.87671e-06, 6.98752e-06, 1.93487e-06, 1.87408e-06, 1.87277e-06, 1.88196e-06, 1.91918e-06, 1.87267e-06, 6.99883e-06, 1.87267e-06, 1.87267e-06, 1.92447e-06
0.558212, 0, 1.98482e-05, 3.45604e-06, 1.41421, -1.98482e-05, 3.45604e-06, 3.45617e-06, 3.45641e-06, 3.45628e-06, 3.458e-06, 3.4583e-06, 3.45931e-06, 3.5128e-06, 3.51786e-06, 3.4635e-06, 1.28976e-05, 3.53584e-06, 3.45864e-06, 3.45622e-06, 3.46945e-06, 3.52153e-06, 3.45604e-06, 1.00152e-05, 3.45604e-06, 3.45604e-06, 3.55165e-06
0.566112, 0, 3.24207e-05, 6.25957e-06, 1.41421, -3.24207e-05, 6.25957e-06, 6.25981e-06, 6.26025e-06, 6.26e-06, 6.26313e-06, 6.26367e-06, 6.2655e-06, 6.37073e-06, 6.37157e-06, 6.27308e-06, 2.33641e-05, 6.36155e-06, 6.26428e-06, 6.2599e-06, 6.27882e-06, 6.35122e-06, 6.25958e-06, 1.46734e-05, 6.25957e-06, 6.25957e-06, 6.43278e-06
0.574013, 0, 5.34527e-05, 1.1128e-05, 1.41421, -5.34527e-05, 1.1128e-05, 1.11284e-05, 1.11292e-05, 1.11288e-05, 1.11343e-05, 1.11353e-05, 1.11386e-05, 1.13423e-05, 1.13272e-05, 1.1152e-05, 4.15431e-05, 1.12578e-05, 1.11364e-05, 1.11286e-05, 1.11555e-05, 1.12555e-05, 1.1128e-05, 2.19717e-05, 1.1128e-05, 1.1128e-05, 1.1436e-05
0.581914, 0, 8.83653e-05, 1.94204e-05, 1.41421, -8.83653e-05, 1.94204e-05, 1.94211e-05, 1.94225e-05, 1.94217e-05, 1.94314e-05, 1.94331e-05, 1.94388e-05, 1.9827e-05, 1.97681e-05, 1.94623e-05, 7.25134e-05, 1.95851e-05, 1.9435e-05, 1.94214e-05, 1.94593e-05, 1.95966e-05, 1.94204e-05, 3.34963e-05, 1.94204e-05, 1.94204e-05, 1.9958e-05
0.589814, 0, 0.000145674, 3.32752e-05, 1.41421, -0.000145674, 3.32752e-05, 3.32765e-05, 3.32788e-05, 3.32775e-05, 3.32942e-05, 3.3297e-05, 3.33068e-05, 3.40347e-05, 3.38711e-05, 3.33471e-05, 0.00012427, 3.34834e-05, 3.33003e-05, 3.3277e-05, 3.33302e-05, 3.35176e-05, 3.32753e-05, 5.17184e-05, 3.32752e-05, 3.32752e-05, 3.41967e-05
