   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_395.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.25736, 0, 2.838e-10, 4.72798e-42, 1.41421, -2.838e-10, 0, 4.72798e-42, 4.72798e-42, 4.72798e-42, 4.72798e-42, 4.72798e-42, 4.72798e-42, 4.72798e-42, 4.72798e-42, 4.72798e-42, 4.72798e-42, 1.61339e-12, 4.72798e-42, 4.72798e-42, 3.56822e-12, 4.72798e-42, 3.35561e-13, 4.72798e-42, 2.78283e-10, 4.72798e-42, 4.72798e-42
0.265218, 0, 4.00447e-10, 6.30528e-41, 1.41421, -4.00447e-10, 0, 6.30528e-41, 6.30528e-41, 6.30528e-41, 6.30528e-41, 6.30528e-41, 6.30528e-41, 6.30528e-41, 6.30528e-41, 6.30528e-41, 6.30528e-41, 2.27646e-12, 6.30528e-41, 6.30528e-41, 5.31044e-12, 6.30528e-41, 5.00875e-13, 6.30528e-41, 3.92359e-10, 6.30528e-41, 6.30528e-41
0.273076, 0, 5.62467e-10, 7.54446e-40, 1.41421, -5.62467e-10, 0, 7.54446e-40, 7.54446e-40, 7.54446e-40, 7.54446e-40, 7.54446e-40, 7.54446e-40, 7.54446e-40, 7.54446e-40, 7.54446e-40, 7.54446e-40, 3.19748e-12, 7.54446e-40, 7.54446e-40, 7.89909e-12, 7.54446e-40, 7.45652e-13, 7.54446e-40, 5.50625e-10, 7.54446e-40, 7.54446e-40
0.280934, 0, 7.86474e-10, 8.13333e-39, 1.41421, -7.86474e-10, 0, 8.13333e-39, 8.13333e-39, 8.13333e-39, 8.13333e-39, 8.13333e-39, 8.13333e-39, 8.13333e-39, 8.13333e-39, 8.13333e-39, 8.13333e-39, 4.47093e-12, 8.13333e-39, 8.13333e-39, 1.17466e-11, 8.13333e-39, 1.10725e-12, 8.13333e-39, 7.69149e-10, 8.13333e-39, 8.13333e-39
0.288792, 0, 1.09477e-09, 7.93266e-38, 1.41421, -1.09477e-09, 0, 7.93266e-38, 7.93266e-38, 7.93266e-38, 7.93266e-38, 7.93266e-38, 7.93266e-38, 7.93266e-38, 7.93266e-38, 7.93266e-38, 7.93266e-38, 6.22364e-12, 7.93266e-38, 7.93266e-38, 1.74682e-11, 7.93266e-38, 1.64026e-12, 7.93266e-38, 1.06944e-09, 7.93266e-38, 7.93266e-38
0.296649, 0, 1.51715e-09, 7.03509e-37, 1.41421, -1.51715e-09, 0, 7.03509e-37, 7.03509e-37, 7.03509e-37, 7.03509e-37, 7.03509e-37, 7.03509e-37, 7.03509e-37, 7.03509e-37, 7.03509e-37, 7.03509e-37, 8.62512e-12, 7.03509e-37, 7.03509e-37, 2.59821e-11, 7.03509e-37, 2.42429e-12, 7.03509e-37, 1.48012e-09, 7.03509e-37, 7.03509e-37
0.304507, 0, 2.09327e-09, 5.70193e-36, 1.41421, -2.09327e-09, 0, 5.70193e-36, 5.70193e-36, 5.70193e-36, 5.70193e-36, 5.70193e-36, 5.70193e-36, 5.70193e-36, 5.70193e-36, 5.70193e-36, 5.70193e-36, 1.19008e-11, 5.70193e-36, 5.70193e-36, 3.86601e-11, 5.70193e-36, 3.5753e-12, 5.70193e-36, 2.03914e-09, 5.70193e-36, 5.70193e-36
0.312365, 0, 2.87564e-09, 4.24585e-35, 1.41421, -2.87564e-09, 0, 4.24585e-35, 4.24585e-35, 4.24585e-35, 4.24585e-35, 4.24585e-35, 4.24585e-35, 4.24585e-35, 4.24585e-35, 4.24585e-35, 4.24585e-35, 1.63494e-11, 4.24585e-35, 4.24585e-35, 5.75519e-11, 4.24585e-35, 5.26183e-12, 4.24585e-35, 2.79648e-09, 4.24585e-35, 4.24585e-35
0.320223, 0, 3.93376e-09, 9.65179e-34, 1.41421, -3.93376e-09, 0, 9.65179e-34, 9.65179e-34, 9.65179e-34, 9.65179e-34, 9.65179e-34, 9.65179e-34, 9.65179e-34, 9.65179e-34, 9.65179e-34, 9.65179e-34, 2.23653e-11, 9.65179e-34, 9.65179e-34, 8.58594e-11, 9.65179e-34, 7.73456e-12, 9.65179e-34, 3.8178e-09, 9.65179e-34, 9.65179e-34
0.328081, 0, 5.35817e-09, 6.23984e-33, 1.41421, -5.35817e-09, 0, 6.23984e-33, 6.23984e-33, 6.23984e-33, 6.23984e-33, 6.23984e-33, 6.23984e-33, 6.23984e-33, 6.23984e-33, 6.23984e-33, 6.23984e-33, 3.04636e-11, 6.23984e-33, 6.23984e-33, 1.27931e-10, 6.23984e-33, 1.13377e-11, 6.23984e-33, 5.18843e-09, 6.23984e-33, 6.23984e-33
