   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_69.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.302693, 0, 2.89696e-13, 0, 1.41421, -2.89696e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37101e-15, 0, 0, 2.63959e-18, 4.66472e-17, 0, 2.85276e-13, 0, 0, 0
0.310478, 0, 5.22755e-13, 0, 1.41421, -5.22755e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.88757e-15, 0, 0, 4.85756e-18, 8.59841e-17, 0, 5.14777e-13, 0, 0, 0
0.318263, 0, 9.34674e-13, 0, 1.41421, -9.34674e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41031e-14, 0, 0, 8.86805e-18, 1.57179e-16, 0, 9.20405e-13, 0, 0, 0
0.326049, 0, 1.65595e-12, 0, 1.41421, -1.65595e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49873e-14, 0, 0, 1.60645e-17, 2.84986e-16, 0, 1.63067e-12, 0, 0, 0
0.333834, 0, 2.90725e-12, 0, 1.41421, -2.90725e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3871e-14, 0, 0, 2.8884e-17, 5.12606e-16, 0, 2.86284e-12, 0, 0, 0
0.341619, 0, 5.05799e-12, 1.68156e-44, 1.41421, -5.05799e-12, 1.68156e-44, 0, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 7.63325e-14, 1.68156e-44, 1.68156e-44, 5.15626e-17, 9.14863e-16, 1.68156e-44, 4.9807e-12, 1.68156e-44, 1.68156e-44, 1.68156e-44
0.349404, 0, 8.72077e-12, 2.98477e-43, 1.41421, -8.72077e-12, 2.98477e-43, 0, 2.98477e-43, 2.98477e-43, 2.98477e-43, 2.98477e-43, 2.98477e-43, 2.98477e-43, 2.98477e-43, 2.98477e-43, 2.98477e-43, 2.98477e-43, 2.98477e-43, 1.31624e-13, 2.98477e-43, 2.98477e-43, 9.14227e-17, 1.62046e-15, 2.98477e-43, 8.58744e-12, 2.98477e-43, 2.98477e-43, 2.98477e-43
0.35719, 0, 1.49014e-11, 4.28937e-42, 1.41421, -1.49014e-11, 4.28937e-42, 0, 4.28937e-42, 4.28937e-42, 4.28937e-42, 4.28937e-42, 4.28937e-42, 4.28937e-42, 4.28937e-42, 4.28937e-42, 4.28937e-42, 4.28937e-42, 4.28937e-42, 2.24944e-13, 4.28937e-42, 4.28937e-42, 1.6106e-16, 2.84927e-15, 4.28937e-42, 1.46734e-11, 4.28937e-42, 4.28937e-42, 4.28937e-42
0.364975, 0, 2.52352e-11, 5.45568e-41, 1.41421, -2.52352e-11, 5.45568e-41, 0, 5.45568e-41, 5.45568e-41, 5.45568e-41, 5.45568e-41, 5.45568e-41, 5.45568e-41, 5.45568e-41, 5.45568e-41, 5.45568e-41, 5.45568e-41, 5.45568e-41, 3.81019e-13, 5.45568e-41, 5.45568e-41, 2.82059e-16, 4.97474e-15, 5.45568e-41, 2.48489e-11, 5.45568e-41, 5.45568e-41, 5.45568e-41
0.37276, 0, 4.23557e-11, 6.22059e-40, 1.41421, -4.23557e-11, 6.22059e-40, 0, 6.22059e-40, 6.22059e-40, 6.22059e-40, 6.22059e-40, 6.22059e-40, 6.22059e-40, 6.22059e-40, 6.22059e-40, 6.22059e-40, 6.22059e-40, 6.22059e-40, 6.39694e-13, 6.22059e-40, 6.22059e-40, 4.91282e-16, 8.62761e-15, 6.22059e-40, 4.17069e-11, 6.22059e-40, 6.22059e-40, 6.22059e-40
0.380545, 0, 7.04622e-11, 6.41181e-39, 1.41421, -7.04622e-11, 6.41181e-39, 0, 6.41181e-39, 6.41181e-39, 6.41181e-39, 6.41181e-39, 6.41181e-39, 6.41181e-39, 6.41181e-39, 6.41181e-39, 6.41181e-39, 6.41181e-39, 6.41181e-39, 1.06457e-12, 6.41181e-39, 6.41181e-39, 8.5154e-16, 1.48682e-14, 6.41181e-39, 6.93819e-11, 6.41181e-39, 6.41181e-39, 6.41181e-39
0.38833, 0, 1.16186e-10, 6.00566e-38, 1.41421, -1.16186e-10, 6.00566e-38, 0, 6.00566e-38, 6.00566e-38, 6.00566e-38, 6.00566e-38, 6.00566e-38, 6.00566e-38, 6.00566e-38, 6.00566e-38, 6.00566e-38, 6.00566e-38, 6.00566e-38, 1.7562e-12, 6.00566e-38, 6.00566e-38, 1.4697e-15, 2.54723e-14, 6.00566e-38, 1.14403e-10, 6.00566e-38, 6.00566e-38, 6.00566e-38
0.396116, 0, 1.89899e-10, 5.13802e-37, 1.41421, -1.89899e-10, 5.13802e-37, 0, 5.13802e-37, 5.13802e-37, 5.13802e-37, 5.13802e-37, 5.13802e-37, 5.13802e-37, 5.13802e-37, 5.13802e-37, 5.13802e-37, 5.13802e-37, 5.13802e-37, 2.8721e-12, 5.13802e-37, 5.13802e-37, 2.52745e-15, 4.34044e-14, 5.13802e-37, 1.86981e-10, 5.13802e-37, 5.13802e-37, 5.13802e-37
0.403901, 0, 3.07662e-10, 4.03573e-36, 1.41421, -3.07662e-10, 4.03573e-36, 0, 4.03573e-36, 4.03573e-36, 4.03573e-36, 4.03573e-36, 4.03573e-36, 4.03573e-36, 4.03573e-36, 4.03573e-36, 4.03573e-36, 4.03573e-36, 4.03573e-36, 4.65668e-12, 4.03573e-36, 4.03573e-36, 4.33364e-15, 7.36041e-14, 4.03573e-36, 3.02927e-10, 4.03573e-36, 4.03573e-36, 4.03573e-36
