   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_103.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.261039, 0, 3.2863e-10, 8.58996e-43, 1.41421, -3.2863e-10, 8.58996e-43, 0, 8.58996e-43, 8.58996e-43, 8.58996e-43, 8.58996e-43, 8.58996e-43, 8.58996e-43, 8.58996e-43, 8.58996e-43, 8.58996e-43, 8.58996e-43, 8.58996e-43, 1.90271e-12, 8.58996e-43, 8.91822e-15, 8.58996e-43, 9.5813e-14, 8.58996e-43, 3.26622e-10, 8.58996e-43, 8.58996e-43, 8.58996e-43
0.268925, 0, 4.72091e-10, 1.21983e-41, 1.41421, -4.72091e-10, 1.21983e-41, 0, 1.21983e-41, 1.21983e-41, 1.21983e-41, 1.21983e-41, 1.21983e-41, 1.21983e-41, 1.21983e-41, 1.21983e-41, 1.21983e-41, 1.21983e-41, 1.21983e-41, 2.73483e-12, 1.21983e-41, 1.34117e-14, 1.21983e-41, 1.45177e-13, 1.21983e-41, 4.69197e-10, 1.21983e-41, 1.21983e-41, 1.21983e-41
0.276811, 0, 6.74867e-10, 1.5343e-40, 1.41421, -6.74867e-10, 1.5343e-40, 0, 1.5343e-40, 1.5343e-40, 1.5343e-40, 1.5343e-40, 1.5343e-40, 1.5343e-40, 1.5343e-40, 1.5343e-40, 1.5343e-40, 1.5343e-40, 1.5343e-40, 3.91205e-12, 1.5343e-40, 2.01385e-14, 1.5343e-40, 2.1937e-13, 1.5343e-40, 6.70715e-10, 1.5343e-40, 1.5343e-40, 1.5343e-40
0.284697, 0, 9.60043e-10, 1.73069e-39, 1.41421, -9.60043e-10, 1.73069e-39, 0, 1.73069e-39, 1.73069e-39, 1.73069e-39, 1.73069e-39, 1.73069e-39, 1.73069e-39, 1.73069e-39, 1.73069e-39, 1.73069e-39, 1.73069e-39, 1.73069e-39, 5.56939e-12, 1.73069e-39, 3.02025e-14, 1.73069e-39, 3.30614e-13, 1.73069e-39, 9.54112e-10, 1.73069e-39, 1.73069e-39, 1.73069e-39
0.292583, 0, 1.3591e-09, 1.76163e-38, 1.41421, -1.3591e-09, 1.76163e-38, 0, 1.76163e-38, 1.76163e-38, 1.76163e-38, 1.76163e-38, 1.76163e-38, 1.76163e-38, 1.76163e-38, 1.76163e-38, 1.76163e-38, 1.76163e-38, 1.76163e-38, 7.89139e-12, 1.76163e-38, 4.52543e-14, 1.76163e-38, 4.97044e-13, 1.76163e-38, 1.35066e-09, 1.76163e-38, 1.76163e-38, 1.76163e-38
0.300469, 0, 1.91472e-09, 1.62668e-37, 1.41421, -1.91472e-09, 1.62668e-37, 0, 1.62668e-37, 1.62668e-37, 1.62668e-37, 1.62668e-37, 1.62668e-37, 1.62668e-37, 1.62668e-37, 1.62668e-37, 1.62668e-37, 1.62668e-37, 1.62668e-37, 1.1129e-11, 1.62668e-37, 6.77634e-14, 1.62668e-37, 7.45516e-13, 1.62668e-37, 1.90277e-09, 1.62668e-37, 1.62668e-37, 1.62668e-37
0.308354, 0, 2.68448e-09, 1.37e-36, 1.41421, -2.68448e-09, 1.37e-36, 0, 1.37e-36, 1.37e-36, 1.37e-36, 1.37e-36, 1.37e-36, 1.37e-36, 1.37e-36, 1.37e-36, 1.37e-36, 1.37e-36, 1.37e-36, 1.5622e-11, 1.37e-36, 1.01428e-13, 1.37e-36, 1.11574e-12, 1.37e-36, 2.66765e-09, 1.37e-36, 1.37e-36, 1.37e-36
0.31624, 0, 3.74566e-09, 1.05776e-35, 1.41421, -3.74566e-09, 1.05776e-35, 0, 1.05776e-35, 1.05776e-35, 1.05776e-35, 1.05776e-35, 1.05776e-35, 1.05776e-35, 1.05776e-35, 1.05776e-35, 1.05776e-35, 1.05776e-35, 1.05776e-35, 2.18276e-11, 1.05776e-35, 1.51788e-13, 1.05776e-35, 1.66636e-12, 1.05776e-35, 3.72201e-09, 1.05776e-35, 1.05776e-35, 1.05776e-35
0.324126, 0, 5.20135e-09, 7.52216e-35, 1.41421, -5.20135e-09, 7.52216e-35, 0, 7.52216e-35, 7.52216e-35, 7.52216e-35, 7.52216e-35, 7.52216e-35, 7.52216e-35, 7.52216e-35, 7.52216e-35, 7.52216e-35, 7.52216e-35, 7.52216e-35, 3.03591e-11, 7.52216e-35, 2.27149e-13, 7.52216e-35, 2.4838e-12, 7.52216e-35, 5.16828e-09, 7.52216e-35, 7.52216e-35, 7.52216e-35
0.332012, 0, 7.18838e-09, 5.08343e-34, 1.41421, -7.18838e-09, 5.08343e-34, 0, 5.08343e-34, 5.08343e-34, 5.08343e-34, 5.08343e-34, 5.08343e-34, 5.08343e-34, 5.08343e-34, 5.08343e-34, 5.08343e-34, 5.08343e-34, 5.08343e-34, 4.20342e-11, 5.08343e-34, 3.39954e-13, 5.08343e-34, 3.69524e-12, 5.08343e-34, 7.14232e-09, 5.08343e-34, 5.08343e-34, 5.08343e-34
0.339898, 0, 9.88749e-09, 3.38246e-33, 1.41421, -9.88749e-09, 3.38246e-33, 0, 3.38246e-33, 3.38246e-33, 3.38246e-33, 3.38246e-33, 3.38246e-33, 3.38246e-33, 3.38246e-33, 3.38246e-33, 3.38246e-33, 3.38246e-33, 3.38246e-33, 5.79388e-11, 3.38246e-33, 5.08855e-13, 3.38246e-33, 5.48752e-12, 3.38246e-33, 9.82355e-09, 3.38246e-33, 3.38246e-33, 3.38246e-33
0.347784, 0, 1.3536e-08, 2.12118e-32, 1.41421, -1.3536e-08, 2.12118e-32, 0, 2.12118e-32, 2.12118e-32, 2.12118e-32, 2.12118e-32, 2.12118e-32, 2.12118e-32, 2.12118e-32, 2.12118e-32, 2.12118e-32, 2.12118e-32, 2.12118e-32, 7.95084e-11, 2.12118e-32, 7.61774e-13, 2.12118e-32, 8.13453e-12, 2.12118e-32, 1.34476e-08, 2.12118e-32, 2.12118e-32, 2.12118e-32
0.355669, 0, 1.84439e-08, 1.24226e-31, 1.41421, -1.84439e-08, 1.24226e-31, 0, 1.24226e-31, 1.24226e-31, 1.24226e-31, 1.24226e-31, 1.24226e-31, 1.24226e-31, 1.24226e-31, 1.24226e-31, 1.24226e-31, 1.24226e-31, 1.24226e-31, 1.08632e-10, 1.24226e-31, 1.14048e-12, 1.24226e-31, 1.20369e-11, 1.24226e-31, 1.83221e-08, 1.24226e-31, 1.24226e-31, 1.24226e-31
