   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_280.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.113079, 0, 1.48488e-15, 0, 1.41421, -1.48488e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72181e-17, 0, 0, 3.48983e-20, 0, 6.41449e-16, 0, 8.26174e-16, 0, 0
0.120946, 0, 2.6315e-15, 0, 1.41421, -2.6315e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02102e-17, 0, 0, 6.24385e-20, 0, 1.15165e-15, 0, 1.44957e-15, 0, 0
0.128813, 0, 4.63198e-15, 0, 1.41421, -4.63198e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26239e-17, 0, 0, 1.10933e-19, 0, 2.05419e-15, 0, 2.52505e-15, 0, 0
0.13668, 0, 8.09884e-15, 0, 1.41421, -8.09884e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.10137e-17, 0, 0, 1.95737e-19, 0, 3.64052e-15, 0, 4.36711e-15, 0, 0
0.144547, 0, 1.40674e-14, 0, 1.41421, -1.40674e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56298e-16, 0, 0, 3.43031e-19, 0, 6.41114e-15, 0, 7.49966e-15, 0, 0
0.152415, 0, 2.42765e-14, 0, 1.41421, -2.42765e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66536e-16, 0, 0, 5.97143e-19, 0, 1.12202e-14, 0, 1.27892e-14, 0, 0
0.160282, 0, 4.16269e-14, 0, 1.41421, -4.16269e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.51377e-16, 0, 0, 1.03264e-18, 0, 1.95161e-14, 0, 2.16583e-14, 0, 0
0.168149, 0, 7.09281e-14, 0, 1.41421, -7.09281e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.59154e-16, 0, 0, 1.7741e-18, 0, 3.37411e-14, 0, 3.64262e-14, 0, 0
0.176016, 0, 1.20104e-13, 0, 1.41421, -1.20104e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26809e-15, 0, 0, 3.0284e-18, 0, 5.7987e-14, 0, 6.08458e-14, 0, 0
0.183883, 0, 2.02135e-13, 0, 1.41421, -2.02135e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10388e-15, 0, 0, 5.13677e-18, 0, 9.90782e-14, 0, 1.00948e-13, 0, 0
0.19175, 0, 3.38146e-13, 0, 1.41421, -3.38146e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4671e-15, 0, 0, 8.65874e-18, 0, 1.68315e-13, 0, 1.66356e-13, 0, 0
0.199618, 0, 5.62318e-13, 0, 1.41421, -5.62318e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.67549e-15, 0, 0, 1.45061e-17, 0, 2.84316e-13, 0, 2.72312e-13, 0, 0
0.207485, 0, 9.29642e-13, 0, 1.41421, -9.29642e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.22894e-15, 0, 0, 2.41564e-17, 0, 4.77592e-13, 0, 4.42796e-13, 0, 0
0.215352, 0, 1.52808e-12, 0, 1.41421, -1.52808e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49083e-14, 0, 0, 3.99901e-17, 0, 7.97872e-13, 0, 7.15264e-13, 0, 0
0.223219, 0, 2.49759e-12, 0, 1.41421, -2.49759e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3925e-14, 0, 0, 6.58237e-17, 0, 1.32579e-12, 0, 1.14781e-12, 0, 0
0.231086, 0, 4.05961e-12, 0, 1.41421, -4.05961e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8145e-14, 0, 0, 1.07741e-16, 0, 2.19145e-12, 0, 1.82991e-12, 0, 0
0.238953, 0, 6.56276e-12, 0, 1.41421, -6.56276e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.04228e-14, 0, 0, 1.75399e-16, 0, 3.60375e-12, 0, 2.89841e-12, 0, 0
0.24682, 0, 1.05531e-11, 0, 1.41421, -1.05531e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.50951e-14, 0, 0, 2.84057e-16, 0, 5.89661e-12, 0, 4.56115e-12, 0, 0
0.254688, 0, 1.68823e-11, 0, 1.41421, -1.68823e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48705e-13, 0, 0, 4.57729e-16, 0, 9.60147e-12, 0, 7.13162e-12, 0, 0
0.262555, 0, 2.68717e-11, 0, 1.41421, -2.68717e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31055e-13, 0, 0, 7.34078e-16, 0, 1.55606e-11, 0, 1.10793e-11, 0, 0
0.270422, 0, 4.25644e-11, 0, 1.41421, -4.25644e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56737e-13, 0, 0, 1.17199e-15, 0, 2.51039e-11, 0, 1.71025e-11, 0, 0
0.278289, 0, 6.71062e-11, 0, 1.41421, -6.71062e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.47314e-13, 0, 0, 1.86331e-15, 0, 4.03242e-11, 0, 2.62328e-11, 0, 0
0.286156, 0, 1.05324e-10, 3.37713e-43, 1.41421, -1.05324e-10, 3.37713e-43, 0, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 8.34444e-13, 3.37713e-43, 3.37713e-43, 2.95096e-15, 3.37713e-43, 6.45035e-11, 3.37713e-43, 3.99833e-11, 3.37713e-43, 3.37713e-43
0.294023, 0, 1.64602e-10, 5.7187e-42, 1.41421, -1.64602e-10, 5.7187e-42, 0, 5.7187e-42, 5.7187e-42, 5.7187e-42, 5.7187e-42, 5.7187e-42, 5.7187e-42, 5.7187e-42, 5.7187e-42, 5.7187e-42, 5.7187e-42, 1.26429e-12, 5.7187e-42, 5.7187e-42, 4.65708e-15, 5.7187e-42, 1.02775e-10, 5.7187e-42, 6.05584e-11, 5.7187e-42, 5.7187e-42
