   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_77.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.403081, 0, 8.63929e-13, 1.02295e-42, 1.41421, -8.63929e-13, 1.02295e-42, 0, 1.02295e-42, 1.02295e-42, 1.02295e-42, 1.02295e-42, 1.02295e-42, 1.02295e-42, 1.02295e-42, 1.02295e-42, 1.02295e-42, 1.02295e-42, 1.02295e-42, 1.02295e-42, 6.55846e-18, 9.54611e-17, 1.02295e-42, 8.63827e-13, 1.02295e-42, 1.02295e-42, 1.02295e-42
0.411006, 0, 1.76813e-12, 1.50261e-41, 1.41421, -1.76813e-12, 1.50261e-41, 0, 1.50261e-41, 1.50261e-41, 1.50261e-41, 1.50261e-41, 1.50261e-41, 1.50261e-41, 1.50261e-41, 1.50261e-41, 1.50261e-41, 1.50261e-41, 1.50261e-41, 1.50261e-41, 1.36559e-17, 1.99909e-16, 1.50261e-41, 1.76791e-12, 1.50261e-41, 1.50261e-41, 1.50261e-41
0.418931, 0, 3.56708e-12, 1.93629e-40, 1.41421, -3.56708e-12, 1.93629e-40, 0, 1.93629e-40, 1.93629e-40, 1.93629e-40, 1.93629e-40, 1.93629e-40, 1.93629e-40, 1.93629e-40, 1.93629e-40, 1.93629e-40, 1.93629e-40, 1.93629e-40, 1.93629e-40, 2.80931e-17, 4.12923e-16, 1.93629e-40, 3.56664e-12, 1.93629e-40, 1.93629e-40, 1.93629e-40
0.426855, 0, 7.09439e-12, 2.23516e-39, 1.41421, -7.09439e-12, 2.23516e-39, 0, 2.23516e-39, 2.23516e-39, 2.23516e-39, 2.23516e-39, 2.23516e-39, 2.23516e-39, 2.23516e-39, 2.23516e-39, 2.23516e-39, 2.23516e-39, 2.23516e-39, 2.23516e-39, 5.71363e-17, 8.41469e-16, 2.23516e-39, 7.09349e-12, 2.23516e-39, 2.23516e-39, 2.23516e-39
0.43478, 0, 1.39109e-11, 2.33041e-38, 1.41421, -1.39109e-11, 2.33041e-38, 0, 2.33041e-38, 2.33041e-38, 2.33041e-38, 2.33041e-38, 2.33041e-38, 2.33041e-38, 2.33041e-38, 2.33041e-38, 2.33041e-38, 2.33041e-38, 2.33041e-38, 2.33041e-38, 1.14971e-16, 1.6922e-15, 2.33041e-38, 1.3909e-11, 2.33041e-38, 2.33041e-38, 2.33041e-38
0.442704, 0, 2.68943e-11, 2.20761e-37, 1.41421, -2.68943e-11, 2.20761e-37, 0, 2.20761e-37, 2.20761e-37, 2.20761e-37, 2.20761e-37, 2.20761e-37, 2.20761e-37, 2.20761e-37, 2.20761e-37, 2.20761e-37, 2.20761e-37, 2.20761e-37, 2.20761e-37, 2.29101e-16, 3.35929e-15, 2.20761e-37, 2.68907e-11, 2.20761e-37, 2.20761e-37, 2.20761e-37
0.450629, 0, 5.12702e-11, 1.91081e-36, 1.41421, -5.12702e-11, 1.91081e-36, 0, 1.91081e-36, 1.91081e-36, 1.91081e-36, 1.91081e-36, 1.91081e-36, 1.91081e-36, 1.91081e-36, 1.91081e-36, 1.91081e-36, 1.91081e-36, 1.91081e-36, 1.91081e-36, 4.52565e-16, 6.58549e-15, 1.91081e-36, 5.12631e-11, 1.91081e-36, 1.91081e-36, 1.91081e-36
0.458554, 0, 9.63832e-11, 1.51909e-35, 1.41421, -9.63832e-11, 1.51909e-35, 0, 1.51909e-35, 1.51909e-35, 1.51909e-35, 1.51909e-35, 1.51909e-35, 1.51909e-35, 1.51909e-35, 1.51909e-35, 1.51909e-35, 1.51909e-35, 1.51909e-35, 1.51909e-35, 8.87328e-16, 1.27551e-14, 1.51909e-35, 9.63696e-11, 1.51909e-35, 1.51909e-35, 1.51909e-35
0.466478, 0, 1.7869e-10, 1.11455e-34, 1.41421, -1.7869e-10, 1.11455e-34, 0, 1.11455e-34, 1.11455e-34, 1.11455e-34, 1.11455e-34, 1.11455e-34, 1.11455e-34, 1.11455e-34, 1.11455e-34, 1.11455e-34, 1.11455e-34, 1.11455e-34, 1.11455e-34, 1.7291e-15, 2.44224e-14, 1.11455e-34, 1.78664e-10, 1.11455e-34, 1.11455e-34, 1.11455e-34
0.474403, 0, 3.26733e-10, 7.84148e-34, 1.41421, -3.26733e-10, 7.84148e-34, 0, 7.84148e-34, 7.84148e-34, 7.84148e-34, 7.84148e-34, 7.84148e-34, 7.84148e-34, 7.84148e-34, 7.84148e-34, 7.84148e-34, 7.84148e-34, 7.84148e-34, 7.84148e-34, 3.35359e-15, 4.62625e-14, 7.84148e-34, 3.26683e-10, 7.84148e-34, 7.84148e-34, 7.84148e-34
