   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_560.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.441556, 0, 4.44986e-07, 1.81252e-10, 1.41421, -4.44986e-07, 1.81252e-10, 1.81312e-10, 2.10833e-10, 1.81425e-10, 2.14765e-10, 5.49645e-10, 2.64433e-09, 1.86446e-10, 2.92933e-10, 3.86525e-10, 3.24722e-10, 1.40056e-09, 4.41321e-09, 1.98962e-10, 1.82482e-10, 4.65061e-08, 1.8737e-10, 2.5606e-09, 1.81253e-10, 3.87261e-07, 1.81252e-10, 3.66077e-10
0.44941, 0, 5.75945e-07, 3.77452e-10, 1.41421, -5.75945e-07, 3.77452e-10, 3.77576e-10, 4.38715e-10, 3.77811e-10, 4.46858e-10, 1.1404e-09, 5.47853e-09, 3.88209e-10, 6.05417e-10, 8.02576e-10, 6.74581e-10, 2.90266e-09, 5.78985e-09, 4.1413e-10, 3.79999e-10, 6.70617e-08, 3.92183e-10, 3.69951e-09, 3.77454e-10, 4.90608e-07, 3.77452e-10, 7.60228e-10
0.457265, 0, 7.46076e-07, 7.47448e-10, 1.41421, -7.46076e-07, 7.47448e-10, 7.47692e-10, 8.68235e-10, 7.48155e-10, 8.84289e-10, 2.25168e-09, 1.08048e-08, 7.68656e-10, 1.19241e-09, 1.58563e-09, 1.33327e-09, 5.72618e-09, 7.64748e-09, 8.19762e-10, 7.52469e-10, 9.63628e-08, 7.79305e-10, 5.36743e-09, 7.47452e-10, 6.19388e-07, 7.47448e-10, 1.50213e-09
0.465119, 0, 9.68573e-07, 1.43447e-09, 1.41421, -9.68573e-07, 1.43447e-09, 1.43494e-09, 1.6655e-09, 1.43583e-09, 1.69621e-09, 4.31162e-09, 2.06711e-08, 1.47504e-09, 2.30598e-09, 3.03766e-09, 2.55497e-09, 1.09573e-08, 1.02032e-08, 1.57279e-09, 1.44408e-09, 1.37973e-07, 1.49936e-09, 7.83878e-09, 1.43448e-09, 7.79439e-07, 1.43447e-09, 2.87796e-09
0.472974, 0, 1.26237e-06, 2.69136e-09, 1.41421, -1.26237e-06, 2.69136e-09, 2.69223e-09, 3.12368e-09, 2.69389e-09, 3.18114e-09, 8.07529e-09, 3.86883e-08, 2.76726e-09, 4.59947e-09, 5.69135e-09, 4.78812e-09, 2.05111e-08, 1.38001e-08, 2.95018e-09, 2.70933e-09, 1.96843e-07, 2.81849e-09, 1.15264e-08, 2.69137e-09, 9.77958e-07, 2.69136e-09, 5.39251e-09
0.480828, 0, 1.65686e-06, 4.95765e-09, 1.41421, -1.65686e-06, 4.95765e-09, 4.95926e-09, 5.75233e-09, 4.9623e-09, 5.85795e-09, 1.48542e-08, 7.11261e-08, 5.09718e-09, 1.11379e-08, 1.04721e-08, 8.81185e-09, 3.77133e-08, 1.89871e-08, 5.43342e-09, 4.99069e-09, 2.79833e-07, 5.19997e-09, 1.70909e-08, 4.95768e-09, 1.22389e-06, 4.95765e-09, 9.92282e-09
0.488683, 0, 2.19205e-06, 8.9861e-09, 1.41421, -2.19205e-06, 8.9861e-09, 8.98902e-09, 1.04239e-08, 8.99452e-09, 1.0615e-08, 2.68921e-08, 1.28706e-07, 9.23856e-09, 2.32975e-08, 1.89636e-08, 1.59596e-08, 6.82516e-08, 2.66495e-08, 9.84692e-09, 9.04588e-09, 3.96424e-07, 9.43807e-09, 2.55736e-08, 8.98615e-09, 1.52852e-06, 8.9861e-09, 1.79697e-08
0.496538, 0, 2.93029e-06, 1.60462e-08, 1.41421, -2.93029e-06, 1.60462e-08, 1.60514e-08, 1.86095e-08, 1.60612e-08, 1.89502e-08, 4.7969e-08, 2.29482e-07, 1.64962e-08, 4.56173e-08, 3.3834e-08, 2.84784e-08, 1.21704e-07, 3.82168e-08, 1.75808e-08, 1.61527e-08, 5.60083e-07, 1.6874e-08, 3.86198e-08, 1.60463e-08, 1.90628e-06, 1.60462e-08, 3.2062e-08
0.504392, 0, 3.965e-06, 2.82461e-08, 1.41421, -3.965e-06, 2.82461e-08, 2.82552e-08, 3.27515e-08, 2.82725e-08, 3.33504e-08, 8.43549e-08, 4.0339e-07, 2.90372e-08, 8.57834e-08, 5.95106e-08, 5.00975e-08, 2.13955e-07, 5.59895e-08, 3.09435e-08, 2.84334e-08, 7.88339e-07, 2.97381e-08, 5.88248e-08, 2.82462e-08, 2.37601e-06, 2.82461e-08, 5.63962e-08
0.512247, 0, 5.44045e-06, 4.90343e-08, 1.41421, -5.44045e-06, 4.90343e-08, 4.90501e-08, 5.6844e-08, 4.908e-08, 5.7882e-08, 1.46293e-07, 6.99309e-07, 5.04055e-08, 1.57667e-07, 1.03228e-07, 8.69117e-08, 3.70943e-07, 8.36469e-08, 5.37099e-08, 4.93589e-08, 1.1062e-06, 5.16835e-08, 9.02663e-08, 4.90345e-08, 2.96275e-06, 4.90343e-08, 9.78298e-08
