   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_123.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.13904, 0, 4.40631e-14, 0, 1.41421, -4.40631e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.84404e-16, 0, 0, 3.68487e-19, 7.1015e-16, 0, 4.29681e-14, 0, 0, 0
0.146904, 0, 7.35644e-14, 0, 1.41421, -7.35644e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.41476e-16, 0, 0, 6.26942e-19, 1.21937e-15, 0, 7.1703e-14, 0, 0, 0
0.154768, 0, 1.22018e-13, 0, 1.41421, -1.22018e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06347e-15, 0, 0, 1.06015e-18, 2.08182e-15, 0, 1.18872e-13, 0, 0, 0
0.162632, 0, 2.01079e-13, 0, 1.41421, -2.01079e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75164e-15, 0, 0, 1.78189e-18, 3.53434e-15, 0, 1.95791e-13, 0, 0, 0
0.170496, 0, 3.29243e-13, 0, 1.41421, -3.29243e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86653e-15, 0, 0, 2.97718e-18, 5.96749e-15, 0, 3.20406e-13, 0, 0, 0
0.17836, 0, 5.35663e-13, 0, 1.41421, -5.35663e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66104e-15, 0, 0, 4.9451e-18, 1.0021e-14, 0, 5.20976e-13, 0, 0, 0
0.186224, 0, 8.6599e-13, 0, 1.41421, -8.6599e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.5308e-15, 0, 0, 8.16652e-18, 1.67381e-14, 0, 8.41713e-13, 0, 0, 0
0.194088, 0, 1.39123e-12, 0, 1.41421, -1.39123e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20906e-14, 0, 0, 1.34102e-17, 2.78109e-14, 0, 1.35131e-12, 0, 0, 0
0.201952, 0, 2.22108e-12, 0, 1.41421, -2.22108e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92895e-14, 0, 0, 2.18991e-17, 4.59697e-14, 0, 2.1558e-12, 0, 0, 0
0.209816, 0, 3.52394e-12, 0, 1.41421, -3.52394e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05826e-14, 0, 0, 3.55685e-17, 7.55996e-14, 0, 3.41772e-12, 0, 0, 0
0.217679, 0, 5.55656e-12, 0, 1.41421, -5.55656e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.81866e-14, 0, 0, 5.7466e-17, 1.23708e-13, 0, 5.38461e-12, 0, 0, 0
0.225543, 0, 8.7079e-12, 0, 1.41421, -8.7079e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.5455e-14, 0, 0, 9.23703e-17, 2.01442e-13, 0, 8.43091e-12, 0, 0, 0
0.233407, 0, 1.35633e-11, 0, 1.41421, -1.35633e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17429e-13, 0, 0, 1.47743e-16, 3.26457e-13, 0, 1.31193e-11, 0, 0, 0
0.241271, 0, 2.09981e-11, 0, 1.41421, -2.09981e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81638e-13, 0, 0, 2.3519e-16, 5.26588e-13, 0, 2.02896e-11, 0, 0, 0
0.249135, 0, 3.23124e-11, 0, 1.41421, -3.23124e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79249e-13, 0, 0, 3.72704e-16, 8.45555e-13, 0, 3.11872e-11, 0, 0, 0
0.256999, 0, 4.94257e-11, 0, 1.41421, -4.94257e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26724e-13, 0, 0, 5.88101e-16, 1.35175e-12, 0, 4.76466e-11, 0, 0, 0
0.264863, 0, 7.51527e-11, 0, 1.41421, -7.51527e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.4817e-13, 0, 0, 9.24266e-16, 2.15178e-12, 0, 7.23518e-11, 0, 0, 0
0.272727, 0, 1.13596e-10, 8.40779e-45, 1.41421, -1.13596e-10, 8.40779e-45, 0, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 9.78657e-13, 8.40779e-45, 8.40779e-45, 1.4472e-15, 3.41123e-12, 8.40779e-45, 1.09205e-10, 8.40779e-45, 8.40779e-45, 8.40779e-45
0.280591, 0, 1.70696e-10, 1.52742e-43, 1.41421, -1.70696e-10, 1.52742e-43, 0, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.52742e-43, 1.46889e-12, 1.52742e-43, 1.52742e-43, 2.25833e-15, 5.38653e-12, 1.52742e-43, 1.63839e-10, 1.52742e-43, 1.52742e-43, 1.52742e-43
0.288455, 0, 2.55006e-10, 2.2673e-42, 1.41421, -2.55006e-10, 2.2673e-42, 0, 2.2673e-42, 2.2673e-42, 2.2673e-42, 2.2673e-42, 2.2673e-42, 2.2673e-42, 2.2673e-42, 2.2673e-42, 2.2673e-42, 2.2673e-42, 2.1917e-12, 2.2673e-42, 2.2673e-42, 3.51339e-15, 8.47364e-12, 2.2673e-42, 2.44337e-10, 2.2673e-42, 2.2673e-42, 2.2673e-42
0.296318, 0, 3.78758e-10, 3.0701e-41, 1.41421, -3.78758e-10, 3.0701e-41, 0, 3.0701e-41, 3.0701e-41, 3.0701e-41, 3.0701e-41, 3.0701e-41, 3.0701e-41, 3.0701e-41, 3.0701e-41, 3.0701e-41, 3.0701e-41, 3.25107e-12, 3.0701e-41, 3.0701e-41, 5.45136e-15, 1.32824e-11, 3.0701e-41, 3.62219e-10, 3.0701e-41, 3.0701e-41, 3.0701e-41
0.304182, 0, 5.59346e-10, 3.73104e-40, 1.41421, -5.59346e-10, 3.73104e-40, 0, 3.73104e-40, 3.73104e-40, 3.73104e-40, 3.73104e-40, 3.73104e-40, 3.73104e-40, 3.73104e-40, 3.73104e-40, 3.73104e-40, 3.73104e-40, 4.7945e-12, 3.73104e-40, 3.73104e-40, 8.43899e-15, 2.07496e-11, 3.73104e-40, 5.33794e-10, 3.73104e-40, 3.73104e-40, 3.73104e-40
0.312046, 0, 8.21355e-10, 4.08468e-39, 1.41421, -8.21355e-10, 4.08468e-39, 0, 4.08468e-39, 4.08468e-39, 4.08468e-39, 4.08468e-39, 4.08468e-39, 4.08468e-39, 4.08468e-39, 4.08468e-39, 4.08468e-39, 4.08468e-39, 7.02991e-12, 4.08468e-39, 4.08468e-39, 1.30392e-14, 3.23117e-11, 4.08468e-39, 7.82e-10, 4.08468e-39, 4.08468e-39, 4.08468e-39
0.31991, 0, 1.19933e-09, 4.04593e-38, 1.41421, -1.19933e-09, 4.04593e-38, 0, 4.04593e-38, 4.04593e-38, 4.04593e-38, 4.04593e-38, 4.04593e-38, 4.04593e-38, 4.04593e-38, 4.04593e-38, 4.04593e-38, 4.04593e-38, 1.02487e-11, 4.04593e-38, 4.04593e-38, 2.0117e-14, 5.01667e-11, 4.04593e-38, 1.1389e-09, 4.04593e-38, 4.04593e-38, 4.04593e-38
0.327774, 0, 1.74156e-09, 3.64477e-37, 1.41421, -1.74156e-09, 3.64477e-37, 0, 3.64477e-37, 3.64477e-37, 3.64477e-37, 3.64477e-37, 3.64477e-37, 3.64477e-37, 3.64477e-37, 3.64477e-37, 3.64477e-37, 3.64477e-37, 1.48569e-11, 3.64477e-37, 3.64477e-37, 3.10018e-14, 7.76726e-11, 3.64477e-37, 1.649e-09, 3.64477e-37, 3.64477e-37, 3.64477e-37
0.335638, 0, 2.5151e-09, 3.00201e-36, 1.41421, -2.5151e-09, 3.00201e-36, 0, 3.00201e-36, 3.00201e-36, 3.00201e-36, 3.00201e-36, 3.00201e-36, 3.00201e-36, 3.00201e-36, 3.00201e-36, 3.00201e-36, 3.00201e-36, 2.14163e-11, 3.00201e-36, 3.00201e-36, 4.77394e-14, 1.1995e-10, 3.00201e-36, 2.37369e-09, 3.00201e-36, 3.00201e-36, 3.00201e-36
0.343502, 0, 3.61271e-09, 2.27165e-35, 1.41421, -3.61271e-09, 2.27165e-35, 0, 2.27165e-35, 2.27165e-35, 2.27165e-35, 2.27165e-35, 2.27165e-35, 2.27165e-35, 2.27165e-35, 2.27165e-35, 2.27165e-35, 2.27165e-35, 3.07008e-11, 2.27165e-35, 2.27165e-35, 7.34802e-14, 1.848e-10, 2.27165e-35, 3.39713e-09, 2.27165e-35, 2.27165e-35, 2.27165e-35
0.351366, 0, 5.16189e-09, 1.58651e-34, 1.41421, -5.16189e-09, 1.58651e-34, 0, 1.58651e-34, 1.58651e-34, 1.58651e-34, 1.58651e-34, 1.58651e-34, 1.58651e-34, 1.58651e-34, 1.58651e-34, 1.58651e-34, 1.58651e-34, 4.37696e-11, 1.58651e-34, 1.58651e-34, 1.13079e-13, 2.84081e-10, 1.58651e-34, 4.83393e-09, 1.58651e-34, 1.58651e-34, 1.58651e-34
0.35923, 0, 7.33715e-09, 1.08251e-33, 1.41421, -7.33715e-09, 1.08251e-33, 0, 1.08251e-33, 1.08251e-33, 1.08251e-33, 1.08251e-33, 1.08251e-33, 1.08251e-33, 1.08251e-33, 1.08251e-33, 1.08251e-33, 1.08251e-33, 6.20641e-11, 1.08251e-33, 1.08251e-33, 1.74016e-13, 4.35801e-10, 1.08251e-33, 6.83911e-09, 1.08251e-33, 1.08251e-33, 1.08251e-33
0.367094, 0, 1.03763e-08, 7.1291e-33, 1.41421, -1.03763e-08, 7.1291e-33, 0, 7.1291e-33, 7.1291e-33, 7.1291e-33, 7.1291e-33, 7.1291e-33, 7.1291e-33, 7.1291e-33, 7.1291e-33, 7.1291e-33, 7.1291e-33, 8.75366e-11, 7.1291e-33, 7.1291e-33, 2.67822e-13, 6.67259e-10, 7.1291e-33, 9.62121e-09, 7.1291e-33, 7.1291e-33, 7.1291e-33
0.374957, 0, 1.46018e-08, 4.4091e-32, 1.41421, -1.46018e-08, 4.4091e-32, 0, 4.4091e-32, 4.4091e-32, 4.4091e-32, 4.4091e-32, 4.4091e-32, 4.4091e-32, 4.4091e-32, 4.4091e-32, 4.4091e-32, 4.4091e-32, 1.22815e-10, 4.4091e-32, 4.4091e-32, 4.12257e-13, 1.01976e-09, 4.4091e-32, 1.34588e-08, 4.4091e-32, 4.4091e-32, 4.4091e-32
0.382821, 0, 2.04494e-08, 2.54817e-31, 1.41421, -2.04494e-08, 2.54817e-31, 0, 2.54817e-31, 2.54817e-31, 2.54817e-31, 2.54817e-31, 2.54817e-31, 2.54817e-31, 2.54817e-31, 2.54817e-31, 2.54817e-31, 2.54817e-31, 1.71422e-10, 2.54817e-31, 2.54817e-31, 6.34641e-13, 1.55565e-09, 2.54817e-31, 1.87217e-08, 2.54817e-31, 2.54817e-31, 2.54817e-31
0.390685, 0, 2.85058e-08, 1.3777e-30, 1.41421, -2.85058e-08, 1.3777e-30, 0, 1.3777e-30, 1.3777e-30, 1.3777e-30, 1.3777e-30, 1.3777e-30, 1.3777e-30, 1.3777e-30, 1.3777e-30, 1.3777e-30, 1.3777e-30, 2.38049e-10, 1.3777e-30, 1.3777e-30, 9.76935e-13, 2.36887e-09, 1.3777e-30, 2.58979e-08, 1.3777e-30, 1.3777e-30, 1.3777e-30
0.398549, 0, 3.95583e-08, 6.98787e-30, 1.41421, -3.95583e-08, 6.98787e-30, 0, 6.98787e-30, 6.98787e-30, 6.98787e-30, 6.98787e-30, 6.98787e-30, 6.98787e-30, 6.98787e-30, 6.98787e-30, 6.98787e-30, 6.98787e-30, 3.28924e-10, 6.98787e-30, 6.98787e-30, 1.50343e-12, 3.60046e-09, 6.98787e-30, 3.56274e-08, 6.98787e-30, 6.98787e-30, 6.98787e-30
0.406413, 0, 5.46604e-08, 3.33537e-29, 1.41421, -5.46604e-08, 3.33537e-29, 0, 3.33537e-29, 3.33537e-29, 3.33537e-29, 3.33537e-29, 3.33537e-29, 3.33537e-29, 3.33537e-29, 3.33537e-29, 3.33537e-29, 3.33537e-29, 4.52266e-10, 3.33537e-29, 3.33537e-29, 2.31237e-12, 5.46161e-09, 3.33537e-29, 4.87442e-08, 3.33537e-29, 3.33537e-29, 3.33537e-29
0.414277, 0, 7.52185e-08, 1.50293e-28, 1.41421, -7.52185e-08, 1.50293e-28, 0, 1.50293e-28, 1.50293e-28, 1.50293e-28, 1.50293e-28, 1.50293e-28, 1.50293e-28, 1.50293e-28, 1.50293e-28, 1.50293e-28, 1.50293e-28, 6.18872e-10, 1.50293e-28, 1.50293e-28, 3.55332e-12, 8.26726e-09, 1.50293e-28, 6.63288e-08, 1.50293e-28, 1.50293e-28, 1.50293e-28
0.422141, 0, 1.03106e-07, 6.41251e-28, 1.41421, -1.03106e-07, 6.41251e-28, 0, 6.41251e-28, 6.41251e-28, 6.41251e-28, 6.41251e-28, 6.41251e-28, 6.41251e-28, 6.41251e-28, 6.41251e-28, 6.41251e-28, 6.41251e-28, 8.42868e-10, 6.41251e-28, 6.41251e-28, 5.45312e-12, 1.24852e-08, 6.41251e-28, 8.97721e-08, 6.41251e-28, 6.41251e-28, 6.41251e-28
0.430005, 0, 1.40812e-07, 2.59807e-27, 1.41421, -1.40812e-07, 2.59807e-27, 0, 2.59807e-27, 2.59807e-27, 2.59807e-27, 2.59807e-27, 2.59807e-27, 2.59807e-27, 2.59807e-27, 2.59807e-27, 2.59807e-27, 2.59807e-27, 1.14265e-09, 2.59807e-27, 2.59807e-27, 8.35425e-12, 1.88068e-08, 2.59807e-27, 1.20855e-07, 2.59807e-27, 2.59807e-27, 2.59807e-27
0.437869, 0, 1.91645e-07, 1.00222e-26, 1.41421, -1.91645e-07, 1.00222e-26, 0, 1.00222e-26, 1.00222e-26, 1.00222e-26, 1.00222e-26, 1.00222e-26, 1.00222e-26, 1.00222e-26, 1.00222e-26, 1.00222e-26, 1.00222e-26, 1.54204e-09, 1.00222e-26, 1.00222e-26, 1.27712e-11, 2.8249e-08, 1.00222e-26, 1.61841e-07, 1.00222e-26, 1.00222e-26, 1.00222e-26
0.445733, 0, 2.59986e-07, 3.69032e-26, 1.41421, -2.59986e-07, 3.69032e-26, 0, 3.69032e-26, 3.69032e-26, 3.69032e-26, 3.69032e-26, 3.69032e-26, 3.69032e-26, 1.68643e-13, 3.69032e-26, 3.69032e-26, 3.69032e-26, 2.07184e-09, 3.69032e-26, 3.69032e-26, 1.94728e-11, 4.22988e-08, 3.69032e-26, 2.15596e-07, 3.69032e-26, 3.69032e-26, 3.69032e-26
0.453596, 0, 3.51639e-07, 1.30017e-25, 1.41421, -3.51639e-07, 1.30017e-25, 0, 1.30017e-25, 1.30017e-25, 1.30017e-25, 1.30017e-25, 1.30017e-25, 1.30017e-25, 5.33319e-13, 1.30017e-25, 1.30017e-25, 1.30017e-25, 2.77157e-09, 1.30017e-25, 1.30017e-25, 2.96014e-11, 6.31174e-08, 1.30017e-25, 2.8572e-07, 1.30017e-25, 1.30017e-25, 1.30017e-25
0.46146, 0, 4.76219e-07, 4.44563e-25, 1.41421, -4.76219e-07, 5.00311e-12, 0, 2.86127e-14, 2.54058e-14, 6.40214e-12, 3.27054e-13, 5.36958e-13, 1.72804e-14, 8.92982e-12, 1.48185e-11, 4.23893e-12, 1.82948e-09, 3.69192e-09, 6.23151e-13, 2.43417e-14, 4.48438e-11, 9.38253e-08, 1.95705e-15, 3.76769e-07, 4.44563e-25, 4.44563e-25, 1.73448e-11
0.469324, 0, 6.44862e-07, 7.10816e-10, 1.41421, -6.44862e-07, 7.26577e-10, 7.10816e-10, 7.10906e-10, 7.10896e-10, 7.30984e-10, 7.11846e-10, 7.12508e-10, 7.10871e-10, 7.37736e-10, 7.57498e-10, 7.2417e-10, 6.47413e-09, 5.60813e-09, 7.12779e-10, 7.10893e-10, 7.78496e-10, 1.39608e-07, 7.10822e-10, 4.95054e-07, 7.10816e-10, 7.10816e-10, 7.65456e-10
0.477188, 0, 8.73419e-07, 2.23545e-09, 1.41421, -8.73419e-07, 2.27384e-09, 2.23545e-09, 2.23567e-09, 2.23565e-09, 2.28457e-09, 2.23796e-09, 2.23957e-09, 2.23559e-09, 2.30009e-09, 2.34915e-09, 2.26798e-09, 1.62716e-08, 8.70501e-09, 2.24024e-09, 2.23564e-09, 2.33718e-09, 2.06938e-07, 2.23547e-09, 6.47666e-07, 2.23545e-09, 2.23545e-09, 2.36853e-09
0.485052, 0, 1.18517e-06, 5.43729e-09, 1.41421, -1.18517e-06, 5.52231e-09, 5.43729e-09, 5.43778e-09, 5.43772e-09, 5.54608e-09, 5.44285e-09, 5.44642e-09, 5.43759e-09, 5.57941e-09, 5.6891e-09, 5.50932e-09, 3.65247e-08, 1.39492e-08, 5.44788e-09, 5.43771e-09, 5.58949e-09, 3.05671e-07, 5.43733e-09, 8.44201e-07, 5.43729e-09, 5.43729e-09, 5.73202e-09
0.492916, 0, 1.61415e-06, 1.20275e-08, 1.41421, -1.61415e-06, 1.22068e-08, 1.20275e-08, 1.20285e-08, 1.20284e-08, 1.22569e-08, 1.20392e-08, 1.20467e-08, 1.20281e-08, 1.23258e-08, 1.25585e-08, 1.21794e-08, 7.7592e-08, 2.31815e-08, 1.20498e-08, 1.20284e-08, 1.22541e-08, 4.50141e-07, 1.20275e-08, 1.09702e-06, 1.20275e-08, 1.20275e-08, 1.26491e-08
0.50078, 0, 2.21172e-06, 2.53417e-08, 1.41421, -2.21172e-06, 2.57082e-08, 2.53417e-08, 2.53438e-08, 2.53436e-08, 2.58106e-08, 2.53657e-08, 2.53811e-08, 2.5343e-08, 2.59491e-08, 2.6427e-08, 2.56522e-08, 1.59326e-07, 3.99002e-08, 2.53874e-08, 2.53435e-08, 2.56775e-08, 6.61282e-07, 2.53419e-08, 1.42268e-06, 2.53417e-08, 2.53417e-08, 2.6612e-08
0.508644, 0, 3.05959e-06, 5.20976e-08, 1.41421, -3.05959e-06, 5.28311e-08, 5.20976e-08, 5.21018e-08, 5.21013e-08, 5.30362e-08, 5.21456e-08, 5.21763e-08, 5.21001e-08, 5.35113e-08, 5.42701e-08, 5.27191e-08, 3.20316e-07, 7.10251e-08, 5.2189e-08, 5.21012e-08, 5.25925e-08, 9.70971e-07, 5.20979e-08, 1.84442e-06, 5.20976e-08, 5.20976e-08, 5.46405e-08
0.516508, 0, 4.27897e-06, 1.03504e-07, 1.41421, -4.27897e-06, 1.04935e-07, 1.03504e-07, 1.03512e-07, 1.03511e-07, 1.05335e-07, 1.03597e-07, 1.03657e-07, 1.03509e-07, 1.07166e-07, 1.07742e-07, 1.04716e-07, 6.26719e-07, 1.28015e-07, 1.03682e-07, 1.03511e-07, 1.04229e-07, 1.42244e-06, 1.03504e-07, 2.39379e-06, 1.03504e-07, 1.03504e-07, 1.08464e-07
0.524372, 0, 6.07112e-06, 2.01763e-07, 1.41421, -6.07112e-06, 2.04504e-07, 2.01763e-07, 2.01779e-07, 2.01777e-07, 2.0527e-07, 2.01942e-07, 2.02057e-07, 2.01772e-07, 2.09955e-07, 2.0988e-07, 2.04085e-07, 1.20394e-06, 2.33384e-07, 2.02104e-07, 2.01776e-07, 2.02821e-07, 2.08376e-06, 2.01764e-07, 3.11902e-06, 2.01763e-07, 2.01763e-07, 2.11264e-07
0.532236, 0, 8.75791e-06, 3.86194e-07, 1.41421, -8.75791e-06, 3.91351e-07, 3.86194e-07, 3.86223e-07, 3.8622e-07, 3.92793e-07, 3.86531e-07, 3.86747e-07, 3.86212e-07, 4.03365e-07, 4.01467e-07, 3.90563e-07, 2.27184e-06, 4.26829e-07, 3.86836e-07, 3.86219e-07, 3.87727e-07, 3.05542e-06, 3.86196e-07, 4.09278e-06, 3.86194e-07, 3.86194e-07, 4.04071e-07
0.540099, 0, 1.28599e-05, 7.26155e-07, 1.41421, -1.28599e-05, 7.35689e-07, 7.26155e-07, 7.2621e-07, 7.26204e-07, 7.38354e-07, 7.26778e-07, 7.27178e-07, 7.26188e-07, 7.60819e-07, 7.54392e-07, 7.34232e-07, 4.2122e-06, 7.78177e-07, 7.27343e-07, 7.26202e-07, 7.28365e-07, 4.48889e-06, 7.26159e-07, 5.42813e-06, 7.26155e-07, 7.26155e-07, 7.59205e-07
0.547963, 0, 1.9217e-05, 1.34158e-06, 1.41421, -1.9217e-05, 1.3589e-06, 1.34158e-06, 1.34168e-06, 1.34167e-06, 1.36375e-06, 1.34271e-06, 1.34344e-06, 1.34164e-06, 1.40906e-06, 1.39288e-06, 1.35626e-06, 7.67496e-06, 1.40793e-06, 1.34374e-06, 1.34167e-06, 1.34475e-06, 6.61353e-06, 1.34159e-06, 7.30369e-06, 1.34158e-06, 1.34158e-06, 1.40163e-06
0.555827, 0, 2.9178e-05, 2.43578e-06, 1.41421, -2.9178e-05, 2.46671e-06, 2.43578e-06, 2.43596e-06, 2.43594e-06, 2.47536e-06, 2.4378e-06, 2.4391e-06, 2.43589e-06, 2.56535e-06, 2.52738e-06, 2.46198e-06, 1.37446e-05, 2.5201e-06, 2.43963e-06, 2.43593e-06, 2.44029e-06, 9.77785e-06, 2.43579e-06, 1.00034e-05, 2.43578e-06, 2.43578e-06, 2.543e-06
0.563691, 0, 4.48864e-05, 4.34659e-06, 1.41421, -4.48864e-05, 4.40087e-06, 4.34659e-06, 4.3469e-06, 4.34686e-06, 4.41605e-06, 4.35014e-06, 4.35241e-06, 4.34678e-06, 4.592e-06, 4.50736e-06, 4.39258e-06, 2.41953e-05, 4.45335e-06, 4.35335e-06, 4.34685e-06, 4.35298e-06, 1.45116e-05, 4.34661e-06, 1.39783e-05, 4.34659e-06, 4.34659e-06, 4.53477e-06
0.571555, 0, 6.97071e-05, 7.62417e-06, 1.41421, -6.97071e-05, 7.71783e-06, 7.62417e-06, 7.62471e-06, 7.62465e-06, 7.74402e-06, 7.6303e-06, 7.63423e-06, 7.6245e-06, 8.08259e-06, 7.90157e-06, 7.70352e-06, 4.18707e-05, 7.7589e-06, 7.63584e-06, 7.62463e-06, 7.63318e-06, 2.16178e-05, 7.62421e-06, 1.99403e-05, 7.62417e-06, 7.62417e-06, 7.94886e-06
