   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_167.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.350729, 0, 2.11087e-13, 0, 1.41421, -2.11087e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45686e-15, 0, 0, 1.04167e-18, 1.88951e-17, 0, 2.09611e-13, 0, 0, 0
0.358595, 0, 4.25668e-13, 0, 1.41421, -4.25668e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93784e-15, 0, 0, 2.13493e-18, 3.8979e-17, 0, 4.22689e-13, 0, 0, 0
0.366461, 0, 8.46959e-13, 0, 1.41421, -8.46959e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.84556e-15, 0, 0, 4.32287e-18, 7.93854e-17, 0, 8.41029e-13, 0, 0, 0
0.374327, 0, 1.66298e-12, 0, 1.41421, -1.66298e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14779e-14, 0, 0, 8.65076e-18, 1.59658e-16, 0, 1.65133e-12, 0, 0, 0
0.382193, 0, 3.2225e-12, 1.14906e-43, 1.41421, -3.2225e-12, 1.14906e-43, 0, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 2.22428e-14, 1.14906e-43, 1.14906e-43, 1.71162e-17, 3.17163e-16, 1.14906e-43, 3.19993e-12, 1.14906e-43, 1.14906e-43, 1.14906e-43
0.39006, 0, 6.1635e-12, 2.01647e-42, 1.41421, -6.1635e-12, 2.01647e-42, 0, 2.01647e-42, 2.01647e-42, 2.01647e-42, 2.01647e-42, 2.01647e-42, 2.01647e-42, 2.01647e-42, 2.01647e-42, 2.01647e-42, 2.01647e-42, 2.01647e-42, 4.25458e-14, 2.01647e-42, 2.01647e-42, 3.34996e-17, 6.22476e-16, 2.01647e-42, 6.12029e-12, 2.01647e-42, 2.01647e-42, 2.01647e-42
0.397926, 0, 1.16368e-11, 2.89943e-41, 1.41421, -1.16368e-11, 2.89943e-41, 0, 2.89943e-41, 2.89943e-41, 2.89943e-41, 2.89943e-41, 2.89943e-41, 2.89943e-41, 2.89943e-41, 2.89943e-41, 2.89943e-41, 2.89943e-41, 2.89943e-41, 8.03366e-14, 2.89943e-41, 2.89943e-41, 6.48921e-17, 1.20738e-15, 2.89943e-41, 1.15552e-11, 2.89943e-41, 2.89943e-41, 2.89943e-41
0.405792, 0, 2.16897e-11, 3.67149e-40, 1.41421, -2.16897e-11, 3.67149e-40, 0, 3.67149e-40, 3.67149e-40, 3.67149e-40, 3.67149e-40, 3.67149e-40, 3.67149e-40, 3.67149e-40, 3.67149e-40, 3.67149e-40, 3.67149e-40, 3.67149e-40, 1.49763e-13, 3.67149e-40, 3.67149e-40, 1.24494e-16, 2.31519e-15, 3.67149e-40, 2.15375e-11, 3.67149e-40, 3.67149e-40, 3.67149e-40
0.413658, 0, 3.99143e-11, 4.17503e-39, 1.41421, -3.99143e-11, 4.17503e-39, 0, 4.17503e-39, 4.17503e-39, 4.17503e-39, 4.17503e-39, 4.17503e-39, 4.17503e-39, 4.17503e-39, 4.17503e-39, 4.17503e-39, 4.17503e-39, 4.17503e-39, 2.75666e-13, 4.17503e-39, 4.17503e-39, 2.3672e-16, 4.3906e-15, 4.17503e-39, 3.9634e-11, 4.17503e-39, 4.17503e-39, 4.17503e-39
0.421524, 0, 7.2527e-11, 4.29382e-38, 1.41421, -7.2527e-11, 4.29382e-38, 0, 4.29382e-38, 4.29382e-38, 4.29382e-38, 4.29382e-38, 4.29382e-38, 4.29382e-38, 4.29382e-38, 4.29382e-38, 4.29382e-38, 4.29382e-38, 4.29382e-38, 5.01068e-13, 4.29382e-38, 4.29382e-38, 4.46509e-16, 8.2386e-15, 4.29382e-38, 7.20172e-11, 4.29382e-38, 4.29382e-38, 4.29382e-38
