   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_7.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.316585, 0, 1.7222e-09, 1.02254e-36, 1.41421, -1.7222e-09, 0, 1.02254e-36, 1.02254e-36, 1.02254e-36, 1.02254e-36, 1.02254e-36, 1.02254e-36, 1.02254e-36, 1.02254e-36, 1.02254e-36, 1.02254e-36, 1.02254e-36, 7.14853e-11, 1.02254e-36, 1.02254e-36, 7.00625e-13, 1.02254e-36, 1.53626e-11, 1.02254e-36, 1.63465e-09, 1.02254e-36, 1.02254e-36, 1.02254e-36
0.324434, 0, 2.4612e-09, 8.66601e-36, 1.41421, -2.4612e-09, 0, 8.66601e-36, 8.66601e-36, 8.66601e-36, 8.66601e-36, 8.66601e-36, 8.66601e-36, 8.66601e-36, 8.66601e-36, 8.66601e-36, 8.66601e-36, 8.66601e-36, 1.02277e-10, 8.66601e-36, 8.66601e-36, 1.06828e-12, 8.66601e-36, 2.34133e-11, 8.66601e-36, 2.33444e-09, 8.66601e-36, 8.66601e-36, 8.66601e-36
0.332283, 0, 3.49909e-09, 6.73362e-35, 1.41421, -3.49909e-09, 0, 6.73362e-35, 6.73362e-35, 6.73362e-35, 6.73362e-35, 6.73362e-35, 6.73362e-35, 6.73362e-35, 6.73362e-35, 6.73362e-35, 6.73362e-35, 6.73362e-35, 1.45606e-10, 6.73362e-35, 6.73362e-35, 1.6283e-12, 6.73362e-35, 3.56054e-11, 6.73362e-35, 3.31625e-09, 6.73362e-35, 6.73362e-35, 6.73362e-35
0.340132, 0, 4.94908e-09, 4.81966e-34, 1.41421, -4.94908e-09, 0, 4.81966e-34, 4.81966e-34, 4.81966e-34, 4.81966e-34, 4.81966e-34, 4.81966e-34, 4.81966e-34, 4.81966e-34, 4.81966e-34, 4.81966e-34, 4.81966e-34, 2.06275e-10, 4.81966e-34, 4.81966e-34, 2.4816e-12, 4.81966e-34, 5.40364e-11, 4.81966e-34, 4.68629e-09, 4.81966e-34, 4.81966e-34, 4.81966e-34
0.347981, 0, 6.96421e-09, 3.23144e-33, 1.41421, -6.96421e-09, 0, 3.23144e-33, 3.23144e-33, 3.23144e-33, 3.23144e-33, 3.23144e-33, 3.23144e-33, 3.23144e-33, 3.23144e-33, 3.23144e-33, 3.23144e-33, 3.23144e-33, 2.9081e-10, 3.23144e-33, 3.23144e-33, 3.78217e-12, 3.23144e-33, 8.18521e-11, 3.23144e-33, 6.58777e-09, 3.23144e-33, 3.23144e-33, 3.23144e-33
0.35583, 0, 9.75025e-09, 2.15465e-32, 1.41421, -9.75025e-09, 0, 2.15465e-32, 2.15465e-32, 2.15465e-32, 2.15465e-32, 2.15465e-32, 2.15465e-32, 2.15465e-32, 2.15465e-32, 2.15465e-32, 2.15465e-32, 2.15465e-32, 4.08038e-10, 2.15465e-32, 2.15465e-32, 5.76507e-12, 2.15465e-32, 1.23763e-10, 2.15465e-32, 9.21268e-09, 2.15465e-32, 2.15465e-32, 2.15465e-32
0.36368, 0, 1.35824e-08, 1.35919e-31, 1.41421, -1.35824e-08, 0, 1.35919e-31, 1.35919e-31, 1.35919e-31, 1.35919e-31, 1.35919e-31, 1.35919e-31, 1.35919e-31, 1.35919e-31, 1.35919e-31, 1.35919e-31, 1.35919e-31, 5.6984e-10, 1.35919e-31, 1.35919e-31, 8.78878e-12, 1.35919e-31, 1.86809e-10, 1.35919e-31, 1.28169e-08, 1.35919e-31, 1.35919e-31, 1.35919e-31
0.371529, 0, 1.88266e-08, 8.01427e-31, 1.41421, -1.88266e-08, 0, 8.01427e-31, 8.01427e-31, 8.01427e-31, 8.01427e-31, 8.01427e-31, 8.01427e-31, 8.01427e-31, 8.01427e-31, 8.01427e-31, 8.01427e-31, 8.01427e-31, 7.92138e-10, 8.01427e-31, 8.01427e-31, 1.33996e-11, 8.01427e-31, 2.81493e-10, 8.01427e-31, 1.77396e-08, 8.01427e-31, 8.01427e-31, 8.01427e-31
0.379378, 0, 2.59675e-08, 4.41726e-30, 1.41421, -2.59675e-08, 0, 4.41726e-30, 4.41726e-30, 4.41726e-30, 4.41726e-30, 4.41726e-30, 4.41726e-30, 4.41726e-30, 4.41726e-30, 4.41726e-30, 4.41726e-30, 4.41726e-30, 1.09618e-09, 4.41726e-30, 4.41726e-30, 2.04285e-11, 4.41726e-30, 4.23446e-10, 4.41726e-30, 2.44274e-08, 4.41726e-30, 4.41726e-30, 4.41726e-30
0.387227, 0, 3.5643e-08, 2.28095e-29, 1.41421, -3.5643e-08, 0, 2.28095e-29, 2.28095e-29, 2.28095e-29, 2.28095e-29, 2.28095e-29, 2.28095e-29, 2.28095e-29, 2.28095e-29, 2.28095e-29, 2.28095e-29, 2.28095e-29, 1.51021e-09, 2.28095e-29, 2.28095e-29, 3.11375e-11, 2.28095e-29, 6.35875e-10, 2.28095e-29, 3.34658e-08, 2.28095e-29, 2.28095e-29, 2.28095e-29
