   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_70.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.301946, 0, 3.60436e-17, 0, 1.41421, -3.60436e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.06118e-19, 0, 0, 4.94203e-22, 1.05984e-20, 0, 3.56264e-17, 0, 0, 0
0.309785, 0, 8.86913e-17, 0, 1.41421, -8.86913e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.99308e-19, 0, 0, 1.22867e-21, 2.65651e-20, 0, 8.76642e-17, 0, 0, 0
0.317624, 0, 2.14516e-16, 0, 1.41421, -2.14516e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41696e-18, 0, 0, 3.00395e-21, 6.54383e-20, 0, 2.1203e-16, 0, 0, 0
0.325463, 0, 5.10208e-16, 0, 1.41421, -5.10208e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.74843e-18, 0, 0, 7.22574e-21, 1.58497e-19, 0, 5.04294e-16, 0, 0, 0
0.333303, 0, 1.19372e-15, 0, 1.41421, -1.19372e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34492e-17, 0, 0, 1.71071e-20, 3.77629e-19, 0, 1.17988e-15, 0, 0, 0
0.341142, 0, 2.74837e-15, 0, 1.41421, -2.74837e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09637e-17, 0, 0, 3.98779e-20, 8.85393e-19, 0, 2.71648e-15, 0, 0, 0
0.348981, 0, 6.22851e-15, 0, 1.41421, -6.22851e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.01694e-17, 0, 0, 9.15574e-20, 2.04354e-18, 0, 6.1562e-15, 0, 0, 0
0.35682, 0, 1.38978e-14, 0, 1.41421, -1.38978e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56564e-16, 0, 0, 2.07121e-19, 4.64461e-18, 0, 1.37363e-14, 0, 0, 0
0.364659, 0, 3.05389e-14, 0, 1.41421, -3.05389e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44017e-16, 0, 0, 4.61797e-19, 1.03981e-17, 0, 3.0184e-14, 0, 0, 0
0.372499, 0, 6.60997e-14, 0, 1.41421, -6.60997e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.44569e-16, 0, 0, 1.01511e-18, 2.29359e-17, 0, 6.53312e-14, 0, 0, 0
0.380338, 0, 1.40948e-13, 0, 1.41421, -1.40948e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5876e-15, 0, 0, 2.20063e-18, 4.98584e-17, 0, 1.39309e-13, 0, 0, 0
0.388177, 0, 2.96143e-13, 0, 1.41421, -2.96143e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33549e-15, 0, 0, 4.70656e-18, 1.06837e-16, 0, 2.92696e-13, 0, 0, 0
0.396016, 0, 6.13178e-13, 6.44597e-44, 1.41421, -6.13178e-13, 0, 6.44597e-44, 6.44597e-44, 6.44597e-44, 6.44597e-44, 6.44597e-44, 6.44597e-44, 6.44597e-44, 6.44597e-44, 6.44597e-44, 6.44597e-44, 6.90593e-15, 6.44597e-44, 6.44597e-44, 9.93473e-18, 2.25719e-16, 6.44597e-44, 6.06036e-13, 6.44597e-44, 6.44597e-44, 6.44597e-44
0.403855, 0, 1.25133e-12, 1.16308e-42, 1.41421, -1.25133e-12, 0, 1.16308e-42, 1.16308e-42, 1.16308e-42, 1.16308e-42, 1.16308e-42, 1.16308e-42, 1.16308e-42, 1.16308e-42, 1.16308e-42, 1.16308e-42, 1.40924e-14, 1.16308e-42, 1.16308e-42, 2.07062e-17, 4.70311e-16, 1.16308e-42, 1.23674e-12, 1.16308e-42, 1.16308e-42, 1.16308e-42
0.411695, 0, 2.51712e-12, 1.71995e-41, 1.41421, -2.51712e-12, 0, 1.71995e-41, 1.71995e-41, 1.71995e-41, 1.71995e-41, 1.71995e-41, 1.71995e-41, 1.71995e-41, 1.71995e-41, 1.71995e-41, 1.71995e-41, 2.83469e-14, 1.71995e-41, 1.71995e-41, 4.26349e-17, 9.66678e-16, 1.71995e-41, 2.48777e-12, 1.71995e-41, 1.71995e-41, 1.71995e-41
