   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_125.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0758656, 0, 3.97491e-17, 0, 1.41421, -3.97491e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67049e-19, 0, 7.22044e-22, 9.81117e-19, 0, 3.85002e-17, 0, 0, 0
0.0837392, 0, 7.46418e-17, 0, 1.41421, -7.46418e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0123e-19, 0, 1.37659e-21, 1.8772e-18, 0, 7.2262e-17, 0, 0, 0
0.0916129, 0, 1.38986e-16, 0, 1.41421, -1.38986e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.32846e-19, 0, 2.60304e-21, 3.56268e-18, 0, 1.34488e-16, 0, 0, 0
0.0994866, 0, 2.56661e-16, 0, 1.41421, -2.56661e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72177e-18, 0, 4.88272e-21, 6.70814e-18, 0, 2.48227e-16, 0, 0, 0
0.10736, 0, 4.70126e-16, 0, 1.41421, -4.70126e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15207e-18, 0, 9.08687e-21, 1.25334e-17, 0, 4.54431e-16, 0, 0, 0
0.115234, 0, 8.54258e-16, 0, 1.41421, -8.54258e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.72435e-18, 0, 1.67803e-20, 2.32408e-17, 0, 8.25276e-16, 0, 0, 0
0.123108, 0, 1.54944e-15, 0, 1.41421, -1.54944e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03756e-17, 0, 3.10144e-20, 4.31865e-17, 0, 1.49585e-15, 0, 0, 0
0.130981, 0, 2.76976e-15, 0, 1.41421, -2.76976e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8536e-17, 0, 5.63646e-20, 7.88503e-17, 0, 2.67232e-15, 0, 0, 0
0.138855, 0, 4.91373e-15, 0, 1.41421, -4.91373e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28628e-17, 0, 1.01689e-19, 1.42959e-16, 0, 4.73781e-15, 0, 0, 0
0.146729, 0, 8.65214e-15, 0, 1.41421, -8.65214e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.78257e-17, 0, 1.82145e-19, 2.57413e-16, 0, 8.33672e-15, 0, 0, 0
0.154602, 0, 1.51221e-14, 0, 1.41421, -1.51221e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00995e-16, 0, 3.23954e-19, 4.60381e-16, 0, 1.45604e-14, 0, 0, 0
0.162476, 0, 2.62371e-14, 0, 1.41421, -2.62371e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75096e-16, 0, 5.72156e-19, 8.17937e-16, 0, 2.52435e-14, 0, 0, 0
0.17035, 0, 4.51919e-14, 0, 1.41421, -4.51919e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01354e-16, 0, 1.00358e-18, 1.44374e-15, 0, 4.34459e-14, 0, 0, 0
0.178223, 0, 7.72824e-14, 0, 1.41421, -7.72824e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.14911e-16, 0, 1.74839e-18, 2.53205e-15, 0, 7.42337e-14, 0, 0, 0
0.186097, 0, 1.31221e-13, 0, 1.41421, -1.31221e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.73511e-16, 0, 3.02562e-18, 4.41282e-15, 0, 1.25931e-13, 0, 0, 0
0.193971, 0, 2.21234e-13, 0, 1.41421, -2.21234e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47133e-15, 0, 5.20141e-18, 7.64298e-15, 0, 2.12115e-13, 0, 0, 0
0.201844, 0, 3.70386e-13, 0, 1.41421, -3.70386e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46081e-15, 0, 8.88395e-18, 1.31578e-14, 0, 3.54758e-13, 0, 0, 0
0.209718, 0, 6.1579e-13, 0, 1.41421, -6.1579e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08693e-15, 0, 1.5077e-17, 2.25167e-14, 0, 5.89171e-13, 0, 0, 0
0.217592, 0, 1.01674e-12, 0, 1.41421, -1.01674e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.74038e-15, 0, 2.54272e-17, 3.8307e-14, 0, 9.71665e-13, 0, 0, 0
0.225466, 0, 1.66727e-12, 0, 1.41421, -1.66727e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10398e-14, 0, 4.26198e-17, 6.47961e-14, 0, 1.59139e-12, 0, 0, 0
0.233339, 0, 2.71546e-12, 0, 1.41421, -2.71546e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79576e-14, 0, 7.10107e-17, 1.08985e-13, 0, 2.58845e-12, 0, 0, 0
0.241213, 0, 4.3928e-12, 0, 1.41421, -4.3928e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90107e-14, 0, 1.17625e-16, 1.82299e-13, 0, 4.18138e-12, 0, 0, 0
0.249087, 0, 7.05865e-12, 0, 1.41421, -7.05865e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6549e-14, 0, 1.93738e-16, 3.03288e-13, 0, 6.70862e-12, 0, 0, 0
0.25696, 0, 1.12669e-11, 0, 1.41421, -1.12669e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.41861e-14, 0, 3.17363e-16, 5.01926e-13, 0, 1.06905e-11, 0, 0, 0
0.264834, 0, 1.78652e-11, 0, 1.41421, -1.78652e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17438e-13, 0, 5.17153e-16, 8.26418e-13, 0, 1.69208e-11, 0, 0, 0
0.272708, 0, 2.81419e-11, 0, 1.41421, -2.81419e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84667e-13, 0, 8.38512e-16, 1.35395e-12, 0, 2.66025e-11, 0, 0, 0
0.280581, 0, 4.40418e-11, 0, 1.41421, -4.40418e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88455e-13, 0, 1.35316e-15, 2.20763e-12, 0, 4.15444e-11, 0, 0, 0
0.288455, 0, 6.848e-11, 9.80909e-45, 1.41421, -6.848e-11, 9.80909e-45, 0, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 4.47602e-13, 9.80909e-45, 2.17403e-15, 3.58298e-12, 9.80909e-45, 6.44473e-11, 9.80909e-45, 9.80909e-45, 9.80909e-45
0.296329, 0, 1.05798e-10, 1.93379e-43, 1.41421, -1.05798e-10, 1.93379e-43, 0, 1.93379e-43, 1.93379e-43, 1.93379e-43, 1.93379e-43, 1.93379e-43, 1.93379e-43, 1.93379e-43, 1.93379e-43, 6.90001e-13, 1.93379e-43, 3.47866e-15, 5.78961e-12, 1.93379e-43, 9.93146e-11, 1.93379e-43, 1.93379e-43, 1.93379e-43
0.304202, 0, 1.62415e-10, 2.85164e-42, 1.41421, -1.62415e-10, 2.85164e-42, 0, 2.85164e-42, 2.85164e-42, 2.85164e-42, 2.85164e-42, 2.85164e-42, 2.85164e-42, 2.85164e-42, 2.85164e-42, 1.05674e-12, 2.85164e-42, 5.54554e-15, 9.31606e-12, 2.85164e-42, 1.52037e-10, 2.85164e-42, 2.85164e-42, 2.85164e-42
0.312076, 0, 2.47769e-10, 3.85511e-41, 1.41421, -2.47769e-10, 3.85511e-41, 0, 3.85511e-41, 3.85511e-41, 3.85511e-41, 3.85511e-41, 3.85511e-41, 3.85511e-41, 3.85511e-41, 3.85511e-41, 1.60794e-12, 3.85511e-41, 8.81115e-15, 1.49312e-11, 3.85511e-41, 2.31221e-10, 3.85511e-41, 3.85511e-41, 3.85511e-41
0.31995, 0, 3.75636e-10, 4.6762e-40, 1.41421, -3.75636e-10, 4.6762e-40, 0, 4.6762e-40, 4.6762e-40, 4.6762e-40, 4.6762e-40, 4.6762e-40, 4.6762e-40, 4.6762e-40, 4.6762e-40, 2.43093e-12, 4.6762e-40, 1.39592e-14, 2.38419e-11, 4.6762e-40, 3.49349e-10, 4.6762e-40, 4.6762e-40, 4.6762e-40
0.327823, 0, 5.66008e-10, 5.11083e-39, 1.41421, -5.66008e-10, 5.11083e-39, 0, 5.11083e-39, 5.11083e-39, 5.11083e-39, 5.11083e-39, 5.11083e-39, 5.11083e-39, 5.11083e-39, 5.11083e-39, 3.65171e-12, 5.11083e-39, 2.20604e-14, 3.79388e-11, 5.11083e-39, 5.24395e-10, 5.11083e-39, 5.11083e-39, 5.11083e-39
0.335697, 0, 8.47723e-10, 5.05435e-38, 1.41421, -8.47723e-10, 5.05435e-38, 0, 5.05435e-38, 5.05435e-38, 5.05435e-38, 5.05435e-38, 5.05435e-38, 5.05435e-38, 5.05435e-38, 5.05435e-38, 5.45088e-12, 5.05435e-38, 3.47926e-14, 6.0178e-11, 5.05435e-38, 7.82059e-10, 5.05435e-38, 5.05435e-38, 5.05435e-38
0.343571, 0, 1.26213e-09, 4.5473e-37, 1.41421, -1.26213e-09, 4.5473e-37, 0, 4.5473e-37, 4.5473e-37, 4.5473e-37, 4.5473e-37, 4.5473e-37, 4.5473e-37, 4.5473e-37, 4.5473e-37, 8.08551e-12, 4.5473e-37, 5.47859e-14, 9.51747e-11, 4.5473e-37, 1.15882e-09, 4.5473e-37, 4.5473e-37, 4.5473e-37
0.351444, 0, 1.86822e-09, 3.74095e-36, 1.41421, -1.86822e-09, 3.74095e-36, 0, 3.74095e-36, 3.74095e-36, 3.74095e-36, 3.74095e-36, 3.74095e-36, 3.74095e-36, 3.74095e-36, 3.74095e-36, 1.19192e-11, 3.74095e-36, 8.61665e-14, 1.50124e-10, 3.74095e-36, 1.70609e-09, 3.74095e-36, 3.74095e-36, 3.74095e-36
0.359318, 0, 2.74965e-09, 2.82811e-35, 1.41421, -2.74965e-09, 2.82811e-35, 0, 2.82811e-35, 2.82811e-35, 2.82811e-35, 2.82811e-35, 2.82811e-35, 2.82811e-35, 2.82811e-35, 2.82811e-35, 1.74627e-11, 2.82811e-35, 1.35414e-13, 2.36231e-10, 2.82811e-35, 2.49582e-09, 2.82811e-35, 2.82811e-35, 2.82811e-35
0.367192, 0, 4.02456e-09, 1.97377e-34, 1.41421, -4.02456e-09, 1.97377e-34, 0, 1.97377e-34, 1.97377e-34, 1.97377e-34, 1.97377e-34, 1.97377e-34, 1.97377e-34, 1.97377e-34, 1.97377e-34, 2.54292e-11, 1.97377e-34, 2.1271e-13, 3.70928e-10, 1.97377e-34, 3.62799e-09, 1.97377e-34, 1.97377e-34, 1.97377e-34
0.375066, 0, 5.85899e-09, 1.35175e-33, 1.41421, -5.85899e-09, 1.35175e-33, 0, 1.35175e-33, 1.35175e-33, 1.35175e-33, 1.35175e-33, 1.35175e-33, 1.35175e-33, 1.35175e-33, 1.35175e-33, 3.68083e-11, 1.35175e-33, 3.34059e-13, 5.81299e-10, 1.35175e-33, 5.24055e-09, 1.35175e-33, 1.35175e-33, 1.35175e-33
0.382939, 0, 8.48538e-09, 8.9026e-33, 1.41421, -8.48538e-09, 8.9026e-33, 0, 8.9026e-33, 8.9026e-33, 8.9026e-33, 8.9026e-33, 8.9026e-33, 8.9026e-33, 8.9026e-33, 8.9026e-33, 5.29643e-11, 8.9026e-33, 5.24619e-13, 9.09382e-10, 8.9026e-33, 7.5225e-09, 8.9026e-33, 8.9026e-33, 8.9026e-33
0.390813, 0, 1.2228e-08, 5.50354e-32, 1.41421, -1.2228e-08, 5.50354e-32, 0, 5.50354e-32, 5.50354e-32, 5.50354e-32, 5.50354e-32, 5.50354e-32, 5.50354e-32, 5.50354e-32, 5.50354e-32, 7.57679e-11, 5.50354e-32, 8.23925e-13, 1.42033e-09, 5.50354e-32, 1.0731e-08, 5.50354e-32, 5.50354e-32, 5.50354e-32
0.398687, 0, 1.75377e-08, 3.17939e-31, 1.41421, -1.75377e-08, 3.17939e-31, 0, 3.17939e-31, 3.17939e-31, 3.17939e-31, 3.17939e-31, 3.17939e-31, 3.17939e-31, 3.17939e-31, 3.17939e-31, 1.07768e-10, 3.17939e-31, 1.29403e-12, 2.21493e-09, 3.17939e-31, 1.52137e-08, 3.17939e-31, 3.17939e-31, 3.17939e-31
0.40656, 0, 2.50401e-08, 1.71867e-30, 1.41421, -2.50401e-08, 1.71867e-30, 0, 1.71867e-30, 1.71867e-30, 1.71867e-30, 1.71867e-30, 1.71867e-30, 1.71867e-30, 1.71867e-30, 1.71867e-30, 1.5242e-10, 1.71867e-30, 2.03221e-12, 3.44881e-09, 1.71867e-30, 2.14368e-08, 1.71867e-30, 1.71867e-30, 1.71867e-30
0.414434, 0, 3.56012e-08, 8.71753e-30, 1.41421, -3.56012e-08, 8.71753e-30, 0, 8.71753e-30, 8.71753e-30, 8.71753e-30, 8.71753e-30, 8.71753e-30, 8.71753e-30, 8.71753e-30, 8.71753e-30, 2.1438e-10, 8.71753e-30, 3.19052e-12, 5.3616e-09, 8.71753e-30, 3.0022e-08, 8.71753e-30, 8.71753e-30, 8.71753e-30
0.422308, 0, 5.04183e-08, 4.1623e-29, 1.41421, -5.04183e-08, 4.1623e-29, 0, 4.1623e-29, 4.1623e-29, 4.1623e-29, 4.1623e-29, 4.1623e-29, 4.1623e-29, 4.1623e-29, 4.1623e-29, 2.99891e-10, 4.1623e-29, 5.0061e-12, 8.32118e-09, 4.1623e-29, 4.17922e-08, 4.1623e-29, 4.1623e-29, 4.1623e-29
0.430181, 0, 7.1145e-08, 1.87666e-28, 1.41421, -7.1145e-08, 1.87666e-28, 0, 1.87666e-28, 1.87666e-28, 1.87666e-28, 1.87666e-28, 1.87666e-28, 1.87666e-28, 1.87666e-28, 1.87666e-28, 4.17277e-10, 1.87666e-28, 7.84734e-12, 1.28903e-08, 1.87666e-28, 5.78296e-08, 1.87666e-28, 1.87666e-28, 1.87666e-28
0.438055, 0, 1.00064e-07, 8.01375e-28, 1.41421, -1.00064e-07, 8.01375e-28, 0, 8.01375e-28, 8.01375e-28, 8.01375e-28, 8.01375e-28, 8.01375e-28, 8.01375e-28, 8.01375e-28, 8.01375e-28, 5.77586e-10, 8.01375e-28, 1.22842e-11, 1.99259e-08, 8.01375e-28, 7.95478e-08, 8.01375e-28, 8.01375e-28, 8.01375e-28
0.445929, 0, 1.40323e-07, 3.25045e-27, 1.41421, -1.40323e-07, 3.25045e-27, 0, 3.25045e-27, 3.25045e-27, 3.25045e-27, 3.25045e-27, 3.25045e-27, 3.25045e-27, 3.25045e-27, 3.25045e-27, 7.95403e-10, 3.25045e-27, 1.91946e-11, 3.07269e-08, 3.25045e-27, 1.08781e-07, 3.25045e-27, 3.25045e-27, 3.25045e-27
0.453802, 0, 1.96265e-07, 1.2556e-26, 1.41421, -1.96265e-07, 1.2556e-26, 0, 1.2556e-26, 1.2556e-26, 1.2556e-26, 1.2556e-26, 1.2556e-26, 1.2556e-26, 1.2556e-26, 1.2556e-26, 1.08989e-09, 1.2556e-26, 2.9923e-11, 4.72513e-08, 1.2556e-26, 1.47894e-07, 1.2556e-26, 1.2556e-26, 1.2556e-26
0.461676, 0, 2.7388e-07, 4.63107e-26, 1.41421, -2.7388e-07, 4.63107e-26, 0, 4.63107e-26, 4.63107e-26, 4.63107e-26, 4.63107e-26, 1.15834e-13, 4.63107e-26, 4.63107e-26, 4.63107e-26, 1.4861e-09, 4.63107e-26, 4.65179e-11, 7.24326e-08, 4.63107e-26, 1.99915e-07, 4.63107e-26, 4.63107e-26, 4.63107e-26
0.46955, 0, 3.81422e-07, 1.63548e-25, 1.41421, -3.81422e-07, 1.63548e-25, 0, 1.63548e-25, 1.63548e-25, 1.63548e-25, 1.63548e-25, 3.75677e-13, 1.63548e-25, 1.63548e-25, 1.63548e-25, 2.01664e-09, 1.63548e-25, 7.20799e-11, 1.10637e-07, 1.63548e-25, 2.68696e-07, 1.63548e-25, 1.63548e-25, 1.63548e-25
0.477423, 0, 5.31792e-07, 5.60554e-25, 1.41421, -5.31792e-07, 7.56628e-12, 0, 1.9871e-14, 6.6437e-14, 1.3454e-11, 1.2398e-14, 6.18743e-12, 1.03989e-11, 1.88437e-12, 1.41858e-09, 2.72379e-09, 2.98294e-13, 1.11274e-10, 1.68318e-07, 2.90924e-15, 3.59163e-07, 5.60554e-25, 5.60554e-25, 1.78211e-11
0.485297, 0, 7.41796e-07, 8.09605e-10, 1.41421, -7.41796e-07, 8.34049e-10, 8.09605e-10, 8.09669e-10, 8.09819e-10, 8.5307e-10, 8.09645e-10, 8.28702e-10, 8.432e-10, 8.15693e-10, 5.39257e-09, 4.47157e-09, 8.10569e-10, 9.80687e-10, 2.55749e-07, 8.09614e-10, 4.78255e-07, 8.09605e-10, 8.09605e-10, 8.67179e-10
0.493171, 0, 1.03525e-06, 2.6124e-09, 1.41421, -1.03525e-06, 2.67359e-09, 2.6124e-09, 2.61256e-09, 2.61293e-09, 2.72121e-09, 2.6125e-09, 2.6595e-09, 2.6965e-09, 2.62764e-09, 1.40859e-08, 7.51336e-09, 2.61481e-09, 2.87425e-09, 3.86883e-07, 2.61242e-09, 6.33878e-07, 2.6124e-09, 2.6124e-09, 2.75653e-09
0.501044, 0, 1.4472e-06, 6.5353e-09, 1.41421, -1.4472e-06, 6.67479e-09, 6.5353e-09, 6.53567e-09, 6.53653e-09, 6.78333e-09, 6.53553e-09, 6.64186e-09, 6.72701e-09, 6.57004e-09, 3.26875e-08, 1.30652e-08, 6.5408e-09, 6.93412e-09, 5.82701e-07, 6.53536e-09, 8.36893e-07, 6.5353e-09, 6.5353e-09, 6.86384e-09
0.508918, 0, 2.02906e-06, 1.48865e-08, 1.41421, -2.02906e-06, 1.51894e-08, 1.48865e-08, 1.48873e-08, 1.48892e-08, 1.5425e-08, 1.4887e-08, 1.51167e-08, 1.53027e-08, 1.4962e-08, 7.16617e-08, 2.35484e-08, 1.48985e-08, 1.54908e-08, 8.73987e-07, 1.48867e-08, 1.10162e-06, 1.48865e-08, 1.48865e-08, 1.55998e-08
0.516792, 0, 2.85802e-06, 3.2297e-08, 1.41421, -2.85802e-06, 3.29337e-08, 3.2297e-08, 3.22987e-08, 3.23026e-08, 3.34291e-08, 3.22981e-08, 3.27789e-08, 3.3172e-08, 3.24556e-08, 1.51663e-07, 4.37369e-08, 3.23221e-08, 3.32076e-08, 1.30603e-06, 3.22973e-08, 1.44775e-06, 3.2297e-08, 3.2297e-08, 3.37966e-08
0.524666, 0, 4.05256e-06, 6.7858e-08, 1.41421, -4.05256e-06, 6.91633e-08, 6.7858e-08, 6.78614e-08, 6.78694e-08, 7.01791e-08, 6.78601e-08, 6.89371e-08, 6.9652e-08, 6.81831e-08, 3.12597e-07, 8.29017e-08, 6.79094e-08, 6.92221e-08, 1.94603e-06, 6.78585e-08, 1.90328e-06, 6.7858e-08, 6.7858e-08, 7.09325e-08
0.532539, 0, 5.79424e-06, 1.39441e-07, 1.41421, -5.79424e-06, 1.42063e-07, 1.39441e-07, 1.39448e-07, 1.39464e-07, 1.44104e-07, 1.39446e-07, 1.42485e-07, 1.43045e-07, 1.40094e-07, 6.31024e-07, 1.5914e-07, 1.39545e-07, 1.41473e-07, 2.88942e-06, 1.39442e-07, 2.51005e-06, 1.39441e-07, 1.39441e-07, 1.45617e-07
0.540413, 0, 8.3664e-06, 2.79108e-07, 1.41421, -8.3664e-06, 2.84256e-07, 2.79108e-07, 2.79122e-07, 2.79153e-07, 2.88263e-07, 2.79117e-07, 2.85916e-07, 2.86184e-07, 2.8039e-07, 1.24436e-06, 3.04791e-07, 2.79311e-07, 2.82117e-07, 4.27908e-06, 2.7911e-07, 3.33062e-06, 2.79108e-07, 2.79108e-07, 2.91234e-07
0.548287, 0, 1.2224e-05, 5.47704e-07, 1.41421, -1.2224e-05, 5.57618e-07, 5.47704e-07, 5.4773e-07, 5.47791e-07, 5.65333e-07, 5.4772e-07, 5.62145e-07, 5.6133e-07, 5.50173e-07, 2.4065e-06, 5.8105e-07, 5.48095e-07, 5.52131e-07, 6.32717e-06, 5.47707e-07, 4.46596e-06, 5.47704e-07, 5.47704e-07, 5.71055e-07
0.55616, 0, 1.80914e-05, 1.05409e-06, 1.41421, -1.80914e-05, 1.07282e-06, 1.05409e-06, 1.05414e-06, 1.05425e-06, 1.08739e-06, 1.05412e-06, 1.08374e-06, 1.07983e-06, 1.05875e-06, 4.56539e-06, 1.0972e-06, 1.05483e-06, 1.06056e-06, 9.34896e-06, 1.0541e-06, 6.07847e-06, 1.05409e-06, 1.05409e-06, 1.0982e-06
0.564034, 0, 2.71275e-05, 1.99005e-06, 1.41421, -2.71275e-05, 2.02476e-06, 1.99005e-06, 1.99014e-06, 1.99035e-06, 2.05177e-06, 1.9901e-06, 2.04907e-06, 2.03775e-06, 1.99869e-06, 8.49766e-06, 2.04557e-06, 1.99142e-06, 1.99945e-06, 1.38162e-05, 1.99006e-06, 8.43349e-06, 1.99005e-06, 1.99005e-06, 2.0718e-06
0.571908, 0, 4.11807e-05, 3.68613e-06, 1.41421, -4.11807e-05, 3.74925e-06, 3.68613e-06, 3.6863e-06, 3.68669e-06, 3.79837e-06, 3.68624e-06, 3.80188e-06, 3.77288e-06, 3.70185e-06, 1.55204e-05, 3.75735e-06, 3.68862e-06, 3.69972e-06, 2.04372e-05, 3.68616e-06, 1.19649e-05, 3.68613e-06, 3.68613e-06, 3.8348e-06
0.579781, 0, 6.31779e-05, 6.69974e-06, 1.41421, -6.31779e-05, 6.81238e-06, 6.69974e-06, 6.70004e-06, 6.70073e-06, 6.90004e-06, 6.69992e-06, 6.92341e-06, 6.85456e-06, 6.72779e-06, 2.78193e-05, 6.79073e-06, 6.70418e-06, 6.71924e-06, 3.02777e-05, 6.69978e-06, 1.73791e-05, 6.69974e-06, 6.69974e-06, 6.96506e-06
0.587655, 0, 9.77072e-05, 1.19501e-05, 1.41421, -9.77072e-05, 1.21474e-05, 1.19501e-05, 1.19506e-05, 1.19518e-05, 1.23009e-05, 1.19504e-05, 1.23759e-05, 1.22212e-05, 1.19992e-05, 4.89407e-05, 1.20659e-05, 1.19579e-05, 1.19779e-05, 4.49392e-05, 1.19502e-05, 2.58145e-05, 1.19501e-05, 1.19501e-05, 1.24148e-05
0.595529, 0, 0.000151863, 2.09199e-05, 1.41421, -0.000151863, 2.12591e-05, 2.09199e-05, 2.09208e-05, 2.09229e-05, 2.1523e-05, 2.09205e-05, 2.17185e-05, 2.13861e-05, 2.10044e-05, 8.45133e-05, 2.10668e-05, 2.09333e-05, 2.09594e-05, 6.68199e-05, 2.09201e-05, 3.90744e-05, 2.09199e-05, 2.09199e-05, 2.17188e-05
0.603402, 0, 0.000236449, 3.59476e-05, 1.41421, -0.000236449, 3.652e-05, 3.59476e-05, 3.59491e-05, 3.59526e-05, 3.69654e-05, 3.59485e-05, 3.74227e-05, 3.67343e-05, 3.60901e-05, 0.000143271, 3.61333e-05, 3.59701e-05, 3.60032e-05, 9.94861e-05, 3.59478e-05, 5.99729e-05, 3.59476e-05, 3.59476e-05, 3.72958e-05
0.611276, 0, 0.000367647, 6.06384e-05, 1.41421, -0.000367647, 6.15869e-05, 6.06384e-05, 6.06409e-05, 6.06468e-05, 6.23249e-05, 6.064e-05, 6.33217e-05, 6.19419e-05, 6.08746e-05, 0.000238459, 6.08726e-05, 6.06758e-05, 6.07165e-05, 0.000148193, 6.06388e-05, 9.28174e-05, 6.06384e-05, 6.06384e-05, 6.28723e-05
0.61915, 0, 0.000569242, 0.000100426, 1.41421, -0.000569242, 0.000101969, 0.000100426, 0.00010043, 0.000100439, 0.00010317, 0.000100428, 0.000105231, 0.000102547, 0.00010081, 0.000389717, 0.00010072, 0.000100487, 0.000100535, 0.000220593, 0.000100426, 0.000144069, 0.000100426, 0.000100426, 0.00010406
0.627023, 0, 0.000875513, 0.000163309, 1.41421, -0.000875513, 0.000165774, 0.000163309, 0.000163316, 0.000163331, 0.000167692, 0.000163313, 0.00017178, 0.000166697, 0.000163923, 0.000625474, 0.000163678, 0.000163406, 0.00016346, 0.000327665, 0.00016331, 0.000223215, 0.000163309, 0.000163309, 0.000169115
0.634897, 0, 0.00133487, 0.000260794, 1.41421, -0.00133487, 0.000264662, 0.000260794, 0.000260804, 0.000260828, 0.000267671, 0.0002608, 0.000275488, 0.00026611, 0.000261757, 0.000985945, 0.000261256, 0.000260946, 0.000261003, 0.000484921, 0.000260795, 0.000343887, 0.000260794, 0.000260794, 0.000269904
