   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_120.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.281302, 0, 8.3416e-11, 1.26117e-44, 1.41421, -8.3416e-11, 1.26117e-44, 0, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 4.18345e-13, 1.26117e-44, 3.63565e-15, 1.3135e-12, 1.26117e-44, 8.16805e-11, 1.26117e-44, 1.26117e-44
0.289174, 0, 1.26601e-10, 2.39622e-43, 1.41421, -1.26601e-10, 2.39622e-43, 0, 2.39622e-43, 2.39622e-43, 2.39622e-43, 2.39622e-43, 2.39622e-43, 2.39622e-43, 2.39622e-43, 2.39622e-43, 2.39622e-43, 6.34674e-13, 2.39622e-43, 5.73062e-15, 2.08973e-12, 2.39622e-43, 1.2387e-10, 2.39622e-43, 2.39622e-43
0.297046, 0, 1.90981e-10, 3.47382e-42, 1.41421, -1.90981e-10, 3.47382e-42, 0, 3.47382e-42, 3.47382e-42, 3.47382e-42, 3.47382e-42, 3.47382e-42, 3.47382e-42, 3.47382e-42, 3.47382e-42, 3.47382e-42, 9.57056e-13, 3.47382e-42, 9.00378e-15, 3.31194e-12, 3.47382e-42, 1.86703e-10, 3.47382e-42, 3.47382e-42
0.304919, 0, 2.86371e-10, 4.61938e-41, 1.41421, -2.86371e-10, 4.61938e-41, 0, 4.61938e-41, 4.61938e-41, 4.61938e-41, 4.61938e-41, 4.61938e-41, 4.61938e-41, 4.61938e-41, 4.61938e-41, 4.61938e-41, 1.43453e-12, 4.61938e-41, 1.41063e-14, 5.22995e-12, 4.61938e-41, 2.79692e-10, 4.61938e-41, 4.61938e-41
0.312791, 0, 4.26843e-10, 5.5185e-40, 1.41421, -4.26843e-10, 5.5185e-40, 0, 5.5185e-40, 5.5185e-40, 5.5185e-40, 5.5185e-40, 5.5185e-40, 5.5185e-40, 5.5185e-40, 5.5185e-40, 5.5185e-40, 2.13742e-12, 5.5185e-40, 2.20463e-14, 8.23058e-12, 5.5185e-40, 4.16453e-10, 5.5185e-40, 5.5185e-40
0.320663, 0, 6.32449e-10, 5.94231e-39, 1.41421, -6.32449e-10, 5.94231e-39, 0, 5.94231e-39, 5.94231e-39, 5.94231e-39, 5.94231e-39, 5.94231e-39, 5.94231e-39, 5.94231e-39, 5.94231e-39, 5.94231e-39, 3.16587e-12, 5.94231e-39, 3.43849e-14, 1.29116e-11, 5.94231e-39, 6.16337e-10, 5.94231e-39, 5.94231e-39
0.328536, 0, 9.31578e-10, 5.79281e-38, 1.41421, -9.31578e-10, 5.79281e-38, 0, 5.79281e-38, 5.79281e-38, 5.79281e-38, 5.79281e-38, 5.79281e-38, 5.79281e-38, 5.79281e-38, 5.79281e-38, 5.79281e-38, 4.66167e-12, 5.79281e-38, 5.35407e-14, 2.01949e-11, 5.79281e-38, 9.06668e-10, 5.79281e-38, 5.79281e-38
0.336408, 0, 1.36418e-09, 5.13908e-37, 1.41421, -1.36418e-09, 5.13908e-37, 0, 5.13908e-37, 5.13908e-37, 5.13908e-37, 5.13908e-37, 5.13908e-37, 5.13908e-37, 5.13908e-37, 5.13908e-37, 5.13908e-37, 6.82429e-12, 5.13908e-37, 8.32633e-14, 3.15009e-11, 5.13908e-37, 1.32577e-09, 5.13908e-37, 5.13908e-37
0.34428, 0, 1.98611e-09, 4.17112e-36, 1.41421, -1.98611e-09, 4.17112e-36, 0, 4.17112e-36, 4.17112e-36, 4.17112e-36, 4.17112e-36, 4.17112e-36, 4.17112e-36, 4.17112e-36, 4.17112e-36, 4.17112e-36, 9.93263e-12, 4.17112e-36, 1.29371e-13, 4.90139e-11, 4.17112e-36, 1.92703e-09, 4.17112e-36, 4.17112e-36
0.352153, 0, 2.87502e-09, 3.11213e-35, 1.41421, -2.87502e-09, 3.11213e-35, 0, 3.11213e-35, 3.11213e-35, 3.11213e-35, 3.11213e-35, 3.11213e-35, 3.11213e-35, 3.11213e-35, 3.11213e-35, 3.11213e-35, 1.43744e-11, 3.11213e-35, 2.009e-13, 7.60897e-11, 3.11213e-35, 2.78435e-09, 3.11213e-35, 3.11213e-35
