   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_124.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.272375, 0, 1.09114e-10, 8.40779e-45, 1.41421, -1.09114e-10, 8.40779e-45, 0, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.61464e-13, 1.17553e-15, 5.43676e-12, 8.40779e-45, 1.02814e-10, 8.40779e-45, 8.40779e-45
0.280251, 0, 1.64208e-10, 1.63952e-43, 1.41421, -1.64208e-10, 1.63952e-43, 0, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.29367e-12, 1.83441e-15, 8.57718e-12, 1.63952e-43, 1.54336e-10, 1.63952e-43, 1.63952e-43
0.288127, 0, 2.45734e-10, 2.41584e-42, 1.41421, -2.45734e-10, 2.41584e-42, 0, 2.41584e-42, 2.41584e-42, 2.41584e-42, 2.41584e-42, 2.41584e-42, 2.41584e-42, 2.41584e-42, 1.93149e-12, 2.85406e-15, 1.34823e-11, 2.41584e-42, 2.30317e-10, 2.41584e-42, 2.41584e-42
0.296002, 0, 3.65688e-10, 3.2569e-41, 1.41421, -3.65688e-10, 3.2569e-41, 0, 3.2569e-41, 3.2569e-41, 3.2569e-41, 3.2569e-41, 3.2569e-41, 3.2569e-41, 3.2569e-41, 2.86721e-12, 4.42887e-15, 2.11194e-11, 3.2569e-41, 3.41697e-10, 3.2569e-41, 3.2569e-41
0.303878, 0, 5.41204e-10, 3.93982e-40, 1.41421, -5.41204e-10, 3.93982e-40, 0, 3.93982e-40, 3.93982e-40, 3.93982e-40, 3.93982e-40, 3.93982e-40, 3.93982e-40, 3.93982e-40, 4.23194e-12, 6.85724e-15, 3.29748e-11, 3.93982e-40, 5.03991e-10, 3.93982e-40, 3.93982e-40
0.311754, 0, 7.96607e-10, 4.293e-39, 1.41421, -7.96607e-10, 4.293e-39, 0, 4.293e-39, 4.293e-39, 4.293e-39, 4.293e-39, 4.293e-39, 4.293e-39, 4.293e-39, 6.21085e-12, 1.05974e-14, 5.13278e-11, 4.293e-39, 7.39058e-10, 4.293e-39, 4.293e-39
0.319629, 0, 1.16626e-09, 4.23134e-38, 1.41421, -1.16626e-09, 4.23134e-38, 0, 4.23134e-38, 4.23134e-38, 4.23134e-38, 4.23134e-38, 4.23134e-38, 4.23134e-38, 4.23134e-38, 9.0639e-12, 1.63535e-14, 7.96682e-11, 4.23134e-38, 1.07751e-09, 4.23134e-38, 4.23134e-38
0.327505, 0, 1.69844e-09, 3.79307e-37, 1.41421, -1.69844e-09, 3.79307e-37, 0, 3.79307e-37, 3.79307e-37, 3.79307e-37, 3.79307e-37, 3.79307e-37, 3.79307e-37, 3.79307e-37, 1.31538e-11, 2.52086e-14, 1.2333e-10, 3.79307e-37, 1.56193e-09, 3.79307e-37, 3.79307e-37
0.33538, 0, 2.46065e-09, 3.10866e-36, 1.41421, -2.46065e-09, 3.10866e-36, 0, 3.10866e-36, 3.10866e-36, 3.10866e-36, 3.10866e-36, 3.10866e-36, 3.10866e-36, 3.10866e-36, 1.89838e-11, 3.88297e-14, 1.90453e-10, 3.10866e-36, 2.25118e-09, 3.10866e-36, 3.10866e-36
0.343256, 0, 3.54686e-09, 2.34064e-35, 1.41421, -3.54686e-09, 2.34064e-35, 0, 2.34064e-35, 2.34064e-35, 2.34064e-35, 2.34064e-35, 2.34064e-35, 2.34064e-35, 2.34064e-35, 2.72479e-11, 5.97851e-14, 2.93447e-10, 2.34064e-35, 3.22611e-09, 2.34064e-35, 2.34064e-35
