   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_118.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.145747, 0, 5.54833e-14, 0, 1.41421, -5.54833e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.103e-16, 0, 2.02698e-18, 1.11424e-16, 0, 5.49595e-14, 0, 0, 0
0.153628, 0, 9.18937e-14, 0, 1.41421, -9.18937e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.79521e-16, 0, 3.42281e-18, 1.8973e-16, 0, 9.1021e-14, 0, 0, 0
0.16151, 0, 1.51245e-13, 0, 1.41421, -1.51245e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11834e-15, 0, 5.74614e-18, 3.21314e-16, 0, 1.49799e-13, 0, 0, 0
0.169391, 0, 2.4738e-13, 0, 1.41421, -2.4738e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8291e-15, 0, 9.59106e-18, 5.41245e-16, 0, 2.45e-13, 0, 0, 0
0.177272, 0, 4.02118e-13, 0, 1.41421, -4.02118e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97306e-15, 0, 1.59181e-17, 9.06969e-16, 0, 3.98222e-13, 0, 0, 0
0.185154, 0, 6.49629e-13, 0, 1.41421, -6.49629e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.80279e-15, 0, 2.62718e-17, 1.51196e-15, 0, 6.43288e-13, 0, 0, 0
0.193035, 0, 1.04306e-12, 0, 1.41421, -1.04306e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.71116e-15, 0, 4.31223e-17, 2.50769e-15, 0, 1.0328e-12, 0, 0, 0
0.200917, 0, 1.66458e-12, 0, 1.41421, -1.66458e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23054e-14, 0, 7.04005e-17, 4.13836e-15, 0, 1.64807e-12, 0, 0, 0
0.208798, 0, 2.64035e-12, 0, 1.41421, -2.64035e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9518e-14, 0, 1.14333e-16, 6.7958e-15, 0, 2.61392e-12, 0, 0, 0
0.21668, 0, 4.16284e-12, 0, 1.41421, -4.16284e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07717e-14, 0, 1.84734e-16, 1.11059e-14, 0, 4.12078e-12, 0, 0, 0
0.224561, 0, 6.52382e-12, 0, 1.41421, -6.52382e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.82233e-14, 0, 2.97002e-16, 1.80637e-14, 0, 6.45724e-12, 0, 0, 0
0.232443, 0, 1.01627e-11, 0, 1.41421, -1.01627e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.51213e-14, 0, 4.75209e-16, 2.92446e-14, 0, 1.00579e-11, 0, 0, 0
0.240324, 0, 1.5737e-11, 0, 1.41421, -1.5737e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16327e-13, 0, 7.56835e-16, 4.71325e-14, 0, 1.55728e-11, 0, 0, 0
0.248206, 0, 2.42241e-11, 0, 1.41421, -2.42241e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79071e-13, 0, 1.20006e-15, 7.56282e-14, 0, 2.39682e-11, 0, 0, 0
0.256087, 0, 3.70681e-11, 0, 1.41421, -3.70681e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74034e-13, 0, 1.89489e-15, 1.20835e-13, 0, 3.66713e-11, 0, 0, 0
0.263969, 0, 5.63879e-11, 0, 1.41421, -5.63879e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.169e-13, 0, 2.98032e-15, 1.92268e-13, 0, 5.57758e-11, 0, 0, 0
0.27185, 0, 8.52739e-11, 7.00649e-45, 1.41421, -8.52739e-11, 0, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 6.30554e-13, 7.00649e-45, 4.67046e-15, 3.04716e-13, 7.00649e-45, 8.4334e-11, 7.00649e-45, 7.00649e-45, 7.00649e-45
0.279732, 0, 1.28203e-10, 1.23314e-43, 1.41421, -1.28203e-10, 0, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 1.23314e-43, 9.48168e-13, 1.23314e-43, 7.2947e-15, 4.81092e-13, 1.23314e-43, 1.26767e-10, 1.23314e-43, 1.23314e-43, 1.23314e-43
0.287613, 0, 1.91622e-10, 1.8315e-42, 1.41421, -1.91622e-10, 0, 1.8315e-42, 1.8315e-42, 1.8315e-42, 1.8315e-42, 1.8315e-42, 1.8315e-42, 1.8315e-42, 1.8315e-42, 1.8315e-42, 1.8315e-42, 1.41755e-12, 1.8315e-42, 1.13594e-14, 7.56803e-13, 1.8315e-42, 1.89436e-10, 1.8315e-42, 1.8315e-42, 1.8315e-42
0.295495, 0, 2.84751e-10, 2.47736e-41, 1.41421, -2.84751e-10, 0, 2.47736e-41, 2.47736e-41, 2.47736e-41, 2.47736e-41, 2.47736e-41, 2.47736e-41, 2.47736e-41, 2.47736e-41, 2.47736e-41, 2.47736e-41, 2.10713e-12, 2.47736e-41, 1.76421e-14, 1.18642e-12, 2.47736e-41, 2.81439e-10, 2.47736e-41, 2.47736e-41, 2.47736e-41
0.303376, 0, 4.20696e-10, 3.00668e-40, 1.41421, -4.20696e-10, 0, 3.00668e-40, 3.00668e-40, 3.00668e-40, 3.00668e-40, 3.00668e-40, 3.00668e-40, 3.00668e-40, 3.00668e-40, 3.00668e-40, 3.00668e-40, 3.11434e-12, 3.00668e-40, 2.73376e-14, 1.85389e-12, 3.00668e-40, 4.157e-10, 3.00668e-40, 3.00668e-40, 3.00668e-40
0.311258, 0, 6.17969e-10, 3.28614e-39, 1.41421, -6.17969e-10, 0, 3.28614e-39, 3.28614e-39, 3.28614e-39, 3.28614e-39, 3.28614e-39, 3.28614e-39, 3.28614e-39, 3.28614e-39, 3.28614e-39, 3.28614e-39, 4.57693e-12, 3.28614e-39, 4.22814e-14, 2.88803e-12, 3.28614e-39, 6.10462e-10, 3.28614e-39, 3.28614e-39, 3.28614e-39
0.319139, 0, 9.02551e-10, 3.24802e-38, 1.41421, -9.02551e-10, 0, 3.24802e-38, 3.24802e-38, 3.24802e-38, 3.24802e-38, 3.24802e-38, 3.24802e-38, 3.24802e-38, 3.24802e-38, 3.24802e-38, 3.24802e-38, 6.68862e-12, 3.24802e-38, 6.52959e-14, 4.48629e-12, 3.24802e-38, 8.91311e-10, 3.24802e-38, 3.24802e-38, 3.24802e-38
0.327021, 0, 1.31068e-09, 2.9187e-37, 1.41421, -1.31068e-09, 0, 2.9187e-37, 2.9187e-37, 2.9187e-37, 2.9187e-37, 2.9187e-37, 2.9187e-37, 2.9187e-37, 2.9187e-37, 2.9187e-37, 2.9187e-37, 9.72011e-12, 2.9187e-37, 1.00723e-13, 6.95067e-12, 2.9187e-37, 1.2939e-09, 2.9187e-37, 2.9187e-37, 2.9187e-37
0.334902, 0, 1.89257e-09, 2.39709e-36, 1.41421, -1.89257e-09, 0, 2.39709e-36, 2.39709e-36, 2.39709e-36, 2.39709e-36, 2.39709e-36, 2.39709e-36, 2.39709e-36, 2.39709e-36, 2.39709e-36, 2.39709e-36, 1.40476e-11, 2.39709e-36, 1.55253e-13, 1.07426e-11, 2.39709e-36, 1.86762e-09, 2.39709e-36, 2.39709e-36, 2.39709e-36
0.342784, 0, 2.7174e-09, 1.80833e-35, 1.41421, -2.7174e-09, 0, 1.80833e-35, 1.80833e-35, 1.80833e-35, 1.80833e-35, 1.80833e-35, 1.80833e-35, 1.80833e-35, 1.80833e-35, 1.80833e-35, 1.80833e-35, 2.01906e-11, 1.80833e-35, 2.39193e-13, 1.65663e-11, 1.80833e-35, 2.68041e-09, 1.80833e-35, 1.80833e-35, 1.80833e-35
0.350665, 0, 3.87988e-09, 1.25877e-34, 1.41421, -3.87988e-09, 0, 1.25877e-34, 1.25877e-34, 1.25877e-34, 1.25877e-34, 1.25877e-34, 1.25877e-34, 1.25877e-34, 1.25877e-34, 1.25877e-34, 1.25877e-34, 2.88627e-11, 1.25877e-34, 3.68446e-13, 2.54944e-11, 1.25877e-34, 3.82515e-09, 1.25877e-34, 1.25877e-34, 1.25877e-34
0.358547, 0, 5.50885e-09, 8.56778e-34, 1.41421, -5.50885e-09, 0, 8.56778e-34, 8.56778e-34, 8.56778e-34, 8.56778e-34, 8.56778e-34, 8.56778e-34, 8.56778e-34, 8.56778e-34, 8.56778e-34, 8.56778e-34, 4.10388e-11, 8.56778e-34, 5.67554e-13, 3.91598e-11, 8.56778e-34, 5.42808e-09, 8.56778e-34, 8.56778e-34, 8.56778e-34
0.366428, 0, 7.77855e-09, 5.62293e-33, 1.41421, -7.77855e-09, 0, 5.62293e-33, 5.62293e-33, 5.62293e-33, 5.62293e-33, 5.62293e-33, 5.62293e-33, 5.62293e-33, 5.62293e-33, 5.62293e-33, 5.62293e-33, 5.80429e-11, 5.62293e-33, 8.74385e-13, 6.00435e-11, 5.62293e-33, 7.65959e-09, 5.62293e-33, 5.62293e-33, 5.62293e-33
0.37431, 0, 1.09233e-08, 3.46434e-32, 1.41421, -1.09233e-08, 0, 3.46434e-32, 3.46434e-32, 3.46434e-32, 3.46434e-32, 3.46434e-32, 3.46434e-32, 3.46434e-32, 3.46434e-32, 3.46434e-32, 3.46434e-32, 8.16642e-11, 3.46434e-32, 1.34736e-12, 9.19104e-11, 3.46434e-32, 1.07483e-08, 3.46434e-32, 3.46434e-32, 3.46434e-32
0.382191, 0, 1.5256e-08, 1.99419e-31, 1.41421, -1.5256e-08, 0, 1.99419e-31, 1.99419e-31, 1.99419e-31, 1.99419e-31, 1.99419e-31, 1.99419e-31, 1.99419e-31, 1.99419e-31, 1.99419e-31, 1.99419e-31, 1.14307e-10, 1.99419e-31, 2.07652e-12, 1.40462e-10, 1.99419e-31, 1.49992e-08, 1.99419e-31, 1.99419e-31, 1.99419e-31
0.390072, 0, 2.11929e-08, 1.07369e-30, 1.41421, -2.11929e-08, 0, 1.07369e-30, 1.07369e-30, 1.07369e-30, 1.07369e-30, 1.07369e-30, 1.07369e-30, 1.07369e-30, 1.07369e-30, 1.07369e-30, 1.07369e-30, 1.59188e-10, 1.07369e-30, 3.20043e-12, 2.14313e-10, 1.07369e-30, 2.08162e-08, 1.07369e-30, 1.07369e-30, 1.07369e-30
0.397954, 0, 2.92833e-08, 5.4228e-30, 1.41421, -2.92833e-08, 0, 5.4228e-30, 5.4228e-30, 5.4228e-30, 5.4228e-30, 5.4228e-30, 5.4228e-30, 5.4228e-30, 5.4228e-30, 5.4228e-30, 5.4228e-30, 2.20584e-10, 5.4228e-30, 4.93187e-12, 3.2645e-10, 5.4228e-30, 2.87313e-08, 5.4228e-30, 5.4228e-30, 5.4228e-30
0.405835, 0, 4.02495e-08, 2.57717e-29, 1.41421, -4.02495e-08, 0, 2.57717e-29, 2.57717e-29, 2.57717e-29, 2.57717e-29, 2.57717e-29, 2.57717e-29, 2.57717e-29, 2.57717e-29, 2.57717e-29, 2.57717e-29, 3.04164e-10, 2.57717e-29, 7.59683e-12, 4.96393e-10, 2.57717e-29, 3.94414e-08, 2.57717e-29, 2.57717e-29, 2.57717e-29
0.413717, 0, 5.50349e-08, 1.15621e-28, 1.41421, -5.50349e-08, 0, 1.15621e-28, 1.15621e-28, 1.15621e-28, 1.15621e-28, 1.15621e-28, 1.15621e-28, 1.15621e-28, 1.15621e-28, 1.15621e-28, 1.15621e-28, 4.17392e-10, 1.15621e-28, 1.1693e-11, 7.53373e-10, 1.15621e-28, 5.38524e-08, 1.15621e-28, 1.15621e-28, 1.15621e-28
0.421598, 0, 7.48658e-08, 4.91126e-28, 1.41421, -7.48658e-08, 0, 4.91126e-28, 4.91126e-28, 4.91126e-28, 4.91126e-28, 4.91126e-28, 4.91126e-28, 4.91126e-28, 4.91126e-28, 4.91126e-28, 4.91126e-28, 5.70067e-10, 4.91126e-28, 1.79775e-11, 1.14101e-09, 4.91126e-28, 7.31367e-08, 4.91126e-28, 4.91126e-28, 4.91126e-28
0.42948, 0, 1.01327e-07, 1.98096e-27, 1.41421, -1.01327e-07, 0, 1.98096e-27, 1.98096e-27, 1.98096e-27, 1.98096e-27, 1.98096e-27, 1.98096e-27, 1.98096e-27, 1.98096e-27, 1.98096e-27, 1.98096e-27, 7.74976e-10, 1.98096e-27, 2.75972e-11, 1.72407e-09, 1.98096e-27, 9.88008e-08, 1.98096e-27, 1.98096e-27, 1.98096e-27
0.437361, 0, 1.3646e-07, 7.60788e-27, 1.41421, -1.3646e-07, 0, 7.60788e-27, 7.60788e-27, 7.60788e-27, 7.60788e-27, 7.60788e-27, 7.60788e-27, 7.60788e-27, 7.60788e-27, 7.60788e-27, 7.60788e-27, 1.04875e-09, 7.60788e-27, 4.22812e-11, 2.59833e-09, 7.60788e-27, 1.3277e-07, 7.60788e-27, 7.60788e-27, 7.60788e-27
0.445243, 0, 1.82874e-07, 2.78897e-26, 1.41421, -1.82874e-07, 0, 2.78897e-26, 2.78897e-26, 2.78897e-26, 2.78897e-26, 2.78897e-26, 2.78897e-26, 1.61012e-13, 2.78897e-26, 2.78897e-26, 2.78897e-26, 1.41291e-09, 2.78897e-26, 6.4623e-11, 3.90457e-09, 2.78897e-26, 1.77492e-07, 2.78897e-26, 2.78897e-26, 2.78897e-26
0.453124, 0, 2.43896e-07, 9.78318e-26, 1.41421, -2.43896e-07, 0, 9.78318e-26, 9.78318e-26, 9.78318e-26, 9.78318e-26, 9.78318e-26, 9.78318e-26, 5.09672e-13, 9.78318e-26, 9.78318e-26, 9.78318e-26, 1.89519e-09, 9.78318e-26, 9.84915e-11, 5.84855e-09, 9.78318e-26, 2.36053e-07, 9.78318e-26, 9.78318e-26, 9.78318e-26
0.461006, 0, 3.25527e-07, 3.33214e-25, 1.41421, -3.25527e-07, 0, 1.83389e-14, 8.62188e-14, 5.95682e-13, 3.4745e-13, 4.00601e-13, 1.42452e-13, 8.43393e-12, 8.32034e-12, 1.80115e-12, 1.70692e-09, 2.53121e-09, 5.05476e-14, 1.49625e-10, 8.72917e-09, 1.63864e-15, 3.12373e-07, 3.33214e-25, 3.33214e-25, 1.69349e-11
0.468887, 0, 4.34077e-07, 7.07437e-10, 1.41421, -4.34077e-07, 7.07437e-10, 7.07495e-10, 7.07709e-10, 7.09316e-10, 7.08533e-10, 7.08701e-10, 7.07886e-10, 7.32887e-10, 7.33685e-10, 7.13119e-10, 6.09237e-09, 4.07386e-09, 7.07596e-10, 9.33931e-10, 1.36851e-08, 7.07442e-10, 4.12006e-07, 7.07437e-10, 7.07437e-10, 7.60862e-10
0.476769, 0, 5.78564e-07, 2.22501e-09, 1.41421, -5.78564e-07, 2.22501e-09, 2.22515e-09, 2.22568e-09, 2.2296e-09, 2.22769e-09, 2.2281e-09, 2.22611e-09, 2.28628e-09, 2.28912e-09, 2.23889e-09, 1.53771e-08, 6.68363e-09, 2.2254e-09, 2.56651e-09, 2.14366e-08, 2.22502e-09, 5.41117e-07, 2.22501e-09, 2.22501e-09, 2.3555e-09
0.48465, 0, 7.7275e-07, 5.42508e-09, 1.41421, -7.7275e-07, 5.42508e-09, 5.4254e-09, 5.42656e-09, 5.43529e-09, 5.43103e-09, 5.43195e-09, 5.42752e-09, 5.56035e-09, 5.56764e-09, 5.45594e-09, 3.46709e-08, 1.13061e-08, 5.42595e-09, 5.93774e-09, 3.3734e-08, 5.42511e-09, 7.08174e-07, 5.42508e-09, 5.42508e-09, 5.71524e-09
0.492532, 0, 1.03753e-06, 1.20495e-08, 1.41421, -1.03753e-06, 1.20495e-08, 1.20502e-08, 1.20527e-08, 1.20712e-08, 1.20621e-08, 1.20641e-08, 1.20547e-08, 1.23349e-08, 1.23517e-08, 1.21149e-08, 7.40316e-08, 1.97753e-08, 1.20514e-08, 1.28156e-08, 5.35602e-08, 1.20496e-08, 9.24222e-07, 1.20495e-08, 1.20495e-08, 1.26645e-08
0.500413, 0, 1.40615e-06, 2.55145e-08, 1.41421, -1.40615e-06, 2.55145e-08, 2.55159e-08, 2.5521e-08, 2.5559e-08, 2.55405e-08, 2.55444e-08, 2.55252e-08, 2.60986e-08, 2.61354e-08, 2.56489e-08, 1.52881e-07, 3.56233e-08, 2.55183e-08, 2.66536e-08, 8.60771e-08, 2.55147e-08, 1.20424e-06, 2.55145e-08, 2.55145e-08, 2.67782e-08
0.508295, 0, 1.93321e-06, 5.23935e-08, 1.41421, -1.93321e-06, 5.23935e-08, 5.23962e-08, 5.24064e-08, 5.24827e-08, 5.24455e-08, 5.24535e-08, 5.24148e-08, 5.36861e-08, 5.36395e-08, 5.26632e-08, 3.08013e-07, 6.55679e-08, 5.24011e-08, 5.40786e-08, 1.40335e-07, 5.23937e-08, 1.5692e-06, 5.23935e-08, 5.23935e-08, 5.49296e-08
0.516176, 0, 2.70974e-06, 1.05085e-07, 1.41421, -2.70974e-06, 1.05085e-07, 1.0509e-07, 1.0511e-07, 1.0526e-07, 1.05187e-07, 1.05203e-07, 1.05127e-07, 1.07768e-07, 1.07535e-07, 1.05615e-07, 6.07776e-07, 1.22187e-07, 1.051e-07, 1.07564e-07, 2.31986e-07, 1.05085e-07, 2.04943e-06, 1.05085e-07, 1.05085e-07, 1.10072e-07
0.524058, 0, 3.89174e-06, 2.06538e-07, 1.41421, -3.89174e-06, 2.06538e-07, 2.06548e-07, 2.06587e-07, 2.06877e-07, 2.06736e-07, 2.06766e-07, 2.06619e-07, 2.13465e-07, 2.11267e-07, 2.07562e-07, 1.17672e-06, 2.28653e-07, 2.06567e-07, 2.10167e-07, 3.8859e-07, 2.06539e-07, 2.69053e-06, 2.06538e-07, 2.06538e-07, 2.16164e-07
0.531939, 0, 5.74186e-06, 3.98404e-07, 1.41421, -5.74186e-06, 3.98404e-07, 3.98424e-07, 3.98497e-07, 3.99046e-07, 3.98778e-07, 3.98836e-07, 3.98557e-07, 4.13794e-07, 4.07368e-07, 4.00344e-07, 2.23741e-06, 4.26891e-07, 3.98458e-07, 4.03687e-07, 6.58024e-07, 3.98406e-07, 3.56316e-06, 3.98404e-07, 3.98404e-07, 4.16649e-07
0.539821, 0, 8.70607e-06, 7.548e-07, 1.41421, -8.70607e-06, 7.548e-07, 7.54837e-07, 7.54973e-07, 7.55996e-07, 7.55498e-07, 7.55604e-07, 7.55086e-07, 7.86801e-07, 7.71496e-07, 7.58414e-07, 4.17983e-06, 7.91356e-07, 7.54902e-07, 7.62447e-07, 1.12281e-06, 7.54804e-07, 4.77924e-06, 7.548e-07, 7.548e-07, 7.88781e-07
0.547702, 0, 1.35331e-05, 1.40506e-06, 1.41421, -1.35331e-05, 1.40506e-06, 1.40513e-06, 1.40538e-06, 1.40725e-06, 1.40634e-06, 1.40653e-06, 1.40558e-06, 1.46913e-06, 1.43562e-06, 1.41167e-06, 7.67402e-06, 1.45179e-06, 1.40525e-06, 1.41606e-06, 1.92357e-06, 1.40507e-06, 6.51845e-06, 1.40506e-06, 1.40506e-06, 1.46726e-06
0.555584, 0, 2.1464e-05, 2.57048e-06, 1.41421, -2.1464e-05, 2.57048e-06, 2.5706e-06, 2.57105e-06, 2.57441e-06, 2.57277e-06, 2.57312e-06, 2.57142e-06, 2.69413e-06, 2.62545e-06, 2.58238e-06, 1.38488e-05, 2.62999e-06, 2.57081e-06, 2.58622e-06, 3.29665e-06, 2.57049e-06, 9.07096e-06, 2.57048e-06, 2.57048e-06, 2.68237e-06
0.563465, 0, 3.45298e-05, 4.6222e-06, 1.41421, -3.45298e-05, 4.6222e-06, 4.62241e-06, 4.62321e-06, 4.62916e-06, 4.62626e-06, 4.62688e-06, 4.62386e-06, 4.85767e-06, 4.71942e-06, 4.64325e-06, 2.45681e-05, 4.69773e-06, 4.62279e-06, 4.6446e-06, 5.63325e-06, 4.62222e-06, 1.29041e-05, 4.6222e-06, 4.6222e-06, 4.82009e-06
0.571347, 0, 5.59958e-05, 8.17043e-06, 1.41421, -5.59958e-05, 8.17043e-06, 8.1708e-06, 8.17218e-06, 8.18253e-06, 8.17749e-06, 8.17857e-06, 8.17333e-06, 8.61279e-06, 8.33947e-06, 8.20702e-06, 4.2849e-05, 8.26595e-06, 8.17146e-06, 8.20212e-06, 9.57013e-06, 8.17046e-06, 1.87649e-05, 8.17043e-06, 8.17043e-06, 8.51449e-06
0.579228, 0, 9.10238e-05, 1.41983e-05, 1.41421, -9.10238e-05, 1.41983e-05, 1.4199e-05, 1.42013e-05, 1.4219e-05, 1.42104e-05, 1.42123e-05, 1.42033e-05, 1.50181e-05, 1.44873e-05, 1.42609e-05, 7.34772e-05, 1.43187e-05, 1.42001e-05, 1.42429e-05, 1.61256e-05, 1.41984e-05, 2.78362e-05, 1.41983e-05, 1.41983e-05, 1.47865e-05
0.58711, 0, 0.00014762, 2.42586e-05, 1.41421, -0.00014762, 2.42586e-05, 2.42596e-05, 2.42636e-05, 2.42933e-05, 2.42789e-05, 2.4282e-05, 2.42669e-05, 2.57568e-05, 2.47442e-05, 2.43637e-05, 0.000123893, 2.44098e-05, 2.42615e-05, 2.4321e-05, 2.68988e-05, 2.42587e-05, 4.19587e-05, 2.42586e-05, 2.42586e-05, 2.52471e-05
0.594991, 0, 0.00023797, 4.07529e-05, 1.41421, -0.00023797, 4.07529e-05, 4.07547e-05, 4.07612e-05, 4.08104e-05, 4.07864e-05, 4.07915e-05, 4.07666e-05, 4.34532e-05, 4.15556e-05, 4.09266e-05, 0.000205423, 4.09423e-05, 4.07578e-05, 4.08398e-05, 4.4353e-05, 4.0753e-05, 6.39544e-05, 4.07529e-05, 4.07529e-05, 4.23866e-05
0.602872, 0, 0.000380263, 6.7321e-05, 1.41421, -0.000380263, 6.7321e-05, 6.73239e-05, 6.73345e-05, 6.74144e-05, 6.73755e-05, 6.73838e-05, 6.73434e-05, 7.21194e-05, 6.86256e-05, 6.76034e-05, 0.000334965, 6.75577e-05, 6.73289e-05, 6.74414e-05, 7.22094e-05, 6.73213e-05, 9.80753e-05, 6.7321e-05, 6.7321e-05, 6.99764e-05
