   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_379.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.0770021, 0, 9.12922e-18, 0, 1.41421, -9.12922e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52079e-19, 0, 0, 2.32897e-23, 0, 2.89311e-18, 0, 6.08401e-18, 0, 0
0.0848653, 0, 1.76658e-17, 0, 1.41421, -1.76658e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92552e-19, 0, 0, 4.54913e-23, 0, 5.6695e-18, 0, 1.17037e-17, 0, 0
0.0927284, 0, 3.38851e-17, 0, 1.41421, -3.38851e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.57751e-19, 0, 0, 8.80858e-23, 0, 1.10141e-17, 0, 2.23131e-17, 0, 0
0.100592, 0, 6.44378e-17, 0, 1.41421, -6.44378e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05403e-18, 0, 0, 1.69113e-22, 0, 2.12165e-17, 0, 4.2167e-17, 0, 0
0.108455, 0, 1.21508e-16, 0, 1.41421, -1.21508e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97474e-18, 0, 0, 3.21965e-22, 0, 4.05325e-17, 0, 7.90005e-17, 0, 0
0.116318, 0, 2.27235e-16, 0, 1.41421, -2.27235e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.66838e-18, 0, 0, 6.07958e-22, 0, 7.68106e-17, 0, 1.46755e-16, 0, 0
0.124181, 0, 4.21519e-16, 0, 1.41421, -4.21519e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.75777e-18, 0, 0, 1.13876e-21, 0, 1.44412e-16, 0, 2.70348e-16, 0, 0
0.132044, 0, 7.75701e-16, 0, 1.41421, -7.75701e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23467e-17, 0, 0, 2.11612e-21, 0, 2.69415e-16, 0, 4.93938e-16, 0, 0
0.139907, 0, 1.41633e-15, 0, 1.41421, -1.41633e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23751e-17, 0, 0, 3.90168e-21, 0, 4.98817e-16, 0, 8.95131e-16, 0, 0
0.147771, 0, 2.56614e-15, 0, 1.41421, -2.56614e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02246e-17, 0, 0, 7.13865e-21, 0, 9.16702e-16, 0, 1.60921e-15, 0, 0
0.155634, 0, 4.61425e-15, 0, 1.41421, -4.61425e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.17419e-17, 0, 0, 1.29623e-20, 0, 1.67241e-15, 0, 2.87008e-15, 0, 0
0.163497, 0, 8.23516e-15, 0, 1.41421, -8.23516e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26954e-16, 0, 0, 2.33613e-20, 0, 3.02931e-15, 0, 5.07887e-15, 0, 0
0.17136, 0, 1.45896e-14, 0, 1.41421, -1.45896e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2292e-16, 0, 0, 4.17941e-20, 0, 5.44862e-15, 0, 8.91803e-15, 0, 0
0.179223, 0, 2.56603e-14, 0, 1.41421, -2.56603e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8843e-16, 0, 0, 7.42293e-20, 0, 9.73249e-15, 0, 1.55393e-14, 0, 0
0.187087, 0, 4.48097e-14, 0, 1.41421, -4.48097e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.71692e-16, 0, 0, 1.30895e-19, 0, 1.72666e-14, 0, 2.68713e-14, 0, 0
0.19495, 0, 7.76993e-14, 0, 1.41421, -7.76993e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15279e-15, 0, 0, 2.29194e-19, 0, 3.04288e-14, 0, 4.61174e-14, 0, 0
0.202813, 0, 1.33795e-13, 0, 1.41421, -1.33795e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96372e-15, 0, 0, 3.98529e-19, 0, 5.32731e-14, 0, 7.85579e-14, 0, 0
0.210676, 0, 2.28815e-13, 0, 1.41421, -2.28815e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32034e-15, 0, 0, 6.88246e-19, 0, 9.26664e-14, 0, 1.32828e-13, 0, 0
0.218539, 0, 3.88691e-13, 0, 1.41421, -3.88691e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.57296e-15, 0, 0, 1.18061e-18, 0, 1.60179e-13, 0, 2.22937e-13, 0, 0
0.226402, 0, 6.55899e-13, 0, 1.41421, -6.55899e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.2856e-15, 0, 0, 2.01186e-18, 0, 2.75166e-13, 0, 3.71446e-13, 0, 0
0.234266, 0, 1.09958e-12, 0, 1.41421, -1.09958e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53595e-14, 0, 0, 3.40628e-18, 0, 4.69828e-13, 0, 6.14394e-13, 0, 0
0.242129, 0, 1.83158e-12, 0, 1.41421, -1.83158e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52236e-14, 0, 0, 5.73087e-18, 0, 7.97434e-13, 0, 1.00892e-12, 0, 0
0.249992, 0, 3.03167e-12, 0, 1.41421, -3.03167e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11265e-14, 0, 0, 9.583e-18, 0, 1.34562e-12, 0, 1.64492e-12, 0, 0
0.257855, 0, 4.98712e-12, 0, 1.41421, -4.98712e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.65796e-14, 0, 0, 1.59295e-17, 0, 2.25779e-12, 0, 2.66274e-12, 0, 0
0.265718, 0, 8.15424e-12, 0, 1.41421, -8.15424e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07024e-13, 0, 0, 2.63274e-17, 0, 3.7674e-12, 0, 4.27979e-12, 0, 0
0.273581, 0, 1.3254e-11, 0, 1.41421, -1.3254e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70829e-13, 0, 0, 4.32742e-17, 0, 6.25276e-12, 0, 6.83041e-12, 0, 0
0.281445, 0, 2.14195e-11, 0, 1.41421, -2.14195e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7077e-13, 0, 0, 7.07581e-17, 0, 1.03241e-11, 0, 1.08246e-11, 0, 0
0.289308, 0, 3.44227e-11, 0, 1.41421, -3.44227e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26203e-13, 0, 0, 1.15128e-16, 0, 1.69615e-11, 0, 1.70349e-11, 0, 0
0.297171, 0, 5.50217e-11, 6.72623e-44, 1.41421, -5.50217e-11, 6.72623e-44, 0, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.66237e-13, 6.72623e-44, 6.72623e-44, 1.86461e-16, 6.72623e-44, 2.77334e-11, 6.72623e-44, 2.66219e-11, 6.72623e-44, 6.72623e-44
