   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_641.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.132857, 0, 8.55671e-15, 0, 1.41421, -8.55671e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79121e-20, 0, 2.69848e-15, 0, 5.8582e-15, 0, 0
0.140719, 0, 1.47842e-14, 0, 1.41421, -1.47842e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.62264e-20, 0, 4.74284e-15, 0, 1.00413e-14, 0, 0
0.148581, 0, 2.53776e-14, 0, 1.41421, -2.53776e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1493e-19, 0, 8.28474e-15, 0, 1.70927e-14, 0, 0
0.156442, 0, 4.32809e-14, 0, 1.41421, -4.32809e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98161e-19, 0, 1.4384e-14, 0, 2.88967e-14, 0, 0
0.164304, 0, 7.33456e-14, 0, 1.41421, -7.33456e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39491e-19, 0, 2.48245e-14, 0, 4.85207e-14, 0, 0
0.172166, 0, 1.23514e-13, 0, 1.41421, -1.23514e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.77957e-19, 0, 4.25912e-14, 0, 8.09227e-14, 0, 0
0.180028, 0, 2.06711e-13, 0, 1.41421, -2.06711e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.77828e-19, 0, 7.26504e-14, 0, 1.3406e-13, 0, 0
0.187889, 0, 3.4384e-13, 0, 1.41421, -3.4384e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64426e-18, 0, 1.23224e-13, 0, 2.20614e-13, 0, 0
0.195751, 0, 5.68492e-13, 0, 1.41421, -5.68492e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74829e-18, 0, 2.07834e-13, 0, 3.60655e-13, 0, 0
0.203613, 0, 9.34335e-13, 0, 1.41421, -9.34335e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.56651e-18, 0, 3.4861e-13, 0, 5.85721e-13, 0, 0
