   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_126.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.320389, 0, 7.20321e-10, 7.01931e-39, 1.41421, -7.20321e-10, 7.01931e-39, 0, 7.01931e-39, 7.01931e-39, 7.01931e-39, 7.01931e-39, 7.01931e-39, 7.01931e-39, 7.01931e-39, 7.01931e-39, 4.44336e-12, 7.01931e-39, 7.01931e-39, 2.6399e-14, 5.98092e-11, 7.01931e-39, 6.56042e-10, 7.01931e-39, 7.01931e-39
0.328263, 0, 1.06217e-09, 6.87074e-38, 1.41421, -1.06217e-09, 6.87074e-38, 0, 6.87074e-38, 6.87074e-38, 6.87074e-38, 6.87074e-38, 6.87074e-38, 6.87074e-38, 6.87074e-38, 6.87074e-38, 6.52358e-12, 6.87074e-38, 6.87074e-38, 4.1036e-14, 9.33835e-11, 6.87074e-38, 9.62222e-10, 6.87074e-38, 6.87074e-38
0.336138, 0, 1.55786e-09, 6.11952e-37, 1.41421, -1.55786e-09, 6.11952e-37, 0, 6.11952e-37, 6.11952e-37, 6.11952e-37, 6.11952e-37, 6.11952e-37, 6.11952e-37, 6.11952e-37, 6.11952e-37, 9.52218e-12, 6.11952e-37, 6.11952e-37, 6.37148e-14, 1.4541e-10, 6.11952e-37, 1.40287e-09, 6.11952e-37, 6.11952e-37
0.344012, 0, 2.27292e-09, 4.98524e-36, 1.41421, -2.27292e-09, 4.98524e-36, 0, 4.98524e-36, 4.98524e-36, 4.98524e-36, 4.98524e-36, 4.98524e-36, 4.98524e-36, 4.98524e-36, 4.98524e-36, 1.38193e-11, 4.98524e-36, 4.98524e-36, 9.88489e-14, 2.25859e-10, 4.98524e-36, 2.03314e-09, 4.98524e-36, 4.98524e-36
0.351887, 0, 3.29927e-09, 3.73308e-35, 1.41421, -3.29927e-09, 3.73308e-35, 0, 3.73308e-35, 3.73308e-35, 3.73308e-35, 3.73308e-35, 3.73308e-35, 3.73308e-35, 3.73308e-35, 3.73308e-35, 1.99419e-11, 3.73308e-35, 3.73308e-35, 1.53284e-13, 3.5002e-10, 3.73308e-35, 2.92916e-09, 3.73308e-35, 3.73308e-35
0.359761, 0, 4.76538e-09, 2.58101e-34, 1.41421, -4.76538e-09, 2.58101e-34, 0, 2.58101e-34, 2.58101e-34, 2.58101e-34, 2.58101e-34, 2.58101e-34, 2.58101e-34, 2.58101e-34, 2.58101e-34, 2.86153e-11, 2.58101e-34, 2.58101e-34, 2.37647e-13, 5.41306e-10, 2.58101e-34, 4.19522e-09, 2.58101e-34, 2.58101e-34
0.367636, 0, 6.8501e-09, 1.76067e-33, 1.41421, -6.8501e-09, 1.76067e-33, 0, 1.76067e-33, 1.76067e-33, 1.76067e-33, 1.76067e-33, 1.76067e-33, 1.76067e-33, 1.76067e-33, 1.76067e-33, 4.08337e-11, 1.76067e-33, 1.76067e-33, 3.68434e-13, 8.35529e-10, 1.76067e-33, 5.97336e-09, 1.76067e-33, 1.76067e-33
0.37551, 0, 9.80161e-09, 1.15114e-32, 1.41421, -9.80161e-09, 1.15114e-32, 0, 1.15114e-32, 1.15114e-32, 1.15114e-32, 1.15114e-32, 1.15114e-32, 1.15114e-32, 1.15114e-32, 1.15114e-32, 5.79503e-11, 1.15114e-32, 1.15114e-32, 5.71252e-13, 1.28738e-09, 1.15114e-32, 8.45571e-09, 1.15114e-32, 1.15114e-32
0.383385, 0, 1.39634e-08, 7.05595e-32, 1.41421, -1.39634e-08, 7.05595e-32, 0, 7.05595e-32, 7.05595e-32, 7.05595e-32, 7.05595e-32, 7.05595e-32, 7.05595e-32, 7.05595e-32, 7.05595e-32, 8.17986e-11, 7.05595e-32, 7.05595e-32, 8.85826e-13, 1.98024e-09, 7.05595e-32, 1.19005e-08, 7.05595e-32, 7.05595e-32
0.391259, 0, 1.98097e-08, 4.04034e-31, 1.41421, -1.98097e-08, 4.04034e-31, 0, 4.04034e-31, 4.04034e-31, 4.04034e-31, 4.04034e-31, 4.04034e-31, 4.04034e-31, 4.04034e-31, 4.04034e-31, 1.14849e-10, 4.04034e-31, 4.04034e-31, 1.3737e-12, 3.04099e-09, 4.04034e-31, 1.66525e-08, 4.04034e-31, 4.04034e-31
