   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_533.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.177771, 0, 2.85983e-10, 0, 1.41421, -2.85983e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00829e-12, 0, 0, 9.56055e-13, 0, 3.33035e-11, 0, 2.50715e-10, 0, 0, 0
0.185643, 0, 4.02362e-10, 0, 1.41421, -4.02362e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41112e-12, 0, 0, 1.38849e-12, 0, 4.8808e-11, 0, 3.50755e-10, 0, 0, 0
0.193514, 0, 5.64066e-10, 0, 1.41421, -5.64066e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96713e-12, 0, 0, 2.01332e-12, 0, 7.1325e-11, 0, 4.88761e-10, 0, 0, 0
0.201386, 0, 7.87949e-10, 0, 1.41421, -7.87949e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73152e-12, 0, 0, 2.91541e-12, 0, 1.03939e-10, 0, 6.78364e-10, 0, 0, 0
0.209258, 0, 1.09685e-09, 3.50325e-44, 1.41421, -1.09685e-09, 0, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.77823e-12, 3.50325e-44, 3.50325e-44, 4.21708e-12, 3.50325e-44, 1.51055e-10, 3.50325e-44, 9.37797e-10, 3.50325e-44, 3.50325e-44, 3.50325e-44
0.21713, 0, 1.52158e-09, 6.29183e-43, 1.41421, -1.52158e-09, 0, 6.29183e-43, 6.29183e-43, 6.29183e-43, 6.29183e-43, 6.29183e-43, 6.29183e-43, 6.29183e-43, 6.29183e-43, 6.29183e-43, 6.29183e-43, 6.29183e-43, 5.20585e-12, 6.29183e-43, 6.29183e-43, 6.09475e-12, 6.29183e-43, 2.18954e-10, 6.29183e-43, 1.29133e-09, 6.29183e-43, 6.29183e-43, 6.29183e-43
0.225002, 0, 2.10366e-09, 9.22335e-42, 1.41421, -2.10366e-09, 0, 9.22335e-42, 9.22335e-42, 9.22335e-42, 9.22335e-42, 9.22335e-42, 9.22335e-42, 9.22335e-42, 9.22335e-42, 9.22335e-42, 9.22335e-42, 9.22335e-42, 7.14537e-12, 9.22335e-42, 9.22335e-42, 8.80316e-12, 9.22335e-42, 3.16568e-10, 9.22335e-42, 1.77115e-09, 9.22335e-42, 9.22335e-42, 9.22335e-42
0.232874, 0, 2.89878e-09, 1.23173e-40, 1.41421, -2.89878e-09, 0, 1.23173e-40, 1.23173e-40, 1.23173e-40, 1.23173e-40, 1.23173e-40, 1.23173e-40, 1.23173e-40, 1.23173e-40, 1.23173e-40, 1.23173e-40, 1.23173e-40, 9.77005e-12, 1.23173e-40, 1.23173e-40, 1.27103e-11, 1.23173e-40, 4.5658e-10, 1.23173e-40, 2.41972e-09, 1.23173e-40, 1.23173e-40, 1.23173e-40
0.240746, 0, 3.98149e-09, 1.47534e-39, 1.41421, -3.98149e-09, 0, 1.47534e-39, 1.47534e-39, 1.47534e-39, 1.47534e-39, 1.47534e-39, 1.47534e-39, 1.47534e-39, 1.47534e-39, 1.47534e-39, 1.47534e-39, 1.47534e-39, 1.33082e-11, 1.47534e-39, 1.47534e-39, 1.83488e-11, 1.47534e-39, 6.56966e-10, 1.47534e-39, 3.29286e-09, 1.47534e-39, 1.47534e-39, 1.47534e-39
0.248618, 0, 5.45131e-09, 1.59198e-38, 1.41421, -5.45131e-09, 0, 1.59198e-38, 1.59198e-38, 1.59198e-38, 1.59198e-38, 1.59198e-38, 1.59198e-38, 1.59198e-38, 1.59198e-38, 1.59198e-38, 1.59198e-38, 1.59198e-38, 1.80595e-11, 1.59198e-38, 1.59198e-38, 2.64893e-11, 1.59198e-38, 9.43152e-10, 1.59198e-38, 4.46361e-09, 1.59198e-38, 1.59198e-38, 1.59198e-38
