   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_69.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.266105, 0, 2.09577e-21, 0, 1.41421, -2.09577e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04275e-23, 0, 0, 4.58421e-26, 2.04592e-25, 0, 2.08509e-21, 0, 0, 0
0.274008, 0, 6.83794e-21, 0, 1.41421, -6.83794e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4022e-23, 0, 0, 1.50354e-25, 6.86474e-25, 0, 6.80308e-21, 0, 0, 0
0.281911, 0, 2.17041e-20, 0, 1.41421, -2.17041e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07988e-22, 0, 0, 4.79876e-25, 2.23717e-24, 0, 2.15933e-20, 0, 0, 0
0.289814, 0, 6.71168e-20, 0, 1.41421, -6.71168e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33937e-22, 0, 0, 1.49262e-24, 7.09373e-24, 0, 6.67743e-20, 0, 0, 0
0.297717, 0, 2.02467e-19, 0, 1.41421, -2.02467e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00736e-21, 0, 0, 4.53048e-24, 2.19182e-23, 0, 2.01433e-19, 0, 0, 0
0.30562, 0, 5.9645e-19, 0, 1.41421, -5.9645e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96759e-21, 0, 0, 1.34334e-23, 6.60745e-23, 0, 5.93403e-19, 0, 0, 0
0.313524, 0, 1.71752e-18, 0, 1.41421, -1.71752e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54537e-21, 0, 0, 3.89487e-23, 1.94554e-22, 0, 1.70875e-18, 0, 0, 0
0.321427, 0, 4.83829e-18, 0, 1.41421, -4.83829e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40722e-20, 0, 0, 1.10516e-22, 5.60055e-22, 0, 4.81354e-18, 0, 0, 0
0.32933, 0, 1.33431e-17, 0, 1.41421, -1.33431e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.63858e-20, 0, 0, 3.0713e-22, 1.57754e-21, 0, 1.32748e-17, 0, 0, 0
0.337233, 0, 3.6046e-17, 0, 1.41421, -3.6046e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79336e-19, 0, 0, 8.36454e-22, 4.35092e-21, 0, 3.58615e-17, 0, 0, 0
