   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_78.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.306892, 0, 2.3477e-10, 6.74753e-41, 1.41421, -2.3477e-10, 6.74753e-41, 0, 6.74753e-41, 6.74753e-41, 6.74753e-41, 6.74753e-41, 6.74753e-41, 6.74753e-41, 6.74753e-41, 6.74753e-41, 6.74753e-41, 6.74753e-41, 6.74753e-41, 1.1319e-12, 6.74753e-41, 1.28928e-14, 5.3878e-14, 6.74753e-41, 2.33571e-10, 6.74753e-41, 6.74753e-41
0.314757, 0, 3.50384e-10, 7.85356e-40, 1.41421, -3.50384e-10, 7.85356e-40, 0, 7.85356e-40, 7.85356e-40, 7.85356e-40, 7.85356e-40, 7.85356e-40, 7.85356e-40, 7.85356e-40, 7.85356e-40, 7.85356e-40, 7.85356e-40, 7.85356e-40, 1.69039e-12, 7.85356e-40, 2.01843e-14, 8.49126e-14, 7.85356e-40, 3.48589e-10, 7.85356e-40, 7.85356e-40
0.322623, 0, 5.19782e-10, 8.24267e-39, 1.41421, -5.19782e-10, 8.24267e-39, 0, 8.24267e-39, 8.24267e-39, 8.24267e-39, 8.24267e-39, 8.24267e-39, 8.24267e-39, 8.24267e-39, 8.24267e-39, 8.24267e-39, 8.24267e-39, 8.24267e-39, 2.50955e-12, 8.24267e-39, 3.1532e-14, 1.33409e-13, 8.24267e-39, 5.17107e-10, 8.24267e-39, 8.24267e-39
0.330489, 0, 7.66445e-10, 7.84182e-38, 1.41421, -7.66445e-10, 7.84182e-38, 0, 7.84182e-38, 7.84182e-38, 7.84182e-38, 7.84182e-38, 7.84182e-38, 7.84182e-38, 7.84182e-38, 7.84182e-38, 7.84182e-38, 7.84182e-38, 7.84182e-38, 3.70384e-12, 7.84182e-38, 4.91725e-14, 2.09002e-13, 7.84182e-38, 7.62483e-10, 7.84182e-38, 7.84182e-38
0.338354, 0, 1.12341e-09, 6.79829e-37, 1.41421, -1.12341e-09, 6.79829e-37, 0, 6.79829e-37, 6.79829e-37, 6.79829e-37, 6.79829e-37, 6.79829e-37, 6.79829e-37, 6.79829e-37, 6.79829e-37, 6.79829e-37, 6.79829e-37, 6.79829e-37, 5.43473e-12, 6.79829e-37, 7.65762e-14, 3.2657e-13, 6.79829e-37, 1.11757e-09, 6.79829e-37, 6.79829e-37
0.34622, 0, 1.63681e-09, 5.39812e-36, 1.41421, -1.63681e-09, 5.39812e-36, 0, 5.39812e-36, 5.39812e-36, 5.39812e-36, 5.39812e-36, 5.39812e-36, 5.39812e-36, 5.39812e-36, 5.39812e-36, 5.39812e-36, 5.39812e-36, 5.39812e-36, 7.92858e-12, 5.39812e-36, 1.1913e-13, 5.09051e-13, 5.39812e-36, 1.62825e-09, 5.39812e-36, 5.39812e-36
0.354085, 0, 2.3707e-09, 3.94525e-35, 1.41421, -2.3707e-09, 3.94525e-35, 0, 3.94525e-35, 3.94525e-35, 3.94525e-35, 3.94525e-35, 3.94525e-35, 3.94525e-35, 3.94525e-35, 3.94525e-35, 3.94525e-35, 3.94525e-35, 3.94525e-35, 1.15009e-11, 3.94525e-35, 1.85201e-13, 7.91777e-13, 3.94525e-35, 2.35822e-09, 3.94525e-35, 3.94525e-35
0.361951, 0, 3.4134e-09, 2.66937e-34, 1.41421, -3.4134e-09, 2.66937e-34, 0, 2.66937e-34, 2.66937e-34, 2.66937e-34, 2.66937e-34, 2.66937e-34, 2.66937e-34, 2.66937e-34, 2.66937e-34, 2.66937e-34, 2.66937e-34, 2.66937e-34, 1.65886e-11, 2.66937e-34, 2.87793e-13, 1.2291e-12, 2.66937e-34, 3.39529e-09, 2.66937e-34, 2.66937e-34
0.369817, 0, 4.88588e-09, 1.80869e-33, 1.41421, -4.88588e-09, 1.80869e-33, 0, 1.80869e-33, 1.80869e-33, 1.80869e-33, 1.80869e-33, 1.80869e-33, 1.80869e-33, 1.80869e-33, 1.80869e-33, 1.80869e-33, 1.80869e-33, 1.80869e-33, 2.37937e-11, 1.80869e-33, 4.4712e-13, 1.90453e-12, 1.80869e-33, 4.85973e-09, 1.80869e-33, 1.80869e-33
0.377682, 0, 6.95274e-09, 1.16172e-32, 1.41421, -6.95274e-09, 1.16172e-32, 0, 1.16172e-32, 1.16172e-32, 1.16172e-32, 1.16172e-32, 1.16172e-32, 1.16172e-32, 1.16172e-32, 1.16172e-32, 1.16172e-32, 1.16172e-32, 1.16172e-32, 3.39405e-11, 1.16172e-32, 6.94594e-13, 2.94624e-12, 1.16172e-32, 6.91516e-09, 1.16172e-32, 1.16172e-32
0.385548, 0, 9.83656e-09, 6.97922e-32, 1.41421, -9.83656e-09, 6.97922e-32, 0, 6.97922e-32, 6.97922e-32, 6.97922e-32, 6.97922e-32, 6.97922e-32, 6.97922e-32, 6.97922e-32, 6.97922e-32, 6.97922e-32, 6.97922e-32, 6.97922e-32, 4.81517e-11, 6.97922e-32, 1.07901e-12, 4.55056e-12, 6.97922e-32, 9.78277e-09, 6.97922e-32, 6.97922e-32
0.393413, 0, 1.38363e-08, 3.91759e-31, 1.41421, -1.38363e-08, 3.91759e-31, 0, 3.91759e-31, 3.91759e-31, 3.91759e-31, 3.91759e-31, 3.91759e-31, 3.91759e-31, 3.91759e-31, 3.91759e-31, 3.91759e-31, 3.91759e-31, 3.91759e-31, 6.79483e-11, 3.91759e-31, 1.67609e-12, 7.01775e-12, 3.91759e-31, 1.37597e-08, 3.91759e-31, 3.91759e-31
0.401279, 0, 1.9351e-08, 2.05923e-30, 1.41421, -1.9351e-08, 2.05923e-30, 0, 2.05923e-30, 2.05923e-30, 2.05923e-30, 2.05923e-30, 2.05923e-30, 2.05923e-30, 2.05923e-30, 2.05923e-30, 2.05923e-30, 2.05923e-30, 2.05923e-30, 9.53798e-11, 2.05923e-30, 2.60312e-12, 1.08059e-11, 2.05923e-30, 1.92423e-08, 2.05923e-30, 2.05923e-30
0.409145, 0, 2.691e-08, 1.01666e-29, 1.41421, -2.691e-08, 1.01666e-29, 0, 1.01666e-29, 1.01666e-29, 1.01666e-29, 1.01666e-29, 1.01666e-29, 1.01666e-29, 1.01666e-29, 1.01666e-29, 1.01666e-29, 1.01666e-29, 1.01666e-29, 1.33194e-10, 1.01666e-29, 4.0414e-12, 1.66122e-11, 1.01666e-29, 2.67562e-08, 1.01666e-29, 1.01666e-29
0.41701, 0, 3.72105e-08, 4.72962e-29, 1.41421, -3.72105e-08, 4.72962e-29, 0, 4.72962e-29, 4.72962e-29, 4.72962e-29, 4.72962e-29, 4.72962e-29, 4.72962e-29, 4.72962e-29, 4.72962e-29, 4.72962e-29, 4.72962e-29, 4.72962e-29, 1.85056e-10, 4.72962e-29, 6.27037e-12, 2.54939e-11, 4.72962e-29, 3.69937e-08, 4.72962e-29, 4.72962e-29
0.424876, 0, 5.1166e-08, 2.07971e-28, 1.41421, -5.1166e-08, 2.07971e-28, 0, 2.07971e-28, 2.07971e-28, 2.07971e-28, 2.07971e-28, 2.07971e-28, 2.07971e-28, 2.07971e-28, 2.07971e-28, 2.07971e-28, 2.07971e-28, 2.07971e-28, 2.55831e-10, 2.07971e-28, 9.7194e-12, 3.90489e-11, 2.07971e-28, 5.08614e-08, 2.07971e-28, 2.07971e-28
0.432741, 0, 6.99651e-08, 8.66979e-28, 1.41421, -6.99651e-08, 8.66979e-28, 0, 8.66979e-28, 8.66979e-28, 8.66979e-28, 8.66979e-28, 8.66979e-28, 8.66979e-28, 8.66979e-28, 8.66979e-28, 8.66979e-28, 8.66979e-28, 8.66979e-28, 3.51949e-10, 8.66979e-28, 1.50455e-11, 5.96816e-11, 8.66979e-28, 6.95384e-08, 8.66979e-28, 8.66979e-28
0.440607, 0, 9.51453e-08, 3.43595e-27, 1.41421, -9.51453e-08, 3.43595e-27, 0, 3.43595e-27, 3.43595e-27, 3.43595e-27, 3.43595e-27, 3.43595e-27, 3.43595e-27, 3.43595e-27, 3.43595e-27, 3.43595e-27, 3.43595e-27, 3.43595e-27, 4.81864e-10, 3.43595e-27, 2.325e-11, 9.09934e-11, 3.43595e-27, 9.45492e-08, 3.43595e-27, 3.43595e-27
0.448473, 0, 1.28683e-07, 1.29797e-26, 1.41421, -1.28683e-07, 1.29797e-26, 0, 1.29797e-26, 1.29797e-26, 1.29797e-26, 1.29797e-26, 1.29797e-26, 1.29797e-26, 1.29797e-26, 1.38572e-13, 1.29797e-26, 1.29797e-26, 1.29797e-26, 6.56641e-10, 1.29797e-26, 3.58511e-11, 1.38349e-10, 1.29797e-26, 1.27852e-07, 1.29797e-26, 1.29797e-26
0.456338, 0, 1.73103e-07, 4.68551e-26, 1.41421, -1.73103e-07, 4.68551e-26, 0, 4.68551e-26, 4.68551e-26, 4.68551e-26, 4.68551e-26, 4.68551e-26, 4.68551e-26, 4.68551e-26, 4.43116e-13, 4.68551e-26, 4.68551e-26, 4.68551e-26, 8.90703e-10, 4.68551e-26, 5.51389e-11, 2.09693e-10, 4.68551e-26, 1.71947e-07, 4.68551e-26, 4.68551e-26
0.464204, 0, 2.31612e-07, 1.62657e-25, 1.41421, -2.31612e-07, 1.62657e-25, 0, 1.62657e-25, 1.62657e-25, 1.62657e-25, 1.62657e-25, 1.62657e-25, 1.62657e-25, 1.62657e-25, 1.09719e-12, 1.62657e-25, 1.62657e-25, 1.62657e-25, 1.20276e-09, 1.62657e-25, 8.45486e-11, 3.16719e-10, 1.62657e-25, 2.30007e-07, 1.62657e-25, 1.62657e-25
0.472069, 0, 3.10884e-07, 6.15898e-10, 1.41421, -3.10884e-07, 6.17407e-10, 6.15898e-10, 6.1591e-10, 6.1597e-10, 6.15927e-10, 6.16021e-10, 6.22796e-10, 6.16151e-10, 6.16437e-10, 6.24604e-10, 6.25721e-10, 6.21163e-10, 2.53505e-09, 2.2329e-09, 6.15945e-10, 7.451e-10, 1.09242e-09, 6.159e-10, 3.06692e-07, 6.15898e-10, 6.32816e-10
0.479935, 0, 4.16483e-07, 1.95903e-09, 1.41421, -4.16483e-07, 1.96384e-09, 1.95903e-09, 1.95907e-09, 1.95926e-09, 1.95913e-09, 1.95943e-09, 1.98101e-09, 1.95984e-09, 1.96075e-09, 1.98421e-09, 1.99033e-09, 1.97581e-09, 8.07378e-09, 4.12353e-09, 1.95919e-09, 2.15574e-09, 2.67293e-09, 1.95904e-09, 4.07136e-07, 1.95903e-09, 2.01294e-09
