   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_108.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0961277, 0, 3.11311e-28, 0, 1.41421, -3.11311e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.88372e-31, 0, 0, 4.24783e-33, 2.14016e-32, 0, 3.10297e-28, 0, 0
0.104016, 0, 1.70529e-27, 0, 1.41421, -1.70529e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.414e-30, 0, 0, 2.33213e-32, 1.43522e-31, 0, 1.69971e-27, 0, 0
0.111904, 0, 8.13571e-27, 0, 1.41421, -8.13571e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58292e-29, 0, 0, 1.11805e-31, 7.75282e-31, 0, 8.10899e-27, 0, 0
0.119792, 0, 3.5228e-26, 0, 1.41421, -3.5228e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11841e-28, 0, 0, 4.87338e-31, 3.66115e-30, 0, 3.5112e-26, 0, 0
0.12768, 0, 1.41688e-25, 0, 1.41421, -1.41688e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.49822e-28, 0, 0, 1.97517e-30, 1.57245e-29, 0, 1.4122e-25, 0, 0
0.135568, 0, 5.37016e-25, 0, 1.41421, -5.37016e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70488e-27, 0, 0, 7.54849e-30, 6.28236e-29, 0, 5.35241e-25, 0, 0
0.143455, 0, 1.9366e-24, 0, 1.41421, -1.9366e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.14812e-27, 0, 0, 2.74594e-29, 2.36765e-28, 0, 1.93019e-24, 0, 0
0.151343, 0, 6.69052e-24, 0, 1.41421, -6.69052e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12403e-26, 0, 0, 9.57244e-29, 8.49638e-28, 0, 6.66834e-24, 0, 0
0.159231, 0, 2.2256e-23, 0, 1.41421, -2.2256e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.06555e-26, 0, 0, 3.21394e-28, 2.92257e-27, 0, 2.21821e-23, 0, 0
0.167119, 0, 7.15629e-23, 0, 1.41421, -7.15629e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27188e-25, 0, 0, 1.04331e-27, 9.68409e-27, 0, 7.1325e-23, 0, 0
0.175007, 0, 2.23109e-22, 0, 1.41421, -2.23109e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08291e-25, 0, 0, 3.28466e-27, 3.10295e-26, 0, 2.22366e-22, 0, 0
0.182895, 0, 6.76102e-22, 0, 1.41421, -6.76102e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14638e-24, 0, 0, 1.00541e-26, 9.64326e-26, 0, 6.73849e-22, 0, 0
0.190783, 0, 1.99554e-21, 0, 1.41421, -1.99554e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.33508e-24, 0, 0, 2.99824e-26, 2.91385e-25, 0, 1.98888e-21, 0, 0
0.198671, 0, 5.74649e-21, 0, 1.41421, -5.74649e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82429e-23, 0, 0, 8.72575e-26, 8.57792e-25, 0, 5.7273e-21, 0, 0
0.206559, 0, 1.61685e-20, 0, 1.41421, -1.61685e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.13286e-23, 0, 0, 2.48192e-25, 2.46437e-24, 0, 1.61145e-20, 0, 0
0.214447, 0, 4.45035e-20, 0, 1.41421, -4.45035e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4128e-22, 0, 0, 6.90813e-25, 6.91927e-24, 0, 4.43546e-20, 0, 0
0.222335, 0, 1.1996e-19, 0, 1.41421, -1.1996e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80824e-22, 0, 0, 1.8836e-24, 1.90098e-23, 0, 1.19559e-19, 0, 0
0.230223, 0, 3.16958e-19, 0, 1.41421, -3.16958e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00621e-21, 0, 0, 5.03595e-24, 5.11585e-23, 0, 3.15896e-19, 0, 0
