   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_541.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.205148, 0, 5.72e-10, 4.62428e-44, 1.41421, -5.72e-10, 0, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 5.99505e-12, 4.62428e-44, 4.62428e-44, 7.7431e-12, 4.62428e-44, 4.62428e-44, 5.58262e-10, 4.62428e-44, 4.62428e-44, 4.62428e-44
0.213003, 0, 7.84155e-10, 7.72115e-43, 1.41421, -7.84155e-10, 0, 7.72115e-43, 7.72115e-43, 7.72115e-43, 7.72115e-43, 7.72115e-43, 7.72115e-43, 7.72115e-43, 7.72115e-43, 7.72115e-43, 8.218e-12, 7.72115e-43, 7.72115e-43, 1.11544e-11, 7.72115e-43, 7.72115e-43, 7.64783e-10, 7.72115e-43, 7.72115e-43, 7.72115e-43
0.220858, 0, 1.07098e-09, 1.11768e-41, 1.41421, -1.07098e-09, 0, 1.11768e-41, 1.11768e-41, 1.11768e-41, 1.11768e-41, 1.11768e-41, 1.11768e-41, 1.11768e-41, 1.11768e-41, 1.11768e-41, 1.12232e-11, 1.11768e-41, 1.11768e-41, 1.6062e-11, 1.11768e-41, 1.11768e-41, 1.04369e-09, 1.11768e-41, 1.11768e-41, 1.11768e-41
0.228713, 0, 1.45728e-09, 1.43462e-40, 1.41421, -1.45728e-09, 0, 1.43462e-40, 1.43462e-40, 1.43462e-40, 1.43462e-40, 1.43462e-40, 1.43462e-40, 1.43462e-40, 1.43462e-40, 1.43462e-40, 1.52704e-11, 1.43462e-40, 1.43462e-40, 2.31243e-11, 1.43462e-40, 1.43462e-40, 1.41889e-09, 1.43462e-40, 1.43462e-40, 1.43462e-40
0.236568, 0, 1.97561e-09, 1.6486e-39, 1.41421, -1.97561e-09, 0, 1.6486e-39, 1.6486e-39, 1.6486e-39, 1.6486e-39, 1.6486e-39, 1.6486e-39, 1.6486e-39, 1.6486e-39, 1.6486e-39, 2.07004e-11, 1.6486e-39, 1.6486e-39, 3.32919e-11, 1.6486e-39, 1.6486e-39, 1.92161e-09, 1.6486e-39, 1.6486e-39, 1.6486e-39
0.244423, 0, 2.66849e-09, 1.70846e-38, 1.41421, -2.66849e-09, 0, 1.70846e-38, 1.70846e-38, 1.70846e-38, 1.70846e-38, 1.70846e-38, 1.70846e-38, 1.70846e-38, 1.70846e-38, 1.70846e-38, 2.79586e-11, 1.70846e-38, 1.70846e-38, 4.79375e-11, 1.70846e-38, 1.70846e-38, 2.59259e-09, 1.70846e-38, 1.70846e-38, 1.70846e-38
0.252278, 0, 3.59131e-09, 1.60463e-37, 1.41421, -3.59131e-09, 0, 1.60463e-37, 1.60463e-37, 1.60463e-37, 1.60463e-37, 1.60463e-37, 1.60463e-37, 1.60463e-37, 1.60463e-37, 1.60463e-37, 3.76246e-11, 1.60463e-37, 1.60463e-37, 6.90459e-11, 1.60463e-37, 1.60463e-37, 3.48464e-09, 1.60463e-37, 1.60463e-37, 1.60463e-37
0.260133, 0, 4.81594e-09, 1.37255e-36, 1.41421, -4.81594e-09, 0, 1.37255e-36, 1.37255e-36, 1.37255e-36, 1.37255e-36, 1.37255e-36, 1.37255e-36, 1.37255e-36, 1.37255e-36, 1.37255e-36, 5.04499e-11, 1.37255e-36, 1.37255e-36, 9.94869e-11, 1.37255e-36, 1.37255e-36, 4.666e-09, 1.37255e-36, 1.37255e-36, 1.37255e-36
0.267988, 0, 6.43522e-09, 1.07494e-35, 1.41421, -6.43522e-09, 0, 1.07494e-35, 1.07494e-35, 1.07494e-35, 1.07494e-35, 1.07494e-35, 1.07494e-35, 1.07494e-35, 1.07494e-35, 1.07494e-35, 6.74054e-11, 1.07494e-35, 1.07494e-35, 1.43409e-10, 1.07494e-35, 1.07494e-35, 6.22441e-09, 1.07494e-35, 1.07494e-35, 1.07494e-35
0.275844, 0, 8.56885e-09, 7.74657e-35, 1.41421, -8.56885e-09, 0, 7.74657e-35, 7.74657e-35, 7.74657e-35, 7.74657e-35, 7.74657e-35, 7.74657e-35, 7.74657e-35, 7.74657e-35, 7.74657e-35, 8.97409e-11, 7.74657e-35, 7.74657e-35, 2.06812e-10, 7.74657e-35, 7.74657e-35, 8.2723e-09, 7.74657e-35, 7.74657e-35, 7.74657e-35
0.283699, 0, 1.13705e-08, 5.09878e-34, 1.41421, -1.13705e-08, 0, 5.09878e-34, 5.09878e-34, 5.09878e-34, 5.09878e-34, 5.09878e-34, 5.09878e-34, 5.09878e-34, 5.09878e-34, 5.09878e-34, 1.19059e-10, 5.09878e-34, 5.09878e-34, 2.98361e-10, 5.09878e-34, 5.09878e-34, 1.09531e-08, 5.09878e-34, 5.09878e-34, 5.09878e-34
0.291554, 0, 1.50368e-08, 3.39787e-33, 1.41421, -1.50368e-08, 0, 3.39787e-33, 3.39787e-33, 3.39787e-33, 3.39787e-33, 3.39787e-33, 3.39787e-33, 3.39787e-33, 3.39787e-33, 3.39787e-33, 1.57408e-10, 3.39787e-33, 3.39787e-33, 4.30565e-10, 3.39787e-33, 3.39787e-33, 1.44489e-08, 3.39787e-33, 3.39787e-33, 3.39787e-33
0.299409, 0, 1.9819e-08, 2.15268e-32, 1.41421, -1.9819e-08, 0, 2.15268e-32, 2.15268e-32, 2.15268e-32, 2.15268e-32, 2.15268e-32, 2.15268e-32, 2.15268e-32, 2.15268e-32, 2.15268e-32, 2.07397e-10, 2.15268e-32, 2.15268e-32, 6.21455e-10, 2.15268e-32, 2.15268e-32, 1.89901e-08, 2.15268e-32, 2.15268e-32, 2.15268e-32
0.307264, 0, 2.60365e-08, 1.27177e-31, 1.41421, -2.60365e-08, 0, 1.27177e-31, 1.27177e-31, 1.27177e-31, 1.27177e-31, 1.27177e-31, 1.27177e-31, 1.27177e-31, 1.27177e-31, 1.27177e-31, 2.72337e-10, 1.27177e-31, 1.27177e-31, 8.96977e-10, 1.27177e-31, 1.27177e-31, 2.48672e-08, 1.27177e-31, 1.27177e-31, 1.27177e-31
0.315119, 0, 3.40952e-08, 7.02518e-31, 1.41421, -3.40952e-08, 0, 7.02518e-31, 7.02518e-31, 7.02518e-31, 7.02518e-31, 7.02518e-31, 7.02518e-31, 7.02518e-31, 7.02518e-31, 7.02518e-31, 3.56417e-10, 7.02518e-31, 7.02518e-31, 1.2944e-09, 7.02518e-31, 7.02518e-31, 3.24444e-08, 7.02518e-31, 7.02518e-31, 7.02518e-31
0.322974, 0, 4.45089e-08, 3.63334e-30, 1.41421, -4.45089e-08, 0, 3.63334e-30, 3.63334e-30, 3.63334e-30, 3.63334e-30, 3.63334e-30, 3.63334e-30, 3.63334e-30, 3.63334e-30, 3.63334e-30, 4.64918e-10, 3.63334e-30, 3.63334e-30, 1.86712e-09, 3.63334e-30, 3.63334e-30, 4.21768e-08, 3.63334e-30, 3.63334e-30, 3.63334e-30
