   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_24.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.180473, 0, 1.95322e-12, 0, 1.41421, -1.95322e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08457e-14, 0, 0, 8.06523e-17, 0, 4.16131e-15, 0, 1.92814e-12, 0, 0
0.188333, 0, 3.16264e-12, 0, 1.41421, -3.16264e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37524e-14, 0, 0, 1.33455e-16, 0, 6.94597e-15, 0, 3.12181e-12, 0, 0
0.196193, 0, 5.08939e-12, 0, 1.41421, -5.08939e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.43144e-14, 0, 0, 2.19609e-16, 0, 1.15344e-14, 0, 5.02332e-12, 0, 0
0.204052, 0, 8.13976e-12, 0, 1.41421, -8.13976e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.68681e-14, 0, 0, 3.59428e-16, 0, 1.90566e-14, 0, 8.03348e-12, 0, 0
0.211912, 0, 1.2939e-11, 0, 1.41421, -1.2939e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38088e-13, 0, 0, 5.85173e-16, 0, 3.13275e-14, 0, 1.2769e-11, 0, 0
0.219772, 0, 2.04429e-11, 0, 1.41421, -2.04429e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1818e-13, 0, 0, 9.47813e-16, 0, 5.12479e-14, 0, 2.01725e-11, 0, 0
0.227632, 0, 3.21035e-11, 0, 1.41421, -3.21035e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42652e-13, 0, 0, 1.52754e-15, 0, 8.34334e-14, 0, 3.16759e-11, 0, 0
0.235492, 0, 5.01116e-11, 0, 1.41421, -5.01116e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.34912e-13, 0, 0, 2.45002e-15, 0, 1.35195e-13, 0, 4.9439e-11, 0, 0
0.243351, 0, 7.7752e-11, 0, 1.41421, -7.7752e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.30073e-13, 0, 0, 3.91143e-15, 0, 2.18067e-13, 0, 7.66999e-11, 0, 0
0.251211, 0, 1.19917e-10, 0, 1.41421, -1.19917e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28047e-12, 0, 0, 6.21709e-15, 0, 3.50171e-13, 0, 1.1828e-10, 0, 0
