   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_830.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0746628, 0, 1.57501e-17, 0, 1.41421, -1.57501e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51486e-19, 0, 0, 0, 3.08367e-18, 0, 1.2515e-17, 0, 0, 0
0.0825251, 0, 3.04139e-17, 0, 1.41421, -3.04139e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91524e-19, 0, 0, 0, 6.03822e-18, 0, 2.40842e-17, 0, 0, 0
0.0903874, 0, 5.82032e-17, 0, 1.41421, -5.82032e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.55921e-19, 0, 0, 0, 1.172e-17, 0, 4.59272e-17, 0, 0, 0
0.0982497, 0, 1.10407e-16, 0, 1.41421, -1.10407e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05068e-18, 0, 0, 0, 2.25544e-17, 0, 8.68021e-17, 0, 0, 0
0.106112, 0, 2.07639e-16, 0, 1.41421, -2.07639e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96849e-18, 0, 0, 0, 4.30441e-17, 0, 1.62626e-16, 0, 0, 0
0.113974, 0, 3.87221e-16, 0, 1.41421, -3.87221e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65651e-18, 0, 0, 0, 8.14832e-17, 0, 3.02082e-16, 0, 0, 0
0.121836, 0, 7.16178e-16, 0, 1.41421, -7.16178e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.73501e-18, 0, 0, 0, 1.53031e-16, 0, 5.56412e-16, 0, 0, 0
0.129699, 0, 1.31391e-15, 0, 1.41421, -1.31391e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23031e-17, 0, 0, 0, 2.85187e-16, 0, 1.01642e-15, 0, 0, 0
0.137561, 0, 2.3914e-15, 0, 1.41421, -2.3914e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22919e-17, 0, 0, 0, 5.27464e-16, 0, 1.84165e-15, 0, 0, 0
0.145423, 0, 4.31859e-15, 0, 1.41421, -4.31859e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00673e-17, 0, 0, 0, 9.68359e-16, 0, 3.31016e-15, 0, 0, 0
0.153286, 0, 7.73911e-15, 0, 1.41421, -7.73911e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.14484e-17, 0, 0, 0, 1.76494e-15, 0, 5.90273e-15, 0, 0, 0
0.161148, 0, 1.37642e-14, 0, 1.41421, -1.37642e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26415e-16, 0, 0, 0, 3.19398e-15, 0, 1.04438e-14, 0, 0, 0
0.16901, 0, 2.42981e-14, 0, 1.41421, -2.42981e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21947e-16, 0, 0, 0, 5.7399e-15, 0, 1.83362e-14, 0, 0, 0
0.176872, 0, 4.25793e-14, 0, 1.41421, -4.25793e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.86707e-16, 0, 0, 0, 1.02447e-14, 0, 3.19479e-14, 0, 0, 0
0.184735, 0, 7.40757e-14, 0, 1.41421, -7.40757e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.68699e-16, 0, 0, 0, 1.81623e-14, 0, 5.52447e-14, 0, 0, 0
0.192597, 0, 1.27951e-13, 0, 1.41421, -1.27951e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1477e-15, 0, 0, 0, 3.19865e-14, 0, 9.48169e-14, 0, 0, 0
0.200459, 0, 2.19454e-13, 0, 1.41421, -2.19454e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95524e-15, 0, 0, 0, 5.5967e-14, 0, 1.61532e-13, 0, 0, 0
0.208321, 0, 3.73775e-13, 0, 1.41421, -3.73775e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30657e-15, 0, 0, 0, 9.72999e-14, 0, 2.73169e-13, 0, 0, 0
0.216184, 0, 6.3226e-13, 0, 1.41421, -6.3226e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.55118e-15, 0, 0, 0, 1.68111e-13, 0, 4.58598e-13, 0, 0, 0
0.224046, 0, 1.06226e-12, 0, 1.41421, -1.06226e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.25219e-15, 0, 0, 0, 2.88672e-13, 0, 7.64336e-13, 0, 0, 0
0.231908, 0, 1.77278e-12, 0, 1.41421, -1.77278e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53102e-14, 0, 0, 0, 4.92712e-13, 0, 1.26476e-12, 0, 0, 0
0.239771, 0, 2.93905e-12, 0, 1.41421, -2.93905e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51541e-14, 0, 0, 0, 8.36011e-13, 0, 2.07789e-12, 0, 0, 0
0.247633, 0, 4.84094e-12, 0, 1.41421, -4.84094e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1035e-14, 0, 0, 0, 1.41032e-12, 0, 3.38958e-12, 0, 0, 0
0.255495, 0, 7.9226e-12, 0, 1.41421, -7.9226e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64714e-14, 0, 0, 0, 2.36579e-12, 0, 5.49034e-12, 0, 0, 0
0.263357, 0, 1.28845e-11, 0, 1.41421, -1.28845e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06922e-13, 0, 0, 0, 3.94682e-12, 0, 8.83071e-12, 0, 0, 0
0.27122, 0, 2.08245e-11, 0, 1.41421, -2.08245e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70793e-13, 0, 0, 0, 6.54945e-12, 0, 1.41043e-11, 0, 0, 0
0.279082, 0, 3.34545e-11, 0, 1.41421, -3.34545e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70935e-13, 0, 0, 0, 1.08126e-11, 0, 2.2371e-11, 0, 0, 0
0.286944, 0, 5.34708e-11, 0, 1.41421, -5.34708e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26973e-13, 0, 0, 0, 1.77957e-11, 0, 3.52481e-11, 0, 0, 0
0.294806, 0, 8.49009e-11, 2.60642e-43, 1.41421, -8.49009e-11, 2.60642e-43, 0, 2.60642e-43, 2.60642e-43, 2.60642e-43, 2.60642e-43, 2.60642e-43, 2.60642e-43, 2.60642e-43, 2.60642e-43, 2.60642e-43, 2.60642e-43, 6.68047e-13, 2.60642e-43, 2.60642e-43, 2.60642e-43, 2.90955e-11, 2.60642e-43, 5.51374e-11, 2.60642e-43, 2.60642e-43, 2.60642e-43
0.302669, 0, 1.34056e-10, 4.40568e-42, 1.41421, -1.34056e-10, 4.40568e-42, 0, 4.40568e-42, 4.40568e-42, 4.40568e-42, 4.40568e-42, 4.40568e-42, 4.40568e-42, 4.40568e-42, 4.40568e-42, 4.40568e-42, 4.40568e-42, 1.03815e-12, 4.40568e-42, 4.40568e-42, 4.40568e-42, 4.73574e-11, 4.40568e-42, 8.566e-11, 4.40568e-42, 4.40568e-42, 4.40568e-42
0.310531, 0, 2.10532e-10, 6.19066e-41, 1.41421, -2.10532e-10, 6.19066e-41, 0, 6.19066e-41, 6.19066e-41, 6.19066e-41, 6.19066e-41, 6.19066e-41, 6.19066e-41, 6.19066e-41, 6.19066e-41, 6.19066e-41, 6.19066e-41, 1.60242e-12, 6.19066e-41, 6.19066e-41, 6.19066e-41, 7.67554e-11, 6.19066e-41, 1.32174e-10, 6.19066e-41, 6.19066e-41, 6.19066e-41
0.318393, 0, 3.28934e-10, 7.7328e-40, 1.41421, -3.28934e-10, 7.7328e-40, 0, 7.7328e-40, 7.7328e-40, 7.7328e-40, 7.7328e-40, 7.7328e-40, 7.7328e-40, 7.7328e-40, 7.7328e-40, 7.7328e-40, 7.7328e-40, 2.45685e-12, 7.7328e-40, 7.7328e-40, 7.7328e-40, 1.23911e-10, 7.7328e-40, 2.02566e-10, 7.7328e-40, 7.7328e-40, 7.7328e-40
0.326256, 0, 5.11396e-10, 8.64377e-39, 1.41421, -5.11396e-10, 8.64377e-39, 0, 8.64377e-39, 8.64377e-39, 8.64377e-39, 8.64377e-39, 8.64377e-39, 8.64377e-39, 8.64377e-39, 8.64377e-39, 8.64377e-39, 8.64377e-39, 3.74184e-12, 8.64377e-39, 8.64377e-39, 8.64377e-39, 1.99299e-10, 8.64377e-39, 3.08355e-10, 8.64377e-39, 8.64377e-39, 8.64377e-39
