   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_765.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.434956, 0, 1.04681e-10, 3.63137e-36, 1.41421, -1.04681e-10, 0, 3.63137e-36, 3.63137e-36, 3.63137e-36, 3.63137e-36, 3.63137e-36, 3.63137e-36, 3.63137e-36, 3.63137e-36, 3.63137e-36, 8.68795e-13, 3.63137e-36, 3.63137e-36, 1.39056e-13, 3.63137e-36, 1.58141e-14, 3.63137e-36, 1.03657e-10, 3.63137e-36, 3.63137e-36
0.442882, 0, 1.84803e-10, 2.91338e-35, 1.41421, -1.84803e-10, 0, 2.91338e-35, 2.91338e-35, 2.91338e-35, 2.91338e-35, 2.91338e-35, 2.91338e-35, 2.91338e-35, 2.91338e-35, 2.91338e-35, 1.53463e-12, 2.91338e-35, 2.91338e-35, 2.60964e-13, 2.91338e-35, 2.90417e-14, 2.91338e-35, 1.82979e-10, 2.91338e-35, 2.91338e-35
0.450808, 0, 3.22197e-10, 2.13988e-34, 1.41421, -3.22197e-10, 0, 2.13988e-34, 2.13988e-34, 2.13988e-34, 2.13988e-34, 2.13988e-34, 2.13988e-34, 2.13988e-34, 2.13988e-34, 2.13988e-34, 2.67759e-12, 2.13988e-34, 2.13988e-34, 4.88267e-13, 2.13988e-34, 5.29e-14, 2.13988e-34, 3.18978e-10, 2.13988e-34, 2.13988e-34
0.458734, 0, 5.54817e-10, 1.51919e-33, 1.41421, -5.54817e-10, 0, 1.51919e-33, 1.51919e-33, 1.51919e-33, 1.51919e-33, 1.51919e-33, 1.51919e-33, 1.51919e-33, 1.51919e-33, 1.51919e-33, 4.61531e-12, 1.51919e-33, 1.51919e-33, 9.11853e-13, 1.51919e-33, 9.56784e-14, 1.51919e-33, 5.49194e-10, 1.51919e-33, 1.51919e-33
0.466659, 0, 9.43715e-10, 1.04384e-32, 1.41421, -9.43715e-10, 0, 1.04384e-32, 1.04384e-32, 1.04384e-32, 1.04384e-32, 1.04384e-32, 1.04384e-32, 1.04384e-32, 1.04384e-32, 1.04384e-32, 7.86043e-12, 1.04384e-32, 1.04384e-32, 1.70138e-12, 1.04384e-32, 1.72042e-13, 1.04384e-32, 9.33981e-10, 1.04384e-32, 1.04384e-32
0.474585, 0, 1.58578e-09, 6.77341e-32, 1.41421, -1.58578e-09, 0, 6.77341e-32, 6.77341e-32, 6.77341e-32, 6.77341e-32, 6.77341e-32, 6.77341e-32, 6.77341e-32, 6.77341e-32, 6.77341e-32, 1.323e-11, 6.77341e-32, 6.77341e-32, 3.17388e-12, 6.77341e-32, 3.0798e-13, 6.77341e-32, 1.56907e-09, 6.77341e-32, 6.77341e-32
0.482511, 0, 2.63277e-09, 4.12465e-31, 1.41421, -2.63277e-09, 0, 4.12465e-31, 4.12465e-31, 4.12465e-31, 4.12465e-31, 4.12465e-31, 4.12465e-31, 4.12465e-31, 4.12465e-31, 4.12465e-31, 2.20102e-11, 4.12465e-31, 4.12465e-31, 5.92161e-12, 4.12465e-31, 5.49724e-13, 4.12465e-31, 2.60429e-09, 4.12465e-31, 4.12465e-31
0.490437, 0, 4.31922e-09, 2.35466e-30, 1.41421, -4.31922e-09, 0, 2.35466e-30, 2.35466e-30, 2.35466e-30, 2.35466e-30, 2.35466e-30, 2.35466e-30, 2.35466e-30, 2.35466e-30, 2.35466e-30, 3.6202e-11, 2.35466e-30, 2.35466e-30, 1.1049e-11, 2.35466e-30, 9.79902e-13, 2.35466e-30, 4.27099e-09, 2.35466e-30, 2.35466e-30
0.498363, 0, 7.00296e-09, 1.26242e-29, 1.41421, -7.00296e-09, 0, 1.26242e-29, 1.26242e-29, 1.26242e-29, 1.26242e-29, 1.26242e-29, 1.26242e-29, 1.26242e-29, 1.26242e-29, 1.26242e-29, 5.88828e-11, 1.26242e-29, 1.26242e-29, 2.06084e-11, 1.26242e-29, 1.74704e-12, 1.26242e-29, 6.92172e-09, 1.26242e-29, 1.26242e-29
0.506289, 0, 1.1223e-08, 6.37481e-29, 1.41421, -1.1223e-08, 0, 6.37481e-29, 6.37481e-29, 6.37481e-29, 6.37481e-29, 6.37481e-29, 6.37481e-29, 6.37481e-29, 6.37481e-29, 6.37481e-29, 9.47328e-11, 6.37481e-29, 6.37481e-29, 3.83933e-11, 6.37481e-29, 3.1195e-12, 6.37481e-29, 1.10867e-08, 6.37481e-29, 6.37481e-29
