   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_764.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.225811, 0, 6.43464e-14, 0, 1.41421, -6.43464e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.20085e-16, 0, 0, 4.30092e-17, 0, 0, 6.38833e-14, 0, 0, 0
0.233814, 0, 1.12985e-13, 0, 1.41421, -1.12985e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.37616e-16, 0, 0, 7.70599e-17, 0, 0, 1.1217e-13, 0, 0, 0
0.241818, 0, 1.96843e-13, 0, 1.41421, -1.96843e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28507e-15, 0, 0, 1.37098e-16, 0, 0, 1.95421e-13, 0, 0, 0
0.249821, 0, 3.40286e-13, 0, 1.41421, -3.40286e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22152e-15, 0, 0, 2.42237e-16, 0, 0, 3.37822e-13, 0, 0, 0
0.257825, 0, 5.83723e-13, 0, 1.41421, -5.83723e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8108e-15, 0, 0, 4.25133e-16, 0, 0, 5.79487e-13, 0, 0, 0
0.265828, 0, 9.93635e-13, 0, 1.41421, -9.93635e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.48699e-15, 0, 0, 7.41257e-16, 0, 0, 9.86407e-13, 0, 0, 0
0.273832, 0, 1.67848e-12, 0, 1.41421, -1.67848e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09584e-14, 0, 0, 1.28429e-15, 0, 0, 1.66624e-12, 0, 0, 0
0.281835, 0, 2.8138e-12, 0, 1.41421, -2.8138e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83713e-14, 0, 0, 2.21169e-15, 0, 0, 2.79322e-12, 0, 0, 0
0.289839, 0, 4.68132e-12, 0, 1.41421, -4.68132e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05663e-14, 0, 0, 3.78674e-15, 0, 0, 4.64697e-12, 0, 0, 0
0.297842, 0, 7.72952e-12, 0, 1.41421, -7.72952e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.04736e-14, 0, 0, 6.44798e-15, 0, 0, 7.6726e-12, 0, 0, 0
0.305846, 0, 1.26666e-11, 0, 1.41421, -1.26666e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.27223e-14, 0, 0, 1.09232e-14, 0, 0, 1.25729e-11, 0, 0, 0
0.313849, 0, 2.06014e-11, 1.09301e-43, 1.41421, -2.06014e-11, 0, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.34564e-13, 1.09301e-43, 1.09301e-43, 1.84169e-14, 1.09301e-43, 1.09301e-43, 2.04485e-11, 1.09301e-43, 1.09301e-43, 1.09301e-43
0.321853, 0, 3.32567e-11, 1.88054e-42, 1.41421, -3.32567e-11, 0, 1.88054e-42, 1.88054e-42, 1.88054e-42, 1.88054e-42, 1.88054e-42, 1.88054e-42, 1.88054e-42, 1.88054e-42, 2.1727e-13, 1.88054e-42, 1.88054e-42, 3.09177e-14, 1.88054e-42, 1.88054e-42, 3.30085e-11, 1.88054e-42, 1.88054e-42, 1.88054e-42
0.329856, 0, 5.32861e-11, 2.69456e-41, 1.41421, -5.32861e-11, 0, 2.69456e-41, 2.69456e-41, 2.69456e-41, 2.69456e-41, 2.69456e-41, 2.69456e-41, 2.69456e-41, 2.69456e-41, 3.48218e-13, 2.69456e-41, 2.69456e-41, 5.17044e-14, 2.69456e-41, 2.69456e-41, 5.28861e-11, 2.69456e-41, 2.69456e-41, 2.69456e-41
0.33786, 0, 8.47449e-11, 3.40984e-40, 1.41421, -8.47449e-11, 0, 3.40984e-40, 3.40984e-40, 3.40984e-40, 3.40984e-40, 3.40984e-40, 3.40984e-40, 3.40984e-40, 3.40984e-40, 5.53984e-13, 3.40984e-40, 3.40984e-40, 8.61773e-14, 3.40984e-40, 3.40984e-40, 8.41048e-11, 3.40984e-40, 3.40984e-40, 3.40984e-40
0.345863, 0, 1.3378e-10, 3.86586e-39, 1.41421, -1.3378e-10, 0, 3.86586e-39, 3.86586e-39, 3.86586e-39, 3.86586e-39, 3.86586e-39, 3.86586e-39, 3.86586e-39, 3.86586e-39, 8.74899e-13, 3.86586e-39, 3.86586e-39, 1.43229e-13, 3.86586e-39, 3.86586e-39, 1.32761e-10, 3.86586e-39, 3.86586e-39, 3.86586e-39
