   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_119.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.462005, 0, 3.14633e-07, 3.82737e-25, 1.41421, -3.14633e-07, 1.02967e-12, 0, 9.82051e-15, 7.54972e-14, 1.9008e-12, 1.86827e-13, 3.78123e-13, 2.53931e-13, 6.39952e-12, 8.36066e-12, 2.0828e-12, 1.56306e-09, 1.38255e-09, 6.24073e-13, 2.97211e-14, 1.35302e-10, 2.84454e-08, 1.97448e-15, 2.83068e-07, 3.82737e-25, 1.68899e-11
0.469878, 0, 4.2287e-07, 6.81512e-10, 1.41421, -4.2287e-07, 6.84759e-10, 6.81512e-10, 6.81543e-10, 6.8175e-10, 6.87506e-10, 6.82101e-10, 6.82704e-10, 6.82312e-10, 7.00816e-10, 7.07879e-10, 6.8808e-10, 5.61097e-09, 2.52081e-09, 6.8348e-10, 6.81605e-10, 8.8632e-10, 4.29534e-08, 6.81518e-10, 3.73505e-07, 6.81512e-10, 7.34778e-10
0.477751, 0, 5.68407e-07, 2.14628e-09, 1.41421, -5.68407e-07, 2.15421e-09, 2.14628e-09, 2.14635e-09, 2.14686e-09, 2.16092e-09, 2.14772e-09, 2.14919e-09, 2.14823e-09, 2.19274e-09, 2.21067e-09, 2.16232e-09, 1.41839e-08, 4.58307e-09, 2.15108e-09, 2.14651e-09, 2.45507e-09, 6.47008e-08, 2.14629e-09, 4.90778e-07, 2.14628e-09, 2.27635e-09
0.485624, 0, 7.65878e-07, 5.23603e-09, 1.41421, -7.65878e-07, 5.25366e-09, 5.23603e-09, 5.2362e-09, 5.23732e-09, 5.26858e-09, 5.23923e-09, 5.2425e-09, 5.24038e-09, 5.33861e-09, 5.3792e-09, 5.2717e-09, 3.2003e-08, 8.45122e-09, 5.24672e-09, 5.23654e-09, 5.69959e-09, 9.73834e-08, 5.23606e-09, 6.42637e-07, 5.23603e-09, 5.52526e-09
0.493497, 0, 1.03735e-06, 1.16324e-08, 1.41421, -1.03735e-06, 1.16698e-08, 1.16324e-08, 1.16327e-08, 1.16351e-08, 1.17014e-08, 1.16392e-08, 1.16461e-08, 1.16416e-08, 1.18488e-08, 1.19358e-08, 1.1708e-08, 6.8366e-08, 1.58575e-08, 1.1655e-08, 1.16335e-08, 1.23251e-08, 1.46721e-07, 1.16324e-08, 8.39239e-07, 1.16324e-08, 1.22454e-08
0.50137, 0, 1.41748e-06, 2.46397e-08, 1.41421, -1.41748e-06, 2.47165e-08, 2.46397e-08, 2.46404e-08, 2.46453e-08, 2.47815e-08, 2.46536e-08, 2.46679e-08, 2.46586e-08, 2.50827e-08, 2.52634e-08, 2.47951e-08, 1.41242e-07, 3.01699e-08, 2.46862e-08, 2.46419e-08, 2.56698e-08, 2.21722e-07, 2.46398e-08, 1.09442e-06, 2.46397e-08, 2.58997e-08
0.509243, 0, 1.96233e-06, 5.06173e-08, 1.41421, -1.96233e-06, 5.07716e-08, 5.06173e-08, 5.06188e-08, 5.06287e-08, 5.0902e-08, 5.06453e-08, 5.0674e-08, 5.06554e-08, 5.1608e-08, 5.18694e-08, 5.09293e-08, 2.84696e-07, 5.78271e-08, 5.07108e-08, 5.06218e-08, 5.21413e-08, 3.36733e-07, 5.06176e-08, 1.42765e-06, 5.06173e-08, 5.31467e-08
0.517115, 0, 2.76385e-06, 1.01572e-07, 1.41421, -2.76385e-06, 1.01875e-07, 1.01572e-07, 1.01574e-07, 1.01594e-07, 1.02132e-07, 1.01627e-07, 1.01683e-07, 1.01646e-07, 1.03846e-07, 1.04035e-07, 1.02185e-07, 5.62054e-07, 1.10934e-07, 1.01755e-07, 1.0158e-07, 1.03814e-07, 5.14418e-07, 1.01572e-07, 1.86726e-06, 1.01572e-07, 1.06547e-07
0.524988, 0, 3.9767e-06, 1.99738e-07, 1.41421, -3.9767e-06, 2.00324e-07, 1.99738e-07, 1.99743e-07, 1.99781e-07, 2.00819e-07, 1.99844e-07, 1.99953e-07, 1.99882e-07, 2.05454e-07, 2.04493e-07, 2.00923e-07, 1.08881e-06, 2.11849e-07, 2.00093e-07, 1.99755e-07, 2.0302e-07, 7.92012e-07, 1.99739e-07, 2.45614e-06, 1.99738e-07, 2.09345e-07
0.532861, 0, 5.85905e-06, 3.85499e-07, 1.41421, -5.85905e-06, 3.8661e-07, 3.85499e-07, 3.85509e-07, 3.8558e-07, 3.87549e-07, 3.857e-07, 3.85907e-07, 3.85773e-07, 3.98091e-07, 3.94517e-07, 3.87745e-07, 2.07151e-06, 4.01105e-07, 3.86172e-07, 3.85531e-07, 3.90278e-07, 1.23019e-06, 3.85501e-07, 3.26105e-06, 3.85499e-07, 4.03717e-07
0.540734, 0, 8.84445e-06, 7.30783e-07, 1.41421, -8.84445e-06, 7.32853e-07, 7.30783e-07, 7.30803e-07, 7.30935e-07, 7.34603e-07, 7.31158e-07, 7.31543e-07, 7.31293e-07, 7.56842e-07, 7.47587e-07, 7.34969e-07, 3.87241e-06, 7.50817e-07, 7.32037e-07, 7.30843e-07, 7.37701e-07, 1.92831e-06, 7.30787e-07, 4.38831e-06, 7.30783e-07, 7.6473e-07
0.548607, 0, 1.36552e-05, 1.36122e-06, 1.41421, -1.36552e-05, 1.36501e-06, 1.36122e-06, 1.36126e-06, 1.3615e-06, 1.36822e-06, 1.36191e-06, 1.36261e-06, 1.36216e-06, 1.41336e-06, 1.392e-06, 1.36889e-06, 7.11457e-06, 1.38684e-06, 1.36352e-06, 1.36133e-06, 1.37118e-06, 3.04886e-06, 1.36123e-06, 6.00935e-06, 1.36122e-06, 1.42339e-06
0.55648, 0, 2.14814e-05, 2.49197e-06, 1.41421, -2.14814e-05, 2.49879e-06, 2.49197e-06, 2.49203e-06, 2.49247e-06, 2.50456e-06, 2.4932e-06, 2.49447e-06, 2.49365e-06, 2.59279e-06, 2.54736e-06, 2.50577e-06, 1.28486e-05, 2.52461e-06, 2.4961e-06, 2.49216e-06, 2.50621e-06, 4.85628e-06, 2.49198e-06, 8.40186e-06, 2.49197e-06, 2.60388e-06
0.564353, 0, 3.42617e-05, 4.48425e-06, 1.41421, -3.42617e-05, 4.49632e-06, 4.48425e-06, 4.48436e-06, 4.48513e-06, 4.50653e-06, 4.48644e-06, 4.48868e-06, 4.48722e-06, 4.67654e-06, 4.58228e-06, 4.50867e-06, 2.28113e-05, 4.52569e-06, 4.49157e-06, 4.4846e-06, 4.50452e-06, 7.77744e-06, 4.48427e-06, 1.20144e-05, 4.48425e-06, 4.68228e-06
0.572226, 0, 5.51035e-05, 7.93257e-06, 1.41421, -5.51035e-05, 7.95357e-06, 7.93257e-06, 7.93277e-06, 7.93411e-06, 7.97134e-06, 7.93638e-06, 7.94028e-06, 7.93775e-06, 8.29429e-06, 8.10311e-06, 7.97505e-06, 3.98169e-05, 7.98499e-06, 7.9453e-06, 7.93317e-06, 7.96126e-06, 1.2494e-05, 7.93261e-06, 1.75656e-05, 7.93257e-06, 8.2771e-06
0.580099, 0, 8.89084e-05, 1.3796e-05, 1.41421, -8.89084e-05, 1.38319e-05, 1.3796e-05, 1.37963e-05, 1.37986e-05, 1.38623e-05, 1.38025e-05, 1.38092e-05, 1.38048e-05, 1.4467e-05, 1.40877e-05, 1.38686e-05, 6.83352e-05, 1.38621e-05, 1.38177e-05, 1.3797e-05, 1.38363e-05, 2.00807e-05, 1.3796e-05, 2.61966e-05, 1.3796e-05, 1.43853e-05
