   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_557.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.260746, 0, 1.10789e-10, 0, 1.41421, -1.10789e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.39921e-13, 0, 0, 7.7664e-13, 0, 7.48813e-14, 0, 1.09198e-10, 0, 0, 0
0.268599, 0, 1.63807e-10, 7.28675e-44, 1.41421, -1.63807e-10, 0, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 1.09405e-12, 7.28675e-44, 7.28675e-44, 1.19534e-12, 7.28675e-44, 1.16118e-13, 7.28675e-44, 1.61401e-10, 7.28675e-44, 7.28675e-44, 7.28675e-44
0.276452, 0, 2.40916e-10, 1.27238e-42, 1.41421, -2.40916e-10, 0, 1.27238e-42, 1.27238e-42, 1.27238e-42, 1.27238e-42, 1.27238e-42, 1.27238e-42, 1.27238e-42, 1.27238e-42, 1.27238e-42, 1.27238e-42, 1.60917e-12, 1.27238e-42, 1.27238e-42, 1.83559e-12, 1.27238e-42, 1.79476e-13, 1.27238e-42, 2.37292e-10, 1.27238e-42, 1.27238e-42, 1.27238e-42
0.284305, 0, 3.52457e-10, 1.8364e-41, 1.41421, -3.52457e-10, 0, 1.8364e-41, 1.8364e-41, 1.8364e-41, 1.8364e-41, 1.8364e-41, 1.8364e-41, 1.8364e-41, 1.8364e-41, 1.8364e-41, 1.8364e-41, 2.35446e-12, 1.8364e-41, 1.8364e-41, 2.81333e-12, 1.8364e-41, 2.76545e-13, 1.8364e-41, 3.47013e-10, 1.8364e-41, 1.8364e-41, 1.8364e-41
0.292158, 0, 5.12939e-10, 2.34503e-40, 1.41421, -5.12939e-10, 0, 2.34503e-40, 2.34503e-40, 2.34503e-40, 2.34503e-40, 2.34503e-40, 2.34503e-40, 2.34503e-40, 2.34503e-40, 2.34503e-40, 2.34503e-40, 3.42702e-12, 2.34503e-40, 2.34503e-40, 4.30506e-12, 2.34503e-40, 4.24866e-13, 2.34503e-40, 5.04782e-10, 2.34503e-40, 2.34503e-40, 2.34503e-40
0.300011, 0, 7.42598e-10, 2.68284e-39, 1.41421, -7.42598e-10, 0, 2.68284e-39, 2.68284e-39, 2.68284e-39, 2.68284e-39, 2.68284e-39, 2.68284e-39, 2.68284e-39, 2.68284e-39, 2.68284e-39, 2.68284e-39, 4.96242e-12, 2.68284e-39, 2.68284e-39, 6.57964e-12, 2.68284e-39, 6.50942e-13, 2.68284e-39, 7.30405e-10, 2.68284e-39, 2.68284e-39, 2.68284e-39
0.307864, 0, 1.06951e-09, 2.76938e-38, 1.41421, -1.06951e-09, 0, 2.76938e-38, 2.76938e-38, 2.76938e-38, 2.76938e-38, 2.76938e-38, 2.76938e-38, 2.76938e-38, 2.76938e-38, 2.76938e-38, 2.76938e-38, 7.14885e-12, 2.76938e-38, 2.76938e-38, 1.00471e-11, 2.76938e-38, 9.94752e-13, 2.76938e-38, 1.05132e-09, 2.76938e-38, 2.76938e-38, 2.76938e-38
0.315717, 0, 1.53239e-09, 2.59234e-37, 1.41421, -1.53239e-09, 0, 2.59234e-37, 2.59234e-37, 2.59234e-37, 2.59234e-37, 2.59234e-37, 2.59234e-37, 2.59234e-37, 2.59234e-37, 2.59234e-37, 2.59234e-37, 1.02462e-11, 2.59234e-37, 2.59234e-37, 1.53331e-11, 2.59234e-37, 1.51651e-12, 2.59234e-37, 1.50529e-09, 2.59234e-37, 2.59234e-37, 2.59234e-37
0.32357, 0, 2.18437e-09, 2.21143e-36, 1.41421, -2.18437e-09, 0, 2.21143e-36, 2.21143e-36, 2.21143e-36, 2.21143e-36, 2.21143e-36, 2.21143e-36, 2.21143e-36, 2.21143e-36, 2.21143e-36, 2.21143e-36, 1.46112e-11, 2.21143e-36, 2.21143e-36, 2.33937e-11, 2.21143e-36, 2.30678e-12, 2.21143e-36, 2.14405e-09, 2.21143e-36, 2.21143e-36, 2.21143e-36
0.331423, 0, 3.0979e-09, 1.72848e-35, 1.41421, -3.0979e-09, 0, 1.72848e-35, 1.72848e-35, 1.72848e-35, 1.72848e-35, 1.72848e-35, 1.72848e-35, 1.72848e-35, 1.72848e-35, 1.72848e-35, 1.72848e-35, 2.07314e-11, 1.72848e-35, 1.72848e-35, 3.56904e-11, 1.72848e-35, 3.50159e-12, 1.72848e-35, 3.03798e-09, 1.72848e-35, 1.72848e-35, 1.72848e-35
0.339276, 0, 4.37135e-09, 1.24382e-34, 1.41421, -4.37135e-09, 0, 1.24382e-34, 1.24382e-34, 1.24382e-34, 1.24382e-34, 1.24382e-34, 1.24382e-34, 1.24382e-34, 1.24382e-34, 1.24382e-34, 1.24382e-34, 2.92693e-11, 1.24382e-34, 1.24382e-34, 5.44591e-11, 1.24382e-34, 5.30503e-12, 1.24382e-34, 4.28231e-09, 1.24382e-34, 1.24382e-34, 1.24382e-34
0.347129, 0, 6.13744e-09, 8.23846e-34, 1.41421, -6.13744e-09, 0, 8.23846e-34, 8.23846e-34, 8.23846e-34, 8.23846e-34, 8.23846e-34, 8.23846e-34, 8.23846e-34, 8.23846e-34, 8.23846e-34, 8.23846e-34, 4.11202e-11, 8.23846e-34, 8.23846e-34, 8.31203e-11, 8.23846e-34, 8.02274e-12, 8.23846e-34, 6.00518e-09, 8.23846e-34, 8.23846e-34, 8.23846e-34
0.354982, 0, 8.57447e-09, 5.48093e-33, 1.41421, -8.57447e-09, 0, 5.48093e-33, 5.48093e-33, 5.48093e-33, 5.48093e-33, 5.48093e-33, 5.48093e-33, 5.48093e-33, 5.48093e-33, 5.48093e-33, 5.48093e-33, 5.7489e-11, 5.48093e-33, 5.48093e-33, 1.26907e-10, 5.48093e-33, 1.21119e-11, 5.48093e-33, 8.37796e-09, 5.48093e-33, 5.48093e-33, 5.48093e-33
0.362835, 0, 1.19206e-08, 3.46681e-32, 1.41421, -1.19206e-08, 0, 3.46681e-32, 3.46681e-32, 3.46681e-32, 3.46681e-32, 3.46681e-32, 3.46681e-32, 3.46681e-32, 3.46681e-32, 3.46681e-32, 3.46681e-32, 7.99878e-11, 3.46681e-32, 3.46681e-32, 1.93818e-10, 3.46681e-32, 1.82551e-11, 3.46681e-32, 1.16286e-08, 3.46681e-32, 3.46681e-32, 3.46681e-32
0.370688, 0, 1.64927e-08, 2.04827e-31, 1.41421, -1.64927e-08, 0, 2.04827e-31, 2.04827e-31, 2.04827e-31, 2.04827e-31, 2.04827e-31, 2.04827e-31, 2.04827e-31, 2.04827e-31, 2.04827e-31, 2.04827e-31, 1.10764e-10, 2.04827e-31, 2.04827e-31, 2.96068e-10, 2.04827e-31, 2.74696e-11, 2.04827e-31, 1.60584e-08, 2.04827e-31, 2.04827e-31, 2.04827e-31
0.378541, 0, 2.27098e-08, 1.13228e-30, 1.41421, -2.27098e-08, 0, 1.13228e-30, 1.13228e-30, 1.13228e-30, 1.13228e-30, 1.13228e-30, 1.13228e-30, 1.13228e-30, 1.13228e-30, 1.13228e-30, 1.13228e-30, 1.52666e-10, 1.13228e-30, 1.13228e-30, 4.52276e-10, 1.13228e-30, 4.12677e-11, 1.13228e-30, 2.20636e-08, 1.13228e-30, 1.13228e-30, 1.13228e-30
0.386394, 0, 3.11244e-08, 5.86437e-30, 1.41421, -3.11244e-08, 0, 5.86437e-30, 5.86437e-30, 5.86437e-30, 5.86437e-30, 5.86437e-30, 5.86437e-30, 5.86437e-30, 5.86437e-30, 5.86437e-30, 5.86437e-30, 2.0945e-10, 5.86437e-30, 5.86437e-30, 6.9076e-10, 5.86437e-30, 6.18922e-11, 5.86437e-30, 3.01623e-08, 5.86437e-30, 5.86437e-30, 5.86437e-30
0.394247, 0, 4.24611e-08, 2.85341e-29, 1.41421, -4.24611e-08, 0, 2.85341e-29, 2.85341e-29, 2.85341e-29, 2.85341e-29, 2.85341e-29, 2.85341e-29, 2.85341e-29, 2.85341e-29, 2.85341e-29, 2.85341e-29, 2.86052e-10, 2.85341e-29, 2.85341e-29, 1.05448e-09, 2.85341e-29, 9.26601e-11, 2.85341e-29, 4.1028e-08, 2.85341e-29, 2.85341e-29, 2.85341e-29
0.4021, 0, 5.76667e-08, 1.30914e-28, 1.41421, -5.76667e-08, 0, 1.30914e-28, 1.30914e-28, 1.30914e-28, 1.30914e-28, 1.30914e-28, 1.30914e-28, 1.30914e-28, 1.30914e-28, 1.30914e-28, 1.30914e-28, 3.88926e-10, 1.30914e-28, 1.30914e-28, 1.60838e-09, 1.30914e-28, 1.38459e-10, 1.30914e-28, 5.5531e-08, 1.30914e-28, 1.30914e-28, 1.30914e-28
0.409953, 0, 7.7974e-08, 5.68066e-28, 1.41421, -7.7974e-08, 0, 5.68066e-28, 5.68066e-28, 5.68066e-28, 5.68066e-28, 5.68066e-28, 5.68066e-28, 5.68066e-28, 5.68066e-28, 5.68066e-28, 5.68066e-28, 5.26482e-10, 5.68066e-28, 5.68066e-28, 2.45034e-09, 5.68066e-28, 2.06465e-10, 5.68066e-28, 7.47907e-08, 5.68066e-28, 5.68066e-28, 5.68066e-28
0.417806, 0, 1.04982e-07, 2.33741e-27, 1.41421, -1.04982e-07, 0, 2.33741e-27, 2.33741e-27, 2.33741e-27, 2.33741e-27, 2.33741e-27, 2.33741e-27, 2.33741e-27, 2.33741e-27, 2.33741e-27, 2.33741e-27, 7.09615e-10, 2.33741e-27, 2.33741e-27, 3.72713e-09, 2.33741e-27, 3.07172e-10, 2.33741e-27, 1.00238e-07, 2.33741e-27, 2.33741e-27, 2.33741e-27
0.425659, 0, 1.40758e-07, 9.14453e-27, 1.41421, -1.40758e-07, 0, 9.14453e-27, 9.14453e-27, 9.14453e-27, 9.14453e-27, 9.14453e-27, 9.14453e-27, 9.14453e-27, 9.14453e-27, 9.14453e-27, 9.14453e-27, 9.52406e-10, 9.14453e-27, 9.14453e-27, 5.65806e-09, 9.14453e-27, 4.55852e-10, 9.14453e-27, 1.33691e-07, 9.14453e-27, 9.14453e-27, 9.14453e-27
0.433512, 0, 1.87969e-07, 3.41034e-26, 1.41421, -1.87969e-07, 0, 3.41034e-26, 3.41034e-26, 3.41034e-26, 3.41034e-26, 3.41034e-26, 3.41034e-26, 5.98886e-13, 3.41034e-26, 3.41034e-26, 3.41034e-26, 1.27295e-09, 3.41034e-26, 3.41034e-26, 8.569e-09, 3.41034e-26, 6.7462e-10, 3.41034e-26, 1.77452e-07, 3.41034e-26, 3.41034e-26, 3.41034e-26
