   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_140.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.264329, 0, 1.66138e-11, 0, 1.41421, -1.66138e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92361e-13, 0, 2.0521e-16, 0, 6.75887e-13, 0, 1.57454e-11, 0, 0
0.272205, 0, 2.62095e-11, 0, 1.41421, -2.62095e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02994e-13, 0, 3.33251e-16, 0, 1.10945e-12, 0, 2.47967e-11, 0, 0
0.28008, 0, 4.10749e-11, 0, 1.41421, -4.10749e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.74061e-13, 0, 5.38597e-16, 0, 1.8123e-12, 0, 3.8788e-11, 0, 0
0.287955, 0, 6.3951e-11, 8.40779e-45, 1.41421, -6.3951e-11, 8.40779e-45, 0, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 7.36773e-13, 8.40779e-45, 8.66586e-16, 8.40779e-45, 2.94659e-12, 8.40779e-45, 6.02668e-11, 8.40779e-45, 8.40779e-45
0.29583, 0, 9.89223e-11, 1.69557e-43, 1.41421, -9.89223e-11, 1.69557e-43, 0, 1.69557e-43, 1.69557e-43, 1.69557e-43, 1.69557e-43, 1.69557e-43, 1.69557e-43, 1.69557e-43, 1.69557e-43, 1.1375e-12, 1.69557e-43, 1.38854e-15, 1.69557e-43, 4.7694e-12, 1.69557e-43, 9.3014e-11, 1.69557e-43, 1.69557e-43
0.303705, 0, 1.52035e-10, 2.52234e-42, 1.41421, -1.52035e-10, 2.52234e-42, 0, 2.52234e-42, 2.52234e-42, 2.52234e-42, 2.52234e-42, 2.52234e-42, 2.52234e-42, 2.52234e-42, 2.52234e-42, 1.74463e-12, 2.52234e-42, 2.21651e-15, 2.52234e-42, 7.68703e-12, 2.52234e-42, 1.42601e-10, 2.52234e-42, 2.52234e-42
0.31158, 0, 2.32178e-10, 3.43963e-41, 1.41421, -2.32178e-10, 3.43963e-41, 0, 3.43963e-41, 3.43963e-41, 3.43963e-41, 3.43963e-41, 3.43963e-41, 3.43963e-41, 3.43963e-41, 3.43963e-41, 2.65835e-12, 3.43963e-41, 3.52626e-15, 3.43963e-41, 1.23397e-11, 3.43963e-41, 2.17176e-10, 3.43963e-41, 3.43963e-41
0.319455, 0, 3.52337e-10, 4.20516e-40, 1.41421, -3.52337e-10, 4.20516e-40, 0, 4.20516e-40, 4.20516e-40, 4.20516e-40, 4.20516e-40, 4.20516e-40, 4.20516e-40, 4.20516e-40, 4.20516e-40, 4.02438e-12, 4.20516e-40, 5.59343e-15, 4.20516e-40, 1.97339e-11, 4.20516e-40, 3.28573e-10, 4.20516e-40, 4.20516e-40
0.32733, 0, 5.31361e-10, 4.63084e-39, 1.41421, -5.31361e-10, 4.63084e-39, 0, 4.63084e-39, 4.63084e-39, 4.63084e-39, 4.63084e-39, 4.63084e-39, 4.63084e-39, 4.63084e-39, 4.63084e-39, 6.05316e-12, 4.63084e-39, 8.85017e-15, 4.63084e-39, 3.14479e-11, 4.63084e-39, 4.93851e-10, 4.63084e-39, 4.63084e-39
0.335206, 0, 7.96439e-10, 4.6127e-38, 1.41421, -7.96439e-10, 4.6127e-38, 0, 4.6127e-38, 4.6127e-38, 4.6127e-38, 4.6127e-38, 4.6127e-38, 4.6127e-38, 4.6127e-38, 4.6127e-38, 9.04666e-12, 4.6127e-38, 1.39743e-14, 4.6127e-38, 4.9953e-11, 4.6127e-38, 7.37425e-10, 4.6127e-38, 4.6127e-38
0.343081, 0, 1.18656e-09, 4.17829e-37, 1.41421, -1.18656e-09, 4.17829e-37, 0, 4.17829e-37, 4.17829e-37, 4.17829e-37, 4.17829e-37, 4.17829e-37, 4.17829e-37, 4.17829e-37, 4.17829e-37, 1.34351e-11, 4.17829e-37, 2.20297e-14, 4.17829e-37, 7.9112e-11, 4.17829e-37, 1.09399e-09, 4.17829e-37, 4.17829e-37
0.350956, 0, 1.7573e-09, 3.46011e-36, 1.41421, -1.7573e-09, 3.46011e-36, 0, 3.46011e-36, 3.46011e-36, 3.46011e-36, 3.46011e-36, 3.46011e-36, 3.46011e-36, 3.46011e-36, 3.46011e-36, 1.98276e-11, 3.46011e-36, 3.46873e-14, 3.46011e-36, 1.24954e-10, 3.46011e-36, 1.61249e-09, 3.46011e-36, 3.46011e-36
0.358831, 0, 2.58749e-09, 2.63209e-35, 1.41421, -2.58749e-09, 2.63209e-35, 0, 2.63209e-35, 2.63209e-35, 2.63209e-35, 2.63209e-35, 2.63209e-35, 2.63209e-35, 2.63209e-35, 2.63209e-35, 2.90806e-11, 2.63209e-35, 5.45739e-14, 2.63209e-35, 1.96881e-10, 2.63209e-35, 2.36147e-09, 2.63209e-35, 2.63209e-35
0.366706, 0, 3.78829e-09, 1.84645e-34, 1.41421, -3.78829e-09, 1.84645e-34, 0, 1.84645e-34, 1.84645e-34, 1.84645e-34, 1.84645e-34, 1.84645e-34, 1.84645e-34, 1.84645e-34, 1.84645e-34, 4.23907e-11, 1.84645e-34, 8.58218e-14, 1.84645e-34, 3.09533e-10, 1.84645e-34, 3.43628e-09, 1.84645e-34, 1.84645e-34
0.374581, 0, 5.51583e-09, 1.26626e-33, 1.41421, -5.51583e-09, 1.26626e-33, 0, 1.26626e-33, 1.26626e-33, 1.26626e-33, 1.26626e-33, 1.26626e-33, 1.26626e-33, 1.26626e-33, 1.26626e-33, 6.14196e-11, 1.26626e-33, 1.34935e-13, 1.26626e-33, 4.85687e-10, 1.26626e-33, 4.96859e-09, 1.26626e-33, 1.26626e-33
0.382456, 0, 7.98832e-09, 8.37691e-33, 1.41421, -7.98832e-09, 8.37691e-33, 0, 8.37691e-33, 8.37691e-33, 8.37691e-33, 8.37691e-33, 8.37691e-33, 8.37691e-33, 8.37691e-33, 8.37691e-33, 8.84604e-11, 8.37691e-33, 2.12151e-13, 8.37691e-33, 7.60732e-10, 8.37691e-33, 7.13892e-09, 8.37691e-33, 8.37691e-33
0.390331, 0, 1.15096e-08, 5.20518e-32, 1.41421, -1.15096e-08, 5.20518e-32, 0, 5.20518e-32, 5.20518e-32, 5.20518e-32, 5.20518e-32, 5.20518e-32, 5.20518e-32, 5.20518e-32, 5.20518e-32, 1.26658e-10, 5.20518e-32, 3.33576e-13, 5.20518e-32, 1.18957e-09, 5.20518e-32, 1.01931e-08, 5.20518e-32, 5.20518e-32
0.398207, 0, 1.65016e-08, 3.0229e-31, 1.41421, -1.65016e-08, 3.0229e-31, 0, 3.0229e-31, 3.0229e-31, 3.0229e-31, 3.0229e-31, 3.0229e-31, 3.0229e-31, 3.0229e-31, 3.0229e-31, 1.80303e-10, 3.0229e-31, 5.2453e-13, 3.0229e-31, 1.85727e-09, 3.0229e-31, 1.44635e-08, 3.0229e-31, 3.0229e-31
0.406082, 0, 2.35477e-08, 1.64249e-30, 1.41421, -2.35477e-08, 1.64249e-30, 0, 1.64249e-30, 1.64249e-30, 1.64249e-30, 1.64249e-30, 1.64249e-30, 1.64249e-30, 1.64249e-30, 1.64249e-30, 2.5521e-10, 1.64249e-30, 8.24738e-13, 1.64249e-30, 2.89525e-09, 1.64249e-30, 2.03964e-08, 1.64249e-30, 1.64249e-30
0.413957, 0, 3.34539e-08, 8.37252e-30, 1.41421, -3.34539e-08, 8.37252e-30, 0, 8.37252e-30, 8.37252e-30, 8.37252e-30, 8.37252e-30, 8.37252e-30, 8.37252e-30, 8.37252e-30, 8.37252e-30, 3.59224e-10, 8.37252e-30, 1.29641e-12, 8.37252e-30, 4.50617e-09, 8.37252e-30, 2.85872e-08, 8.37252e-30, 8.37252e-30
0.421832, 0, 4.73307e-08, 4.01674e-29, 1.41421, -4.73307e-08, 4.01674e-29, 0, 4.01674e-29, 4.01674e-29, 4.01674e-29, 4.01674e-29, 4.01674e-29, 4.01674e-29, 4.01674e-29, 4.01674e-29, 5.02865e-10, 4.01674e-29, 2.03666e-12, 4.01674e-29, 7.00147e-09, 4.01674e-29, 3.98243e-08, 4.01674e-29, 4.01674e-29
0.429707, 0, 6.67065e-08, 1.81929e-28, 1.41421, -6.67065e-08, 1.81929e-28, 0, 1.81929e-28, 1.81929e-28, 1.81929e-28, 1.81929e-28, 1.81929e-28, 1.81929e-28, 1.81929e-28, 1.81929e-28, 7.00168e-10, 1.81929e-28, 3.19655e-12, 1.81929e-28, 1.0858e-08, 1.81929e-28, 5.51451e-08, 1.81929e-28, 1.81929e-28
0.437582, 0, 9.36828e-08, 7.80311e-28, 1.41421, -9.36828e-08, 7.80311e-28, 0, 7.80311e-28, 7.80311e-28, 7.80311e-28, 7.80311e-28, 7.80311e-28, 7.80311e-28, 7.80311e-28, 7.80311e-28, 9.69767e-10, 7.80311e-28, 5.01013e-12, 7.80311e-28, 1.68028e-08, 7.80311e-28, 7.59053e-08, 7.80311e-28, 7.80311e-28
0.445457, 0, 1.31148e-07, 3.17843e-27, 1.41421, -1.31148e-07, 3.17843e-27, 0, 3.17843e-27, 3.17843e-27, 3.17843e-27, 3.17843e-27, 3.17843e-27, 3.17843e-27, 3.17843e-27, 3.17843e-27, 1.33627e-09, 3.17843e-27, 7.83823e-12, 3.17843e-27, 2.59391e-08, 3.17843e-27, 1.03865e-07, 3.17843e-27, 3.17843e-27
0.453332, 0, 1.83069e-07, 1.23278e-26, 1.41421, -1.83069e-07, 1.23278e-26, 0, 1.23278e-26, 1.23278e-26, 1.23278e-26, 1.23278e-26, 1.23278e-26, 1.23278e-26, 1.23278e-26, 1.23278e-26, 1.83202e-09, 1.23278e-26, 1.22342e-11, 1.23278e-26, 3.99313e-08, 1.23278e-26, 1.41293e-07, 1.23278e-26, 1.23278e-26
0.461207, 0, 2.54893e-07, 4.5647e-26, 1.41421, -2.54893e-07, 4.5647e-26, 0, 4.5647e-26, 4.5647e-26, 4.5647e-26, 4.5647e-26, 1.82682e-13, 4.5647e-26, 4.5647e-26, 4.5647e-26, 2.49933e-09, 4.5647e-26, 1.90421e-11, 4.5647e-26, 6.12761e-08, 4.5647e-26, 1.91098e-07, 4.5647e-26, 4.5647e-26
0.469083, 0, 3.54097e-07, 1.61747e-25, 1.41421, -3.54097e-07, 1.61747e-25, 0, 1.61747e-25, 1.61747e-25, 1.61747e-25, 1.61747e-25, 5.93808e-13, 1.61747e-25, 1.61747e-25, 1.61747e-25, 3.39324e-09, 1.61747e-25, 2.95409e-11, 1.61747e-25, 9.36932e-08, 1.61747e-25, 2.56981e-07, 1.61747e-25, 1.61747e-25
0.476958, 0, 4.92451e-07, 5.56175e-25, 1.41421, -4.92451e-07, 9.3906e-12, 0, 3.32992e-14, 2.72673e-14, 1.10918e-11, 9.6248e-12, 9.78472e-12, 1.25295e-11, 2.72999e-12, 1.39201e-09, 4.5852e-09, 4.91334e-14, 4.56564e-11, 5.1532e-14, 1.42685e-07, 3.22512e-15, 3.43671e-07, 5.56175e-25, 1.6603e-11
0.484833, 0, 6.85166e-07, 7.99631e-10, 1.41421, -6.85166e-07, 8.30034e-10, 7.99631e-10, 7.99738e-10, 7.99719e-10, 8.35542e-10, 8.30792e-10, 8.29894e-10, 8.40196e-10, 8.08469e-10, 5.30644e-09, 6.96676e-09, 7.9979e-10, 8.69905e-10, 8.003e-10, 2.17129e-07, 7.99641e-10, 4.5786e-07, 7.99631e-10, 8.53385e-10
0.492708, 0, 9.53791e-07, 2.57683e-09, 1.41421, -9.53791e-07, 2.65311e-09, 2.57683e-09, 2.5771e-09, 2.57705e-09, 2.66693e-09, 2.65501e-09, 2.65163e-09, 2.6786e-09, 2.599e-09, 1.3884e-08, 1.08339e-08, 2.57723e-09, 2.6845e-09, 2.57932e-09, 3.28966e-07, 2.57685e-09, 6.07148e-07, 2.57683e-09, 2.71169e-09
0.500583, 0, 1.33017e-06, 6.44586e-09, 1.41421, -1.33017e-06, 6.62009e-09, 6.44586e-09, 6.44647e-09, 6.44636e-09, 6.65166e-09, 6.62444e-09, 6.61543e-09, 6.67833e-09, 6.49651e-09, 3.22734e-08, 1.74513e-08, 6.44677e-09, 6.61002e-09, 6.45263e-09, 4.96286e-07, 6.44592e-09, 8.02004e-07, 6.44586e-09, 6.75391e-09
0.508458, 0, 1.86122e-06, 1.46916e-08, 1.41421, -1.86122e-06, 1.50707e-08, 1.46916e-08, 1.4693e-08, 1.46927e-08, 1.51393e-08, 1.50801e-08, 1.50587e-08, 1.51974e-08, 1.48018e-08, 7.08763e-08, 2.92954e-08, 1.46936e-08, 1.49406e-08, 1.47079e-08, 7.45723e-07, 1.46918e-08, 1.05626e-06, 1.46916e-08, 1.53618e-08
0.516333, 0, 2.61774e-06, 3.1901e-08, 1.41421, -2.61774e-06, 3.26994e-08, 3.1901e-08, 3.19038e-08, 3.19033e-08, 3.2844e-08, 3.27193e-08, 3.26709e-08, 3.29663e-08, 3.21331e-08, 1.50254e-07, 5.11945e-08, 3.19052e-08, 3.22765e-08, 3.19377e-08, 1.11655e-06, 3.19013e-08, 1.38898e-06, 3.1901e-08, 3.33126e-08
0.524208, 0, 3.70978e-06, 6.70989e-08, 1.41421, -3.70978e-06, 6.87389e-08, 6.70989e-08, 6.71047e-08, 6.71037e-08, 6.9036e-08, 6.87798e-08, 6.88254e-08, 6.92871e-08, 6.75757e-08, 3.10202e-07, 9.24777e-08, 6.71075e-08, 6.7662e-08, 6.71782e-08, 1.66783e-06, 6.70995e-08, 1.82736e-06, 6.70989e-08, 6.99985e-08
0.532084, 0, 5.30528e-06, 1.37645e-07, 1.41421, -5.30528e-06, 1.4094e-07, 1.37645e-07, 1.37656e-07, 1.37654e-07, 1.41537e-07, 1.41022e-07, 1.41288e-07, 1.42041e-07, 1.38603e-07, 6.26068e-07, 1.70884e-07, 1.37662e-07, 1.38484e-07, 1.37811e-07, 2.48312e-06, 1.37646e-07, 2.41171e-06, 1.37645e-07, 1.4347e-07
0.539959, 0, 7.67868e-06, 2.76584e-07, 1.41421, -7.67868e-06, 2.83074e-07, 2.76584e-07, 2.76607e-07, 2.76603e-07, 2.84249e-07, 2.83236e-07, 2.86873e-07, 2.85243e-07, 2.78471e-07, 1.23854e-06, 3.19935e-07, 2.76618e-07, 2.77828e-07, 2.76925e-07, 3.69054e-06, 2.76587e-07, 3.20465e-06, 2.76584e-07, 2.88058e-07
0.547834, 0, 1.12583e-05, 5.43357e-07, 1.41421, -1.12583e-05, 5.55872e-07, 5.43357e-07, 5.43401e-07, 5.43393e-07, 5.58139e-07, 5.56184e-07, 5.65232e-07, 5.60055e-07, 5.46995e-07, 2.39853e-06, 5.99654e-07, 5.43422e-07, 5.45189e-07, 5.44035e-07, 5.47913e-06, 5.43361e-07, 4.30391e-06, 5.43357e-07, 5.65484e-07
0.555709, 0, 1.67451e-05, 1.04676e-06, 1.41421, -1.67451e-05, 1.07043e-06, 1.04676e-06, 1.04684e-06, 1.04683e-06, 1.07472e-06, 1.07102e-06, 1.09171e-06, 1.07834e-06, 1.05364e-06, 4.55597e-06, 1.11956e-06, 1.04688e-06, 1.04944e-06, 1.04808e-06, 8.1345e-06, 1.04677e-06, 5.86983e-06, 1.04676e-06, 1.08861e-06
0.563584, 0, 2.52656e-05, 1.97791e-06, 1.41421, -2.52656e-05, 2.02184e-06, 1.97791e-06, 1.97807e-06, 1.97804e-06, 2.0298e-06, 2.02294e-06, 2.06732e-06, 2.03652e-06, 1.99068e-06, 8.48971e-06, 2.07168e-06, 1.97814e-06, 1.98181e-06, 1.98044e-06, 1.20875e-05, 1.97793e-06, 8.16416e-06, 1.97791e-06, 2.05558e-06
0.571459, 0, 3.86304e-05, 3.66636e-06, 1.41421, -3.86304e-05, 3.74634e-06, 3.66636e-06, 3.66664e-06, 3.66659e-06, 3.76083e-06, 3.74833e-06, 3.84163e-06, 3.77307e-06, 3.68961e-06, 1.55217e-05, 3.78665e-06, 3.66678e-06, 3.67199e-06, 3.67112e-06, 1.79909e-05, 3.66639e-06, 1.16159e-05, 3.66636e-06, 3.80776e-06
0.579334, 0, 5.97237e-05, 6.66789e-06, 1.41421, -5.97237e-05, 6.81077e-06, 6.66789e-06, 6.6684e-06, 6.66831e-06, 6.83665e-06, 6.81433e-06, 7.00653e-06, 6.85853e-06, 6.70943e-06, 2.7847e-05, 6.82161e-06, 6.66864e-06, 6.67598e-06, 6.67668e-06, 2.68349e-05, 6.66794e-06, 1.69238e-05, 6.66789e-06, 6.9205e-06
0.587209, 0, 9.30878e-05, 1.18991e-05, 1.41421, -9.30878e-05, 1.21496e-05, 1.18991e-05, 1.19e-05, 1.18998e-05, 1.2195e-05, 1.21558e-05, 1.25438e-05, 1.22333e-05, 1.19719e-05, 4.90288e-05, 1.20948e-05, 1.19004e-05, 1.19107e-05, 1.1915e-05, 4.01187e-05, 1.18992e-05, 2.52148e-05, 1.18991e-05, 1.2342e-05
0.595085, 0, 0.000145776, 2.08383e-05, 1.41421, -0.000145776, 2.12693e-05, 2.08383e-05, 2.08398e-05, 2.08395e-05, 2.13473e-05, 2.128e-05, 2.20478e-05, 2.14133e-05, 2.09636e-05, 8.47246e-05, 2.10865e-05, 2.08405e-05, 2.08547e-05, 2.08666e-05, 6.01006e-05, 2.08384e-05, 3.8276e-05, 2.08383e-05, 2.16003e-05
0.60296, 0, 0.000228569, 3.58161e-05, 1.41421, -0.000228569, 3.6544e-05, 3.58161e-05, 3.58187e-05, 3.58182e-05, 3.66758e-05, 3.65621e-05, 3.80516e-05, 3.67873e-05, 3.60277e-05, 0.000143715, 3.613e-05, 3.58199e-05, 3.58392e-05, 3.58656e-05, 9.01566e-05, 3.58163e-05, 5.88952e-05, 3.58161e-05, 3.7103e-05
0.610835, 0, 0.000357652, 6.04242e-05, 1.41421, -0.000357652, 6.16311e-05, 6.04242e-05, 6.04285e-05, 6.04277e-05, 6.18497e-05, 6.16612e-05, 6.44939e-05, 6.20345e-05, 6.07751e-05, 0.00023932, 6.08199e-05, 6.04305e-05, 6.04566e-05, 6.05092e-05, 0.00013528, 6.04246e-05, 9.13391e-05, 6.04242e-05, 6.2558e-05
0.61871, 0, 0.000556876, 0.000100072, 1.41421, -0.000556876, 0.000102036, 0.000100072, 0.000100079, 0.000100078, 0.000102392, 0.000102085, 0.000107368, 0.000102693, 0.000100643, 0.000391284, 0.000100569, 0.000100082, 0.000100117, 0.000100215, 0.000202761, 0.000100073, 0.000142005, 0.000100072, 0.000103545
0.626585, 0, 0.000860687, 0.000162717, 1.41421, -0.000860687, 0.000165857, 0.000162717, 0.000162728, 0.000162726, 0.000166426, 0.000165935, 0.000175595, 0.000166906, 0.00016363, 0.000628196, 0.00016334, 0.000162733, 0.000162779, 0.000162954, 0.000303083, 0.000162718, 0.00022028, 0.000162717, 0.000168269
0.63446, 0, 0.00131781, 0.00025979, 1.41421, -0.00131781, 0.000264719, 0.00025979, 0.000259807, 0.000259804, 0.000265612, 0.000264842, 0.000282165, 0.000266367, 0.000261223, 0.000990469, 0.00026057, 0.000259816, 0.000259877, 0.000260177, 0.000451065, 0.000259792, 0.000339637, 0.00025979, 0.000268505
