   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_293.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.268083, 0, 9.96659e-10, 1.85207e-39, 1.41421, -9.96659e-10, 0, 1.85207e-39, 1.85207e-39, 1.85207e-39, 1.85207e-39, 1.85207e-39, 1.85207e-39, 1.85207e-39, 1.85207e-39, 1.85207e-39, 1.85207e-39, 6.60094e-12, 1.85207e-39, 1.85207e-39, 1.18951e-11, 1.85207e-39, 3.01924e-12, 1.85207e-39, 9.75144e-10, 1.85207e-39, 1.85207e-39
0.275934, 0, 1.38144e-09, 1.92008e-38, 1.41421, -1.38144e-09, 0, 1.92008e-38, 1.92008e-38, 1.92008e-38, 1.92008e-38, 1.92008e-38, 1.92008e-38, 1.92008e-38, 1.92008e-38, 1.92008e-38, 1.92008e-38, 9.14988e-12, 1.92008e-38, 1.92008e-38, 1.75436e-11, 1.92008e-38, 4.43622e-12, 1.92008e-38, 1.35031e-09, 1.92008e-38, 1.92008e-38
0.283785, 0, 1.90668e-09, 1.80439e-37, 1.41421, -1.90668e-09, 0, 1.80439e-37, 1.80439e-37, 1.80439e-37, 1.80439e-37, 1.80439e-37, 1.80439e-37, 1.80439e-37, 1.80439e-37, 1.80439e-37, 1.80439e-37, 1.26298e-11, 1.80439e-37, 1.80439e-37, 2.58763e-11, 1.80439e-37, 6.50361e-12, 1.80439e-37, 1.86167e-09, 1.80439e-37, 1.80439e-37
0.291636, 0, 2.62059e-09, 1.54456e-36, 1.41421, -2.62059e-09, 0, 1.54456e-36, 1.54456e-36, 1.54456e-36, 1.54456e-36, 1.54456e-36, 1.54456e-36, 1.54456e-36, 1.54456e-36, 1.54456e-36, 1.54456e-36, 1.73606e-11, 1.54456e-36, 1.54456e-36, 3.8176e-11, 1.54456e-36, 9.51405e-12, 1.54456e-36, 2.55554e-09, 1.54456e-36, 1.54456e-36
0.299488, 0, 3.58686e-09, 1.21069e-35, 1.41421, -3.58686e-09, 0, 1.21069e-35, 1.21069e-35, 1.21069e-35, 1.21069e-35, 1.21069e-35, 1.21069e-35, 1.21069e-35, 1.21069e-35, 1.21069e-35, 1.21069e-35, 2.37648e-11, 1.21069e-35, 1.21069e-35, 5.63427e-11, 1.21069e-35, 1.38895e-11, 1.21069e-35, 3.49286e-09, 1.21069e-35, 1.21069e-35
0.307339, 0, 4.88924e-09, 8.73272e-35, 1.41421, -4.88924e-09, 0, 8.73272e-35, 8.73272e-35, 8.73272e-35, 8.73272e-35, 8.73272e-35, 8.73272e-35, 8.73272e-35, 8.73272e-35, 8.73272e-35, 8.73272e-35, 3.23983e-11, 8.73272e-35, 8.73272e-35, 8.31905e-11, 8.73272e-35, 2.02373e-11, 8.73272e-35, 4.75342e-09, 8.73272e-35, 8.73272e-35
0.31519, 0, 6.63748e-09, 5.76378e-34, 1.41421, -6.63748e-09, 0, 5.76378e-34, 5.76378e-34, 5.76378e-34, 5.76378e-34, 5.76378e-34, 5.76378e-34, 5.76378e-34, 5.76378e-34, 5.76378e-34, 5.76378e-34, 4.39895e-11, 5.76378e-34, 5.76378e-34, 1.22887e-10, 5.76378e-34, 2.94303e-11, 5.76378e-34, 6.44117e-09, 5.76378e-34, 5.76378e-34
0.323041, 0, 8.97475e-09, 3.83583e-33, 1.41421, -8.97475e-09, 0, 3.83583e-33, 3.83583e-33, 3.83583e-33, 3.83583e-33, 3.83583e-33, 3.83583e-33, 3.83583e-33, 3.83583e-33, 3.83583e-33, 3.83583e-33, 5.94886e-11, 3.83583e-33, 3.83583e-33, 1.816e-10, 3.83583e-33, 4.27205e-11, 3.83583e-33, 8.69094e-09, 3.83583e-33, 3.83583e-33
0.330892, 0, 1.20872e-08, 2.43055e-32, 1.41421, -1.20872e-08, 0, 2.43055e-32, 2.43055e-32, 2.43055e-32, 2.43055e-32, 2.43055e-32, 2.43055e-32, 2.43055e-32, 2.43055e-32, 2.43055e-32, 2.43055e-32, 8.01302e-11, 2.43055e-32, 2.43055e-32, 2.68447e-10, 2.43055e-32, 6.19e-11, 2.43055e-32, 1.16767e-08, 2.43055e-32, 2.43055e-32
0.338743, 0, 1.62158e-08, 1.43681e-31, 1.41421, -1.62158e-08, 0, 1.43681e-31, 1.43681e-31, 1.43681e-31, 1.43681e-31, 1.43681e-31, 1.43681e-31, 1.43681e-31, 1.43681e-31, 1.43681e-31, 1.43681e-31, 1.07512e-10, 1.43681e-31, 1.43681e-31, 3.96886e-10, 1.43681e-31, 8.95286e-11, 1.43681e-31, 1.56219e-08, 1.43681e-31, 1.43681e-31
