   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_238.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.336693, 0, 8.27241e-08, 1.48067e-34, 1.41421, -8.27241e-08, 1.48067e-34, 0, 1.48067e-34, 1.48067e-34, 1.48067e-34, 1.48067e-34, 1.48067e-34, 1.48067e-34, 1.6036e-10, 1.48067e-34, 1.48067e-34, 2.01015e-12, 4.63427e-11, 1.48067e-34, 8.25154e-08, 1.48067e-34, 1.48067e-34
0.344651, 0, 1.18556e-07, 1.08883e-33, 1.41421, -1.18556e-07, 1.08883e-33, 0, 1.08883e-33, 1.08883e-33, 1.08883e-33, 1.08883e-33, 1.08883e-33, 1.08883e-33, 2.30303e-10, 1.08883e-33, 1.08883e-33, 3.11857e-12, 7.17865e-11, 1.08883e-33, 1.1825e-07, 1.08883e-33, 1.08883e-33
0.352609, 0, 1.68862e-07, 7.70312e-33, 1.41421, -1.68862e-07, 7.70312e-33, 0, 7.70312e-33, 7.70312e-33, 7.70312e-33, 7.70312e-33, 7.70312e-33, 7.70312e-33, 3.28834e-10, 7.70312e-33, 7.70312e-33, 4.83761e-12, 1.10911e-10, 7.70312e-33, 1.68418e-07, 7.70312e-33, 7.70312e-33
0.360567, 0, 2.3905e-07, 5.30456e-32, 1.41421, -2.3905e-07, 5.30456e-32, 0, 5.30456e-32, 5.30456e-32, 5.30456e-32, 5.30456e-32, 5.30456e-32, 5.30456e-32, 4.66842e-10, 5.30456e-32, 5.30456e-32, 7.50459e-12, 1.70939e-10, 5.30456e-32, 2.38404e-07, 5.30456e-32, 5.30456e-32
0.368524, 0, 3.36364e-07, 3.43378e-31, 1.41421, -3.36364e-07, 3.43378e-31, 0, 3.43378e-31, 3.43378e-31, 3.43378e-31, 3.43378e-31, 3.43378e-31, 3.43378e-31, 6.59055e-10, 3.43378e-31, 3.43378e-31, 1.16432e-11, 2.62843e-10, 3.43378e-31, 3.35431e-07, 3.43378e-31, 3.43378e-31
0.376482, 0, 4.7046e-07, 2.07356e-30, 1.41421, -4.7046e-07, 2.07356e-30, 0, 2.07356e-30, 2.07356e-30, 2.07356e-30, 2.07356e-30, 2.07356e-30, 2.07356e-30, 9.25293e-10, 2.07356e-30, 2.07356e-30, 1.80658e-11, 4.03244e-10, 2.07356e-30, 4.69113e-07, 2.07356e-30, 2.07356e-30
0.38444, 0, 6.54112e-07, 1.16936e-29, 1.41421, -6.54112e-07, 1.16936e-29, 0, 1.16936e-29, 1.16936e-29, 1.16936e-29, 1.16936e-29, 1.16936e-29, 1.16936e-29, 1.29209e-09, 1.16936e-29, 1.16936e-29, 2.80298e-11, 6.17268e-10, 1.16936e-29, 6.52174e-07, 1.16936e-29, 1.16936e-29
0.392398, 0, 9.04112e-07, 6.17465e-29, 1.41421, -9.04112e-07, 6.17465e-29, 0, 6.17465e-29, 6.17465e-29, 6.17465e-29, 6.17465e-29, 6.17465e-29, 6.17465e-29, 1.79476e-09, 6.17465e-29, 6.17465e-29, 4.34775e-11, 9.42755e-10, 6.17465e-29, 9.01331e-07, 6.17465e-29, 6.17465e-29
0.400356, 0, 1.2424e-06, 3.06274e-28, 1.41421, -1.2424e-06, 3.06274e-28, 0, 3.06274e-28, 3.06274e-28, 3.06274e-28, 3.06274e-28, 3.06274e-28, 3.06274e-28, 2.48012e-09, 3.06274e-28, 3.06274e-28, 6.73992e-11, 1.43652e-09, 3.06274e-28, 1.23841e-06, 3.06274e-28, 3.06274e-28
0.408313, 0, 1.69744e-06, 1.43171e-27, 1.41421, -1.69744e-06, 1.43171e-27, 0, 1.43171e-27, 1.43171e-27, 1.43171e-27, 1.43171e-27, 1.43171e-27, 1.43171e-27, 3.40994e-09, 1.43171e-27, 1.43171e-27, 1.04383e-10, 2.18352e-09, 1.43171e-27, 1.69174e-06, 1.43171e-27, 1.43171e-27
