   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_58.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.375262, 0, 1.18342e-12, 9.80909e-45, 1.41421, -1.18342e-12, 9.80909e-45, 0, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 6.48266e-15, 9.80909e-45, 9.80909e-45, 2.4433e-17, 4.31592e-16, 9.80909e-45, 1.17648e-12, 9.80909e-45, 9.80909e-45, 9.80909e-45
0.383136, 0, 2.30445e-12, 1.82169e-43, 1.41421, -2.30445e-12, 1.82169e-43, 0, 1.82169e-43, 1.82169e-43, 1.82169e-43, 1.82169e-43, 1.82169e-43, 1.82169e-43, 1.82169e-43, 1.82169e-43, 1.82169e-43, 1.82169e-43, 1.82169e-43, 1.2624e-14, 1.82169e-43, 1.82169e-43, 4.86001e-17, 8.59552e-16, 1.82169e-43, 2.29092e-12, 1.82169e-43, 1.82169e-43, 1.82169e-43
0.39101, 0, 4.42963e-12, 2.76756e-42, 1.41421, -4.42963e-12, 2.76756e-42, 0, 2.76756e-42, 2.76756e-42, 2.76756e-42, 2.76756e-42, 2.76756e-42, 2.76756e-42, 2.76756e-42, 2.76756e-42, 2.76756e-42, 2.76756e-42, 2.76756e-42, 2.42673e-14, 2.76756e-42, 2.76756e-42, 9.56361e-17, 1.69134e-15, 2.76756e-42, 4.40358e-12, 2.76756e-42, 2.76756e-42, 2.76756e-42
0.398884, 0, 8.40584e-12, 3.81195e-41, 1.41421, -8.40584e-12, 3.81195e-41, 0, 3.81195e-41, 3.81195e-41, 3.81195e-41, 3.81195e-41, 3.81195e-41, 3.81195e-41, 3.81195e-41, 3.81195e-41, 3.81195e-41, 3.81195e-41, 3.81195e-41, 4.6055e-14, 3.81195e-41, 3.81195e-41, 1.86281e-16, 3.28902e-15, 3.81195e-41, 8.35631e-12, 3.81195e-41, 3.81195e-41, 3.81195e-41
0.406758, 0, 1.57487e-11, 4.71753e-40, 1.41421, -1.57487e-11, 4.71753e-40, 0, 4.71753e-40, 4.71753e-40, 4.71753e-40, 4.71753e-40, 4.71753e-40, 4.71753e-40, 4.71753e-40, 4.71753e-40, 4.71753e-40, 4.71753e-40, 4.71753e-40, 8.62982e-14, 4.71753e-40, 4.71753e-40, 3.59381e-16, 6.32278e-15, 4.71753e-40, 1.56557e-11, 4.71753e-40, 4.71753e-40, 4.71753e-40
0.414632, 0, 2.91336e-11, 5.26503e-39, 1.41421, -2.91336e-11, 5.26503e-39, 0, 5.26503e-39, 5.26503e-39, 5.26503e-39, 5.26503e-39, 5.26503e-39, 5.26503e-39, 5.26503e-39, 5.26503e-39, 5.26503e-39, 5.26503e-39, 5.26503e-39, 1.59677e-13, 5.26503e-39, 5.26503e-39, 6.87233e-16, 1.20202e-14, 5.26503e-39, 2.89612e-11, 5.26503e-39, 5.26503e-39, 5.26503e-39
0.422506, 0, 5.3219e-11, 5.32227e-38, 1.41421, -5.3219e-11, 5.32227e-38, 0, 5.32227e-38, 5.32227e-38, 5.32227e-38, 5.32227e-38, 5.32227e-38, 5.32227e-38, 5.32227e-38, 5.32227e-38, 5.32227e-38, 5.32227e-38, 5.32227e-38, 2.91771e-13, 5.32227e-38, 5.32227e-38, 1.30372e-15, 2.26078e-14, 5.32227e-38, 5.29033e-11, 5.32227e-38, 5.32227e-38, 5.32227e-38
0.43038, 0, 9.60058e-11, 4.89942e-37, 1.41421, -9.60058e-11, 4.89942e-37, 0, 4.89942e-37, 4.89942e-37, 4.89942e-37, 4.89942e-37, 4.89942e-37, 4.89942e-37, 4.89942e-37, 4.89942e-37, 4.89942e-37, 4.89942e-37, 4.89942e-37, 5.2656e-13, 4.89942e-37, 4.89942e-37, 2.45588e-15, 4.2089e-14, 4.89942e-37, 9.54347e-11, 4.89942e-37, 4.89942e-37, 4.89942e-37
0.438254, 0, 1.7105e-10, 4.12847e-36, 1.41421, -1.7105e-10, 4.12847e-36, 0, 4.12847e-36, 4.12847e-36, 4.12847e-36, 4.12847e-36, 4.12847e-36, 4.12847e-36, 4.12847e-36, 4.12847e-36, 4.12847e-36, 4.12847e-36, 4.12847e-36, 9.38664e-13, 4.12847e-36, 4.12847e-36, 4.59869e-15, 7.76082e-14, 4.12847e-36, 1.70029e-10, 4.12847e-36, 4.12847e-36, 4.12847e-36
0.446128, 0, 3.01009e-10, 3.2004e-35, 1.41421, -3.01009e-10, 3.2004e-35, 0, 3.2004e-35, 3.2004e-35, 3.2004e-35, 3.2004e-35, 3.2004e-35, 3.2004e-35, 3.2004e-35, 3.2004e-35, 3.2004e-35, 3.2004e-35, 3.2004e-35, 1.65303e-12, 3.2004e-35, 3.2004e-35, 8.56929e-15, 1.41839e-13, 3.2004e-35, 2.99206e-10, 3.2004e-35, 3.2004e-35, 3.2004e-35
