   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_238.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.429648, 0, 2.46508e-09, 8.50099e-36, 1.41421, -2.46508e-09, 8.50099e-36, 0, 8.50099e-36, 8.50099e-36, 8.50099e-36, 8.50099e-36, 8.50099e-36, 8.50099e-36, 8.50099e-36, 8.50099e-36, 8.50099e-36, 4.91251e-12, 8.50099e-36, 8.50099e-36, 1.54506e-14, 4.51347e-13, 8.50099e-36, 2.4597e-09, 8.50099e-36, 8.50099e-36
0.437521, 0, 4.37302e-09, 7.24769e-35, 1.41421, -4.37302e-09, 7.24769e-35, 0, 7.24769e-35, 7.24769e-35, 7.24769e-35, 7.24769e-35, 7.24769e-35, 7.24769e-35, 7.24769e-35, 7.24769e-35, 7.24769e-35, 8.72026e-12, 7.24769e-35, 7.24769e-35, 2.8831e-14, 8.30567e-13, 7.24769e-35, 4.36344e-09, 7.24769e-35, 7.24769e-35
0.445395, 0, 7.66195e-09, 5.68113e-34, 1.41421, -7.66195e-09, 5.68113e-34, 0, 5.68113e-34, 5.68113e-34, 5.68113e-34, 5.68113e-34, 5.68113e-34, 5.68113e-34, 5.68113e-34, 5.68113e-34, 5.68113e-34, 1.52916e-11, 5.68113e-34, 5.68113e-34, 5.35429e-14, 1.51523e-12, 5.68113e-34, 7.64509e-09, 5.68113e-34, 5.68113e-34
0.453269, 0, 1.32601e-08, 4.1131e-33, 1.41421, -1.32601e-08, 4.1131e-33, 0, 4.1131e-33, 4.1131e-33, 4.1131e-33, 4.1131e-33, 4.1131e-33, 4.1131e-33, 4.1131e-33, 4.1131e-33, 4.1131e-33, 2.64936e-11, 4.1131e-33, 4.1131e-33, 9.9077e-14, 2.74304e-12, 4.1131e-33, 1.32308e-08, 4.1131e-33, 4.1131e-33
0.461143, 0, 2.26697e-08, 2.88823e-32, 1.41421, -2.26697e-08, 2.88823e-32, 0, 2.88823e-32, 2.88823e-32, 2.88823e-32, 2.88823e-32, 2.88823e-32, 2.88823e-32, 2.88823e-32, 2.88823e-32, 2.88823e-32, 4.53587e-11, 2.88823e-32, 2.88823e-32, 1.8287e-13, 4.93303e-12, 2.88823e-32, 2.26192e-08, 2.88823e-32, 2.88823e-32
0.469017, 0, 3.82897e-08, 1.94638e-31, 1.41421, -3.82897e-08, 1.94638e-31, 0, 1.94638e-31, 1.94638e-31, 1.94638e-31, 1.94638e-31, 1.94638e-31, 1.94638e-31, 1.94638e-31, 1.94638e-31, 1.94638e-31, 7.67528e-11, 1.94638e-31, 1.94638e-31, 3.36994e-13, 8.8243e-12, 1.94638e-31, 3.82037e-08, 1.94638e-31, 1.94638e-31
0.47689, 0, 6.39001e-08, 1.2363e-30, 1.41421, -6.39001e-08, 1.2363e-30, 0, 1.2363e-30, 1.2363e-30, 1.2363e-30, 1.2363e-30, 1.2363e-30, 1.2363e-30, 1.2363e-30, 1.2363e-30, 1.2363e-30, 1.28388e-10, 1.2363e-30, 1.2363e-30, 6.20477e-13, 1.57233e-11, 1.2363e-30, 6.37553e-08, 1.2363e-30, 1.2363e-30
0.484764, 0, 1.05379e-07, 7.38051e-30, 1.41421, -1.05379e-07, 7.38051e-30, 0, 7.38051e-30, 7.38051e-30, 7.38051e-30, 7.38051e-30, 7.38051e-30, 7.38051e-30, 7.38051e-30, 7.38051e-30, 7.38051e-30, 2.12347e-10, 7.38051e-30, 7.38051e-30, 1.14193e-12, 2.79492e-11, 7.38051e-30, 1.05138e-07, 7.38051e-30, 7.38051e-30
0.492638, 0, 1.7175e-07, 4.13561e-29, 1.41421, -1.7175e-07, 4.13561e-29, 0, 4.13561e-29, 4.13561e-29, 4.13561e-29, 4.13561e-29, 4.13561e-29, 4.13561e-29, 4.13561e-29, 4.13561e-29, 4.13561e-29, 3.47347e-10, 4.13561e-29, 4.13561e-29, 2.10089e-12, 4.96395e-11, 4.13561e-29, 1.71351e-07, 4.13561e-29, 4.13561e-29
0.500512, 0, 2.76687e-07, 3.67726e-28, 1.41421, -2.76687e-07, 3.67726e-28, 0, 3.67726e-28, 3.67726e-28, 3.67726e-28, 3.67726e-28, 3.67726e-28, 3.67726e-28, 3.67726e-28, 3.67726e-28, 3.67726e-28, 5.62081e-10, 3.67726e-28, 3.67726e-28, 3.86625e-12, 8.83239e-11, 3.67726e-28, 2.76033e-07, 3.67726e-28, 3.67726e-28
