   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_247.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.32167, 0, 9.44058e-07, 4.48029e-28, 1.41421, -9.44058e-07, 0, 4.48029e-28, 4.48029e-28, 4.48029e-28, 4.48029e-28, 4.48029e-28, 1.78896e-08, 4.48029e-28, 4.48029e-28, 5.13018e-10, 3.11005e-08, 8.94555e-07, 4.48029e-28, 4.48029e-28
0.329778, 0, 1.22379e-06, 2.1664e-27, 1.41421, -1.22379e-06, 0, 2.1664e-27, 2.1664e-27, 2.1664e-27, 2.1664e-27, 2.1664e-27, 2.32772e-08, 2.1664e-27, 2.1664e-27, 7.48399e-10, 4.34526e-08, 1.15631e-06, 2.1664e-27, 2.1664e-27
0.337887, 0, 1.57975e-06, 9.88221e-27, 1.41421, -1.57975e-06, 0, 9.88221e-27, 9.88221e-27, 9.88221e-27, 9.88221e-27, 9.88221e-27, 3.01712e-08, 9.88221e-27, 9.88221e-27, 1.08883e-09, 6.05156e-08, 1.48798e-06, 9.88221e-27, 9.88221e-27
0.345996, 0, 2.03092e-06, 4.26541e-26, 1.41421, -2.03092e-06, 0, 4.26541e-26, 4.26541e-26, 4.26541e-26, 4.26541e-26, 4.26541e-26, 3.89609e-08, 4.26541e-26, 4.26541e-26, 1.57942e-09, 8.40009e-08, 1.90638e-06, 4.26541e-26, 4.26541e-26
0.354105, 0, 2.60049e-06, 1.74688e-25, 1.41421, -2.60049e-06, 0, 1.74688e-25, 1.74688e-25, 1.74688e-25, 1.74688e-25, 1.74688e-25, 5.01277e-08, 1.74688e-25, 1.74688e-25, 2.28366e-09, 1.16203e-07, 2.43188e-06, 1.74688e-25, 1.74688e-25
0.362214, 0, 3.31679e-06, 6.80654e-25, 1.41421, -3.31679e-06, 0, 6.80654e-25, 6.80654e-25, 6.80654e-25, 6.80654e-25, 6.80654e-25, 6.42651e-08, 6.80654e-25, 6.80654e-25, 3.29046e-09, 1.60184e-07, 3.08905e-06, 6.80654e-25, 6.80654e-25
0.370322, 0, 4.21426e-06, 2.54775e-24, 1.41421, -4.21426e-06, 0, 2.54775e-24, 2.54775e-24, 2.54775e-24, 2.54775e-24, 2.54775e-24, 8.21023e-08, 2.54775e-24, 2.54775e-24, 4.72369e-09, 2.20004e-07, 3.90743e-06, 2.54775e-24, 2.54775e-24
0.378431, 0, 5.36052e-06, 2.30857e-08, 1.41421, -5.36052e-06, 2.30857e-08, 2.30862e-08, 2.30864e-08, 2.30906e-08, 2.31788e-08, 2.33897e-08, 1.2762e-07, 2.30911e-08, 2.30858e-08, 2.98406e-08, 3.241e-07, 4.94591e-06, 2.30857e-08, 2.49817e-08
0.38654, 0, 6.82194e-06, 8.28387e-08, 1.41421, -6.82194e-06, 8.28387e-08, 8.28405e-08, 8.28414e-08, 8.28564e-08, 8.31748e-08, 8.39362e-08, 2.1549e-07, 8.28581e-08, 8.28392e-08, 9.2462e-08, 4.93079e-07, 6.2611e-06, 8.28387e-08, 8.96825e-08
0.394649, 0, 8.65493e-06, 1.75482e-07, 1.41421, -8.65493e-06, 1.75482e-07, 1.75486e-07, 1.75488e-07, 1.7552e-07, 1.76196e-07, 1.77812e-07, 3.43257e-07, 1.75524e-07, 1.75483e-07, 1.89131e-07, 7.32282e-07, 7.89905e-06, 1.75482e-07, 1.90009e-07
0.402757, 0, 1.09906e-05, 3.52364e-07, 1.41421, -1.09906e-05, 3.52364e-07, 3.52372e-07, 3.52375e-07, 3.52439e-07, 3.53799e-07, 3.57048e-07, 5.63875e-07, 3.52447e-07, 3.52366e-07, 3.7164e-07, 1.10488e-06, 9.97181e-06, 3.52364e-07, 3.81575e-07
