   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_124.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.264964, 0, 1.67661e-11, 0, 1.41421, -1.67661e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.90895e-14, 0, 0, 3.95881e-16, 0, 6.76175e-13, 0, 1.60004e-11, 0, 0, 0
0.272828, 0, 2.64381e-11, 0, 1.41421, -2.64381e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40271e-13, 0, 0, 6.42392e-16, 0, 1.10898e-12, 0, 2.51882e-11, 0, 0, 0
0.280692, 0, 4.14176e-11, 0, 1.41421, -4.14176e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19392e-13, 0, 0, 1.03745e-15, 0, 1.81009e-12, 0, 3.93871e-11, 0, 0, 0
0.288556, 0, 6.44643e-11, 8.40779e-45, 1.41421, -6.44643e-11, 8.40779e-45, 0, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 3.40881e-13, 8.40779e-45, 8.40779e-45, 1.66803e-15, 8.40779e-45, 2.94082e-12, 8.40779e-45, 6.1181e-11, 8.40779e-45, 8.40779e-45, 8.40779e-45
0.29642, 0, 9.96911e-11, 1.63952e-43, 1.41421, -9.96911e-11, 1.63952e-43, 0, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 5.26174e-13, 1.63952e-43, 1.63952e-43, 2.67083e-15, 1.63952e-43, 4.75685e-12, 1.63952e-43, 9.44054e-11, 1.63952e-43, 1.63952e-43, 1.63952e-43
0.304284, 0, 1.53186e-10, 2.42425e-42, 1.41421, -1.53186e-10, 2.42425e-42, 0, 2.42425e-42, 2.42425e-42, 2.42425e-42, 2.42425e-42, 2.42425e-42, 2.42425e-42, 2.42425e-42, 2.42425e-42, 2.42425e-42, 2.42425e-42, 8.06898e-13, 2.42425e-42, 2.42425e-42, 4.26046e-15, 2.42425e-42, 7.66208e-12, 2.42425e-42, 1.44713e-10, 2.42425e-42, 2.42425e-42, 2.42425e-42
0.312148, 0, 2.33903e-10, 3.27946e-41, 1.41421, -2.33903e-10, 3.27946e-41, 0, 3.27946e-41, 3.27946e-41, 3.27946e-41, 3.27946e-41, 3.27946e-41, 3.27946e-41, 3.27946e-41, 3.27946e-41, 3.27946e-41, 3.27946e-41, 1.22939e-12, 3.27946e-41, 3.27946e-41, 6.77334e-15, 3.27946e-41, 1.22928e-11, 3.27946e-41, 2.20374e-10, 3.27946e-41, 3.27946e-41, 3.27946e-41
0.320012, 0, 3.54924e-10, 3.98089e-40, 1.41421, -3.54924e-10, 3.98089e-40, 0, 3.98089e-40, 3.98089e-40, 3.98089e-40, 3.98089e-40, 3.98089e-40, 3.98089e-40, 3.98089e-40, 3.98089e-40, 3.98089e-40, 3.98089e-40, 1.86107e-12, 3.98089e-40, 3.98089e-40, 1.07366e-14, 3.98089e-40, 1.96491e-11, 3.98089e-40, 3.33403e-10, 3.98089e-40, 3.98089e-40, 3.98089e-40
0.327876, 0, 5.35241e-10, 4.35459e-39, 1.41421, -5.35241e-10, 4.35459e-39, 0, 4.35459e-39, 4.35459e-39, 4.35459e-39, 4.35459e-39, 4.35459e-39, 4.35459e-39, 4.35459e-39, 4.35459e-39, 4.35459e-39, 4.35459e-39, 2.79935e-12, 4.35459e-39, 4.35459e-39, 1.6976e-14, 4.35459e-39, 3.12994e-11, 4.35459e-39, 5.01125e-10, 4.35459e-39, 4.35459e-39, 4.35459e-39
0.33574, 0, 8.02258e-10, 4.30998e-38, 1.41421, -8.02258e-10, 4.30998e-38, 0, 4.30998e-38, 4.30998e-38, 4.30998e-38, 4.30998e-38, 4.30998e-38, 4.30998e-38, 4.30998e-38, 4.30998e-38, 4.30998e-38, 4.30998e-38, 4.18404e-12, 4.30998e-38, 4.30998e-38, 2.67858e-14, 4.30998e-38, 4.9699e-11, 4.30998e-38, 7.48349e-10, 4.30998e-38, 4.30998e-38, 4.30998e-38
