   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_365.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.284755, 0, 1.0518e-08, 1.68511e-35, 1.41421, -1.0518e-08, 0, 1.68511e-35, 1.68511e-35, 1.68511e-35, 1.68511e-35, 1.68511e-35, 1.68511e-35, 1.68511e-35, 1.68511e-35, 1.68511e-35, 1.68511e-35, 2.93397e-11, 1.68511e-35, 1.68511e-35, 8.79527e-11, 1.68511e-35, 7.68187e-11, 1.68511e-35, 1.03239e-08, 1.68511e-35, 1.68511e-35, 1.68511e-35
0.292608, 0, 1.41441e-08, 1.20172e-34, 1.41421, -1.41441e-08, 0, 1.20172e-34, 1.20172e-34, 1.20172e-34, 1.20172e-34, 1.20172e-34, 1.20172e-34, 1.20172e-34, 1.20172e-34, 1.20172e-34, 1.20172e-34, 3.94778e-11, 1.20172e-34, 1.20172e-34, 1.27946e-10, 1.20172e-34, 1.10122e-10, 1.20172e-34, 1.38666e-08, 1.20172e-34, 1.20172e-34, 1.20172e-34
0.30046, 0, 1.89477e-08, 7.94041e-34, 1.41421, -1.89477e-08, 0, 7.94041e-34, 7.94041e-34, 7.94041e-34, 7.94041e-34, 7.94041e-34, 7.94041e-34, 7.94041e-34, 7.94041e-34, 7.94041e-34, 7.94041e-34, 5.29204e-11, 7.94041e-34, 7.94041e-34, 1.86193e-10, 7.94041e-34, 1.57568e-10, 7.94041e-34, 1.8551e-08, 7.94041e-34, 7.94041e-34, 7.94041e-34
0.308313, 0, 2.52867e-08, 5.24766e-33, 1.41421, -2.52867e-08, 0, 5.24766e-33, 5.24766e-33, 5.24766e-33, 5.24766e-33, 5.24766e-33, 5.24766e-33, 5.24766e-33, 5.24766e-33, 5.24766e-33, 5.24766e-33, 7.06783e-11, 5.24766e-33, 5.24766e-33, 2.71041e-10, 5.24766e-33, 2.25044e-10, 5.24766e-33, 2.472e-08, 5.24766e-33, 5.24766e-33, 5.24766e-33
0.316165, 0, 3.36204e-08, 3.29271e-32, 1.41421, -3.36204e-08, 0, 3.29271e-32, 3.29271e-32, 3.29271e-32, 3.29271e-32, 3.29271e-32, 3.29271e-32, 3.29271e-32, 3.29271e-32, 3.29271e-32, 3.29271e-32, 9.40499e-11, 3.29271e-32, 3.29271e-32, 3.94635e-10, 3.29271e-32, 3.20836e-10, 3.29271e-32, 3.28109e-08, 3.29271e-32, 3.29271e-32, 3.29271e-32
0.324017, 0, 4.45357e-08, 1.9254e-31, 1.41421, -4.45357e-08, 0, 1.9254e-31, 1.9254e-31, 1.9254e-31, 1.9254e-31, 1.9254e-31, 1.9254e-31, 1.9254e-31, 1.9254e-31, 1.9254e-31, 1.9254e-31, 1.24699e-10, 1.9254e-31, 1.9254e-31, 5.74624e-10, 1.9254e-31, 4.56578e-10, 1.9254e-31, 4.33798e-08, 1.9254e-31, 1.9254e-31, 1.9254e-31
0.33187, 0, 5.87801e-08, 1.05376e-30, 1.41421, -5.87801e-08, 0, 1.05376e-30, 1.05376e-30, 1.05376e-30, 1.05376e-30, 1.05376e-30, 1.05376e-30, 1.05376e-30, 1.05376e-30, 1.05376e-30, 1.05376e-30, 1.64746e-10, 1.05376e-30, 1.05376e-30, 8.36599e-10, 1.05376e-30, 6.48576e-10, 1.05376e-30, 5.71302e-08, 1.05376e-30, 1.05376e-30, 1.05376e-30
0.339722, 0, 7.73022e-08, 5.40287e-30, 1.41421, -7.73022e-08, 0, 5.40287e-30, 5.40287e-30, 5.40287e-30, 5.40287e-30, 5.40287e-30, 5.40287e-30, 5.40287e-30, 5.40287e-30, 5.40287e-30, 5.40287e-30, 2.1689e-10, 5.40287e-30, 5.40287e-30, 1.21759e-09, 5.40287e-30, 9.19608e-10, 5.40287e-30, 7.49481e-08, 5.40287e-30, 5.40287e-30, 5.40287e-30
0.347575, 0, 1.01302e-07, 2.60195e-29, 1.41421, -1.01302e-07, 0, 2.60195e-29, 2.60195e-29, 2.60195e-29, 2.60195e-29, 2.60195e-29, 2.60195e-29, 2.60195e-29, 2.60195e-29, 2.60195e-29, 2.60195e-29, 2.84551e-10, 2.60195e-29, 2.60195e-29, 1.77102e-09, 2.60195e-29, 1.30142e-09, 2.60195e-29, 9.79452e-08, 2.60195e-29, 2.60195e-29, 2.60195e-29
0.355427, 0, 1.32294e-07, 1.18184e-28, 1.41421, -1.32294e-07, 0, 1.18184e-28, 1.18184e-28, 1.18184e-28, 1.18184e-28, 1.18184e-28, 1.18184e-28, 1.18184e-28, 1.18184e-28, 1.18184e-28, 1.18184e-28, 3.72044e-10, 1.18184e-28, 1.18184e-28, 2.57379e-09, 1.18184e-28, 1.83814e-09, 1.18184e-28, 1.2751e-07, 1.18184e-28, 1.18184e-28, 1.18184e-28
