   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_859.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.201264, 0, 8.23356e-12, 0, 1.41421, -8.23356e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88416e-14, 0, 0, 5.83295e-14, 0, 8.13639e-12, 0, 0, 0
0.209109, 0, 1.23359e-11, 0, 1.41421, -1.23359e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.81897e-14, 0, 0, 8.99459e-14, 0, 1.21878e-11, 0, 0, 0
0.216954, 0, 1.83883e-11, 0, 1.41421, -1.83883e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.67334e-14, 0, 0, 1.38206e-13, 0, 1.81634e-11, 0, 0, 0
0.2248, 0, 2.72715e-11, 0, 1.41421, -2.72715e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28626e-13, 0, 0, 2.11652e-13, 0, 2.69312e-11, 0, 0, 0
0.232645, 0, 4.02419e-11, 0, 1.41421, -4.02419e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89793e-13, 0, 0, 3.23129e-13, 0, 3.9729e-11, 0, 0, 0
0.24049, 0, 5.90829e-11, 0, 1.41421, -5.90829e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78646e-13, 0, 0, 4.91932e-13, 0, 5.83123e-11, 0, 0, 0
0.248335, 0, 8.63115e-11, 0, 1.41421, -8.63115e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07061e-13, 0, 0, 7.47025e-13, 0, 8.51574e-11, 0, 0, 0
0.25618, 0, 1.2546e-10, 1.09301e-43, 1.41421, -1.2546e-10, 0, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 5.91706e-13, 1.09301e-43, 1.09301e-43, 1.13187e-12, 1.09301e-43, 1.23736e-10, 1.09301e-43, 1.09301e-43, 1.09301e-43
0.264025, 0, 1.81461e-10, 1.78525e-42, 1.41421, -1.81461e-10, 0, 1.78525e-42, 1.78525e-42, 1.78525e-42, 1.78525e-42, 1.78525e-42, 1.78525e-42, 1.78525e-42, 1.78525e-42, 8.55866e-13, 1.78525e-42, 1.78525e-42, 1.71171e-12, 1.78525e-42, 1.78893e-10, 1.78525e-42, 1.78525e-42, 1.78525e-42
0.271871, 0, 2.61164e-10, 2.46853e-41, 1.41421, -2.61164e-10, 0, 2.46853e-41, 2.46853e-41, 2.46853e-41, 2.46853e-41, 2.46853e-41, 2.46853e-41, 2.46853e-41, 2.46853e-41, 1.23189e-12, 2.46853e-41, 2.46853e-41, 2.58451e-12, 2.46853e-41, 2.57348e-10, 2.46853e-41, 2.46853e-41, 2.46853e-41
