   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_141.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.295521, 0, 1.4128e-10, 1.58347e-43, 1.41421, -1.4128e-10, 1.58347e-43, 0, 1.58347e-43, 1.58347e-43, 1.58347e-43, 1.58347e-43, 1.58347e-43, 1.58347e-43, 1.58347e-43, 1.58347e-43, 1.58347e-43, 6.3643e-13, 1.58347e-43, 1.58347e-43, 7.16135e-16, 4.92553e-12, 1.58347e-43, 1.35717e-10, 1.58347e-43, 1.58347e-43
0.303387, 0, 2.15056e-10, 2.60361e-42, 1.41421, -2.15056e-10, 2.60361e-42, 0, 2.60361e-42, 2.60361e-42, 2.60361e-42, 2.60361e-42, 2.60361e-42, 2.60361e-42, 2.60361e-42, 2.60361e-42, 2.60361e-42, 9.67424e-13, 2.60361e-42, 2.60361e-42, 1.13356e-15, 7.88348e-12, 2.60361e-42, 2.06204e-10, 2.60361e-42, 2.60361e-42
0.311253, 0, 3.25331e-10, 3.61311e-41, 1.41421, -3.25331e-10, 3.61311e-41, 0, 3.61311e-41, 3.61311e-41, 3.61311e-41, 3.61311e-41, 3.61311e-41, 3.61311e-41, 3.61311e-41, 3.61311e-41, 3.61311e-41, 1.46131e-12, 3.61311e-41, 3.61311e-41, 1.78871e-15, 1.25706e-11, 3.61311e-41, 3.11297e-10, 3.61311e-41, 3.61311e-41
0.319119, 0, 4.89133e-10, 4.44217e-40, 1.41421, -4.89133e-10, 4.44217e-40, 0, 4.44217e-40, 4.44217e-40, 4.44217e-40, 4.44217e-40, 4.44217e-40, 4.44217e-40, 4.44217e-40, 4.44217e-40, 4.44217e-40, 2.19353e-12, 4.44217e-40, 4.44217e-40, 2.81488e-15, 1.99742e-11, 4.44217e-40, 4.66962e-10, 4.44217e-40, 4.44217e-40
0.326984, 0, 7.30942e-10, 4.90833e-39, 1.41421, -7.30942e-10, 4.90833e-39, 0, 4.90833e-39, 4.90833e-39, 4.90833e-39, 4.90833e-39, 4.90833e-39, 4.90833e-39, 4.90833e-39, 4.90833e-39, 4.90833e-39, 3.27225e-12, 4.90833e-39, 4.90833e-39, 4.41967e-15, 3.16354e-11, 4.90833e-39, 6.9603e-10, 4.90833e-39, 4.90833e-39
0.33485, 0, 1.08574e-09, 4.90246e-38, 1.41421, -1.08574e-09, 4.90246e-38, 0, 4.90246e-38, 4.90246e-38, 4.90246e-38, 4.90246e-38, 4.90246e-38, 4.90246e-38, 4.90246e-38, 4.90246e-38, 4.90246e-38, 4.85146e-12, 4.90246e-38, 4.90246e-38, 6.92651e-15, 4.99552e-11, 4.90246e-38, 1.03093e-09, 4.90246e-38, 4.90246e-38
0.342716, 0, 1.60322e-09, 4.45135e-37, 1.41421, -1.60322e-09, 4.45135e-37, 0, 4.45135e-37, 4.45135e-37, 4.45135e-37, 4.45135e-37, 4.45135e-37, 4.45135e-37, 4.45135e-37, 4.45135e-37, 4.45135e-37, 7.149e-12, 4.45135e-37, 4.45135e-37, 1.08396e-14, 7.86691e-11, 4.45135e-37, 1.51739e-09, 4.45135e-37, 4.45135e-37
0.350582, 0, 2.35352e-09, 3.69364e-36, 1.41421, -2.35352e-09, 3.69364e-36, 0, 3.69364e-36, 3.69364e-36, 3.69364e-36, 3.69364e-36, 3.69364e-36, 3.69364e-36, 3.69364e-36, 3.69364e-36, 3.69364e-36, 1.04711e-11, 3.69364e-36, 3.69364e-36, 1.69457e-14, 1.23582e-10, 3.69364e-36, 2.21945e-09, 3.69364e-36, 3.69364e-36
0.358448, 0, 3.43517e-09, 2.81484e-35, 1.41421, -3.43517e-09, 2.81484e-35, 0, 2.81484e-35, 2.81484e-35, 2.81484e-35, 2.81484e-35, 2.81484e-35, 2.81484e-35, 2.81484e-35, 2.81484e-35, 2.81484e-35, 1.52454e-11, 2.81484e-35, 2.81484e-35, 2.64734e-14, 1.93704e-10, 2.81484e-35, 3.22619e-09, 2.81484e-35, 2.81484e-35
0.366313, 0, 4.98575e-09, 1.97701e-34, 1.41421, -4.98575e-09, 1.97701e-34, 0, 1.97701e-34, 1.97701e-34, 1.97701e-34, 1.97701e-34, 1.97701e-34, 1.97701e-34, 1.97701e-34, 1.97701e-34, 1.97701e-34, 2.20658e-11, 1.97701e-34, 1.97701e-34, 4.13421e-14, 3.03005e-10, 1.97701e-34, 4.66064e-09, 1.97701e-34, 1.97701e-34
