   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_169.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0759298, 0, 5.44094e-30, 0, 1.41421, -5.44094e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41821e-32, 0, 0, 1.07149e-34, 2.86485e-36, 0, 5.40665e-30, 0, 0, 0
0.0837926, 0, 5.90804e-29, 0, 1.41421, -5.90804e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.71164e-31, 0, 0, 1.16347e-33, 3.18602e-34, 0, 5.87077e-29, 0, 0, 0
0.0916553, 0, 4.02651e-28, 0, 1.41421, -4.02651e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52959e-30, 0, 0, 7.92938e-33, 3.55261e-33, 0, 4.0011e-28, 0, 0, 0
0.0995181, 0, 2.19345e-27, 0, 1.41421, -2.19345e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.378e-29, 0, 0, 4.31953e-32, 2.48344e-32, 0, 2.1796e-27, 0, 0, 0
0.107381, 0, 1.04073e-26, 0, 1.41421, -1.04073e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.53817e-29, 0, 0, 2.051e-31, 1.37854e-31, 0, 1.03415e-26, 0, 0, 0
0.115244, 0, 4.48195e-26, 0, 1.41421, -4.48195e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8157e-28, 0, 0, 8.84743e-31, 6.63426e-31, 0, 4.45364e-26, 0, 0, 0
0.123106, 0, 1.79301e-25, 0, 1.41421, -1.79301e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12642e-27, 0, 0, 3.54799e-30, 2.88906e-30, 0, 1.78168e-25, 0, 0, 0
0.130969, 0, 6.75986e-25, 0, 1.41421, -6.75986e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.24674e-27, 0, 0, 1.34163e-29, 1.16628e-29, 0, 6.71714e-25, 0, 0, 0
0.138832, 0, 2.42508e-24, 0, 1.41421, -2.42508e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5235e-26, 0, 0, 4.8295e-29, 4.43106e-29, 0, 2.40975e-24, 0, 0, 0
0.146695, 0, 8.3352e-24, 0, 1.41421, -8.3352e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.2364e-26, 0, 0, 1.66619e-28, 1.60041e-28, 0, 8.28251e-24, 0, 0, 0
0.154557, 0, 2.7587e-23, 0, 1.41421, -2.7587e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73309e-25, 0, 0, 5.53711e-28, 5.53428e-28, 0, 2.74126e-23, 0, 0, 0
0.16242, 0, 8.82635e-23, 0, 1.41421, -8.82635e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54494e-25, 0, 0, 1.77931e-27, 1.84191e-27, 0, 8.77053e-23, 0, 0, 0
0.170283, 0, 2.73825e-22, 0, 1.41421, -2.73825e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72024e-24, 0, 0, 5.54572e-27, 5.92373e-27, 0, 2.72094e-22, 0, 0, 0
0.178146, 0, 8.25782e-22, 0, 1.41421, -8.25782e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18777e-24, 0, 0, 1.68068e-26, 1.84679e-26, 0, 8.20559e-22, 0, 0, 0
0.186008, 0, 2.42571e-21, 0, 1.41421, -2.42571e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52389e-23, 0, 0, 4.96265e-26, 5.59555e-26, 0, 2.41037e-21, 0, 0, 0
0.193871, 0, 6.95243e-21, 0, 1.41421, -6.95243e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36769e-23, 0, 0, 1.43018e-25, 1.65113e-25, 0, 6.90845e-21, 0, 0, 0
0.201734, 0, 1.9471e-20, 0, 1.41421, -1.9471e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22321e-22, 0, 0, 4.02853e-25, 4.75331e-25, 0, 1.93478e-20, 0, 0, 0
0.209597, 0, 5.33486e-20, 0, 1.41421, -5.33486e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35149e-22, 0, 0, 1.11049e-24, 1.337e-24, 0, 5.3011e-20, 0, 0, 0
0.21746, 0, 1.43156e-19, 0, 1.41421, -1.43156e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.99337e-22, 0, 0, 2.99897e-24, 3.67908e-24, 0, 1.4225e-19, 0, 0, 0
0.225322, 0, 3.76567e-19, 0, 1.41421, -3.76567e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36568e-21, 0, 0, 7.9417e-24, 9.91504e-24, 0, 3.74183e-19, 0, 0, 0
