   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_136.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.24196, 0, 1.06447e-11, 0, 1.41421, -1.06447e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22277e-14, 0, 0, 2.07654e-16, 0, 1.82353e-14, 0, 1.05941e-11, 0, 0
0.249818, 0, 1.66082e-11, 0, 1.41421, -1.66082e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.02862e-14, 0, 0, 3.33206e-16, 0, 2.95889e-14, 0, 1.6528e-11, 0, 0
0.257677, 0, 2.57535e-11, 0, 1.41421, -2.57535e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.7984e-14, 0, 0, 5.3223e-16, 0, 4.77933e-14, 0, 2.56272e-11, 0, 0
0.265535, 0, 3.96903e-11, 0, 1.41421, -3.96903e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20202e-13, 0, 0, 8.46453e-16, 0, 7.68582e-14, 0, 3.94924e-11, 0, 0
0.273393, 0, 6.07961e-11, 0, 1.41421, -6.07961e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84153e-13, 0, 0, 1.34073e-15, 0, 1.23074e-13, 0, 6.04875e-11, 0, 0
0.281251, 0, 9.25599e-11, 1.26117e-44, 1.41421, -9.25599e-11, 1.26117e-44, 0, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 2.80431e-13, 1.26117e-44, 1.26117e-44, 2.11565e-15, 1.26117e-44, 1.96279e-13, 1.26117e-44, 9.2081e-11, 1.26117e-44, 1.26117e-44
0.28911, 0, 1.40067e-10, 2.25609e-43, 1.41421, -1.40067e-10, 2.25609e-43, 0, 2.25609e-43, 2.25609e-43, 2.25609e-43, 2.25609e-43, 2.25609e-43, 2.25609e-43, 2.25609e-43, 2.25609e-43, 2.25609e-43, 4.24486e-13, 2.25609e-43, 2.25609e-43, 3.32699e-15, 2.25609e-43, 3.11807e-13, 2.25609e-43, 1.39327e-10, 2.25609e-43, 2.25609e-43
0.296968, 0, 2.1068e-10, 3.30566e-42, 1.41421, -2.1068e-10, 3.30566e-42, 0, 3.30566e-42, 3.30566e-42, 3.30566e-42, 3.30566e-42, 3.30566e-42, 3.30566e-42, 3.30566e-42, 3.30566e-42, 3.30566e-42, 6.38718e-13, 3.30566e-42, 3.30566e-42, 5.21574e-15, 3.30566e-42, 4.93506e-13, 3.30566e-42, 2.09543e-10, 3.30566e-42, 3.30566e-42
0.304826, 0, 3.14992e-10, 4.41199e-41, 1.41421, -3.14992e-10, 4.41199e-41, 0, 4.41199e-41, 4.41199e-41, 4.41199e-41, 4.41199e-41, 4.41199e-41, 4.41199e-41, 4.41199e-41, 4.41199e-41, 4.41199e-41, 9.55381e-13, 4.41199e-41, 4.41199e-41, 8.15449e-15, 4.41199e-41, 7.78362e-13, 4.41199e-41, 3.1325e-10, 4.41199e-41, 4.41199e-41
0.312684, 0, 4.68133e-10, 5.28728e-40, 1.41421, -4.68133e-10, 5.28728e-40, 0, 5.28728e-40, 5.28728e-40, 5.28728e-40, 5.28728e-40, 5.28728e-40, 5.28728e-40, 5.28728e-40, 5.28728e-40, 5.28728e-40, 1.42064e-12, 5.28728e-40, 5.28728e-40, 1.27193e-14, 5.28728e-40, 1.22362e-12, 5.28728e-40, 4.65477e-10, 5.28728e-40, 5.28728e-40
0.320543, 0, 6.91591e-10, 5.71103e-39, 1.41421, -6.91591e-10, 5.71103e-39, 0, 5.71103e-39, 5.71103e-39, 5.71103e-39, 5.71103e-39, 5.71103e-39, 5.71103e-39, 5.71103e-39, 5.71103e-39, 5.71103e-39, 2.10015e-12, 5.71103e-39, 5.71103e-39, 1.9801e-14, 5.71103e-39, 1.91774e-12, 5.71103e-39, 6.87554e-10, 5.71103e-39, 5.71103e-39
0.328401, 0, 1.01566e-09, 5.58334e-38, 1.41421, -1.01566e-09, 5.58334e-38, 0, 5.58334e-38, 5.58334e-38, 5.58334e-38, 5.58334e-38, 5.58334e-38, 5.58334e-38, 5.58334e-38, 5.58334e-38, 5.58334e-38, 3.08671e-12, 5.58334e-38, 5.58334e-38, 3.07781e-14, 5.58334e-38, 2.99716e-12, 5.58334e-38, 1.00955e-09, 5.58334e-38, 5.58334e-38
