   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_15.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.283052, 0, 9.74418e-10, 2.97496e-42, 1.41421, -9.74418e-10, 2.97496e-42, 0, 2.97496e-42, 2.97496e-42, 2.97496e-42, 2.97496e-42, 2.97496e-42, 2.97496e-42, 2.97496e-42, 2.97496e-42, 2.97496e-42, 2.97496e-42, 2.97496e-42, 6.9405e-12, 2.97496e-42, 2.97496e-42, 4.45459e-14, 2.97496e-42, 2.39916e-12, 2.97496e-42, 9.65034e-10, 2.97496e-42, 2.97496e-42, 2.97496e-42
0.290896, 0, 1.4445e-09, 4.42194e-41, 1.41421, -1.4445e-09, 4.42194e-41, 0, 4.42194e-41, 4.42194e-41, 4.42194e-41, 4.42194e-41, 4.42194e-41, 4.42194e-41, 4.42194e-41, 4.42194e-41, 4.42194e-41, 4.42194e-41, 4.42194e-41, 1.02967e-11, 4.42194e-41, 4.42194e-41, 6.89833e-14, 4.42194e-41, 3.7452e-12, 4.42194e-41, 1.43039e-09, 4.42194e-41, 4.42194e-41, 4.42194e-41
0.29874, 0, 2.12929e-09, 5.79308e-40, 1.41421, -2.12929e-09, 5.79308e-40, 0, 5.79308e-40, 5.79308e-40, 5.79308e-40, 5.79308e-40, 5.79308e-40, 5.79308e-40, 5.79308e-40, 5.79308e-40, 5.79308e-40, 5.79308e-40, 5.79308e-40, 1.51922e-11, 5.79308e-40, 5.79308e-40, 1.06593e-13, 5.79308e-40, 5.82736e-12, 5.79308e-40, 2.10816e-09, 5.79308e-40, 5.79308e-40, 5.79308e-40
0.306583, 0, 3.1211e-09, 6.79065e-39, 1.41421, -3.1211e-09, 6.79065e-39, 0, 6.79065e-39, 6.79065e-39, 6.79065e-39, 6.79065e-39, 6.79065e-39, 6.79065e-39, 6.79065e-39, 6.79065e-39, 6.79065e-39, 6.79065e-39, 6.79065e-39, 2.22936e-11, 6.79065e-39, 6.79065e-39, 1.64411e-13, 6.79065e-39, 9.03923e-12, 6.79065e-39, 3.08961e-09, 6.79065e-39, 6.79065e-39, 6.79065e-39
0.314427, 0, 4.54935e-09, 7.1771e-38, 1.41421, -4.54935e-09, 7.1771e-38, 0, 7.1771e-38, 7.1771e-38, 7.1771e-38, 7.1771e-38, 7.1771e-38, 7.1771e-38, 7.1771e-38, 7.1771e-38, 7.1771e-38, 7.1771e-38, 7.1771e-38, 3.25388e-11, 7.1771e-38, 7.1771e-38, 2.53227e-13, 7.1771e-38, 1.3981e-11, 7.1771e-38, 4.50258e-09, 7.1771e-38, 7.1771e-38, 7.1771e-38
0.32227, 0, 6.59429e-09, 6.87243e-37, 1.41421, -6.59429e-09, 6.87243e-37, 0, 6.87243e-37, 6.87243e-37, 6.87243e-37, 6.87243e-37, 6.87243e-37, 6.87243e-37, 6.87243e-37, 6.87243e-37, 6.87243e-37, 6.87243e-37, 6.87243e-37, 4.72398e-11, 6.87243e-37, 6.87243e-37, 3.89601e-13, 6.87243e-37, 2.15661e-11, 6.87243e-37, 6.5251e-09, 6.87243e-37, 6.87243e-37, 6.87243e-37
0.330114, 0, 9.50553e-09, 5.99475e-36, 1.41421, -9.50553e-09, 5.99475e-36, 0, 5.99475e-36, 5.99475e-36, 5.99475e-36, 5.99475e-36, 5.99475e-36, 5.99475e-36, 5.99475e-36, 5.99475e-36, 5.99475e-36, 5.99475e-36, 5.99475e-36, 6.82227e-11, 5.99475e-36, 5.99475e-36, 5.98982e-13, 5.99475e-36, 3.31835e-11, 5.99475e-36, 9.40353e-09, 5.99475e-36, 5.99475e-36, 5.99475e-36
0.337957, 0, 1.36265e-08, 4.78727e-35, 1.41421, -1.36265e-08, 4.78727e-35, 0, 4.78727e-35, 4.78727e-35, 4.78727e-35, 4.78727e-35, 4.78727e-35, 4.78727e-35, 4.78727e-35, 4.78727e-35, 4.78727e-35, 4.78727e-35, 4.78727e-35, 9.80147e-11, 4.78727e-35, 4.78727e-35, 9.20499e-13, 4.78727e-35, 5.09407e-11, 4.78727e-35, 1.34767e-08, 4.78727e-35, 4.78727e-35, 4.78727e-35
0.345801, 0, 1.94271e-08, 3.51728e-34, 1.41421, -1.94271e-08, 3.51728e-34, 0, 3.51728e-34, 3.51728e-34, 3.51728e-34, 3.51728e-34, 3.51728e-34, 3.51728e-34, 3.51728e-34, 3.51728e-34, 3.51728e-34, 3.51728e-34, 3.51728e-34, 1.40097e-10, 3.51728e-34, 3.51728e-34, 1.41437e-12, 3.51728e-34, 7.80331e-11, 3.51728e-34, 1.92076e-08, 3.51728e-34, 3.51728e-34, 3.51728e-34
0.353645, 0, 2.7546e-08, 2.38814e-33, 1.41421, -2.7546e-08, 2.38814e-33, 0, 2.38814e-33, 2.38814e-33, 2.38814e-33, 2.38814e-33, 2.38814e-33, 2.38814e-33, 2.38814e-33, 2.38814e-33, 2.38814e-33, 2.38814e-33, 2.38814e-33, 1.99239e-10, 2.38814e-33, 2.38814e-33, 2.17329e-12, 2.38814e-33, 1.19297e-10, 2.38814e-33, 2.72253e-08, 2.38814e-33, 2.38814e-33, 2.38814e-33
