   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_125.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.358132, 0, 1.67117e-09, 2.78897e-36, 1.41421, -1.67117e-09, 2.78897e-36, 0, 2.78897e-36, 2.78897e-36, 2.78897e-36, 2.78897e-36, 2.78897e-36, 2.78897e-36, 2.78897e-36, 2.78897e-36, 2.78897e-36, 1.9675e-11, 2.78897e-36, 2.78897e-36, 3.02433e-14, 1.20452e-10, 2.78897e-36, 1.53101e-09, 2.78897e-36, 2.78897e-36, 2.78897e-36
0.365996, 0, 2.48312e-09, 2.14734e-35, 1.41421, -2.48312e-09, 2.14734e-35, 0, 2.14734e-35, 2.14734e-35, 2.14734e-35, 2.14734e-35, 2.14734e-35, 2.14734e-35, 2.14734e-35, 2.14734e-35, 2.14734e-35, 2.91143e-11, 2.14734e-35, 2.14734e-35, 4.79163e-14, 1.91798e-10, 2.14734e-35, 2.26216e-09, 2.14734e-35, 2.14734e-35, 2.14734e-35
0.373861, 0, 3.66771e-09, 1.52519e-34, 1.41421, -3.66771e-09, 1.52519e-34, 0, 1.52519e-34, 1.52519e-34, 1.52519e-34, 1.52519e-34, 1.52519e-34, 1.52519e-34, 1.52519e-34, 1.52519e-34, 1.52519e-34, 4.28054e-11, 1.52519e-34, 1.52519e-34, 7.58602e-14, 3.04743e-10, 1.52519e-34, 3.32008e-09, 1.52519e-34, 1.52519e-34, 1.52519e-34
0.381726, 0, 5.38631e-09, 1.04602e-33, 1.41421, -5.38631e-09, 1.04602e-33, 0, 1.04602e-33, 1.04602e-33, 1.04602e-33, 1.04602e-33, 1.04602e-33, 1.04602e-33, 1.04602e-33, 1.04602e-33, 1.04602e-33, 6.25361e-11, 1.04602e-33, 1.04602e-33, 1.20049e-13, 4.83283e-10, 1.04602e-33, 4.84037e-09, 1.04602e-33, 1.04602e-33, 1.04602e-33
0.38959, 0, 7.86628e-09, 6.97409e-33, 1.41421, -7.86628e-09, 6.97409e-33, 0, 6.97409e-33, 6.97409e-33, 6.97409e-33, 6.97409e-33, 6.97409e-33, 6.97409e-33, 6.97409e-33, 6.97409e-33, 6.97409e-33, 9.07903e-11, 6.97409e-33, 6.97409e-33, 1.89936e-13, 7.6513e-10, 6.97409e-33, 7.01017e-09, 6.97409e-33, 6.97409e-33, 6.97409e-33
0.397455, 0, 1.14269e-08, 4.37751e-32, 1.41421, -1.14269e-08, 4.37751e-32, 0, 4.37751e-32, 4.37751e-32, 4.37751e-32, 4.37751e-32, 4.37751e-32, 4.37751e-32, 4.37751e-32, 4.37751e-32, 4.37751e-32, 1.30999e-10, 4.37751e-32, 4.37751e-32, 3.00487e-13, 1.2095e-09, 4.37751e-32, 1.00861e-08, 4.37751e-32, 4.37751e-32, 4.37751e-32
0.40532, 0, 1.65147e-08, 2.56929e-31, 1.41421, -1.65147e-08, 2.56929e-31, 0, 2.56929e-31, 2.56929e-31, 2.56929e-31, 2.56929e-31, 2.56929e-31, 2.56929e-31, 2.56929e-31, 2.56929e-31, 2.56929e-31, 1.8787e-10, 2.56929e-31, 2.56929e-31, 4.75355e-13, 1.90923e-09, 2.56929e-31, 1.44171e-08, 2.56929e-31, 2.56929e-31, 2.56929e-31
0.413184, 0, 2.3753e-08, 1.41085e-30, 1.41421, -2.3753e-08, 1.41085e-30, 0, 1.41085e-30, 1.41085e-30, 1.41085e-30, 1.41085e-30, 1.41085e-30, 1.41085e-30, 1.41085e-30, 1.41085e-30, 1.41085e-30, 2.6783e-10, 1.41085e-30, 1.41085e-30, 7.51881e-13, 3.0095e-09, 1.41085e-30, 2.04749e-08, 1.41085e-30, 1.41085e-30, 1.41085e-30
0.421049, 0, 3.40096e-08, 7.2665e-30, 1.41421, -3.40096e-08, 7.2665e-30, 0, 7.2665e-30, 7.2665e-30, 7.2665e-30, 7.2665e-30, 7.2665e-30, 7.2665e-30, 7.2665e-30, 7.2665e-30, 7.2665e-30, 3.79593e-10, 7.2665e-30, 7.2665e-30, 1.18888e-12, 4.73689e-09, 7.2665e-30, 2.8892e-08, 7.2665e-30, 7.2665e-30, 7.2665e-30
0.428913, 0, 4.8491e-08, 3.52123e-29, 1.41421, -4.8491e-08, 3.52123e-29, 0, 3.52123e-29, 3.52123e-29, 3.52123e-29, 3.52123e-29, 3.52123e-29, 3.52123e-29, 3.52123e-29, 3.52123e-29, 3.52123e-29, 5.34915e-10, 3.52123e-29, 3.52123e-29, 1.87874e-12, 7.44375e-09, 3.52123e-29, 4.05104e-08, 3.52123e-29, 3.52123e-29, 3.52123e-29
0.436778, 0, 6.88727e-08, 1.61049e-28, 1.41421, -6.88727e-08, 1.61049e-28, 0, 1.61049e-28, 1.61049e-28, 1.61049e-28, 1.61049e-28, 1.61049e-28, 1.61049e-28, 1.61049e-28, 1.61049e-28, 1.61049e-28, 7.4957e-10, 1.61049e-28, 1.61049e-28, 2.96602e-12, 1.1676e-08, 1.61049e-28, 5.64441e-08, 1.61049e-28, 1.61049e-28, 1.61049e-28
0.444643, 0, 9.74801e-08, 6.97321e-28, 1.41421, -9.74801e-08, 6.97321e-28, 0, 6.97321e-28, 6.97321e-28, 6.97321e-28, 6.97321e-28, 6.97321e-28, 6.97321e-28, 6.97321e-28, 6.97321e-28, 6.97321e-28, 1.0446e-09, 6.97321e-28, 6.97321e-28, 4.67605e-12, 1.82757e-08, 6.97321e-28, 7.81551e-08, 6.97321e-28, 6.97321e-28, 6.97321e-28
0.452507, 0, 1.3754e-07, 2.86661e-27, 1.41421, -1.3754e-07, 2.86661e-27, 0, 2.86661e-27, 2.86661e-27, 2.86661e-27, 2.86661e-27, 2.86661e-27, 2.86661e-27, 2.86661e-27, 2.86661e-27, 2.86661e-27, 1.44795e-09, 2.86661e-27, 2.86661e-27, 7.35836e-12, 2.85349e-08, 2.86661e-27, 1.0755e-07, 2.86661e-27, 2.86661e-27, 2.86661e-27
0.460372, 0, 1.9353e-07, 1.12186e-26, 1.41421, -1.9353e-07, 1.12186e-26, 0, 1.12186e-26, 1.12186e-26, 1.12186e-26, 1.12186e-26, 1.12186e-26, 1.12186e-26, 1.12186e-26, 1.12186e-26, 1.12186e-26, 1.99652e-09, 1.12186e-26, 1.12186e-26, 1.15522e-11, 4.44243e-08, 1.12186e-26, 1.47098e-07, 1.12186e-26, 1.12186e-26, 1.12186e-26
0.468237, 0, 2.71676e-07, 6.69225e-26, 1.41421, -2.71676e-07, 6.69225e-26, 0, 6.69225e-26, 6.69225e-26, 6.69225e-26, 6.69225e-26, 6.69225e-26, 2.2564e-13, 6.69225e-26, 6.69225e-26, 6.69225e-26, 2.7388e-09, 6.69225e-26, 6.69225e-26, 1.80913e-11, 6.89436e-08, 6.69225e-26, 1.99975e-07, 6.69225e-26, 6.69225e-26, 6.69225e-26
0.476101, 0, 3.81347e-07, 2.32322e-25, 1.41421, -3.81347e-07, 3.85436e-12, 0, 1.77541e-14, 1.41688e-14, 6.64496e-12, 7.50174e-14, 2.68118e-13, 3.67523e-12, 6.04722e-12, 1.41086e-12, 7.21348e-10, 3.73819e-09, 2.52842e-13, 2.7158e-14, 2.82262e-11, 1.06566e-07, 1.27452e-15, 2.70261e-07, 2.32322e-25, 2.32322e-25, 1.0343e-11
0.483966, 0, 5.35138e-07, 3.90634e-10, 1.41421, -5.35138e-07, 4.03427e-10, 3.90634e-10, 3.90693e-10, 3.90681e-10, 4.12689e-10, 3.90883e-10, 3.91524e-10, 4.02271e-10, 4.10705e-10, 3.95317e-10, 2.7848e-09, 5.4678e-09, 3.91473e-10, 3.90724e-10, 4.34508e-10, 1.64406e-07, 3.90638e-10, 3.635e-07, 3.90634e-10, 3.90634e-10, 4.24963e-10
0.491831, 0, 7.50959e-07, 1.2926e-09, 1.41421, -7.50959e-07, 1.32558e-09, 1.2926e-09, 1.29275e-09, 1.29272e-09, 1.34946e-09, 1.29324e-09, 1.29489e-09, 1.32214e-09, 1.34434e-09, 1.30467e-09, 7.46503e-09, 8.15505e-09, 1.29476e-09, 1.29283e-09, 1.36051e-09, 2.52529e-07, 1.29261e-09, 4.86343e-07, 1.2926e-09, 1.2926e-09, 1.3811e-09
0.499695, 0, 1.05499e-06, 3.32626e-09, 1.41421, -1.05499e-06, 3.40377e-09, 3.32626e-09, 3.32661e-09, 3.32654e-09, 3.4599e-09, 3.32776e-09, 3.33165e-09, 3.39515e-09, 3.44788e-09, 3.35463e-09, 1.78339e-08, 1.25577e-08, 3.33134e-09, 3.3268e-09, 3.43089e-09, 3.86157e-07, 3.32628e-09, 6.47667e-07, 3.32626e-09, 3.32626e-09, 3.53427e-09
0.50756, 0, 1.48561e-06, 7.80677e-09, 1.41421, -1.48561e-06, 7.98038e-09, 7.80677e-09, 7.80757e-09, 7.80741e-09, 8.10608e-09, 7.81015e-09, 7.81885e-09, 7.96024e-09, 8.07915e-09, 7.87032e-09, 4.02982e-08, 2.0167e-08, 7.81816e-09, 7.80799e-09, 7.96717e-09, 5.8786e-07, 7.80683e-09, 8.59083e-07, 7.80677e-09, 7.80677e-09, 8.27265e-09
0.515425, 0, 2.10012e-06, 1.74608e-08, 1.41421, -2.10012e-06, 1.78373e-08, 1.74608e-08, 1.74625e-08, 1.74621e-08, 1.81098e-08, 1.74681e-08, 1.7487e-08, 1.77921e-08, 1.80514e-08, 1.75986e-08, 8.79205e-08, 3.39339e-08, 1.74855e-08, 1.74634e-08, 1.77053e-08, 8.91003e-07, 1.74609e-08, 1.13624e-06, 1.74608e-08, 1.74608e-08, 1.8471e-08
0.52329, 0, 2.98708e-06, 3.78209e-08, 1.41421, -2.98708e-06, 3.86166e-08, 3.78209e-08, 3.78245e-08, 3.78238e-08, 3.91927e-08, 3.78363e-08, 3.78762e-08, 3.85515e-08, 3.90693e-08, 3.81121e-08, 1.86746e-07, 5.96752e-08, 3.78731e-08, 3.78265e-08, 3.81917e-08, 1.34617e-06, 3.78211e-08, 1.50088e-06, 3.78209e-08, 3.78209e-08, 3.99562e-08
0.531154, 0, 4.28069e-06, 7.98529e-08, 1.41421, -4.28069e-06, 8.14969e-08, 7.98529e-08, 7.98604e-08, 7.98589e-08, 8.26871e-08, 7.98849e-08, 7.99672e-08, 8.14296e-08, 8.24322e-08, 8.04546e-08, 3.87528e-07, 1.08715e-07, 7.99607e-08, 7.98644e-08, 8.04119e-08, 2.0251e-06, 7.98534e-08, 1.98442e-06, 7.98529e-08, 7.98529e-08, 8.42644e-08
0.539019, 0, 6.19633e-06, 1.64807e-07, 1.41421, -6.19633e-06, 1.68131e-07, 1.64807e-07, 1.64822e-07, 1.64819e-07, 1.70538e-07, 1.64871e-07, 1.65038e-07, 1.68787e-07, 1.70022e-07, 1.66023e-07, 7.86959e-07, 2.02754e-07, 1.65025e-07, 1.6483e-07, 1.65644e-07, 3.03706e-06, 1.64808e-07, 2.63419e-06, 1.64807e-07, 1.64807e-07, 1.73727e-07
0.546883, 0, 9.07669e-06, 3.32931e-07, 1.41421, -9.07669e-06, 3.39515e-07, 3.32931e-07, 3.32961e-07, 3.32955e-07, 3.44281e-07, 3.33059e-07, 3.33389e-07, 3.4189e-07, 3.4326e-07, 3.35341e-07, 1.5651e-06, 3.82601e-07, 3.33363e-07, 3.32977e-07, 3.34178e-07, 4.54394e-06, 3.32933e-07, 3.52417e-06, 3.32931e-07, 3.32931e-07, 3.50598e-07
0.554748, 0, 1.34755e-05, 6.58737e-07, 1.41421, -1.34755e-05, 6.71512e-07, 6.58737e-07, 6.58796e-07, 6.58784e-07, 6.80762e-07, 6.58985e-07, 6.59625e-07, 6.77832e-07, 6.78781e-07, 6.63413e-07, 3.04969e-06, 7.23466e-07, 6.59575e-07, 6.58827e-07, 6.60583e-07, 6.78814e-06, 6.58741e-07, 4.77351e-06, 6.58737e-07, 6.58737e-07, 6.93019e-07
0.562613, 0, 2.02902e-05, 1.27705e-06, 1.41421, -2.02902e-05, 1.30135e-06, 1.27705e-06, 1.27717e-06, 1.27714e-06, 1.31894e-06, 1.27753e-06, 1.27874e-06, 1.31641e-06, 1.31517e-06, 1.28595e-06, 5.82382e-06, 1.36104e-06, 1.27865e-06, 1.27723e-06, 1.27977e-06, 1.01344e-05, 1.27706e-06, 6.57749e-06, 1.27705e-06, 1.27705e-06, 1.34225e-06
0.570477, 0, 3.09731e-05, 2.42631e-06, 1.41421, -3.09731e-05, 2.4716e-06, 2.42631e-06, 2.42652e-06, 2.42648e-06, 2.50438e-06, 2.42719e-06, 2.42946e-06, 2.50505e-06, 2.49736e-06, 2.44289e-06, 1.09013e-05, 2.53483e-06, 2.42928e-06, 2.42663e-06, 2.43028e-06, 1.51341e-05, 2.42633e-06, 9.25888e-06, 2.42631e-06, 2.42631e-06, 2.54783e-06
0.578342, 0, 4.78622e-05, 4.51848e-06, 1.41421, -4.78622e-05, 4.60123e-06, 4.51848e-06, 4.51887e-06, 4.51879e-06, 4.66114e-06, 4.5201e-06, 4.52424e-06, 4.67343e-06, 4.64831e-06, 4.54877e-06, 2.00046e-05, 4.65812e-06, 4.52391e-06, 4.51907e-06, 4.52424e-06, 2.26225e-05, 4.51851e-06, 1.335e-05, 4.51848e-06, 4.51848e-06, 4.74053e-06
0.586207, 0, 7.4685e-05, 8.24926e-06, 1.41421, -7.4685e-05, 8.3975e-06, 8.24926e-06, 8.24994e-06, 8.2498e-06, 8.50483e-06, 8.25214e-06, 8.25957e-06, 8.54971e-06, 8.48184e-06, 8.30352e-06, 3.59934e-05, 8.42822e-06, 8.25898e-06, 8.2503e-06, 8.25756e-06, 3.38662e-05, 8.24931e-06, 1.97224e-05, 8.24926e-06, 8.24926e-06, 8.64706e-06
0.594071, 0, 0.000117308, 1.47661e-05, 1.41421, -0.000117308, 1.50266e-05, 1.47661e-05, 1.47673e-05, 1.47671e-05, 1.52151e-05, 1.47712e-05, 1.47842e-05, 1.53401e-05, 1.51747e-05, 1.48615e-05, 6.35054e-05, 1.49946e-05, 1.47832e-05, 1.4768e-05, 1.4778e-05, 5.07805e-05, 1.47662e-05, 2.97831e-05, 1.47661e-05, 1.47661e-05, 1.5465e-05
0.601936, 0, 0.000184827, 2.59183e-05, 1.41421, -0.000184827, 2.6367e-05, 2.59183e-05, 2.59204e-05, 2.59199e-05, 2.66918e-05, 2.5927e-05, 2.59495e-05, 2.69987e-05, 2.66222e-05, 2.60825e-05, 0.000109888, 2.6209e-05, 2.59477e-05, 2.59215e-05, 2.59353e-05, 7.62471e-05, 2.59184e-05, 4.57694e-05, 2.59183e-05, 2.59183e-05, 2.71223e-05
