   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_395.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.251718, 0, 5.18216e-18, 0, 1.41421, -5.18216e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38426e-20, 0, 0, 4.88819e-21, 0, 2.41193e-22, 5.14319e-18, 0, 0, 0
0.259645, 0, 1.26501e-17, 0, 1.41421, -1.26501e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.26117e-20, 0, 0, 1.20277e-20, 0, 6.02017e-22, 1.25548e-17, 0, 0, 0
0.267571, 0, 3.03733e-17, 0, 1.41421, -3.03733e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98352e-19, 0, 0, 2.91214e-20, 0, 1.47754e-21, 3.01444e-17, 0, 0, 0
0.275498, 0, 7.17593e-17, 0, 1.41421, -7.17593e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.68617e-19, 0, 0, 6.941e-20, 0, 3.56743e-21, 7.12177e-17, 0, 0, 0
0.283425, 0, 1.6688e-16, 0, 1.41421, -1.6688e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08978e-18, 0, 0, 1.6292e-19, 0, 8.47707e-21, 1.65619e-16, 0, 0, 0
0.291352, 0, 3.82131e-16, 0, 1.41421, -3.82131e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49541e-18, 0, 0, 3.7672e-19, 0, 1.98324e-20, 3.79239e-16, 0, 0, 0
0.299279, 0, 8.67391e-16, 0, 1.41421, -8.67391e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66417e-18, 0, 0, 8.65137e-19, 0, 4.60995e-20, 8.60816e-16, 0, 0, 0
0.307205, 0, 1.92529e-15, 0, 1.41421, -1.92529e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25722e-17, 0, 0, 1.94103e-18, 0, 1.0452e-19, 1.91068e-15, 0, 0, 0
0.315132, 0, 4.21173e-15, 0, 1.41421, -4.21173e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75021e-17, 0, 0, 4.29466e-18, 0, 2.3358e-19, 4.1797e-15, 0, 0, 0
0.323059, 0, 9.08211e-15, 0, 1.41421, -9.08211e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.9304e-17, 0, 0, 9.37303e-18, 0, 5.14655e-19, 9.01292e-15, 0, 0, 0
0.330986, 0, 1.93087e-14, 0, 1.41421, -1.93087e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26079e-16, 0, 0, 2.01835e-17, 0, 1.11826e-18, 1.91613e-14, 0, 0, 0
0.338913, 0, 4.04793e-14, 0, 1.41421, -4.04793e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64309e-16, 0, 0, 4.2893e-17, 0, 2.39672e-18, 4.01697e-14, 0, 0, 0
0.346839, 0, 8.36925e-14, 0, 1.41421, -8.36925e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.46459e-16, 0, 0, 8.99837e-17, 0, 5.06795e-18, 8.3051e-14, 0, 0, 0
0.354766, 0, 1.70677e-13, 0, 1.41421, -1.70677e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11439e-15, 0, 0, 1.86403e-16, 0, 1.0575e-17, 1.69366e-13, 0, 0, 0
0.362693, 0, 3.43363e-13, 0, 1.41421, -3.43363e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24188e-15, 0, 0, 3.81412e-16, 0, 2.17796e-17, 3.40718e-13, 0, 0, 0
0.37062, 0, 6.81513e-13, 0, 1.41421, -6.81513e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4497e-15, 0, 0, 7.71161e-16, 0, 4.42848e-17, 6.76248e-13, 0, 0, 0
0.378547, 0, 1.3347e-12, 7.28675e-44, 1.41421, -1.3347e-12, 0, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 7.28675e-44, 8.71451e-15, 7.28675e-44, 7.28675e-44, 1.54129e-15, 7.28675e-44, 8.89162e-17, 1.32435e-12, 7.28675e-44, 7.28675e-44, 7.28675e-44
0.386473, 0, 2.57944e-12, 1.33544e-42, 1.41421, -2.57944e-12, 0, 1.33544e-42, 1.33544e-42, 1.33544e-42, 1.33544e-42, 1.33544e-42, 1.33544e-42, 1.33544e-42, 1.33544e-42, 1.33544e-42, 1.68422e-14, 1.33544e-42, 1.33544e-42, 3.04671e-15, 1.33544e-42, 1.76336e-16, 2.55938e-12, 1.33544e-42, 1.33544e-42, 1.33544e-42
0.3944, 0, 4.91981e-12, 2.0075e-41, 1.41421, -4.91981e-12, 0, 2.0075e-41, 2.0075e-41, 2.0075e-41, 2.0075e-41, 2.0075e-41, 2.0075e-41, 2.0075e-41, 2.0075e-41, 2.0075e-41, 3.21251e-14, 2.0075e-41, 2.0075e-41, 5.95987e-15, 2.0075e-41, 3.45505e-16, 4.88138e-12, 2.0075e-41, 2.0075e-41, 2.0075e-41
0.402327, 0, 9.26169e-12, 2.65046e-40, 1.41421, -9.26169e-12, 0, 2.65046e-40, 2.65046e-40, 2.65046e-40, 2.65046e-40, 2.65046e-40, 2.65046e-40, 2.65046e-40, 2.65046e-40, 2.65046e-40, 6.0482e-14, 2.65046e-40, 2.65046e-40, 1.15452e-14, 2.65046e-40, 6.69046e-16, 9.18899e-12, 2.65046e-40, 2.65046e-40, 2.65046e-40
0.410254, 0, 1.72105e-11, 3.1331e-39, 1.41421, -1.72105e-11, 0, 3.1331e-39, 3.1331e-39, 3.1331e-39, 3.1331e-39, 3.1331e-39, 3.1331e-39, 3.1331e-39, 3.1331e-39, 3.1331e-39, 1.12406e-13, 3.1331e-39, 3.1331e-39, 2.21651e-14, 3.1331e-39, 1.28087e-15, 1.70746e-11, 3.1331e-39, 3.1331e-39, 3.1331e-39
0.418181, 0, 3.15717e-11, 3.34157e-38, 1.41421, -3.15717e-11, 0, 3.34157e-38, 3.34157e-38, 3.34157e-38, 3.34157e-38, 3.34157e-38, 3.34157e-38, 3.34157e-38, 3.34157e-38, 3.34157e-38, 2.06247e-13, 3.34157e-38, 3.34157e-38, 4.22132e-14, 3.34157e-38, 2.42545e-15, 3.13208e-11, 3.34157e-38, 3.34157e-38, 3.34157e-38
0.426107, 0, 5.71802e-11, 3.2344e-37, 1.41421, -5.71802e-11, 0, 3.2344e-37, 3.2344e-37, 3.2344e-37, 3.2344e-37, 3.2344e-37, 3.2344e-37, 3.2344e-37, 3.2344e-37, 3.2344e-37, 3.7365e-13, 3.2344e-37, 3.2344e-37, 7.98347e-14, 3.2344e-37, 4.54512e-15, 5.67222e-11, 3.2344e-37, 3.2344e-37, 3.2344e-37
0.434034, 0, 1.02253e-10, 2.8563e-36, 1.41421, -1.02253e-10, 0, 2.8563e-36, 2.8563e-36, 2.8563e-36, 2.8563e-36, 2.8563e-36, 2.8563e-36, 2.8563e-36, 2.8563e-36, 2.8563e-36, 6.68459e-13, 2.8563e-36, 2.8563e-36, 1.50107e-13, 2.8563e-36, 8.43401e-15, 1.01426e-10, 2.8563e-36, 2.8563e-36, 2.8563e-36
0.441961, 0, 1.80564e-10, 2.31355e-35, 1.41421, -1.80564e-10, 0, 2.31355e-35, 2.31355e-35, 2.31355e-35, 2.31355e-35, 2.31355e-35, 2.31355e-35, 2.31355e-35, 2.31355e-35, 2.31355e-35, 1.18106e-12, 2.31355e-35, 2.31355e-35, 2.80935e-13, 2.31355e-35, 1.55093e-14, 1.79086e-10, 2.31355e-35, 2.31355e-35, 2.31355e-35
0.449888, 0, 3.14887e-10, 1.72737e-34, 1.41421, -3.14887e-10, 0, 1.72737e-34, 1.72737e-34, 1.72737e-34, 1.72737e-34, 1.72737e-34, 1.72737e-34, 1.72737e-34, 1.72737e-34, 1.72737e-34, 2.06121e-12, 1.72737e-34, 1.72737e-34, 5.24026e-13, 1.72737e-34, 2.82888e-14, 3.12274e-10, 1.72737e-34, 1.72737e-34, 1.72737e-34
0.457815, 0, 5.42363e-10, 1.22159e-33, 1.41421, -5.42363e-10, 0, 1.22159e-33, 1.22159e-33, 1.22159e-33, 1.22159e-33, 1.22159e-33, 1.22159e-33, 1.22159e-33, 1.22159e-33, 1.22159e-33, 3.55372e-12, 1.22159e-33, 1.22159e-33, 9.75331e-13, 1.22159e-33, 5.12355e-14, 5.37783e-10, 1.22159e-33, 1.22159e-33, 1.22159e-33
0.465741, 0, 9.22754e-10, 8.42598e-33, 1.41421, -9.22754e-10, 0, 8.42598e-33, 8.42598e-33, 8.42598e-33, 8.42598e-33, 8.42598e-33, 8.42598e-33, 8.42598e-33, 8.42598e-33, 8.42598e-33, 6.05382e-12, 8.42598e-33, 8.42598e-33, 1.81324e-12, 8.42598e-33, 9.22586e-14, 9.14794e-10, 8.42598e-33, 8.42598e-33, 8.42598e-33
0.473668, 0, 1.55093e-09, 5.51075e-32, 1.41421, -1.55093e-09, 0, 5.51075e-32, 5.51075e-32, 5.51075e-32, 5.51075e-32, 5.51075e-32, 5.51075e-32, 5.51075e-32, 5.51075e-32, 5.51075e-32, 1.01915e-11, 5.51075e-32, 5.51075e-32, 3.36981e-12, 5.51075e-32, 1.65402e-13, 1.5372e-09, 5.51075e-32, 5.51075e-32, 5.51075e-32
0.481595, 0, 2.57549e-09, 3.37862e-31, 1.41421, -2.57549e-09, 0, 3.37862e-31, 3.37862e-31, 3.37862e-31, 3.37862e-31, 3.37862e-31, 3.37862e-31, 3.37862e-31, 3.37862e-31, 3.37862e-31, 1.69589e-11, 3.37862e-31, 3.37862e-31, 6.26322e-12, 3.37862e-31, 2.95691e-13, 2.55198e-09, 3.37862e-31, 3.37862e-31, 3.37862e-31
0.489522, 0, 4.22619e-09, 1.94251e-30, 1.41421, -4.22619e-09, 0, 1.94251e-30, 1.94251e-30, 1.94251e-30, 1.94251e-30, 1.94251e-30, 1.94251e-30, 1.94251e-30, 1.94251e-30, 1.94251e-30, 2.78995e-11, 1.94251e-30, 1.94251e-30, 1.1643e-11, 1.94251e-30, 5.27955e-13, 4.18612e-09, 1.94251e-30, 1.94251e-30, 1.94251e-30
0.497449, 0, 6.8536e-09, 1.04875e-29, 1.41421, -6.8536e-09, 0, 1.04875e-29, 1.04875e-29, 1.04875e-29, 1.04875e-29, 1.04875e-29, 1.04875e-29, 1.04875e-29, 1.04875e-29, 1.04875e-29, 4.53876e-11, 1.04875e-29, 1.04875e-29, 2.16401e-11, 1.04875e-29, 9.42944e-13, 6.78563e-09, 1.04875e-29, 1.04875e-29, 1.04875e-29
0.505375, 0, 1.09859e-08, 5.33141e-29, 1.41421, -1.09859e-08, 0, 5.33141e-29, 5.33141e-29, 5.33141e-29, 5.33141e-29, 5.33141e-29, 5.33141e-29, 5.33141e-29, 5.33141e-29, 5.33141e-29, 7.3035e-11, 5.33141e-29, 5.33141e-29, 4.01866e-11, 5.33141e-29, 1.68692e-12, 1.0871e-08, 5.33141e-29, 5.33141e-29, 5.33141e-29
0.513302, 0, 1.74088e-08, 2.5606e-28, 1.41421, -1.74088e-08, 0, 2.5606e-28, 2.5606e-28, 2.5606e-28, 2.5606e-28, 2.5606e-28, 2.5606e-28, 2.5606e-28, 2.5606e-28, 2.5606e-28, 1.16276e-10, 2.5606e-28, 2.5606e-28, 7.44894e-11, 2.5606e-28, 3.02588e-12, 1.7215e-08, 2.5606e-28, 2.5606e-28, 2.5606e-28
0.521229, 0, 2.7277e-08, 1.1652e-27, 1.41421, -2.7277e-08, 0, 1.1652e-27, 1.1652e-27, 1.1652e-27, 1.1652e-27, 1.1652e-27, 1.1652e-27, 1.1652e-27, 1.1652e-27, 1.1652e-27, 1.83204e-10, 1.1652e-27, 1.1652e-27, 1.37653e-10, 1.1652e-27, 5.4449e-12, 2.69507e-08, 1.1652e-27, 1.1652e-27, 1.1652e-27
0.529156, 0, 4.22666e-08, 5.03809e-27, 1.41421, -4.22666e-08, 0, 5.03809e-27, 5.03809e-27, 5.03809e-27, 5.03809e-27, 5.03809e-27, 5.03809e-27, 5.03809e-27, 5.03809e-27, 5.03809e-27, 2.85755e-10, 5.03809e-27, 5.03809e-27, 2.53276e-10, 5.03809e-27, 9.8285e-12, 4.17177e-08, 5.03809e-27, 5.03809e-27, 5.03809e-27
0.537082, 0, 6.4782e-08, 2.07548e-26, 1.41421, -6.4782e-08, 0, 2.07548e-26, 2.07548e-26, 2.07548e-26, 2.07548e-26, 2.07548e-26, 2.07548e-26, 2.07548e-26, 2.07548e-26, 2.07548e-26, 4.41357e-10, 2.07548e-26, 2.07548e-26, 4.63402e-10, 2.07548e-26, 1.77852e-11, 6.38595e-08, 2.07548e-26, 2.07548e-26, 2.07548e-26
0.545009, 0, 9.8235e-08, 1.07891e-25, 1.41421, -9.8235e-08, 0, 1.07891e-25, 1.07891e-25, 1.07891e-25, 1.07891e-25, 1.07891e-25, 1.07891e-25, 1.07891e-25, 1.07891e-25, 1.07891e-25, 6.75231e-10, 1.07891e-25, 1.07891e-25, 8.42357e-10, 1.07891e-25, 3.2239e-11, 9.66851e-08, 1.07891e-25, 1.07891e-25, 1.07891e-25
0.552936, 0, 1.47589e-07, 3.96466e-25, 1.41421, -1.47589e-07, 0, 2.64836e-15, 7.24018e-13, 5.37588e-15, 5.49417e-13, 1.12632e-11, 8.98555e-11, 2.38451e-12, 1.70739e-11, 3.18347e-11, 1.02353e-09, 6.7249e-13, 6.19429e-14, 1.51854e-09, 6.84955e-14, 5.83917e-11, 1.4482e-07, 3.96466e-25, 3.96466e-25, 1.40132e-11
0.560863, 0, 2.19693e-07, 1.23113e-11, 1.41421, -2.19693e-07, 1.23113e-11, 1.23222e-11, 1.52841e-11, 1.23334e-11, 1.45672e-11, 5.85564e-11, 3.81244e-10, 2.21018e-11, 8.24143e-11, 1.4302e-10, 1.5499e-09, 1.50725e-11, 1.25657e-11, 2.72595e-09, 1.31299e-11, 1.17848e-10, 2.14644e-07, 1.23113e-11, 1.23113e-11, 6.98472e-11
0.56879, 0, 3.24401e-07, 5.09797e-11, 1.41421, -3.24401e-07, 5.09797e-11, 5.1015e-11, 6.06173e-11, 5.10513e-11, 5.82932e-11, 2.00908e-10, 1.24707e-09, 8.27207e-11, 2.78256e-10, 4.74741e-10, 2.34069e-09, 5.99314e-11, 5.18043e-11, 4.85423e-09, 5.48093e-11, 2.40949e-10, 3.14872e-07, 5.09797e-11, 5.09797e-11, 2.37513e-10
0.576717, 0, 4.76154e-07, 1.65958e-10, 1.41421, -4.76154e-07, 1.65958e-10, 1.66063e-10, 1.94552e-10, 1.66171e-10, 1.87656e-10, 6.10774e-10, 3.7146e-09, 2.60129e-10, 8.40254e-10, 1.4232e-09, 3.54662e-09, 1.92517e-10, 1.68405e-10, 8.58212e-09, 1.79144e-10, 5.05862e-10, 4.57352e-07, 1.65958e-10, 1.65958e-10, 7.19376e-10
0.584643, 0, 6.96958e-07, 4.93177e-10, 1.41421, -6.96958e-07, 4.93177e-10, 4.93471e-10, 5.73602e-10, 4.93774e-10, 5.54207e-10, 1.74432e-09, 1.04745e-08, 7.58053e-10, 2.38978e-09, 4.02944e-09, 5.44288e-09, 5.67878e-10, 5.00057e-10, 1.5085e-08, 5.33562e-10, 1.09663e-09, 6.58062e-07, 4.93177e-10, 4.93177e-10, 2.04979e-09
0.59257, 0, 1.0225e-06, 1.38776e-09, 1.41421, -1.0225e-06, 1.38776e-09, 1.38855e-09, 1.60455e-09, 1.38937e-09, 1.55227e-09, 4.76028e-09, 2.8293e-08, 2.10175e-09, 6.50017e-09, 1.092e-08, 8.57518e-09, 1.58912e-09, 1.40631e-09, 2.6415e-08, 1.50355e-09, 2.44917e-09, 9.38676e-07, 1.38776e-09, 1.38776e-09, 5.58369e-09
0.600497, 0, 1.51468e-06, 3.74048e-09, 1.41421, -1.51468e-06, 3.74048e-09, 3.74253e-09, 4.3026e-09, 3.74465e-09, 4.16704e-09, 1.24852e-08, 7.35038e-08, 5.5918e-09, 1.69966e-08, 2.84567e-08, 1.40927e-08, 4.2626e-09, 3.78857e-09, 4.62004e-08, 4.05691e-09, 5.58935e-09, 1.32892e-06, 3.74048e-09, 3.74048e-09, 1.46202e-08
0.608424, 0, 2.28737e-06, 9.6966e-09, 1.41421, -2.28737e-06, 9.6966e-09, 9.70174e-09, 1.11007e-08, 9.70703e-09, 1.07621e-08, 3.15401e-08, 1.83959e-07, 1.4321e-08, 4.28092e-08, 7.14358e-08, 2.44878e-08, 1.10008e-08, 9.81673e-09, 8.09503e-08, 1.05269e-08, 1.2878e-08, 1.87064e-06, 9.6966e-09, 9.6966e-09, 3.68733e-08
0.616351, 0, 3.55853e-06, 2.42172e-08, 1.41421, -3.55853e-06, 2.42172e-08, 2.42295e-08, 2.75986e-08, 2.42423e-08, 2.67831e-08, 7.68206e-08, 4.43876e-07, 3.53537e-08, 1.03959e-07, 1.72897e-07, 4.51847e-08, 2.73579e-08, 2.45065e-08, 1.4251e-07, 2.63157e-08, 2.96245e-08, 2.62508e-06, 2.42172e-08, 2.42172e-08, 8.96639e-08
0.624277, 0, 5.75162e-06, 5.83164e-08, 1.41421, -5.75162e-06, 5.83164e-08, 5.83451e-08, 6.61707e-08, 5.83747e-08, 6.42766e-08, 1.80502e-07, 1.03309e-06, 8.41841e-08, 2.43538e-07, 4.03666e-07, 8.78105e-08, 6.56117e-08, 5.89884e-08, 2.52665e-07, 6.34332e-08, 6.73906e-08, 3.6863e-06, 5.83164e-08, 5.83164e-08, 2.10334e-07
0.632204, 0, 9.68569e-06, 1.3547e-07, 1.41421, -9.68569e-06, 1.3547e-07, 1.35535e-07, 1.53074e-07, 1.35601e-07, 1.48828e-07, 4.09316e-07, 2.32015e-06, 1.93446e-07, 5.50593e-07, 9.09476e-07, 1.76649e-07, 1.51821e-07, 1.36976e-07, 4.51527e-07, 1.47516e-07, 1.50503e-07, 5.20603e-06, 1.3547e-07, 1.3547e-07, 4.76176e-07
0.640131, 0, 1.6916e-05, 3.03715e-07, 1.41421, -1.6916e-05, 3.03715e-07, 3.03855e-07, 3.41797e-07, 3.03998e-07, 3.32613e-07, 8.96133e-07, 5.02989e-06, 4.29135e-07, 1.20176e-06, 1.97814e-06, 3.608e-07, 3.39087e-07, 3.06974e-07, 8.12638e-07, 3.31112e-07, 3.28307e-07, 7.43847e-06, 3.03715e-07, 3.03715e-07, 1.04077e-06
0.648058, 0, 3.03154e-05, 6.57381e-07, 1.41421, -3.03154e-05, 6.57381e-07, 6.57672e-07, 7.36927e-07, 6.57971e-07, 7.17744e-07, 1.89485e-06, 1.05296e-05, 9.19362e-07, 2.53326e-06, 4.15499e-06, 7.35989e-07, 7.31266e-07, 6.64186e-07, 1.46919e-06, 7.17609e-07, 6.97126e-07, 1.08188e-05, 6.57381e-07, 6.57381e-07, 2.19698e-06
0.655985, 0, 5.50159e-05, 1.3742e-06, 1.41421, -5.50159e-05, 1.3742e-06, 1.37479e-06, 1.5347e-06, 1.37539e-06, 1.49599e-06, 3.87095e-06, 2.12927e-05, 1.90278e-06, 5.15903e-06, 8.43109e-06, 1.48179e-06, 1.52327e-06, 1.38793e-06, 2.65764e-06, 1.50224e-06, 1.43772e-06, 1.60945e-05, 1.3742e-06, 1.3742e-06, 4.48054e-06
0.663911, 0, 9.98536e-05, 2.77545e-06, 1.41421, -9.98536e-05, 2.77545e-06, 2.77659e-06, 3.08834e-06, 2.77777e-06, 3.01289e-06, 7.64302e-06, 4.16079e-05, 3.80595e-06, 1.01542e-05, 1.65333e-05, 2.9219e-06, 3.06607e-06, 2.80222e-06, 4.78744e-06, 3.03877e-06, 2.87595e-06, 2.4537e-05, 2.77545e-06, 2.77545e-06, 8.83145e-06
0.671838, 0, 0.00017945, 5.41781e-06, 1.41421, -0.00017945, 5.41781e-06, 5.41997e-06, 6.00746e-06, 5.42219e-06, 5.86526e-06, 1.45907e-05, 7.8597e-05, 7.35978e-06, 1.9323e-05, 3.13443e-05, 5.61623e-06, 5.96549e-06, 5.46826e-06, 8.54683e-06, 5.94197e-06, 5.57547e-06, 3.82612e-05, 5.41781e-06, 5.41781e-06, 1.68303e-05
