   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_139.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.131514, 0, 6.61832e-14, 0, 1.41421, -6.61832e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.39143e-16, 0, 0, 1.41265e-18, 0, 6.70878e-16, 0, 6.49718e-14, 0, 0
0.139373, 0, 1.08593e-13, 0, 1.41421, -1.08593e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.84369e-16, 0, 0, 2.36202e-18, 0, 1.13247e-15, 0, 1.06574e-13, 0, 0
0.147231, 0, 1.77113e-13, 0, 1.41421, -1.77113e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44195e-15, 0, 0, 3.92732e-18, 0, 1.90174e-15, 0, 1.73766e-13, 0, 0
0.15509, 0, 2.87151e-13, 0, 1.41421, -2.87151e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33707e-15, 0, 0, 6.49394e-18, 0, 3.17719e-15, 0, 2.8163e-13, 0, 0
0.162948, 0, 4.62804e-13, 0, 1.41421, -4.62804e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.76541e-15, 0, 0, 1.06795e-17, 0, 5.28158e-15, 0, 4.53747e-13, 0, 0
0.170807, 0, 7.41528e-13, 0, 1.41421, -7.41528e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.03101e-15, 0, 0, 1.74687e-17, 0, 8.73629e-15, 0, 7.26743e-13, 0, 0
0.178665, 0, 1.18117e-12, 0, 1.41421, -1.18117e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.60321e-15, 0, 0, 2.84235e-17, 0, 1.43801e-14, 0, 1.15716e-12, 0, 0
0.186524, 0, 1.87056e-12, 0, 1.41421, -1.87056e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52022e-14, 0, 0, 4.6009e-17, 0, 2.35559e-14, 0, 1.83175e-12, 0, 0
0.194382, 0, 2.94517e-12, 0, 1.41421, -2.94517e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3926e-14, 0, 0, 7.40983e-17, 0, 3.84039e-14, 0, 2.88276e-12, 0, 0
0.202241, 0, 4.61046e-12, 0, 1.41421, -4.61046e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.74387e-14, 0, 0, 1.18748e-16, 0, 6.23193e-14, 0, 4.51058e-12, 0, 0
0.210099, 0, 7.17601e-12, 0, 1.41421, -7.17601e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.82466e-14, 0, 0, 1.89387e-16, 0, 1.00665e-13, 0, 7.01691e-12, 0, 0
0.217958, 0, 1.11056e-11, 0, 1.41421, -1.11056e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.01011e-14, 0, 0, 3.0064e-16, 0, 1.61876e-13, 0, 1.08533e-11, 0, 0
0.225816, 0, 1.70894e-11, 0, 1.41421, -1.70894e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38583e-13, 0, 0, 4.75099e-16, 0, 2.59164e-13, 0, 1.66911e-11, 0, 0
0.233674, 0, 2.61487e-11, 0, 1.41421, -2.61487e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11944e-13, 0, 0, 7.47558e-16, 0, 4.13145e-13, 0, 2.55229e-11, 0, 0
0.241533, 0, 3.97855e-11, 0, 1.41421, -3.97855e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22312e-13, 0, 0, 1.17144e-15, 0, 6.55866e-13, 0, 3.88062e-11, 0, 0
0.249391, 0, 6.01952e-11, 0, 1.41421, -6.01952e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.87401e-13, 0, 0, 1.82855e-15, 0, 1.03697e-12, 0, 5.8669e-11, 0, 0
0.25725, 0, 9.05672e-11, 0, 1.41421, -9.05672e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.32929e-13, 0, 0, 2.84391e-15, 0, 1.63309e-12, 0, 8.81983e-11, 0, 0
0.265108, 0, 1.35508e-10, 7.00649e-45, 1.41421, -1.35508e-10, 7.00649e-45, 0, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 1.09601e-12, 7.00649e-45, 7.00649e-45, 4.40827e-15, 7.00649e-45, 2.56219e-12, 7.00649e-45, 1.31845e-10, 7.00649e-45, 7.00649e-45
0.272967, 0, 2.01629e-10, 1.47136e-43, 1.41421, -2.01629e-10, 1.47136e-43, 0, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.47136e-43, 1.62989e-12, 1.47136e-43, 1.47136e-43, 6.81231e-15, 1.47136e-43, 4.00529e-12, 1.47136e-43, 1.95987e-10, 1.47136e-43, 1.47136e-43
0.280825, 0, 2.98368e-10, 2.14399e-42, 1.41421, -2.98368e-10, 2.14399e-42, 0, 2.14399e-42, 2.14399e-42, 2.14399e-42, 2.14399e-42, 2.14399e-42, 2.14399e-42, 2.14399e-42, 2.14399e-42, 2.14399e-42, 2.14399e-42, 2.4105e-12, 2.14399e-42, 2.14399e-42, 1.04987e-14, 2.14399e-42, 6.2395e-12, 2.14399e-42, 2.89708e-10, 2.14399e-42, 2.14399e-42
0.288684, 0, 4.39112e-10, 2.87434e-41, 1.41421, -4.39112e-10, 2.87434e-41, 0, 2.87434e-41, 2.87434e-41, 2.87434e-41, 2.87434e-41, 2.87434e-41, 2.87434e-41, 2.87434e-41, 2.87434e-41, 2.87434e-41, 2.87434e-41, 3.54547e-12, 2.87434e-41, 2.87434e-41, 1.61414e-14, 2.87434e-41, 9.68795e-12, 2.87434e-41, 4.25863e-10, 2.87434e-41, 2.87434e-41
0.296542, 0, 6.42741e-10, 3.46053e-40, 1.41421, -6.42741e-10, 3.46053e-40, 0, 3.46053e-40, 3.46053e-40, 3.46053e-40, 3.46053e-40, 3.46053e-40, 3.46053e-40, 3.46053e-40, 3.46053e-40, 3.46053e-40, 3.46053e-40, 5.1865e-12, 3.46053e-40, 3.46053e-40, 2.47665e-14, 3.46053e-40, 1.49953e-11, 3.46053e-40, 6.22535e-10, 3.46053e-40, 3.46053e-40
0.304401, 0, 9.35734e-10, 3.75399e-39, 1.41421, -9.35734e-10, 3.75399e-39, 0, 3.75399e-39, 3.75399e-39, 3.75399e-39, 3.75399e-39, 3.75399e-39, 3.75399e-39, 3.75399e-39, 3.75399e-39, 3.75399e-39, 3.75399e-39, 7.54613e-12, 3.75399e-39, 3.75399e-39, 3.79373e-14, 3.75399e-39, 2.31421e-11, 3.75399e-39, 9.05008e-10, 3.75399e-39, 3.75399e-39
0.312259, 0, 1.35501e-09, 3.6846e-38, 1.41421, -1.35501e-09, 3.6846e-38, 0, 3.6846e-38, 3.6846e-38, 3.6846e-38, 3.6846e-38, 3.6846e-38, 3.6846e-38, 3.6846e-38, 3.6846e-38, 3.6846e-38, 3.6846e-38, 1.09205e-11, 3.6846e-38, 3.6846e-38, 5.80365e-14, 3.6846e-38, 3.56168e-11, 3.6846e-38, 1.30841e-09, 3.6846e-38, 3.6846e-38
0.320118, 0, 1.95175e-09, 3.28973e-37, 1.41421, -1.95175e-09, 3.28973e-37, 0, 3.28973e-37, 3.28973e-37, 3.28973e-37, 3.28973e-37, 3.28973e-37, 3.28973e-37, 3.28973e-37, 3.28973e-37, 3.28973e-37, 3.28973e-37, 1.57198e-11, 3.28973e-37, 3.28973e-37, 8.87001e-14, 3.28973e-37, 5.46752e-11, 3.28973e-37, 1.88127e-09, 3.28973e-37, 3.28973e-37
0.327976, 0, 2.79654e-09, 2.6854e-36, 1.41421, -2.79654e-09, 2.6854e-36, 0, 2.6854e-36, 2.6854e-36, 2.6854e-36, 2.6854e-36, 2.6854e-36, 2.6854e-36, 2.6854e-36, 2.6854e-36, 2.6854e-36, 2.6854e-36, 2.25093e-11, 2.6854e-36, 2.6854e-36, 1.3548e-13, 2.6854e-36, 8.37315e-11, 2.6854e-36, 2.69017e-09, 2.6854e-36, 2.6854e-36
0.335834, 0, 3.98619e-09, 2.0144e-35, 1.41421, -3.98619e-09, 2.0144e-35, 0, 2.0144e-35, 2.0144e-35, 2.0144e-35, 2.0144e-35, 2.0144e-35, 2.0144e-35, 2.0144e-35, 2.0144e-35, 2.0144e-35, 2.0144e-35, 3.20631e-11, 2.0144e-35, 2.0144e-35, 2.06862e-13, 2.0144e-35, 1.27945e-10, 2.0144e-35, 3.82597e-09, 2.0144e-35, 2.0144e-35
0.343693, 0, 5.65275e-09, 1.39139e-34, 1.41421, -5.65275e-09, 1.39139e-34, 0, 1.39139e-34, 1.39139e-34, 1.39139e-34, 1.39139e-34, 1.39139e-34, 1.39139e-34, 1.39139e-34, 1.39139e-34, 1.39139e-34, 1.39139e-34, 4.54363e-11, 1.39139e-34, 1.39139e-34, 3.15826e-13, 1.39139e-34, 1.95103e-10, 1.39139e-34, 5.41189e-09, 1.39139e-34, 1.39139e-34
0.351551, 0, 7.97549e-09, 9.40346e-34, 1.41421, -7.97549e-09, 9.40346e-34, 0, 9.40346e-34, 9.40346e-34, 9.40346e-34, 9.40346e-34, 9.40346e-34, 9.40346e-34, 9.40346e-34, 9.40346e-34, 9.40346e-34, 9.40346e-34, 6.40591e-11, 9.40346e-34, 9.40346e-34, 4.82226e-13, 9.40346e-34, 2.9694e-10, 9.40346e-34, 7.614e-09, 9.40346e-34, 9.40346e-34
0.35941, 0, 1.11965e-08, 6.14012e-33, 1.41421, -1.11965e-08, 6.14012e-33, 0, 6.14012e-33, 6.14012e-33, 6.14012e-33, 6.14012e-33, 6.14012e-33, 6.14012e-33, 6.14012e-33, 6.14012e-33, 6.14012e-33, 6.14012e-33, 8.98602e-11, 6.14012e-33, 6.14012e-33, 7.36446e-13, 6.14012e-33, 4.51115e-10, 6.14012e-33, 1.06548e-08, 6.14012e-33, 6.14012e-33
0.367268, 0, 1.56414e-08, 3.76643e-32, 1.41421, -1.56414e-08, 3.76643e-32, 0, 3.76643e-32, 3.76643e-32, 3.76643e-32, 3.76643e-32, 3.76643e-32, 3.76643e-32, 3.76643e-32, 3.76643e-32, 3.76643e-32, 3.76643e-32, 1.25427e-10, 3.76643e-32, 3.76643e-32, 1.12494e-12, 3.76643e-32, 6.8415e-10, 3.76643e-32, 1.48307e-08, 3.76643e-32, 3.76643e-32
0.375127, 0, 2.17458e-08, 2.15902e-31, 1.41421, -2.17458e-08, 2.15902e-31, 0, 2.15902e-31, 2.15902e-31, 2.15902e-31, 2.15902e-31, 2.15902e-31, 2.15902e-31, 2.15902e-31, 2.15902e-31, 2.15902e-31, 2.15902e-31, 1.74214e-10, 2.15902e-31, 2.15902e-31, 1.7187e-12, 2.15902e-31, 1.03581e-09, 2.15902e-31, 2.0534e-08, 2.15902e-31, 2.15902e-31
0.382985, 0, 3.00902e-08, 1.15792e-30, 1.41421, -3.00902e-08, 1.15792e-30, 0, 1.15792e-30, 1.15792e-30, 1.15792e-30, 1.15792e-30, 1.15792e-30, 1.15792e-30, 1.15792e-30, 1.15792e-30, 1.15792e-30, 1.15792e-30, 2.40812e-10, 1.15792e-30, 1.15792e-30, 2.62601e-12, 1.15792e-30, 1.56559e-09, 1.15792e-30, 2.82812e-08, 1.15792e-30, 1.15792e-30
0.390844, 0, 4.14453e-08, 5.82668e-30, 1.41421, -4.14453e-08, 5.82668e-30, 0, 5.82668e-30, 5.82668e-30, 5.82668e-30, 5.82668e-30, 5.82668e-30, 5.82668e-30, 5.82668e-30, 5.82668e-30, 5.82668e-30, 5.82668e-30, 3.31291e-10, 5.82668e-30, 5.82668e-30, 4.01173e-12, 5.82668e-30, 2.36222e-09, 5.82668e-30, 3.87477e-08, 5.82668e-30, 5.82668e-30
0.398702, 0, 5.683e-08, 2.75942e-29, 1.41421, -5.683e-08, 2.75942e-29, 0, 2.75942e-29, 2.75942e-29, 2.75942e-29, 2.75942e-29, 2.75942e-29, 2.75942e-29, 2.75942e-29, 2.75942e-29, 2.75942e-29, 2.75942e-29, 4.5364e-10, 2.75942e-29, 2.75942e-29, 6.12621e-12, 2.75942e-29, 3.55773e-09, 2.75942e-29, 5.28125e-08, 2.75942e-29, 2.75942e-29
0.406561, 0, 7.75877e-08, 1.23378e-28, 1.41421, -7.75877e-08, 1.23378e-28, 0, 1.23378e-28, 1.23378e-28, 1.23378e-28, 1.23378e-28, 1.23378e-28, 1.23378e-28, 1.23378e-28, 1.23378e-28, 1.23378e-28, 1.23378e-28, 6.18332e-10, 1.23378e-28, 1.23378e-28, 9.34844e-12, 1.23378e-28, 5.34783e-09, 1.23378e-28, 7.16122e-08, 1.23378e-28, 1.23378e-28
0.414419, 0, 1.05483e-07, 5.22397e-28, 1.41421, -1.05483e-07, 5.22397e-28, 0, 5.22397e-28, 5.22397e-28, 5.22397e-28, 5.22397e-28, 5.22397e-28, 5.22397e-28, 5.22397e-28, 5.22397e-28, 5.22397e-28, 5.22397e-28, 8.39028e-10, 5.22397e-28, 5.22397e-28, 1.425e-11, 5.22397e-28, 8.02158e-09, 5.22397e-28, 9.6608e-08, 5.22397e-28, 5.22397e-28
0.422278, 0, 1.42828e-07, 2.10048e-27, 1.41421, -1.42828e-07, 2.10048e-27, 0, 2.10048e-27, 2.10048e-27, 2.10048e-27, 2.10048e-27, 2.10048e-27, 2.10048e-27, 2.10048e-27, 2.10048e-27, 2.10048e-27, 2.10048e-27, 1.13348e-09, 2.10048e-27, 2.10048e-27, 2.16897e-11, 2.10048e-27, 1.2004e-08, 2.10048e-27, 1.29668e-07, 2.10048e-27, 2.10048e-27
0.430136, 0, 1.92643e-07, 8.0421e-27, 1.41421, -1.92643e-07, 8.0421e-27, 0, 8.0421e-27, 8.0421e-27, 8.0421e-27, 8.0421e-27, 8.0421e-27, 8.0421e-27, 8.0421e-27, 8.0421e-27, 8.0421e-27, 8.0421e-27, 1.52465e-09, 8.0421e-27, 8.0421e-27, 3.29514e-11, 8.0421e-27, 1.79173e-08, 8.0421e-27, 1.73168e-07, 8.0421e-27, 8.0421e-27
0.437995, 0, 2.58867e-07, 2.93945e-26, 1.41421, -2.58867e-07, 2.93945e-26, 0, 2.93945e-26, 2.93945e-26, 2.93945e-26, 2.93945e-26, 2.93945e-26, 2.93945e-26, 7.65182e-14, 2.93945e-26, 2.93945e-26, 2.93945e-26, 2.04212e-09, 2.93945e-26, 2.93945e-26, 4.99456e-11, 2.93945e-26, 2.66671e-08, 2.93945e-26, 2.30108e-07, 2.93945e-26, 2.93945e-26
0.445853, 0, 3.46627e-07, 1.02808e-25, 1.41421, -3.46627e-07, 1.02808e-25, 0, 1.02808e-25, 1.02808e-25, 1.02808e-25, 1.02808e-25, 1.02808e-25, 1.02808e-25, 2.39714e-13, 1.02808e-25, 1.02808e-25, 1.02808e-25, 2.72384e-09, 1.02808e-25, 1.02808e-25, 7.55e-11, 1.02808e-25, 3.95648e-08, 1.02808e-25, 3.04262e-07, 1.02808e-25, 1.02808e-25
0.453711, 0, 4.63869e-07, 3.48965e-25, 1.41421, -4.63869e-07, 2.35573e-12, 0, 2.26794e-14, 5.49692e-14, 3.30451e-12, 1.89668e-14, 2.4829e-11, 6.13162e-14, 3.9919e-12, 9.12184e-12, 1.86408e-12, 1.18627e-09, 3.61836e-09, 1.0587e-13, 3.85678e-14, 1.13776e-10, 3.6349e-14, 5.84975e-08, 1.73348e-15, 4.00393e-07, 3.48965e-25, 1.42993e-11
0.46157, 0, 6.19869e-07, 4.89222e-10, 1.41421, -6.19869e-07, 4.96577e-10, 4.89222e-10, 4.89292e-10, 4.89393e-10, 4.99539e-10, 4.89281e-10, 5.66743e-10, 4.89413e-10, 5.01151e-10, 5.17702e-10, 4.95042e-10, 4.19302e-09, 5.27657e-09, 4.89552e-10, 4.89342e-10, 6.60094e-10, 4.89659e-10, 8.66531e-08, 4.89227e-10, 5.24856e-07, 4.89222e-10, 5.33867e-10
0.469428, 0, 8.27372e-07, 1.52148e-09, 1.41421, -8.27372e-07, 1.53924e-09, 1.52148e-09, 1.52165e-09, 1.52189e-09, 1.54639e-09, 1.52162e-09, 1.70869e-09, 1.52194e-09, 1.54988e-09, 1.59026e-09, 1.53553e-09, 1.04662e-08, 7.83046e-09, 1.52228e-09, 1.52177e-09, 1.77713e-09, 1.52309e-09, 1.27917e-07, 1.52149e-09, 6.85014e-07, 1.52148e-09, 1.6293e-09
0.477287, 0, 1.10446e-06, 3.66379e-09, 1.41421, -1.10446e-06, 3.70283e-09, 3.66379e-09, 3.66417e-09, 3.6647e-09, 3.71856e-09, 3.66411e-09, 4.07525e-09, 3.66481e-09, 3.72578e-09, 3.81496e-09, 3.69469e-09, 2.33223e-08, 1.19457e-08, 3.66555e-09, 3.66443e-09, 4.0447e-09, 3.66805e-09, 1.88258e-07, 3.66382e-09, 8.9055e-07, 3.66379e-09, 3.90076e-09
0.485145, 0, 1.47668e-06, 8.0329e-09, 1.41421, -1.47668e-06, 8.11467e-09, 8.0329e-09, 8.03368e-09, 8.03481e-09, 8.1476e-09, 8.03356e-09, 8.89472e-09, 8.03503e-09, 8.16215e-09, 8.34952e-09, 8.0976e-09, 4.92085e-08, 1.88628e-08, 8.03657e-09, 8.03424e-09, 8.59793e-09, 8.04283e-09, 2.76362e-07, 8.03296e-09, 1.1537e-06, 8.0329e-09, 8.52923e-09
0.493004, 0, 1.98136e-06, 1.67968e-08, 1.41421, -1.98136e-06, 1.69629e-08, 1.67968e-08, 1.67984e-08, 1.68007e-08, 1.70298e-08, 1.67981e-08, 1.85474e-08, 1.68011e-08, 1.70583e-08, 1.74399e-08, 1.69282e-08, 1.00439e-07, 3.09049e-08, 1.68042e-08, 1.67995e-08, 1.7631e-08, 1.68184e-08, 4.04932e-07, 1.67969e-08, 1.4904e-06, 1.67968e-08, 1.7805e-08
0.500862, 0, 2.67483e-06, 3.4076e-08, 1.41421, -2.67483e-06, 3.44057e-08, 3.4076e-08, 3.40792e-08, 3.40837e-08, 3.45384e-08, 3.40786e-08, 3.75507e-08, 3.40846e-08, 3.46523e-08, 3.53525e-08, 3.43369e-08, 2.00088e-07, 5.23853e-08, 3.40908e-08, 3.40814e-08, 3.53017e-08, 3.41212e-08, 5.93085e-07, 3.40762e-08, 1.9218e-06, 3.4076e-08, 3.60771e-08
0.508721, 0, 3.64205e-06, 6.7564e-08, 1.41421, -3.64205e-06, 6.82056e-08, 6.7564e-08, 6.75702e-08, 6.7579e-08, 6.84639e-08, 6.75692e-08, 7.43256e-08, 6.75807e-08, 6.87523e-08, 7.00482e-08, 6.80717e-08, 3.90614e-07, 9.12368e-08, 6.75929e-08, 6.75745e-08, 6.93558e-08, 6.76558e-08, 8.67806e-07, 6.75645e-08, 2.47674e-06, 6.7564e-08, 7.14581e-08
0.516579, 0, 5.01789e-06, 1.31357e-07, 1.41421, -5.01789e-06, 1.32583e-07, 1.31357e-07, 1.31369e-07, 1.31386e-07, 1.33077e-07, 1.31367e-07, 1.44278e-07, 1.31389e-07, 1.34453e-07, 1.36104e-07, 1.32327e-07, 7.48683e-07, 1.61851e-07, 1.31412e-07, 1.31377e-07, 1.33963e-07, 1.31539e-07, 1.27056e-06, 1.31358e-07, 3.19581e-06, 1.31357e-07, 1.38799e-07
0.524438, 0, 7.01484e-06, 2.50808e-07, 1.41421, -7.01484e-06, 2.53111e-07, 2.50808e-07, 2.50831e-07, 2.50862e-07, 2.54038e-07, 2.50827e-07, 2.75075e-07, 2.50868e-07, 2.57676e-07, 2.59723e-07, 2.5263e-07, 1.41019e-06, 2.89944e-07, 2.50912e-07, 2.50846e-07, 2.54578e-07, 2.51161e-07, 1.86332e-06, 2.5081e-07, 4.13802e-06, 2.50808e-07, 2.64784e-07
0.532296, 0, 9.97327e-06, 4.70667e-07, 1.41421, -9.97327e-06, 4.74918e-07, 4.70667e-07, 4.70708e-07, 4.70766e-07, 4.7663e-07, 4.70701e-07, 5.15476e-07, 4.70777e-07, 4.84874e-07, 4.87129e-07, 4.74031e-07, 2.61152e-06, 5.2071e-07, 4.70858e-07, 4.70736e-07, 4.7609e-07, 4.71338e-07, 2.73997e-06, 4.7067e-07, 5.39157e-06, 4.70667e-07, 4.96473e-07
0.540155, 0, 1.44389e-05, 8.68446e-07, 1.41421, -1.44389e-05, 8.76166e-07, 8.68446e-07, 8.6852e-07, 8.68626e-07, 8.79276e-07, 8.68508e-07, 9.49818e-07, 8.68647e-07, 8.96706e-07, 8.98341e-07, 8.74555e-07, 4.75623e-06, 9.32207e-07, 8.68793e-07, 8.68572e-07, 8.76206e-07, 8.69701e-07, 4.04351e-06, 8.68451e-07, 7.09121e-06, 8.68446e-07, 9.15309e-07
0.548013, 0, 2.12838e-05, 1.5759e-06, 1.41421, -2.12838e-05, 1.58969e-06, 1.5759e-06, 1.57603e-06, 1.57622e-06, 1.59524e-06, 1.57601e-06, 1.72124e-06, 1.57625e-06, 1.63e-06, 1.6293e-06, 1.58681e-06, 8.52033e-06, 1.65685e-06, 1.57652e-06, 1.57612e-06, 1.58694e-06, 1.57821e-06, 5.99256e-06, 1.57591e-06, 9.44604e-06, 1.5759e-06, 1.6596e-06
0.555871, 0, 3.18945e-05, 2.81273e-06, 1.41421, -3.18945e-05, 2.83696e-06, 2.81273e-06, 2.81296e-06, 2.81329e-06, 2.84672e-06, 2.81292e-06, 3.06812e-06, 2.81336e-06, 2.91497e-06, 2.90655e-06, 2.8319e-06, 1.50148e-05, 2.91514e-06, 2.81381e-06, 2.81312e-06, 2.82836e-06, 2.81691e-06, 8.92148e-06, 2.81274e-06, 1.27824e-05, 2.81273e-06, 2.95981e-06
0.56373, 0, 4.84512e-05, 4.93842e-06, 1.41421, -4.84512e-05, 4.9803e-06, 4.93842e-06, 4.93882e-06, 4.93939e-06, 4.99717e-06, 4.93875e-06, 5.3799e-06, 4.93951e-06, 5.12908e-06, 5.10061e-06, 4.97156e-06, 2.60312e-05, 5.06755e-06, 4.9403e-06, 4.9391e-06, 4.96042e-06, 4.94587e-06, 1.33406e-05, 4.93845e-06, 1.76098e-05, 4.93842e-06, 5.19267e-06
