   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_380.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.337309, 0, 2.18465e-10, 2.46849e-39, 1.41421, -2.18465e-10, 2.46849e-39, 0, 2.46849e-39, 2.46849e-39, 2.46849e-39, 2.46849e-39, 2.46849e-39, 2.46849e-39, 2.46849e-39, 2.46849e-39, 2.46849e-39, 2.46849e-39, 2.46849e-39, 2.46849e-39, 9.72531e-11, 2.46849e-39, 1.21212e-10, 2.46849e-39, 2.46849e-39, 2.46849e-39
0.345176, 0, 3.47199e-10, 2.6595e-38, 1.41421, -3.47199e-10, 2.6595e-38, 0, 2.6595e-38, 2.6595e-38, 2.6595e-38, 2.6595e-38, 2.6595e-38, 2.6595e-38, 2.6595e-38, 2.6595e-38, 2.6595e-38, 2.6595e-38, 2.6595e-38, 2.6595e-38, 1.59224e-10, 2.6595e-38, 1.87975e-10, 2.6595e-38, 2.6595e-38, 2.6595e-38
0.353043, 0, 5.49063e-10, 2.59508e-37, 1.41421, -5.49063e-10, 2.59508e-37, 0, 2.59508e-37, 2.59508e-37, 2.59508e-37, 2.59508e-37, 2.59508e-37, 2.59508e-37, 2.59508e-37, 2.59508e-37, 2.59508e-37, 2.59508e-37, 2.59508e-37, 2.59508e-37, 2.59712e-10, 2.59508e-37, 2.89351e-10, 2.59508e-37, 2.59508e-37, 2.59508e-37
0.360911, 0, 8.64327e-10, 2.30878e-36, 1.41421, -8.64327e-10, 2.30878e-36, 0, 2.30878e-36, 2.30878e-36, 2.30878e-36, 2.30878e-36, 2.30878e-36, 2.30878e-36, 2.30878e-36, 2.30878e-36, 2.30878e-36, 2.30878e-36, 2.30878e-36, 2.30878e-36, 4.22207e-10, 2.30878e-36, 4.4212e-10, 2.30878e-36, 2.30878e-36, 2.30878e-36
0.368778, 0, 1.35495e-09, 1.88182e-35, 1.41421, -1.35495e-09, 1.88182e-35, 0, 1.88182e-35, 1.88182e-35, 1.88182e-35, 1.88182e-35, 1.88182e-35, 1.88182e-35, 1.88182e-35, 1.88182e-35, 1.88182e-35, 1.88182e-35, 1.88182e-35, 1.88182e-35, 6.84346e-10, 1.88182e-35, 6.70601e-10, 1.88182e-35, 1.88182e-35, 1.88182e-35
0.376645, 0, 2.11616e-09, 1.41126e-34, 1.41421, -2.11616e-09, 1.41126e-34, 0, 1.41126e-34, 1.41126e-34, 1.41126e-34, 1.41126e-34, 1.41126e-34, 1.41126e-34, 1.41126e-34, 1.41126e-34, 1.41126e-34, 1.41126e-34, 1.41126e-34, 1.41126e-34, 1.1064e-09, 1.41126e-34, 1.00976e-09, 1.41126e-34, 1.41126e-34, 1.41126e-34
0.384512, 0, 3.29427e-09, 9.59727e-34, 1.41421, -3.29427e-09, 9.59727e-34, 0, 9.59727e-34, 9.59727e-34, 9.59727e-34, 9.59727e-34, 9.59727e-34, 9.59727e-34, 9.59727e-34, 9.59727e-34, 9.59727e-34, 9.59727e-34, 9.59727e-34, 9.59727e-34, 1.78483e-09, 9.59727e-34, 1.50944e-09, 9.59727e-34, 9.59727e-34, 9.59727e-34
0.39238, 0, 5.11413e-09, 5.5532e-33, 1.41421, -5.11413e-09, 5.5532e-33, 0, 5.5532e-33, 5.5532e-33, 5.5532e-33, 5.5532e-33, 5.5532e-33, 5.5532e-33, 5.5532e-33, 5.5532e-33, 5.5532e-33, 5.5532e-33, 5.5532e-33, 5.5532e-33, 2.87394e-09, 5.5532e-33, 2.24019e-09, 5.5532e-33, 5.5532e-33, 5.5532e-33
0.400247, 0, 7.92141e-09, 3.33753e-32, 1.41421, -7.92141e-09, 3.33753e-32, 0, 3.33753e-32, 3.33753e-32, 3.33753e-32, 3.33753e-32, 3.33753e-32, 3.33753e-32, 3.33753e-32, 3.33753e-32, 3.33753e-32, 3.33753e-32, 3.33753e-32, 3.33753e-32, 4.6204e-09, 3.33753e-32, 3.30101e-09, 3.33753e-32, 3.33753e-32, 3.33753e-32
0.408114, 0, 1.2248e-08, 1.78841e-31, 1.41421, -1.2248e-08, 1.78841e-31, 0, 1.78841e-31, 1.78841e-31, 1.78841e-31, 1.78841e-31, 1.78841e-31, 1.78841e-31, 1.78841e-31, 1.78841e-31, 1.78841e-31, 1.78841e-31, 1.78841e-31, 1.78841e-31, 7.41827e-09, 1.78841e-31, 4.82973e-09, 1.78841e-31, 1.78841e-31, 1.78841e-31
