   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_146.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.255985, 0, 1.41959e-11, 0, 1.41421, -1.41959e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.84005e-14, 0, 0, 1.88161e-16, 5.63438e-13, 0, 1.35639e-11, 0, 0, 0
0.26385, 0, 2.24215e-11, 0, 1.41421, -2.24215e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07869e-13, 0, 0, 3.05394e-16, 9.26166e-13, 0, 2.13872e-11, 0, 0, 0
0.271714, 0, 3.51825e-11, 0, 1.41421, -3.51825e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68985e-13, 0, 0, 4.93216e-16, 1.51494e-12, 0, 3.34981e-11, 0, 0, 0
0.279579, 0, 5.48493e-11, 0, 1.41421, -5.48493e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62985e-13, 0, 0, 7.9283e-16, 2.46629e-12, 0, 5.21192e-11, 0, 0, 0
0.287443, 0, 8.49607e-11, 0, 1.41421, -8.49607e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.06594e-13, 0, 0, 1.26887e-15, 3.99681e-12, 0, 8.0556e-11, 0, 0, 0
0.295308, 0, 1.30765e-10, 1.21913e-43, 1.41421, -1.30765e-10, 1.21913e-43, 0, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 6.24531e-13, 1.21913e-43, 1.21913e-43, 2.02249e-15, 6.44902e-12, 1.21913e-43, 1.2369e-10, 1.21913e-43, 1.21913e-43, 1.21913e-43
0.303173, 0, 1.99996e-10, 2.02768e-42, 1.41421, -1.99996e-10, 2.02768e-42, 0, 2.02768e-42, 2.02768e-42, 2.02768e-42, 2.02768e-42, 2.02768e-42, 2.02768e-42, 2.02768e-42, 2.02768e-42, 9.53088e-13, 2.02768e-42, 2.02768e-42, 3.21182e-15, 1.03629e-11, 2.02768e-42, 1.88677e-10, 2.02768e-42, 2.02768e-42, 2.02768e-42
0.311037, 0, 3.0397e-10, 2.83062e-41, 1.41421, -3.0397e-10, 2.83062e-41, 0, 2.83062e-41, 2.83062e-41, 2.83062e-41, 2.83062e-41, 2.83062e-41, 2.83062e-41, 2.83062e-41, 2.83062e-41, 1.44515e-12, 2.83062e-41, 2.83062e-41, 5.08363e-15, 1.65873e-11, 2.83062e-41, 2.85932e-10, 2.83062e-41, 2.83062e-41, 2.83062e-41
0.318902, 0, 4.59149e-10, 3.501e-40, 1.41421, -4.59149e-10, 3.501e-40, 0, 3.501e-40, 3.501e-40, 3.501e-40, 3.501e-40, 3.501e-40, 3.501e-40, 3.501e-40, 3.501e-40, 2.1773e-12, 3.501e-40, 3.501e-40, 8.02296e-15, 2.64539e-11, 3.501e-40, 4.3051e-10, 3.501e-40, 3.501e-40, 3.501e-40
0.326766, 0, 6.89326e-10, 3.89113e-39, 1.41421, -6.89326e-10, 3.89113e-39, 0, 3.89113e-39, 3.89113e-39, 3.89113e-39, 3.89113e-39, 3.89113e-39, 3.89113e-39, 3.89113e-39, 3.89113e-39, 3.25962e-12, 3.89113e-39, 3.89113e-39, 1.26304e-14, 4.20466e-11, 3.89113e-39, 6.44007e-10, 3.89113e-39, 3.89113e-39, 3.89113e-39
