   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_252.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.16341, 0, 1.7822e-21, 0, 1.41421, -1.7822e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.89164e-24, 0, 0, 7.54672e-27, 1.13058e-25, 1.77818e-21, 0, 0
0.171388, 0, 5.63929e-21, 0, 1.41421, -5.63929e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23141e-23, 0, 0, 2.40323e-26, 3.68909e-25, 5.62658e-21, 0, 0
0.179367, 0, 1.73133e-20, 0, 1.41421, -1.73133e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78055e-23, 0, 0, 7.42729e-26, 1.16548e-24, 1.72742e-20, 0, 0
0.187345, 0, 5.16985e-20, 0, 1.41421, -5.16985e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12889e-22, 0, 0, 2.2332e-25, 3.57512e-24, 5.15818e-20, 0, 0
0.195324, 0, 1.50451e-19, 0, 1.41421, -1.50451e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28525e-22, 0, 0, 6.54581e-25, 1.06728e-23, 1.50111e-19, 0, 0
0.203302, 0, 4.27412e-19, 0, 1.41421, -4.27412e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.33299e-22, 0, 0, 1.87356e-24, 3.10666e-23, 4.26446e-19, 0, 0
0.211281, 0, 1.18699e-18, 0, 1.41421, -1.18699e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59191e-21, 0, 0, 5.24389e-24, 8.83127e-23, 1.1843e-18, 0, 0
0.219259, 0, 3.22631e-18, 0, 1.41421, -3.22631e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.04495e-21, 0, 0, 1.43695e-23, 2.455e-22, 3.219e-18, 0, 0
0.227238, 0, 8.59148e-18, 0, 1.41421, -8.59148e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87603e-20, 0, 0, 3.85909e-23, 6.68158e-22, 8.57202e-18, 0, 0
0.235216, 0, 2.24343e-17, 0, 1.41421, -2.24343e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.89874e-20, 0, 0, 1.01664e-22, 1.78212e-21, 2.23835e-17, 0, 0
0.243195, 0, 5.74864e-17, 0, 1.41421, -5.74864e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25526e-19, 0, 0, 2.62919e-22, 4.66222e-21, 5.7356e-17, 0, 0
0.251173, 0, 1.44648e-16, 0, 1.41421, -1.44648e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1585e-19, 0, 0, 6.67954e-22, 1.19722e-20, 1.4432e-16, 0, 0
0.259152, 0, 3.57607e-16, 0, 1.41421, -3.57607e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.8086e-19, 0, 0, 1.66802e-21, 3.01976e-20, 3.56794e-16, 0, 0
0.26713, 0, 8.69092e-16, 0, 1.41421, -8.69092e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89771e-18, 0, 0, 4.09654e-21, 7.48579e-20, 8.67116e-16, 0, 0
0.275109, 0, 2.07726e-15, 0, 1.41421, -2.07726e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53579e-18, 0, 0, 9.89926e-21, 1.82474e-19, 2.07253e-15, 0, 0
0.283087, 0, 4.88485e-15, 0, 1.41421, -4.88485e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06662e-17, 0, 0, 2.35473e-20, 4.37586e-19, 4.87372e-15, 0, 0
0.291066, 0, 1.13059e-14, 0, 1.41421, -1.13059e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46865e-17, 0, 0, 5.51568e-20, 1.03279e-18, 1.12801e-14, 0, 0
0.299044, 0, 2.57629e-14, 0, 1.41421, -2.57629e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.62525e-17, 0, 0, 1.27272e-19, 2.4e-18, 2.57041e-14, 0, 0
0.307023, 0, 5.78151e-14, 0, 1.41421, -5.78151e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26235e-16, 0, 0, 2.89386e-19, 5.49311e-18, 5.76831e-14, 0, 0
0.315001, 0, 1.2781e-13, 0, 1.41421, -1.2781e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79058e-16, 0, 0, 6.48578e-19, 1.23872e-17, 1.27518e-13, 0, 0
0.32298, 0, 2.78397e-13, 0, 1.41421, -2.78397e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.07831e-16, 0, 0, 1.4332e-18, 2.75301e-17, 2.7776e-13, 0, 0
0.330958, 0, 5.9763e-13, 0, 1.41421, -5.9763e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30479e-15, 0, 0, 3.12357e-18, 6.03172e-17, 5.96262e-13, 0, 0
0.338937, 0, 1.26782e-12, 0, 1.41421, -1.26782e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76789e-15, 0, 0, 6.7415e-18, 1.30811e-16, 1.26491e-12, 0, 0
0.346915, 0, 2.64375e-12, 0, 1.41421, -2.64375e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.77163e-15, 0, 0, 1.42976e-17, 2.78599e-16, 2.63768e-12, 0, 0
0.354894, 0, 5.43649e-12, 0, 1.41421, -5.43649e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18681e-14, 0, 0, 2.99351e-17, 5.85441e-16, 5.424e-12, 0, 0
0.362872, 0, 1.10258e-11, 0, 1.41421, -1.10258e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40693e-14, 0, 0, 6.18943e-17, 1.21413e-15, 1.10005e-11, 0, 0
0.370851, 0, 2.20574e-11, 8.12753e-44, 1.41421, -2.20574e-11, 8.12753e-44, 0, 8.12753e-44, 8.12753e-44, 8.12753e-44, 8.12753e-44, 8.12753e-44, 8.12753e-44, 8.12753e-44, 8.12753e-44, 8.12753e-44, 4.815e-14, 8.12753e-44, 8.12753e-44, 1.26424e-16, 2.48557e-15, 2.20067e-11, 8.12753e-44, 8.12753e-44
0.378829, 0, 4.35311e-11, 1.82169e-42, 1.41421, -4.35311e-11, 1.82169e-42, 0, 1.82169e-42, 1.82169e-42, 1.82169e-42, 1.82169e-42, 1.82169e-42, 1.82169e-42, 1.82169e-42, 1.82169e-42, 1.82169e-42, 9.50249e-14, 1.82169e-42, 1.82169e-42, 2.55208e-16, 5.02428e-15, 4.34308e-11, 1.82169e-42, 1.82169e-42
0.386808, 0, 8.47612e-11, 2.90461e-41, 1.41421, -8.47612e-11, 2.90461e-41, 0, 2.90461e-41, 2.90461e-41, 2.90461e-41, 2.90461e-41, 2.90461e-41, 2.90461e-41, 2.90461e-41, 2.90461e-41, 2.90461e-41, 1.85029e-13, 2.90461e-41, 2.90461e-41, 5.09403e-16, 1.00306e-14, 8.45657e-11, 2.90461e-41, 2.90461e-41
0.394786, 0, 1.62852e-10, 4.19284e-40, 1.41421, -1.62852e-10, 4.19284e-40, 0, 4.19284e-40, 4.19284e-40, 4.19284e-40, 4.19284e-40, 4.19284e-40, 4.19284e-40, 4.19284e-40, 4.19284e-40, 4.19284e-40, 3.5551e-13, 4.19284e-40, 4.19284e-40, 1.00594e-15, 1.97843e-14, 1.62475e-10, 4.19284e-40, 4.19284e-40
0.402765, 0, 3.08766e-10, 5.41652e-39, 1.41421, -3.08766e-10, 5.41652e-39, 0, 5.41652e-39, 5.41652e-39, 5.41652e-39, 5.41652e-39, 5.41652e-39, 5.41652e-39, 5.41652e-39, 5.41652e-39, 5.41652e-39, 6.74102e-13, 5.41652e-39, 5.41652e-39, 1.9666e-15, 3.85656e-14, 3.08052e-10, 5.41652e-39, 5.41652e-39
0.410743, 0, 5.77767e-10, 6.29046e-38, 1.41421, -5.77767e-10, 6.29046e-38, 0, 6.29046e-38, 6.29046e-38, 6.29046e-38, 6.29046e-38, 6.29046e-38, 6.29046e-38, 6.29046e-38, 6.29046e-38, 6.29046e-38, 1.26157e-12, 6.29046e-38, 6.29046e-38, 3.80912e-15, 7.43265e-14, 5.76427e-10, 6.29046e-38, 6.29046e-38
0.418722, 0, 1.0671e-09, 6.59921e-37, 1.41421, -1.0671e-09, 6.59921e-37, 0, 6.59921e-37, 6.59921e-37, 6.59921e-37, 6.59921e-37, 6.59921e-37, 6.59921e-37, 6.59921e-37, 6.59921e-37, 6.59921e-37, 2.33058e-12, 6.59921e-37, 6.59921e-37, 7.31608e-15, 1.41696e-13, 1.06462e-09, 6.59921e-37, 6.59921e-37
0.4267, 0, 1.94546e-09, 6.28811e-36, 1.41421, -1.94546e-09, 6.28811e-36, 0, 6.28811e-36, 6.28811e-36, 6.28811e-36, 6.28811e-36, 6.28811e-36, 6.28811e-36, 6.28811e-36, 6.28811e-36, 6.28811e-36, 4.25042e-12, 6.28811e-36, 6.28811e-36, 1.39477e-14, 2.67354e-13, 1.94093e-09, 6.28811e-36, 6.28811e-36
0.434679, 0, 3.50147e-09, 5.47187e-35, 1.41421, -3.50147e-09, 5.47187e-35, 0, 5.47187e-35, 5.47187e-35, 5.47187e-35, 5.47187e-35, 5.47187e-35, 5.47187e-35, 5.47187e-35, 5.47187e-35, 5.47187e-35, 7.65371e-12, 5.47187e-35, 5.47187e-35, 2.64218e-14, 4.99608e-13, 3.49329e-09, 5.47187e-35, 5.47187e-35
0.442657, 0, 6.22198e-09, 4.37109e-34, 1.41421, -6.22198e-09, 4.37109e-34, 0, 4.37109e-34, 4.37109e-34, 4.37109e-34, 4.37109e-34, 4.37109e-34, 4.37109e-34, 4.37109e-34, 4.37109e-34, 4.37109e-34, 1.36096e-11, 4.37109e-34, 4.37109e-34, 4.97911e-14, 9.25421e-13, 6.20739e-09, 4.37109e-34, 4.37109e-34
0.450636, 0, 1.09169e-08, 3.22084e-33, 1.41421, -1.09169e-08, 3.22084e-33, 0, 3.22084e-33, 3.22084e-33, 3.22084e-33, 3.22084e-33, 3.22084e-33, 3.22084e-33, 3.22084e-33, 3.22084e-33, 3.22084e-33, 2.39012e-11, 3.22084e-33, 3.22084e-33, 9.34476e-14, 1.70073e-12, 1.08912e-08, 3.22084e-33, 3.22084e-33
0.458614, 0, 1.8915e-08, 2.31859e-32, 1.41421, -1.8915e-08, 2.31859e-32, 0, 2.31859e-32, 2.31859e-32, 2.31859e-32, 2.31859e-32, 2.31859e-32, 2.31859e-32, 2.31859e-32, 2.31859e-32, 2.31859e-32, 4.14633e-11, 2.31859e-32, 2.31859e-32, 1.74858e-13, 3.10465e-12, 1.88703e-08, 2.31859e-32, 2.31859e-32
0.466593, 0, 3.23665e-08, 1.59555e-31, 1.41421, -3.23665e-08, 1.59555e-31, 0, 1.59555e-31, 1.59555e-31, 1.59555e-31, 1.59555e-31, 1.59555e-31, 1.59555e-31, 1.59555e-31, 1.59555e-31, 1.59555e-31, 7.1065e-11, 1.59555e-31, 1.59555e-31, 3.26528e-13, 5.63667e-12, 3.22895e-08, 1.59555e-31, 1.59555e-31
0.474571, 0, 5.47031e-08, 1.03204e-30, 1.41421, -5.47031e-08, 1.03204e-30, 0, 1.03204e-30, 1.03204e-30, 1.03204e-30, 1.03204e-30, 1.03204e-30, 1.03204e-30, 1.03204e-30, 1.03204e-30, 1.03204e-30, 1.2036e-10, 1.03204e-30, 1.03204e-30, 6.08961e-13, 1.01926e-11, 5.4572e-08, 1.03204e-30, 1.03204e-30
0.48255, 0, 9.13278e-08, 6.25582e-30, 1.41421, -9.13278e-08, 6.25582e-30, 0, 6.25582e-30, 6.25582e-30, 6.25582e-30, 6.25582e-30, 6.25582e-30, 6.25582e-30, 6.25582e-30, 6.25582e-30, 6.25582e-30, 2.0148e-10, 6.25582e-30, 6.25582e-30, 1.1347e-12, 1.83845e-11, 9.11068e-08, 6.25582e-30, 6.25582e-30
0.490528, 0, 1.50635e-07, 3.55355e-29, 1.41421, -1.50635e-07, 3.55355e-29, 0, 3.55355e-29, 3.55355e-29, 3.55355e-29, 3.55355e-29, 3.55355e-29, 3.55355e-29, 3.55355e-29, 3.55355e-29, 3.55355e-29, 3.33441e-10, 3.55355e-29, 3.55355e-29, 2.11272e-12, 3.31265e-11, 1.50266e-07, 3.55355e-29, 3.55355e-29
0.498507, 0, 2.45489e-07, 1.89567e-28, 1.41421, -2.45489e-07, 1.89567e-28, 0, 1.89567e-28, 1.89567e-28, 1.89567e-28, 1.89567e-28, 1.89567e-28, 1.89567e-28, 1.89567e-28, 1.89567e-28, 1.89567e-28, 5.45691e-10, 1.89567e-28, 1.89567e-28, 3.92959e-12, 5.97104e-11, 2.4488e-07, 1.89567e-28, 1.89567e-28
0.506485, 0, 3.9535e-07, 9.52831e-28, 1.41421, -3.9535e-07, 9.52831e-28, 0, 9.52831e-28, 9.52831e-28, 9.52831e-28, 9.52831e-28, 9.52831e-28, 9.52831e-28, 9.52831e-28, 9.52831e-28, 9.52831e-28, 8.83368e-10, 9.52831e-28, 9.52831e-28, 7.29685e-12, 1.07786e-10, 3.94351e-07, 9.52831e-28, 9.52831e-28
0.514464, 0, 6.29265e-07, 4.52728e-27, 1.41421, -6.29265e-07, 4.52728e-27, 0, 4.52728e-27, 4.52728e-27, 4.52728e-27, 4.52728e-27, 4.52728e-27, 4.52728e-27, 4.52728e-27, 4.52728e-27, 4.52728e-27, 1.41491e-09, 4.52728e-27, 4.52728e-27, 1.3515e-11, 1.94997e-10, 6.27642e-07, 4.52728e-27, 4.52728e-27
0.522442, 0, 9.9005e-07, 2.03928e-26, 1.41421, -9.9005e-07, 2.03928e-26, 0, 2.03928e-26, 2.03928e-26, 2.03928e-26, 2.03928e-26, 2.03928e-26, 2.03928e-26, 2.03928e-26, 2.03928e-26, 2.03928e-26, 2.24308e-09, 2.03928e-26, 2.03928e-26, 2.49418e-11, 3.53622e-10, 9.87428e-07, 2.03928e-26, 2.03928e-26
0.530421, 0, 1.53999e-06, 8.73346e-26, 1.41421, -1.53999e-06, 8.73346e-26, 0, 8.73346e-26, 8.73346e-26, 8.73346e-26, 8.73346e-26, 8.73346e-26, 8.73346e-26, 8.73346e-26, 8.73346e-26, 8.73346e-26, 3.52071e-09, 8.73346e-26, 8.73346e-26, 4.58088e-11, 6.42623e-10, 1.53578e-06, 8.73346e-26, 8.73346e-26
0.538399, 0, 2.36859e-06, 3.56579e-25, 1.41421, -2.36859e-06, 3.56579e-25, 0, 3.56579e-25, 3.56579e-25, 3.56579e-25, 3.56579e-25, 3.56579e-25, 3.20635e-12, 3.56579e-25, 3.56579e-25, 3.56579e-25, 5.47294e-09, 3.56579e-25, 3.56579e-25, 8.36293e-11, 1.16922e-09, 2.36186e-06, 3.56579e-25, 3.56579e-25
0.546378, 0, 3.60285e-06, 1.39166e-24, 1.41421, -3.60285e-06, 1.39166e-24, 0, 1.39166e-24, 1.39166e-24, 1.39166e-24, 1.39166e-24, 1.39166e-24, 1.29977e-11, 1.39166e-24, 1.39166e-24, 1.39166e-24, 8.4286e-09, 1.39166e-24, 1.39166e-24, 1.51587e-10, 2.12711e-09, 3.59213e-06, 1.39166e-24, 1.39166e-24
0.554356, 0, 5.42078e-06, 5.2157e-24, 1.41421, -5.42078e-06, 5.2157e-24, 0, 5.2157e-24, 5.2157e-24, 5.2157e-24, 5.2157e-24, 5.2157e-24, 4.1471e-11, 5.2157e-24, 5.2157e-24, 5.2157e-24, 1.28635e-08, 5.2157e-24, 5.2157e-24, 2.72525e-10, 3.86294e-09, 5.40374e-06, 5.2157e-24, 5.2157e-24
0.562335, 0, 8.07257e-06, 1.89087e-23, 1.41421, -8.07257e-06, 3.19223e-10, 0, 1.79504e-13, 4.87192e-13, 1.18895e-12, 4.35359e-12, 6.71381e-12, 2.74614e-10, 1.2951e-10, 1.68715e-11, 3.69641e-10, 1.94611e-08, 1.55692e-11, 4.09777e-13, 4.85527e-10, 6.99027e-09, 8.04339e-06, 1.89087e-23, 1.10679e-09
0.570313, 0, 1.19254e-05, 2.61223e-08, 1.41421, -1.19254e-05, 2.74066e-08, 2.61223e-08, 2.6123e-08, 2.61243e-08, 2.61271e-08, 2.61398e-08, 2.61493e-08, 2.70744e-08, 2.66434e-08, 2.61902e-08, 2.76095e-08, 5.53146e-08, 2.6185e-08, 2.6124e-08, 2.6979e-08, 3.87033e-08, 1.18738e-05, 2.61223e-08, 3.05751e-08
0.578291, 0, 1.74753e-05, 1.04641e-07, 1.41421, -1.74753e-05, 1.08709e-07, 1.04641e-07, 1.04643e-07, 1.04647e-07, 1.04656e-07, 1.04696e-07, 1.04726e-07, 1.07481e-07, 1.06291e-07, 1.04856e-07, 1.09352e-07, 1.48067e-07, 1.04839e-07, 1.04646e-07, 1.06137e-07, 1.27121e-07, 1.73799e-05, 1.04641e-07, 1.18747e-07
0.58627, 0, 2.54661e-05, 3.30241e-07, 1.41421, -2.54661e-05, 3.42017e-07, 3.30241e-07, 3.30247e-07, 3.30259e-07, 3.30285e-07, 3.30401e-07, 3.30488e-07, 3.38151e-07, 3.35019e-07, 3.30863e-07, 3.43877e-07, 3.94314e-07, 3.30815e-07, 3.30256e-07, 3.32826e-07, 3.70054e-07, 2.5279e-05, 3.30241e-07, 3.71071e-07
0.594248, 0, 3.70599e-05, 9.62166e-07, 1.41421, -3.70599e-05, 9.94572e-07, 9.62166e-07, 9.62184e-07, 9.62216e-07, 9.62287e-07, 9.62608e-07, 9.62848e-07, 9.83354e-07, 9.75314e-07, 9.63879e-07, 9.99691e-07, 1.05594e-06, 9.63747e-07, 9.62208e-07, 9.66585e-07, 1.03204e-06, 3.66705e-05, 9.62166e-07, 1.07452e-06
0.602227, 0, 5.41525e-05, 2.61493e-06, 1.41421, -5.41525e-05, 2.69983e-06, 2.61493e-06, 2.61498e-06, 2.61506e-06, 2.61524e-06, 2.61609e-06, 2.61671e-06, 2.67025e-06, 2.64937e-06, 2.61941e-06, 2.71323e-06, 2.75109e-06, 2.61907e-06, 2.61504e-06, 2.6224e-06, 2.73611e-06, 5.33081e-05, 2.61493e-06, 2.90928e-06
0.610205, 0, 8.02146e-05, 6.83446e-06, 1.41421, -8.02146e-05, 7.04864e-06, 6.83446e-06, 6.83458e-06, 6.83478e-06, 6.83525e-06, 6.83738e-06, 6.83896e-06, 6.98318e-06, 6.92135e-06, 6.84578e-06, 7.08247e-06, 7.0306e-06, 6.8449e-06, 6.83473e-06, 6.84695e-06, 7.04213e-06, 7.83272e-05, 6.83446e-06, 7.57705e-06
0.618184, 0, 0.000121831, 1.7203e-05, 1.41421, -0.000121831, 1.77237e-05, 1.7203e-05, 1.72033e-05, 1.72038e-05, 1.72049e-05, 1.72101e-05, 1.72139e-05, 1.75792e-05, 1.74142e-05, 1.72305e-05, 1.78059e-05, 1.74833e-05, 1.72284e-05, 1.72037e-05, 1.72236e-05, 1.75544e-05, 0.000117587, 1.7203e-05, 1.90084e-05
0.626162, 0, 0.000191977, 4.17308e-05, 1.41421, -0.000191977, 4.29513e-05, 4.17308e-05, 4.17315e-05, 4.17326e-05, 4.17353e-05, 4.17474e-05, 4.17564e-05, 4.26469e-05, 4.22259e-05, 4.17953e-05, 4.3144e-05, 4.21284e-05, 4.17903e-05, 4.17323e-05, 4.17646e-05, 4.23181e-05, 0.000182506, 4.17308e-05, 4.59624e-05
0.634141, 0, 0.00031641, 9.76038e-05, 1.41421, -0.00031641, 0.000100363, 9.76038e-05, 9.76053e-05, 9.7608e-05, 9.76141e-05, 9.76414e-05, 9.76618e-05, 9.97688e-05, 9.87232e-05, 9.77496e-05, 0.000100799, 9.81636e-05, 9.77384e-05, 9.76073e-05, 9.76586e-05, 9.85729e-05, 0.000295625, 9.76038e-05, 0.00010717
0.642119, 0.985982, 0.000545675, 0.000220189, 1.728, 0.985437, 0.000226207, 0.000220189, 0.000220192, 0.000220198, 0.000220211, 0.000220271, 0.000220315, 0.000225179, 0.00022263, 0.000220507, 0.000227157, 0.000220971, 0.000220482, 0.000220196, 0.000220277, 0.000221769, 0.000501076, 0.000220189, 0.000241055
0.650098, 0.0140178, 0.000976637, 0.000479279, 1.41916, 0.0130411, 0.000491949, 0.000479279, 0.000479286, 0.000479299, 0.000479327, 0.000479452, 0.000479546, 0.000490514, 0.00048442, 0.000479949, 0.00049395, 0.000480366, 0.000479897, 0.000479296, 0.000479419, 0.000481827, 0.000883402, 0.000479279, 0.000523207
0.658076, 0, 0.00178931, 0.00100694, 1.41421, -0.00178931, 0.00103269, 0.00100694, 0.00100695, 0.00100698, 0.00100704, 0.00100729, 0.00100748, 0.0010317, 0.00101739, 0.0010083, 0.00103676, 0.00100844, 0.0010082, 0.00100697, 0.00100716, 0.00101101, 0.00159976, 0.00100694, 0.00109623
0.666055, 0, 0.00330652, 0.00204261, 1.41421, -0.00330652, 0.00209317, 0.00204261, 0.00204264, 0.00204269, 0.0020428, 0.0020433, 0.00204368, 0.00209608, 0.00206313, 0.00204529, 0.00210116, 0.00204467, 0.00204508, 0.00204268, 0.00204296, 0.00204905, 0.00293205, 0.00204261, 0.00221791
0.674033, 0, 0.00608558, 0.0040022, 1.41421, -0.00608558, 0.0040981, 0.0040022, 0.00400225, 0.00400234, 0.00400255, 0.0040035, 0.00400421, 0.0041153, 0.00404111, 0.00400726, 0.00411325, 0.00400501, 0.00400687, 0.00400232, 0.00400273, 0.00401231, 0.00536688, 0.0040022, 0.00433471
0.682012, 0, 0.0110507, 0.007577, 1.41421, -0.0110507, 0.00775286, 0.007577, 0.0075771, 0.00757727, 0.00757766, 0.0075794, 0.0075807, 0.00781132, 0.00764835, 0.0075863, 0.00778063, 0.00758083, 0.00758558, 0.00757723, 0.00757783, 0.00759282, 0.00971018, 0.007577, 0.0081867
0.68999, 0, 0.0196724, 0.013866, 1.41421, -0.0196724, 0.0141778, 0.013866, 0.0138662, 0.0138665, 0.0138671, 0.0138702, 0.0138725, 0.0143411, 0.0139925, 0.0138825, 0.014227, 0.0138712, 0.0138812, 0.0138664, 0.0138673, 0.0138906, 0.0172411, 0.013866, 0.014947
