   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_257.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.332267, 0, 3.8731e-08, 5.34909e-30, 1.41421, -3.8731e-08, 0, 5.34909e-30, 5.34909e-30, 5.34909e-30, 5.34909e-30, 5.34909e-30, 5.34909e-30, 5.34909e-30, 5.34909e-30, 5.34909e-30, 3.8827e-10, 5.34909e-30, 5.34909e-30, 1.92926e-09, 5.34909e-30, 5.34909e-30, 3.64134e-08, 5.34909e-30, 5.34909e-30, 5.34909e-30
0.340119, 0, 5.06639e-08, 2.57437e-29, 1.41421, -5.06639e-08, 0, 2.57437e-29, 2.57437e-29, 2.57437e-29, 2.57437e-29, 2.57437e-29, 2.57437e-29, 2.57437e-29, 2.57437e-29, 2.57437e-29, 5.06971e-10, 2.57437e-29, 2.57437e-29, 2.79482e-09, 2.57437e-29, 2.57437e-29, 4.73621e-08, 2.57437e-29, 2.57437e-29, 2.57437e-29
0.34797, 0, 6.60782e-08, 1.16848e-28, 1.41421, -6.60782e-08, 0, 1.16848e-28, 1.16848e-28, 1.16848e-28, 1.16848e-28, 1.16848e-28, 1.16848e-28, 1.16848e-28, 1.16848e-28, 1.16848e-28, 6.59763e-10, 1.16848e-28, 1.16848e-28, 4.04479e-09, 1.16848e-28, 1.16848e-28, 6.13737e-08, 1.16848e-28, 1.16848e-28, 1.16848e-28
0.355822, 0, 8.59392e-08, 5.01573e-28, 1.41421, -8.59392e-08, 0, 5.01573e-28, 5.01573e-28, 5.01573e-28, 5.01573e-28, 5.01573e-28, 5.01573e-28, 5.01573e-28, 5.01573e-28, 5.01573e-28, 8.55796e-10, 5.01573e-28, 5.01573e-28, 5.84653e-09, 5.01573e-28, 5.01573e-28, 7.92368e-08, 5.01573e-28, 5.01573e-28, 5.01573e-28
0.363674, 0, 1.11468e-07, 2.04127e-27, 1.41421, -1.11468e-07, 0, 2.04127e-27, 2.04127e-27, 2.04127e-27, 2.04127e-27, 2.04127e-27, 2.04127e-27, 2.04127e-27, 2.04127e-27, 2.04127e-27, 1.1065e-09, 2.04127e-27, 2.04127e-27, 8.43794e-09, 2.04127e-27, 2.04127e-27, 1.01924e-07, 2.04127e-27, 2.04127e-27, 2.04127e-27
0.371525, 0, 1.44211e-07, 7.89743e-27, 1.41421, -1.44211e-07, 0, 7.89743e-27, 7.89743e-27, 7.89743e-27, 7.89743e-27, 7.89743e-27, 7.89743e-27, 7.89743e-27, 7.89743e-27, 7.89743e-27, 1.42611e-09, 7.89743e-27, 7.89743e-27, 1.21561e-08, 7.89743e-27, 7.89743e-27, 1.30629e-07, 7.89743e-27, 7.89743e-27, 7.89743e-27
0.379377, 0, 1.86122e-07, 2.91196e-26, 1.41421, -1.86122e-07, 0, 2.91196e-26, 2.91196e-26, 2.91196e-26, 2.91196e-26, 2.91196e-26, 4.81669e-13, 2.91196e-26, 2.91196e-26, 2.91196e-26, 1.8323e-09, 2.91196e-26, 2.91196e-26, 1.74762e-08, 2.91196e-26, 2.91196e-26, 1.66813e-07, 2.91196e-26, 2.91196e-26, 2.91196e-26
0.387229, 0, 2.39672e-07, 1.02572e-25, 1.41421, -2.39672e-07, 0, 1.02572e-25, 1.02572e-25, 1.02572e-25, 1.02572e-25, 1.02572e-25, 1.3968e-12, 1.02572e-25, 1.02572e-25, 1.02572e-25, 2.34696e-09, 1.02572e-25, 1.02572e-25, 2.50664e-08, 1.02572e-25, 1.02572e-25, 2.12257e-07, 1.02572e-25, 1.02572e-25, 1.02572e-25
0.39508, 0, 3.0798e-07, 3.48168e-25, 1.41421, -3.0798e-07, 0, 3.48168e-25, 3.48168e-25, 3.48168e-25, 3.48168e-25, 3.48168e-25, 3.10872e-12, 3.48168e-25, 3.48168e-25, 3.48168e-25, 2.99706e-09, 3.48168e-25, 3.48168e-25, 3.58603e-08, 3.48168e-25, 3.48168e-25, 2.69119e-07, 3.48168e-25, 3.48168e-25, 3.48168e-25
0.402932, 0, 3.96563e-07, 1.13706e-10, 1.41421, -3.96563e-07, 1.13706e-10, 1.13718e-10, 1.21564e-10, 1.20993e-10, 2.20983e-10, 9.90381e-10, 1.41264e-10, 1.36455e-10, 1.5426e-10, 3.81683e-10, 3.92961e-09, 1.1811e-10, 1.14001e-10, 5.12724e-08, 1.14242e-10, 1.13707e-10, 3.40168e-07, 1.13706e-10, 1.13706e-10, 1.70548e-10
0.410784, 0, 5.10248e-07, 3.30041e-10, 1.41421, -5.10248e-07, 3.30041e-10, 3.30077e-10, 3.52754e-10, 3.51102e-10, 6.40091e-10, 2.86379e-09, 4.03592e-10, 3.95789e-10, 4.4725e-10, 1.10454e-09, 5.17422e-09, 3.42771e-10, 3.30895e-10, 7.30992e-08, 3.40658e-10, 3.30044e-10, 4.28528e-07, 3.30041e-10, 3.30041e-10, 4.94324e-10
0.418636, 0, 6.56617e-07, 7.35119e-10, 1.41421, -6.56617e-07, 7.35119e-10, 7.352e-10, 7.85536e-10, 7.81867e-10, 1.42335e-09, 6.35939e-09, 8.94056e-10, 8.81063e-10, 9.95293e-10, 2.45431e-09, 6.86681e-09, 7.63375e-10, 7.37015e-10, 1.03912e-07, 7.66595e-10, 7.35125e-10, 5.38188e-07, 7.35119e-10, 7.35119e-10, 1.09978e-09
