   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_40.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.212799, 0, 3.84702e-26, 0, 1.41421, -3.84702e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6428e-28, 0, 0, 6.13203e-31, 0, 2.07933e-30, 0, 3.83032e-26, 0, 0
0.220682, 0, 1.87824e-25, 0, 1.41421, -1.87824e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.02065e-28, 0, 0, 3.00258e-30, 0, 1.11618e-29, 0, 1.87008e-25, 0, 0
0.228564, 0, 8.48489e-25, 0, 1.41421, -8.48489e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.62328e-27, 0, 0, 1.36115e-29, 0, 5.42486e-29, 0, 8.44798e-25, 0, 0
0.236446, 0, 3.59785e-24, 0, 1.41421, -3.59785e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53637e-26, 0, 0, 5.79407e-29, 0, 2.44141e-28, 0, 3.58218e-24, 0, 0
0.244328, 0, 1.44596e-23, 0, 1.41421, -1.44596e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1746e-26, 0, 0, 2.33832e-28, 0, 1.03187e-27, 0, 1.43966e-23, 0, 0
0.252211, 0, 5.54623e-23, 0, 1.41421, -5.54623e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36837e-25, 0, 0, 9.00875e-28, 0, 4.13514e-27, 0, 5.52204e-23, 0, 0
0.260093, 0, 2.04087e-22, 0, 1.41421, -2.04087e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.71495e-25, 0, 0, 3.33052e-27, 0, 1.58203e-26, 0, 2.03196e-22, 0, 0
0.267975, 0, 7.23348e-22, 0, 1.41421, -7.23348e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08884e-24, 0, 0, 1.18628e-26, 0, 5.80795e-26, 0, 7.20189e-22, 0, 0
0.275857, 0, 2.47733e-21, 0, 1.41421, -2.47733e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05787e-23, 0, 0, 4.08398e-26, 0, 2.05424e-25, 0, 2.46651e-21, 0, 0
0.28374, 0, 8.21945e-21, 0, 1.41421, -8.21945e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50985e-23, 0, 0, 1.36245e-25, 0, 7.02212e-25, 0, 8.18351e-21, 0, 0
0.291622, 0, 2.64757e-20, 0, 1.41421, -2.64757e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13056e-22, 0, 0, 4.414e-25, 0, 2.3259e-24, 0, 2.63599e-20, 0, 0
0.299504, 0, 8.65237e-20, 0, 1.41421, -8.65237e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6947e-22, 0, 0, 1.45483e-24, 0, 7.86765e-24, 0, 8.61449e-20, 0, 0
0.307386, 0, 2.62283e-19, 0, 1.41421, -2.62283e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11999e-21, 0, 0, 4.43792e-24, 0, 2.44257e-23, 0, 2.61134e-19, 0, 0
0.315268, 0, 7.76156e-19, 0, 1.41421, -7.76156e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31428e-21, 0, 0, 1.32202e-23, 0, 7.39587e-23, 0, 7.72755e-19, 0, 0
0.323151, 0, 2.24429e-18, 0, 1.41421, -2.24429e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.58333e-21, 0, 0, 3.84951e-23, 0, 2.1865e-22, 0, 2.23445e-18, 0, 0
0.331033, 0, 6.3463e-18, 0, 1.41421, -6.3463e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70989e-20, 0, 0, 1.09661e-22, 0, 6.31745e-22, 0, 6.31846e-18, 0, 0
0.338915, 0, 1.75623e-17, 0, 1.41421, -1.75623e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.49905e-20, 0, 0, 3.05842e-22, 0, 1.78536e-21, 0, 1.74852e-17, 0, 0
0.346797, 0, 4.75921e-17, 0, 1.41421, -4.75921e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03212e-19, 0, 0, 8.35658e-22, 0, 4.93871e-21, 0, 4.73831e-17, 0, 0
0.35468, 0, 1.26363e-16, 0, 1.41421, -1.26363e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.39537e-19, 0, 0, 2.23819e-21, 0, 1.33808e-20, 0, 1.25807e-16, 0, 0
0.362562, 0, 3.28885e-16, 0, 1.41421, -3.28885e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4042e-18, 0, 0, 5.87931e-21, 0, 3.55287e-20, 0, 3.2744e-16, 0, 0
0.370444, 0, 8.39458e-16, 0, 1.41421, -8.39458e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58397e-18, 0, 0, 1.51538e-20, 0, 9.24954e-20, 0, 8.35766e-16, 0, 0
0.378326, 0, 2.10206e-15, 0, 1.41421, -2.10206e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.97395e-18, 0, 0, 3.83406e-20, 0, 2.36209e-19, 0, 2.09281e-15, 0, 0
