   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_73.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.247056, 0, 9.69642e-19, 0, 1.41421, -9.69642e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.53976e-21, 0, 0, 9.18323e-24, 1.14805e-22, 0, 9.62978e-19, 0, 0, 0
0.254923, 0, 2.48584e-18, 0, 1.41421, -2.48584e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67657e-20, 0, 0, 2.38863e-23, 3.00787e-22, 0, 2.46875e-18, 0, 0, 0
0.262789, 0, 6.10233e-18, 0, 1.41421, -6.10233e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1157e-20, 0, 0, 5.93063e-23, 7.50754e-22, 0, 6.06036e-18, 0, 0, 0
0.270656, 0, 1.47427e-17, 0, 1.41421, -1.47427e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.94313e-20, 0, 0, 1.44971e-22, 1.84368e-21, 0, 1.46413e-17, 0, 0, 0
0.278523, 0, 3.50667e-17, 0, 1.41421, -3.50667e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36504e-19, 0, 0, 3.49039e-22, 4.45683e-21, 0, 3.48254e-17, 0, 0, 0
0.28639, 0, 8.21509e-17, 0, 1.41421, -8.21509e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54054e-19, 0, 0, 8.28046e-22, 1.06098e-20, 0, 8.15854e-17, 0, 0, 0
0.294257, 0, 1.89614e-16, 0, 1.41421, -1.89614e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27881e-18, 0, 0, 1.93631e-21, 2.48828e-20, 0, 1.88309e-16, 0, 0, 0
0.302124, 0, 4.31319e-16, 0, 1.41421, -4.31319e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9089e-18, 0, 0, 4.46449e-21, 5.75103e-20, 0, 4.28348e-16, 0, 0, 0
0.30999, 0, 9.6718e-16, 0, 1.41421, -9.6718e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.52276e-18, 0, 0, 1.01524e-20, 1.31035e-19, 0, 9.60516e-16, 0, 0, 0
0.317857, 0, 2.13847e-15, 0, 1.41421, -2.13847e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44218e-17, 0, 0, 2.27765e-20, 2.94407e-19, 0, 2.12373e-15, 0, 0, 0
0.325724, 0, 4.66311e-15, 0, 1.41421, -4.66311e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14472e-17, 0, 0, 5.04224e-20, 6.5244e-19, 0, 4.63096e-15, 0, 0, 0
0.333591, 0, 1.00301e-14, 0, 1.41421, -1.00301e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.76398e-17, 0, 0, 1.10182e-19, 1.4265e-18, 0, 9.96095e-15, 0, 0, 0
0.341458, 0, 2.12847e-14, 0, 1.41421, -2.12847e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43533e-16, 0, 0, 2.3771e-19, 3.07779e-18, 0, 2.11379e-14, 0, 0, 0
0.349324, 0, 4.45685e-14, 0, 1.41421, -4.45685e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00537e-16, 0, 0, 5.06449e-19, 6.55437e-18, 0, 4.42609e-14, 0, 0, 0
0.357191, 0, 9.20971e-14, 0, 1.41421, -9.20971e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.21016e-16, 0, 0, 1.06583e-18, 1.37797e-17, 0, 9.14612e-14, 0, 0, 0
0.365058, 0, 1.87833e-13, 0, 1.41421, -1.87833e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26653e-15, 0, 0, 2.21627e-18, 2.86049e-17, 0, 1.86536e-13, 0, 0, 0
0.372925, 0, 3.78144e-13, 0, 1.41421, -3.78144e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.54969e-15, 0, 0, 4.55486e-18, 5.86436e-17, 0, 3.75531e-13, 0, 0, 0
0.380792, 0, 7.51529e-13, 5.32493e-44, 1.41421, -7.51529e-13, 5.32493e-44, 0, 5.32493e-44, 5.32493e-44, 5.32493e-44, 5.32493e-44, 5.32493e-44, 5.32493e-44, 5.32493e-44, 5.32493e-44, 5.32493e-44, 5.06717e-15, 5.32493e-44, 5.32493e-44, 9.25546e-18, 1.18764e-16, 5.32493e-44, 7.46334e-13, 5.32493e-44, 5.32493e-44, 5.32493e-44
0.388659, 0, 1.4746e-12, 9.51482e-43, 1.41421, -1.4746e-12, 9.51482e-43, 0, 9.51482e-43, 9.51482e-43, 9.51482e-43, 9.51482e-43, 9.51482e-43, 9.51482e-43, 9.51482e-43, 9.51482e-43, 9.51482e-43, 9.94234e-15, 9.51482e-43, 9.51482e-43, 1.86024e-17, 2.37635e-16, 9.51482e-43, 1.4644e-12, 9.51482e-43, 9.51482e-43, 9.51482e-43
0.396526, 0, 2.85683e-12, 1.37622e-41, 1.41421, -2.85683e-12, 1.37622e-41, 0, 1.37622e-41, 1.37622e-41, 1.37622e-41, 1.37622e-41, 1.37622e-41, 1.37622e-41, 1.37622e-41, 1.37622e-41, 1.37622e-41, 1.92619e-14, 1.37622e-41, 1.37622e-41, 3.69995e-17, 4.69902e-16, 1.37622e-41, 2.83706e-12, 1.37622e-41, 1.37622e-41, 1.37622e-41
0.404392, 0, 5.46518e-12, 1.75168e-40, 1.41421, -5.46518e-12, 1.75168e-40, 0, 1.75168e-40, 1.75168e-40, 1.75168e-40, 1.75168e-40, 1.75168e-40, 1.75168e-40, 1.75168e-40, 1.75168e-40, 1.75168e-40, 3.68497e-14, 1.75168e-40, 1.75168e-40, 7.28658e-17, 9.18508e-16, 1.75168e-40, 5.42734e-12, 1.75168e-40, 1.75168e-40, 1.75168e-40
0.412259, 0, 1.03246e-11, 1.99983e-39, 1.41421, -1.03246e-11, 1.99983e-39, 0, 1.99983e-39, 1.99983e-39, 1.99983e-39, 1.99983e-39, 1.99983e-39, 1.99983e-39, 1.99983e-39, 1.99983e-39, 1.99983e-39, 6.96192e-14, 1.99983e-39, 1.99983e-39, 1.4218e-16, 1.77532e-15, 1.99983e-39, 1.0253e-11, 1.99983e-39, 1.99983e-39, 1.99983e-39
0.420126, 0, 1.92626e-11, 2.06384e-38, 1.41421, -1.92626e-11, 2.06384e-38, 0, 2.06384e-38, 2.06384e-38, 2.06384e-38, 2.06384e-38, 2.06384e-38, 2.06384e-38, 2.06384e-38, 2.06384e-38, 2.06384e-38, 1.29904e-13, 2.06384e-38, 2.06384e-38, 2.75085e-16, 3.39427e-15, 2.06384e-38, 1.9129e-11, 2.06384e-38, 2.06384e-38, 2.06384e-38
0.427993, 0, 3.54946e-11, 1.93648e-37, 1.41421, -3.54946e-11, 1.93648e-37, 0, 1.93648e-37, 1.93648e-37, 1.93648e-37, 1.93648e-37, 1.93648e-37, 1.93648e-37, 1.93648e-37, 1.93648e-37, 1.93648e-37, 2.39416e-13, 1.93648e-37, 1.93648e-37, 5.28187e-16, 6.42223e-15, 1.93648e-37, 3.52482e-11, 1.93648e-37, 1.93648e-37, 1.93648e-37
0.43586, 0, 6.46018e-11, 1.66105e-36, 1.41421, -6.46018e-11, 1.66105e-36, 0, 1.66105e-36, 1.66105e-36, 1.66105e-36, 1.66105e-36, 1.66105e-36, 1.66105e-36, 1.66105e-36, 1.66105e-36, 1.66105e-36, 4.3587e-13, 1.66105e-36, 1.66105e-36, 1.00743e-15, 1.20319e-14, 1.66105e-36, 6.41529e-11, 1.66105e-36, 1.66105e-36, 1.66105e-36
0.443727, 0, 1.16142e-10, 1.30906e-35, 1.41421, -1.16142e-10, 1.30906e-35, 0, 1.30906e-35, 1.30906e-35, 1.30906e-35, 1.30906e-35, 1.30906e-35, 1.30906e-35, 1.30906e-35, 1.30906e-35, 1.30906e-35, 7.83931e-13, 1.30906e-35, 1.30906e-35, 1.91074e-15, 2.23347e-14, 1.30906e-35, 1.15334e-10, 1.30906e-35, 1.30906e-35, 1.30906e-35
0.451593, 0, 2.06265e-10, 9.52383e-35, 1.41421, -2.06265e-10, 9.52383e-35, 0, 9.52383e-35, 9.52383e-35, 9.52383e-35, 9.52383e-35, 9.52383e-35, 9.52383e-35, 9.52383e-35, 9.52383e-35, 9.52383e-35, 1.39303e-12, 9.52383e-35, 9.52383e-35, 3.6076e-15, 4.11124e-14, 9.52383e-35, 2.04828e-10, 9.52383e-35, 9.52383e-35, 9.52383e-35
0.45946, 0, 3.61898e-10, 6.60701e-34, 1.41421, -3.61898e-10, 6.60701e-34, 0, 6.60701e-34, 6.60701e-34, 6.60701e-34, 6.60701e-34, 6.60701e-34, 6.60701e-34, 6.60701e-34, 6.60701e-34, 6.60701e-34, 2.44597e-12, 6.60701e-34, 6.60701e-34, 6.78788e-15, 7.51177e-14, 6.60701e-34, 3.5937e-10, 6.60701e-34, 6.60701e-34, 6.60701e-34
0.467327, 0, 6.27331e-10, 4.46337e-33, 1.41421, -6.27331e-10, 4.46337e-33, 0, 4.46337e-33, 4.46337e-33, 4.46337e-33, 4.46337e-33, 4.46337e-33, 4.46337e-33, 4.46337e-33, 4.46337e-33, 4.46337e-33, 4.2443e-12, 4.46337e-33, 4.46337e-33, 1.27404e-14, 1.3639e-13, 4.46337e-33, 6.22938e-10, 4.46337e-33, 4.46337e-33, 4.46337e-33
0.475194, 0, 1.07447e-09, 2.85608e-32, 1.41421, -1.07447e-09, 2.85608e-32, 0, 2.85608e-32, 2.85608e-32, 2.85608e-32, 2.85608e-32, 2.85608e-32, 2.85608e-32, 2.85608e-32, 2.85608e-32, 2.85608e-32, 7.27922e-12, 2.85608e-32, 2.85608e-32, 2.38745e-14, 2.46422e-13, 2.85608e-32, 1.06692e-09, 2.85608e-32, 2.85608e-32, 2.85608e-32
0.483061, 0, 1.81848e-09, 1.71625e-31, 1.41421, -1.81848e-09, 1.71625e-31, 0, 1.71625e-31, 1.71625e-31, 1.71625e-31, 1.71625e-31, 1.71625e-31, 1.71625e-31, 1.71625e-31, 1.71625e-31, 1.71625e-31, 1.23411e-11, 1.71625e-31, 1.71625e-31, 4.46949e-14, 4.43683e-13, 1.71625e-31, 1.80565e-09, 1.71625e-31, 1.71625e-31, 1.71625e-31
0.490928, 0, 3.04145e-09, 9.67652e-31, 1.41421, -3.04145e-09, 9.67652e-31, 0, 9.67652e-31, 9.67652e-31, 9.67652e-31, 9.67652e-31, 9.67652e-31, 9.67652e-31, 9.67652e-31, 9.67652e-31, 9.67652e-31, 2.06865e-11, 9.67652e-31, 9.67652e-31, 8.36164e-14, 7.97361e-13, 9.67652e-31, 3.01989e-09, 9.67652e-31, 9.67652e-31, 9.67652e-31
0.498794, 0, 5.02744e-09, 5.12832e-30, 1.41421, -5.02744e-09, 5.12832e-30, 0, 5.12832e-30, 5.12832e-30, 5.12832e-30, 5.12832e-30, 5.12832e-30, 5.12832e-30, 5.12832e-30, 5.12832e-30, 5.12832e-30, 3.429e-11, 5.12832e-30, 5.12832e-30, 1.56322e-13, 1.43258e-12, 5.12832e-30, 4.99156e-09, 5.12832e-30, 5.12832e-30, 5.12832e-30
0.506661, 0, 8.21396e-09, 2.56187e-29, 1.41421, -8.21396e-09, 2.56187e-29, 0, 2.56187e-29, 2.56187e-29, 2.56187e-29, 2.56187e-29, 2.56187e-29, 2.56187e-29, 2.56187e-29, 2.56187e-29, 2.56187e-29, 5.62197e-11, 2.56187e-29, 2.56187e-29, 2.91938e-13, 2.57697e-12, 2.56187e-29, 8.15487e-09, 2.56187e-29, 2.56187e-29, 2.56187e-29
0.514528, 0, 1.3266e-08, 1.20997e-28, 1.41421, -1.3266e-08, 1.20997e-28, 0, 1.20997e-28, 1.20997e-28, 1.20997e-28, 1.20997e-28, 1.20997e-28, 1.20997e-28, 1.20997e-28, 1.20997e-28, 1.20997e-28, 9.11897e-11, 1.20997e-28, 1.20997e-28, 5.44248e-13, 4.64681e-12, 1.20997e-28, 1.31696e-08, 1.20997e-28, 1.20997e-28, 1.20997e-28
0.522395, 0, 2.11817e-08, 5.4195e-28, 1.41421, -2.11817e-08, 5.4195e-28, 0, 5.4195e-28, 5.4195e-28, 5.4195e-28, 5.4195e-28, 5.4195e-28, 5.4195e-28, 5.4195e-28, 5.4195e-28, 5.4195e-28, 1.46369e-10, 5.4195e-28, 5.4195e-28, 1.01189e-12, 8.4062e-12, 5.4195e-28, 2.10259e-08, 5.4195e-28, 5.4195e-28, 5.4195e-28
0.530262, 0, 3.34402e-08, 2.30886e-27, 1.41421, -3.34402e-08, 2.30886e-27, 0, 2.30886e-27, 2.30886e-27, 2.30886e-27, 2.30886e-27, 2.30886e-27, 2.30886e-27, 2.30886e-27, 2.30886e-27, 2.30886e-27, 2.32547e-10, 2.30886e-27, 2.30886e-27, 1.87422e-12, 1.52601e-11, 2.30886e-27, 3.31905e-08, 2.30886e-27, 2.30886e-27, 2.30886e-27
0.538129, 0, 5.22056e-08, 9.38192e-27, 1.41421, -5.22056e-08, 9.38192e-27, 0, 9.38192e-27, 9.38192e-27, 9.38192e-27, 9.38192e-27, 9.38192e-27, 9.38192e-27, 9.38192e-27, 9.38192e-27, 9.38192e-27, 3.65807e-10, 9.38192e-27, 9.38192e-27, 3.45409e-12, 2.77889e-11, 9.38192e-27, 5.18085e-08, 9.38192e-27, 9.38192e-27, 9.38192e-27
0.545995, 0, 8.06061e-08, 3.64588e-26, 1.41421, -8.06061e-08, 3.64588e-26, 0, 3.64588e-26, 3.64588e-26, 3.64588e-26, 3.64588e-26, 3.64588e-26, 2.30145e-13, 3.64588e-26, 3.64588e-26, 3.64588e-26, 5.69891e-10, 3.64588e-26, 3.64588e-26, 6.32636e-12, 5.07154e-11, 3.64588e-26, 7.99789e-08, 3.64588e-26, 3.64588e-26, 3.64588e-26
0.553862, 0, 1.23107e-07, 1.35836e-25, 1.41421, -1.23107e-07, 1.35836e-25, 0, 1.35836e-25, 1.35836e-25, 1.35836e-25, 1.35836e-25, 1.35836e-25, 9.28306e-13, 1.35836e-25, 1.35836e-25, 1.35836e-25, 8.79536e-10, 1.35836e-25, 1.35836e-25, 1.15024e-11, 9.26283e-11, 1.35836e-25, 1.22123e-07, 1.35836e-25, 1.35836e-25, 1.35836e-25
0.561729, 0, 1.86008e-07, 4.88935e-25, 1.41421, -1.86008e-07, 4.88935e-25, 0, 4.88935e-25, 4.88935e-25, 4.88935e-25, 4.88935e-25, 4.88935e-25, 2.95548e-12, 4.88935e-25, 4.88935e-25, 4.88935e-25, 1.3451e-09, 4.88935e-25, 4.88935e-25, 2.07394e-11, 1.6901e-10, 4.88935e-25, 1.8447e-07, 4.88935e-25, 4.88935e-25, 4.88935e-25
0.569596, 0, 2.80908e-07, 7.84885e-10, 1.41421, -2.80908e-07, 7.86445e-10, 7.84885e-10, 7.84903e-10, 7.84921e-10, 7.84936e-10, 7.8541e-10, 7.8929e-10, 8.04168e-10, 7.96505e-10, 7.93244e-10, 2.7212e-09, 2.82388e-09, 7.86773e-10, 7.84974e-10, 8.21936e-10, 1.09235e-09, 7.84888e-10, 2.7652e-07, 7.84885e-10, 7.84885e-10, 8.05529e-10
0.577463, 0, 4.22763e-07, 3.14894e-09, 1.41421, -4.22763e-07, 3.1552e-09, 3.14894e-09, 3.14901e-09, 3.14908e-09, 3.14915e-09, 3.15105e-09, 3.16662e-09, 3.21557e-09, 3.19558e-09, 3.18249e-09, 1.09201e-08, 6.21322e-09, 3.15652e-09, 3.1493e-09, 3.21449e-09, 3.70553e-09, 3.14895e-09, 4.11041e-07, 3.14894e-09, 3.14894e-09, 3.23179e-09
0.58533, 0, 6.38508e-07, 9.97604e-09, 1.41421, -6.38508e-07, 9.99588e-09, 9.97604e-09, 9.97626e-09, 9.97649e-09, 9.97668e-09, 9.98271e-09, 1.00321e-08, 1.01749e-08, 1.01239e-08, 1.00824e-08, 3.46093e-08, 1.45425e-08, 1.00001e-08, 9.97716e-09, 1.00908e-08, 1.09767e-08, 9.97607e-09, 6.07368e-07, 9.97604e-09, 9.97604e-09, 1.02387e-08
0.593196, 0, 9.78054e-07, 2.89487e-08, 1.41421, -9.78054e-07, 2.90063e-08, 2.89487e-08, 2.89493e-08, 2.895e-08, 2.89506e-08, 2.89681e-08, 2.91114e-08, 2.95037e-08, 2.93778e-08, 2.92574e-08, 1.00452e-07, 3.56976e-08, 2.90184e-08, 2.8952e-08, 2.91474e-08, 3.07323e-08, 2.89488e-08, 8.95448e-07, 2.89487e-08, 2.89487e-08, 2.9711e-08
0.601063, 0, 1.54198e-06, 7.97136e-08, 1.41421, -1.54198e-06, 7.98723e-08, 7.97136e-08, 7.97154e-08, 7.97173e-08, 7.97188e-08, 7.9767e-08, 8.01617e-08, 8.11946e-08, 8.08954e-08, 8.05638e-08, 2.76643e-07, 8.96074e-08, 7.99056e-08, 7.97226e-08, 8.0054e-08, 8.28607e-08, 7.97139e-08, 1.32518e-06, 7.97136e-08, 7.97136e-08, 8.18132e-08
0.60893, 0, 2.54398e-06, 2.10544e-07, 1.41421, -2.54398e-06, 2.10963e-07, 2.10544e-07, 2.10549e-07, 2.10554e-07, 2.10558e-07, 2.10685e-07, 2.11728e-07, 2.14455e-07, 2.13666e-07, 2.1279e-07, 7.30764e-07, 2.24932e-07, 2.11051e-07, 2.10568e-07, 2.11121e-07, 2.16043e-07, 2.10545e-07, 1.98617e-06, 2.10544e-07, 2.10544e-07, 2.1609e-07
0.616797, 0, 4.44759e-06, 5.35373e-07, 1.41421, -4.44759e-06, 5.36439e-07, 5.35373e-07, 5.35385e-07, 5.35397e-07, 5.35408e-07, 5.35732e-07, 5.38383e-07, 5.45338e-07, 5.43312e-07, 5.41084e-07, 1.85838e-06, 5.56131e-07, 5.36663e-07, 5.35434e-07, 5.36339e-07, 5.44858e-07, 5.35375e-07, 3.0498e-06, 5.35373e-07, 5.35373e-07, 5.49478e-07
0.624664, 0, 8.25675e-06, 1.31244e-06, 1.41421, -8.25675e-06, 1.31506e-06, 1.31244e-06, 1.31247e-06, 1.3125e-06, 1.31253e-06, 1.31332e-06, 1.31982e-06, 1.33894e-06, 1.33191e-06, 1.32645e-06, 4.55619e-06, 1.34216e-06, 1.31561e-06, 1.31259e-06, 1.31404e-06, 1.3286e-06, 1.31245e-06, 4.85663e-06, 1.31244e-06, 1.31244e-06, 1.34703e-06
0.632531, 0, 1.60973e-05, 3.10384e-06, 1.41421, -1.60973e-05, 3.11002e-06, 3.10384e-06, 3.1039e-06, 3.10398e-06, 3.10404e-06, 3.10592e-06, 3.12129e-06, 3.16992e-06, 3.14988e-06, 3.13696e-06, 1.07761e-05, 3.14604e-06, 3.11132e-06, 3.10419e-06, 3.10646e-06, 3.13099e-06, 3.10385e-06, 8.09197e-06, 3.10384e-06, 3.10384e-06, 3.18563e-06
0.640397, 0, 3.23492e-05, 7.0839e-06, 1.41421, -3.23492e-05, 7.09801e-06, 7.0839e-06, 7.08406e-06, 7.08422e-06, 7.08436e-06, 7.08865e-06, 7.12374e-06, 7.24244e-06, 7.189e-06, 7.1595e-06, 2.45971e-05, 7.1434e-06, 7.10098e-06, 7.0847e-06, 7.08816e-06, 7.12896e-06, 7.08392e-06, 1.41237e-05, 7.0839e-06, 7.0839e-06, 7.27062e-06
0.648264, 0, 6.57296e-05, 1.56074e-05, 1.41421, -6.57296e-05, 1.56385e-05, 1.56074e-05, 1.56078e-05, 1.56081e-05, 1.56084e-05, 1.56179e-05, 1.56952e-05, 1.59769e-05, 1.5839e-05, 1.5774e-05, 5.41991e-05, 1.56907e-05, 1.5645e-05, 1.56092e-05, 1.56143e-05, 1.56812e-05, 1.56075e-05, 2.5624e-05, 1.56074e-05, 1.56074e-05, 1.60189e-05
