   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_240.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.579061, 0, 8.25981e-05, 1.34481e-05, 1.41421, -8.25981e-05, 1.35666e-05, 1.34481e-05, 1.34483e-05, 1.34486e-05, 1.34494e-05, 1.34493e-05, 1.36437e-05, 1.34959e-05, 1.34541e-05, 1.36284e-05, 1.36948e-05, 1.34548e-05, 1.34484e-05, 1.34844e-05, 1.4206e-05, 1.34482e-05, 8.03151e-05, 1.34481e-05, 1.41326e-05
0.586886, 0, 0.000122173, 2.86427e-05, 1.41421, -0.000122173, 2.8895e-05, 2.86427e-05, 2.8643e-05, 2.86437e-05, 2.86455e-05, 2.86451e-05, 2.90976e-05, 2.87445e-05, 2.86555e-05, 2.90268e-05, 2.89758e-05, 2.86569e-05, 2.86433e-05, 2.86985e-05, 2.98028e-05, 2.86427e-05, 0.000117938, 2.86427e-05, 3.01011e-05
0.59471, 0, 0.00018663, 5.94122e-05, 1.41421, -0.00018663, 5.99358e-05, 5.94122e-05, 5.94128e-05, 5.94143e-05, 5.94179e-05, 5.94171e-05, 6.04339e-05, 5.96234e-05, 5.94387e-05, 6.02092e-05, 5.98596e-05, 5.94415e-05, 5.94135e-05, 5.94975e-05, 6.1171e-05, 5.94122e-05, 0.000178688, 5.94122e-05, 6.24385e-05
0.602534, 0, 0.000294851, 0.000120053, 1.41421, -0.000294851, 0.000121111, 0.000120053, 0.000120054, 0.000120057, 0.000120064, 0.000120063, 0.000122286, 0.00012048, 0.000120106, 0.000121664, 0.00012065, 0.000120112, 0.000120055, 0.000120182, 0.000122694, 0.000120053, 0.000279892, 0.000120053, 0.000126171
0.610358, 0, 0.000480185, 0.000236386, 1.41421, -0.000480185, 0.000238471, 0.000236386, 0.000236388, 0.000236394, 0.000236409, 0.000236406, 0.000241159, 0.000237227, 0.000236491, 0.00023956, 0.00023718, 0.000236503, 0.000236391, 0.00023658, 0.000240316, 0.000236386, 0.00045206, 0.000236386, 0.000248438
0.618182, 0, 0.000800376, 0.000453661, 1.41421, -0.000800376, 0.000457665, 0.000453661, 0.000453665, 0.000453677, 0.000453704, 0.000453698, 0.000463672, 0.000455276, 0.000453863, 0.000459756, 0.00045471, 0.000453885, 0.00045367, 0.000453951, 0.000459459, 0.000453661, 0.000747833, 0.000453661, 0.000476803
0.626007, 0, 0.00135306, 0.000848804, 1.41421, -0.00135306, 0.0008563, 0.000848804, 0.000848813, 0.000848834, 0.000848886, 0.000848875, 0.000869402, 0.000851827, 0.000849183, 0.000860214, 0.000850185, 0.000849224, 0.000848822, 0.000849234, 0.00085729, 0.000848805, 0.00125591, 0.000848804, 0.000892128
0.633831, 0, 0.00229919, 0.00154867, 1.41421, -0.00229919, 0.00156235, 0.00154867, 0.00154868, 0.00154872, 0.00154882, 0.0015488, 0.00159024, 0.00155419, 0.00154936, 0.0015695, 0.00155048, 0.00154944, 0.0015487, 0.0015493, 0.001561, 0.00154867, 0.00212189, 0.00154867, 0.00162776
0.641655, 0, 0.00389681, 0.00275609, 1.41421, -0.00389681, 0.00278045, 0.00275609, 0.00275611, 0.00275618, 0.00275635, 0.00275631, 0.00283834, 0.00276591, 0.00275732, 0.00279318, 0.00275845, 0.00275745, 0.00275614, 0.00275701, 0.00277389, 0.00275609, 0.00357806, 0.00275609, 0.00289693
0.64948, 0, 0.00654829, 0.00478544, 1.41421, -0.00654829, 0.00482778, 0.00478544, 0.00478549, 0.00478561, 0.0047859, 0.00478584, 0.00494498, 0.00480252, 0.00478758, 0.00484989, 0.00478851, 0.00478781, 0.00478554, 0.00478678, 0.004811, 0.00478544, 0.00598451, 0.00478544, 0.00503016
0.657304, 0, 0.010863, 0.00810886, 1.41421, -0.010863, 0.00818066, 0.00810886, 0.00810894, 0.00810915, 0.00810964, 0.00810953, 0.00841207, 0.00813781, 0.00811249, 0.00821815, 0.00811283, 0.00811288, 0.00810903, 0.00811079, 0.00814539, 0.00810886, 0.00988272, 0.00810886, 0.00852382
0.665128, 0, 0.017737, 0.0134129, 1.41421, -0.017737, 0.0135317, 0.0134129, 0.013413, 0.0134134, 0.0134142, 0.013414, 0.0139773, 0.0134608, 0.0134189, 0.0135938, 0.013418, 0.0134195, 0.0134132, 0.0134157, 0.0134649, 0.0134129, 0.0160621, 0.0134129, 0.0140998
