   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_123.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.216867, 0, 8.85669e-13, 0, 1.41421, -8.85669e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.94408e-15, 0, 0, 1.73724e-17, 2.20664e-14, 0, 8.58641e-13, 0, 0
0.22473, 0, 1.46201e-12, 0, 1.41421, -1.46201e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.15491e-15, 0, 0, 2.92968e-17, 3.76121e-14, 0, 1.41622e-12, 0, 0
0.232593, 0, 2.39663e-12, 0, 1.41421, -2.39663e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33567e-14, 0, 0, 4.91013e-17, 6.37366e-14, 0, 2.31949e-12, 0, 0
0.240456, 0, 3.90441e-12, 0, 1.41421, -3.90441e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17396e-14, 0, 0, 8.19541e-17, 1.07648e-13, 0, 3.77494e-12, 0, 0
0.248319, 0, 6.31183e-12, 0, 1.41421, -6.31183e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51107e-14, 0, 0, 1.35718e-16, 1.80337e-13, 0, 6.09624e-12, 0, 0
0.256182, 0, 1.01342e-11, 0, 1.41421, -1.01342e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.63163e-14, 0, 0, 2.23481e-16, 3.00473e-13, 0, 9.77715e-12, 0, 0
0.264045, 0, 1.61611e-11, 0, 1.41421, -1.61611e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.97126e-14, 0, 0, 3.65994e-16, 4.97999e-13, 0, 1.55731e-11, 0, 0
0.271908, 0, 2.55991e-11, 0, 1.41421, -2.55991e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41943e-13, 0, 0, 5.96256e-16, 8.2115e-13, 0, 2.46354e-11, 0, 0
0.279772, 0, 4.0278e-11, 0, 1.41421, -4.0278e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23064e-13, 0, 0, 9.66562e-16, 1.34729e-12, 0, 3.87067e-11, 0, 0
0.287635, 0, 6.29535e-11, 0, 1.41421, -6.29535e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48192e-13, 0, 0, 1.55951e-15, 2.20002e-12, 0, 6.04037e-11, 0, 0
0.295498, 0, 9.77465e-11, 8.40779e-44, 1.41421, -9.77465e-11, 8.40779e-44, 0, 8.40779e-44, 8.40779e-44, 8.40779e-44, 8.40779e-44, 8.40779e-44, 8.40779e-44, 8.40779e-44, 8.40779e-44, 8.40779e-44, 5.39885e-13, 8.40779e-44, 8.40779e-44, 2.50523e-15, 3.57609e-12, 8.40779e-44, 9.3628e-11, 8.40779e-44, 8.40779e-44
0.303361, 0, 1.50777e-10, 1.39569e-42, 1.41421, -1.50777e-10, 1.39569e-42, 0, 1.39569e-42, 1.39569e-42, 1.39569e-42, 1.39569e-42, 1.39569e-42, 1.39569e-42, 1.39569e-42, 1.39569e-42, 1.39569e-42, 8.31559e-13, 1.39569e-42, 1.39569e-42, 4.00828e-15, 5.78762e-12, 1.39569e-42, 1.44154e-10, 1.39569e-42, 1.39569e-42
0.311224, 0, 2.31072e-10, 1.94682e-41, 1.41421, -2.31072e-10, 1.94682e-41, 0, 1.94682e-41, 1.94682e-41, 1.94682e-41, 1.94682e-41, 1.94682e-41, 1.94682e-41, 1.94682e-41, 1.94682e-41, 1.94682e-41, 1.27237e-12, 1.94682e-41, 1.94682e-41, 6.38972e-15, 9.32839e-12, 1.94682e-41, 2.20465e-10, 1.94682e-41, 1.94682e-41
0.319087, 0, 3.51853e-10, 2.40536e-40, 1.41421, -3.51853e-10, 2.40536e-40, 0, 2.40536e-40, 2.40536e-40, 2.40536e-40, 2.40536e-40, 2.40536e-40, 2.40536e-40, 2.40536e-40, 2.40536e-40, 2.40536e-40, 1.93413e-12, 2.40536e-40, 2.40536e-40, 1.01531e-14, 1.49774e-11, 2.40536e-40, 3.34932e-10, 2.40536e-40, 2.40536e-40
0.32695, 0, 5.32364e-10, 2.67049e-39, 1.41421, -5.32364e-10, 2.67049e-39, 0, 2.67049e-39, 2.67049e-39, 2.67049e-39, 2.67049e-39, 2.67049e-39, 2.67049e-39, 2.67049e-39, 2.67049e-39, 2.67049e-39, 2.92097e-12, 2.67049e-39, 2.67049e-39, 1.60875e-14, 2.39612e-11, 2.67049e-39, 5.05465e-10, 2.67049e-39, 2.67049e-39
0.334813, 0, 8.00421e-10, 2.68043e-38, 1.41421, -8.00421e-10, 2.68043e-38, 0, 2.68043e-38, 2.68043e-38, 2.68043e-38, 2.68043e-38, 2.68043e-38, 2.68043e-38, 2.68043e-38, 2.68043e-38, 2.68043e-38, 4.38292e-12, 2.68043e-38, 2.68043e-38, 2.54301e-14, 3.8207e-11, 2.68043e-38, 7.57806e-10, 2.68043e-38, 2.68043e-38
0.342676, 0, 1.19599e-09, 2.44587e-37, 1.41421, -1.19599e-09, 2.44587e-37, 0, 2.44587e-37, 2.44587e-37, 2.44587e-37, 2.44587e-37, 2.44587e-37, 2.44587e-37, 2.44587e-37, 2.44587e-37, 2.44587e-37, 6.53459e-12, 2.44587e-37, 2.44587e-37, 4.01206e-14, 6.07382e-11, 2.44587e-37, 1.12868e-09, 2.44587e-37, 2.44587e-37
0.350539, 0, 1.77615e-09, 2.03963e-36, 1.41421, -1.77615e-09, 2.03963e-36, 0, 2.03963e-36, 2.03963e-36, 2.03963e-36, 2.03963e-36, 2.03963e-36, 2.03963e-36, 2.03963e-36, 2.03963e-36, 2.03963e-36, 9.68098e-12, 2.03963e-36, 2.03963e-36, 6.32029e-14, 9.62926e-11, 2.03963e-36, 1.67011e-09, 2.03963e-36, 2.03963e-36
0.358402, 0, 2.62189e-09, 1.56217e-35, 1.41421, -2.62189e-09, 1.56217e-35, 0, 1.56217e-35, 1.56217e-35, 1.56217e-35, 1.56217e-35, 1.56217e-35, 1.56217e-35, 1.56217e-35, 1.56217e-35, 1.56217e-35, 1.42526e-11, 1.56217e-35, 1.56217e-35, 9.94566e-14, 1.52285e-10, 1.56217e-35, 2.45525e-09, 1.56217e-35, 1.56217e-35
0.366265, 0, 3.84756e-09, 1.10388e-34, 1.41421, -3.84756e-09, 1.10388e-34, 0, 1.10388e-34, 1.10388e-34, 1.10388e-34, 1.10388e-34, 1.10388e-34, 1.10388e-34, 1.10388e-34, 1.10388e-34, 1.10388e-34, 2.08534e-11, 1.10388e-34, 1.10388e-34, 1.56393e-13, 2.40307e-10, 1.10388e-34, 3.58625e-09, 1.10388e-34, 1.10388e-34
0.374128, 0, 5.61371e-09, 7.54871e-34, 1.41421, -5.61371e-09, 7.54871e-34, 0, 7.54871e-34, 7.54871e-34, 7.54871e-34, 7.54871e-34, 7.54871e-34, 7.54871e-34, 7.54871e-34, 7.54871e-34, 7.54871e-34, 3.03247e-11, 7.54871e-34, 7.54871e-34, 2.4582e-13, 3.78465e-10, 7.54871e-34, 5.20467e-09, 7.54871e-34, 7.54871e-34
0.381991, 0, 8.14462e-09, 5.01161e-33, 1.41421, -8.14462e-09, 5.01161e-33, 0, 5.01161e-33, 5.01161e-33, 5.01161e-33, 5.01161e-33, 5.01161e-33, 5.01161e-33, 5.01161e-33, 5.01161e-33, 5.01161e-33, 4.38321e-11, 5.01161e-33, 5.01161e-33, 3.86312e-13, 5.9501e-10, 5.01161e-33, 7.50539e-09, 5.01161e-33, 5.01161e-33
0.389855, 0, 1.17523e-08, 3.13135e-32, 1.41421, -1.17523e-08, 3.13135e-32, 0, 3.13135e-32, 3.13135e-32, 3.13135e-32, 3.13135e-32, 3.13135e-32, 3.13135e-32, 3.13135e-32, 3.13135e-32, 3.13135e-32, 6.29796e-11, 3.13135e-32, 3.13135e-32, 6.07071e-13, 9.33961e-10, 3.13135e-32, 1.07547e-08, 3.13135e-32, 3.13135e-32
0.397718, 0, 1.68688e-08, 1.82941e-31, 1.41421, -1.68688e-08, 1.82941e-31, 0, 1.82941e-31, 1.82941e-31, 1.82941e-31, 1.82941e-31, 1.82941e-31, 1.82941e-31, 1.82941e-31, 1.82941e-31, 1.82941e-31, 8.99625e-11, 1.82941e-31, 1.82941e-31, 9.53984e-13, 1.4638e-09, 1.82941e-31, 1.53141e-08, 1.82941e-31, 1.82941e-31
0.405581, 0, 2.40906e-08, 9.99955e-31, 1.41421, -2.40906e-08, 9.99955e-31, 0, 9.99955e-31, 9.99955e-31, 9.99955e-31, 9.99955e-31, 9.99955e-31, 9.99955e-31, 9.99955e-31, 9.99955e-31, 9.99955e-31, 1.27767e-10, 9.99955e-31, 9.99955e-31, 1.49906e-12, 2.29088e-09, 9.99955e-31, 2.16705e-08, 9.99955e-31, 9.99955e-31
0.413444, 0, 3.42384e-08, 5.12757e-30, 1.41421, -3.42384e-08, 5.12757e-30, 0, 5.12757e-30, 5.12757e-30, 5.12757e-30, 5.12757e-30, 5.12757e-30, 5.12757e-30, 5.12757e-30, 5.12757e-30, 5.12757e-30, 1.80434e-10, 5.12757e-30, 5.12757e-30, 2.35508e-12, 3.5799e-09, 5.12757e-30, 3.04757e-08, 5.12757e-30, 5.12757e-30
0.421307, 0, 4.84383e-08, 2.4741e-29, 1.41421, -4.84383e-08, 2.4741e-29, 0, 2.4741e-29, 2.4741e-29, 2.4741e-29, 2.4741e-29, 2.4741e-29, 2.4741e-29, 2.4741e-29, 2.4741e-29, 2.4741e-29, 2.534e-10, 2.4741e-29, 2.4741e-29, 3.69823e-12, 5.58525e-09, 2.4741e-29, 4.25959e-08, 2.4741e-29, 2.4741e-29
0.42917, 0, 6.82328e-08, 1.12682e-28, 1.41421, -6.82328e-08, 1.12682e-28, 0, 1.12682e-28, 1.12682e-28, 1.12682e-28, 1.12682e-28, 1.12682e-28, 1.12682e-28, 1.12682e-28, 1.12682e-28, 1.12682e-28, 3.53941e-10, 1.12682e-28, 1.12682e-28, 5.80287e-12, 8.69841e-09, 1.12682e-28, 5.91746e-08, 1.12682e-28, 1.12682e-28
0.437033, 0, 9.57311e-08, 4.85897e-28, 1.41421, -9.57311e-08, 4.85897e-28, 0, 4.85897e-28, 4.85897e-28, 4.85897e-28, 4.85897e-28, 4.85897e-28, 4.85897e-28, 4.85897e-28, 4.85897e-28, 4.85897e-28, 4.91745e-10, 4.85897e-28, 4.85897e-28, 9.09458e-12, 1.35193e-08, 4.85897e-28, 8.17109e-08, 4.85897e-28, 4.85897e-28
0.444896, 0, 1.33814e-07, 1.98948e-27, 1.41421, -1.33814e-07, 1.98948e-27, 0, 1.98948e-27, 1.98948e-27, 1.98948e-27, 1.98948e-27, 1.98948e-27, 1.98948e-27, 1.98948e-27, 1.98948e-27, 1.98948e-27, 6.79646e-10, 1.98948e-27, 1.98948e-27, 1.42306e-11, 2.0963e-08, 1.98948e-27, 1.12157e-07, 1.98948e-27, 1.98948e-27
0.452759, 0, 1.86413e-07, 7.75589e-27, 1.41421, -1.86413e-07, 7.75589e-27, 0, 7.75589e-27, 7.75589e-27, 7.75589e-27, 7.75589e-27, 7.75589e-27, 7.75589e-27, 7.75589e-27, 7.75589e-27, 7.75589e-27, 9.34564e-10, 7.75589e-27, 7.75589e-27, 2.22212e-11, 3.24176e-08, 7.75589e-27, 1.53038e-07, 7.75589e-27, 7.75589e-27
0.460622, 0, 2.58889e-07, 2.88613e-26, 1.41421, -2.58889e-07, 2.88613e-26, 0, 2.88613e-26, 2.88613e-26, 2.88613e-26, 2.88613e-26, 2.88613e-26, 6.86203e-14, 2.88613e-26, 2.88613e-26, 2.88613e-26, 1.27869e-09, 2.88613e-26, 2.88613e-26, 3.46099e-11, 4.9976e-08, 2.88613e-26, 2.076e-07, 2.88613e-26, 2.88613e-26
0.468485, 0, 3.58553e-07, 1.02764e-25, 1.41421, -3.58553e-07, 1.02764e-25, 0, 1.02764e-25, 1.02764e-25, 1.02764e-25, 1.02764e-25, 1.02764e-25, 2.24308e-13, 1.02764e-25, 1.02764e-25, 1.02764e-25, 1.74098e-09, 1.02764e-25, 1.02764e-25, 5.37427e-11, 7.67734e-08, 1.02764e-25, 2.79985e-07, 1.02764e-25, 1.02764e-25
0.476348, 0, 4.96758e-07, 3.54436e-25, 1.41421, -4.96758e-07, 3.45073e-12, 0, 1.58262e-14, 5.19321e-14, 8.96067e-12, 4.69083e-13, 2.88103e-13, 3.68083e-12, 1.1019e-11, 2.12331e-12, 1.30485e-09, 2.35913e-09, 8.67295e-13, 5.34491e-14, 8.31616e-11, 1.17473e-07, 2.6942e-15, 3.75495e-07, 3.54436e-25, 1.26304e-11
0.484211, 0, 6.88074e-07, 6.5844e-10, 1.41421, -6.88074e-07, 6.69675e-10, 6.5844e-10, 6.58491e-10, 6.58609e-10, 6.87615e-10, 6.59967e-10, 6.59378e-10, 6.69885e-10, 6.94317e-10, 6.65353e-10, 4.90702e-09, 3.8402e-09, 6.61263e-10, 6.58614e-10, 7.86626e-10, 1.79614e-07, 6.58448e-10, 5.01419e-07, 6.5844e-10, 6.99564e-10
0.492074, 0, 9.53137e-07, 2.13913e-09, 1.41421, -9.53137e-07, 2.1675e-09, 2.13913e-09, 2.13926e-09, 2.13956e-09, 2.2128e-09, 2.14299e-09, 2.1415e-09, 2.1676e-09, 2.22972e-09, 2.15659e-09, 1.28668e-08, 6.4106e-09, 2.14626e-09, 2.13957e-09, 2.33587e-09, 2.73437e-07, 2.13915e-09, 6.66286e-07, 2.13913e-09, 2.24297e-09
0.499937, 0, 1.32221e-06, 5.38901e-09, 1.41421, -1.32221e-06, 5.45426e-09, 5.38901e-09, 5.38931e-09, 5.38999e-09, 5.55845e-09, 5.39788e-09, 5.39446e-09, 5.45399e-09, 5.59737e-09, 5.42916e-09, 3.00618e-08, 1.10974e-08, 5.40541e-09, 5.39002e-09, 5.68955e-09, 4.14505e-07, 5.38906e-09, 8.81597e-07, 5.38901e-09, 5.62784e-09
0.507801, 0, 1.83974e-06, 1.23744e-08, 1.41421, -1.83974e-06, 1.25173e-08, 1.23744e-08, 1.2375e-08, 1.23765e-08, 1.27456e-08, 1.23938e-08, 1.23863e-08, 1.2516e-08, 1.28309e-08, 1.24623e-08, 6.64306e-08, 1.99689e-08, 1.24103e-08, 1.23766e-08, 1.28312e-08, 6.25828e-07, 1.23745e-08, 1.16238e-06, 1.23744e-08, 1.28976e-08
0.515664, 0, 2.57256e-06, 2.70761e-08, 1.41421, -2.57256e-06, 2.73794e-08, 2.70761e-08, 2.70775e-08, 2.70807e-08, 2.78638e-08, 2.71174e-08, 2.71015e-08, 2.73753e-08, 2.80447e-08, 2.72628e-08, 1.4177e-07, 3.71353e-08, 2.71524e-08, 2.70808e-08, 2.77667e-08, 9.4138e-07, 2.70764e-08, 1.52901e-06, 2.70761e-08, 2.81863e-08
0.523527, 0, 3.62506e-06, 5.73849e-08, 1.41421, -3.62506e-06, 5.80124e-08, 5.73849e-08, 5.73878e-08, 5.73943e-08, 5.90144e-08, 5.74702e-08, 5.74373e-08, 5.80343e-08, 5.93887e-08, 5.7771e-08, 2.94671e-07, 7.06502e-08, 5.75426e-08, 5.73946e-08, 5.84231e-08, 1.41305e-06, 5.73854e-08, 2.00989e-06, 5.73849e-08, 5.96817e-08
0.53139, 0, 5.1568e-06, 1.18603e-07, 1.41421, -5.1568e-06, 1.19873e-07, 1.18603e-07, 1.18609e-07, 1.18622e-07, 1.219e-07, 1.18775e-07, 1.18709e-07, 1.19983e-07, 1.22657e-07, 1.19384e-07, 5.98733e-07, 1.3602e-07, 1.18922e-07, 1.18623e-07, 1.20155e-07, 2.11392e-06, 1.18604e-07, 2.64631e-06, 1.18603e-07, 1.2325e-07
0.539253, 0, 7.42675e-06, 2.39754e-07, 1.41421, -7.42675e-06, 2.42271e-07, 2.39754e-07, 2.39766e-07, 2.39792e-07, 2.46289e-07, 2.40096e-07, 2.39964e-07, 2.43298e-07, 2.4779e-07, 2.41303e-07, 1.19127e-06, 2.62525e-07, 2.40387e-07, 2.39793e-07, 2.4206e-07, 3.15678e-06, 2.39756e-07, 3.50047e-06, 2.39754e-07, 2.48965e-07
0.547116, 0, 1.08505e-05, 4.74713e-07, 1.41421, -1.08505e-05, 4.796e-07, 4.74713e-07, 4.74735e-07, 4.74786e-07, 4.87405e-07, 4.75377e-07, 4.75121e-07, 4.82676e-07, 4.9032e-07, 4.7772e-07, 2.32294e-06, 5.04355e-07, 4.75941e-07, 4.74788e-07, 4.78118e-07, 4.70994e-06, 4.74717e-07, 4.66952e-06, 4.74713e-07, 4.92603e-07
0.554979, 0, 1.61033e-05, 9.21266e-07, 1.41421, -1.61033e-05, 9.30575e-07, 9.21266e-07, 9.21309e-07, 9.21406e-07, 9.45439e-07, 9.22532e-07, 9.22043e-07, 9.38101e-07, 9.50991e-07, 9.26994e-07, 4.44125e-06, 9.59691e-07, 9.23606e-07, 9.2141e-07, 9.26266e-07, 7.02774e-06, 9.21273e-07, 6.30883e-06, 9.21266e-07, 9.55338e-07
0.562842, 0, 2.42813e-05, 1.75306e-06, 1.41421, -2.42813e-05, 1.77045e-06, 1.75306e-06, 1.75314e-06, 1.75332e-06, 1.79821e-06, 1.75542e-06, 1.75451e-06, 1.78739e-06, 1.80858e-06, 1.76376e-06, 8.32782e-06, 1.80267e-06, 1.75743e-06, 1.75333e-06, 1.76035e-06, 1.04965e-05, 1.75307e-06, 8.67066e-06, 1.75306e-06, 1.8167e-06
0.570705, 0, 3.7157e-05, 3.27163e-06, 1.41421, -3.7157e-05, 3.30349e-06, 3.27163e-06, 3.27178e-06, 3.27211e-06, 3.35435e-06, 3.27596e-06, 3.27429e-06, 3.33926e-06, 3.37335e-06, 3.29123e-06, 1.53176e-05, 3.33541e-06, 3.27964e-06, 3.27212e-06, 3.2822e-06, 1.57051e-05, 3.27165e-06, 1.21669e-05, 3.27163e-06, 3.38823e-06
0.578568, 0, 5.75733e-05, 5.98911e-06, 1.41421, -5.75733e-05, 6.04637e-06, 5.98911e-06, 5.98937e-06, 5.98997e-06, 6.1378e-06, 5.99689e-06, 5.99389e-06, 6.12044e-06, 6.17195e-06, 6.02434e-06, 2.76407e-05, 6.07079e-06, 6.0035e-06, 5.99e-06, 6.00434e-06, 2.35519e-05, 5.98916e-06, 1.74681e-05, 5.98911e-06, 6.19869e-06
0.586431, 0, 9.00337e-05, 1.07559e-05, 1.41421, -9.00337e-05, 1.08568e-05, 1.07559e-05, 1.07563e-05, 1.07574e-05, 1.10181e-05, 1.07696e-05, 1.07643e-05, 1.10072e-05, 1.10783e-05, 1.0818e-05, 4.89388e-05, 1.08601e-05, 1.07812e-05, 1.07574e-05, 1.07777e-05, 3.54051e-05, 1.07559e-05, 2.56556e-05, 1.07559e-05, 1.11255e-05
0.594294, 0, 0.000141572, 1.89526e-05, 1.41421, -0.000141572, 1.91274e-05, 1.89526e-05, 1.89535e-05, 1.89553e-05, 1.94064e-05, 1.89764e-05, 1.89672e-05, 1.94267e-05, 1.95106e-05, 1.90602e-05, 8.50282e-05, 1.90851e-05, 1.89966e-05, 1.89554e-05, 1.89837e-05, 5.33386e-05, 1.89528e-05, 3.84513e-05, 1.89526e-05, 1.95922e-05
0.602157, 0, 0.000222996, 3.27705e-05, 1.41421, -0.000222996, 3.30673e-05, 3.27705e-05, 3.27719e-05, 3.2775e-05, 3.35411e-05, 3.28109e-05, 3.27953e-05, 3.36513e-05, 3.37181e-05, 3.29531e-05, 0.000144985, 3.29383e-05, 3.28451e-05, 3.27751e-05, 3.28145e-05, 8.04707e-05, 3.27707e-05, 5.85544e-05, 3.27705e-05, 3.38567e-05
0.610021, 0, 0.000350596, 5.56076e-05, 1.41421, -0.000350596, 5.61023e-05, 5.56076e-05, 5.56099e-05, 5.56151e-05, 5.68921e-05, 5.56748e-05, 5.56489e-05, 5.722e-05, 5.71871e-05, 5.5912e-05, 0.000242652, 5.58196e-05, 5.57319e-05, 5.56153e-05, 5.56695e-05, 0.000121441, 5.5608e-05, 9.01081e-05, 5.56076e-05, 5.74181e-05
0.617884, 0, 0.000548478, 9.26138e-05, 1.41421, -0.000548478, 9.34231e-05, 9.26138e-05, 9.26175e-05, 9.2626e-05, 9.47154e-05, 9.27238e-05, 9.26814e-05, 9.55208e-05, 9.51982e-05, 9.31118e-05, 0.000398656, 9.28808e-05, 9.28172e-05, 9.26263e-05, 9.27005e-05, 0.000183064, 9.26144e-05, 0.000139358, 9.26138e-05, 9.55762e-05
