   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_95.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.263665, 0, 5.54746e-11, 0, 1.41421, -5.54746e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94106e-13, 0, 0, 2.03313e-15, 2.08318e-14, 0, 5.51576e-11, 0, 0
0.271531, 0, 8.45877e-11, 0, 1.41421, -8.45877e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.48573e-13, 0, 0, 3.20657e-15, 3.32894e-14, 0, 8.41026e-11, 0, 0
0.279397, 0, 1.28199e-10, 0, 1.41421, -1.28199e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.80069e-13, 0, 0, 5.03839e-15, 5.29825e-14, 0, 1.27461e-10, 0, 0
0.287263, 0, 1.93123e-10, 1.37327e-43, 1.41421, -1.93123e-10, 1.37327e-43, 0, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.02489e-12, 1.37327e-43, 1.37327e-43, 7.8896e-15, 8.40009e-14, 1.37327e-43, 1.92006e-10, 1.37327e-43, 1.37327e-43
0.295129, 0, 2.8918e-10, 2.28131e-42, 1.41421, -2.8918e-10, 2.28131e-42, 0, 2.28131e-42, 2.28131e-42, 2.28131e-42, 2.28131e-42, 2.28131e-42, 2.28131e-42, 2.28131e-42, 2.28131e-42, 2.28131e-42, 2.28131e-42, 1.53541e-12, 2.28131e-42, 2.28131e-42, 1.23163e-14, 1.32693e-13, 2.28131e-42, 2.875e-10, 2.28131e-42, 2.28131e-42
0.302995, 0, 4.30424e-10, 3.16778e-41, 1.41421, -4.30424e-10, 3.16778e-41, 0, 3.16778e-41, 3.16778e-41, 3.16778e-41, 3.16778e-41, 3.16778e-41, 3.16778e-41, 3.16778e-41, 3.16778e-41, 3.16778e-41, 3.16778e-41, 2.28668e-12, 3.16778e-41, 3.16778e-41, 1.91746e-14, 2.08887e-13, 3.16778e-41, 4.27909e-10, 3.16778e-41, 3.16778e-41
0.310861, 0, 6.36839e-10, 3.89949e-40, 1.41421, -6.36839e-10, 3.89949e-40, 0, 3.89949e-40, 3.89949e-40, 3.89949e-40, 3.89949e-40, 3.89949e-40, 3.89949e-40, 3.89949e-40, 3.89949e-40, 3.89949e-40, 3.89949e-40, 3.38567e-12, 3.89949e-40, 3.89949e-40, 2.97824e-14, 3.27772e-13, 3.89949e-40, 6.33096e-10, 3.89949e-40, 3.89949e-40
0.318728, 0, 9.36654e-10, 4.31302e-39, 1.41421, -9.36654e-10, 4.31302e-39, 0, 4.31302e-39, 4.31302e-39, 4.31302e-39, 4.31302e-39, 4.31302e-39, 4.31302e-39, 4.31302e-39, 4.31302e-39, 4.31302e-39, 4.31302e-39, 4.98377e-12, 4.31302e-39, 4.31302e-39, 4.61687e-14, 5.12772e-13, 4.31302e-39, 9.31111e-10, 4.31302e-39, 4.31302e-39
0.326594, 0, 1.36948e-09, 4.31156e-38, 1.41421, -1.36948e-09, 4.31156e-38, 0, 4.31156e-38, 4.31156e-38, 4.31156e-38, 4.31156e-38, 4.31156e-38, 4.31156e-38, 4.31156e-38, 4.31156e-38, 4.31156e-38, 4.31156e-38, 7.29403e-12, 4.31156e-38, 4.31156e-38, 7.14596e-14, 7.99958e-13, 4.31156e-38, 1.36132e-09, 4.31156e-38, 4.31156e-38
0.33446, 0, 1.99054e-09, 3.91664e-37, 1.41421, -1.99054e-09, 3.91664e-37, 0, 3.91664e-37, 3.91664e-37, 3.91664e-37, 3.91664e-37, 3.91664e-37, 3.91664e-37, 3.91664e-37, 3.91664e-37, 3.91664e-37, 3.91664e-37, 1.06144e-11, 3.91664e-37, 3.91664e-37, 1.10474e-13, 1.24479e-12, 3.91664e-37, 1.97858e-09, 3.91664e-37, 3.91664e-37
0.342326, 0, 2.87634e-09, 3.25015e-36, 1.41421, -2.87634e-09, 3.25015e-36, 0, 3.25015e-36, 3.25015e-36, 3.25015e-36, 3.25015e-36, 3.25015e-36, 3.25015e-36, 3.25015e-36, 3.25015e-36, 3.25015e-36, 3.25015e-36, 1.53591e-11, 3.25015e-36, 3.25015e-36, 1.70649e-13, 1.93244e-12, 3.25015e-36, 2.85888e-09, 3.25015e-36, 3.25015e-36
0.350192, 0, 4.13231e-09, 7.95996e-35, 1.41421, -4.13231e-09, 7.95996e-35, 0, 7.95996e-35, 7.95996e-35, 7.95996e-35, 7.95996e-35, 7.95996e-35, 7.95996e-35, 7.95996e-35, 7.95996e-35, 7.95996e-35, 7.95996e-35, 2.2102e-11, 7.95996e-35, 7.95996e-35, 2.63874e-13, 2.99724e-12, 7.95996e-35, 4.10694e-09, 7.95996e-35, 7.95996e-35
0.358058, 0, 5.90204e-09, 5.40546e-34, 1.41421, -5.90204e-09, 5.40546e-34, 0, 5.40546e-34, 5.40546e-34, 5.40546e-34, 5.40546e-34, 5.40546e-34, 5.40546e-34, 5.40546e-34, 5.40546e-34, 5.40546e-34, 5.40546e-34, 3.16273e-11, 5.40546e-34, 5.40546e-34, 4.07273e-13, 4.63352e-12, 5.40546e-34, 5.86537e-09, 5.40546e-34, 5.40546e-34
0.365924, 0, 8.38119e-09, 3.57223e-33, 1.41421, -8.38119e-09, 3.57223e-33, 0, 3.57223e-33, 3.57223e-33, 3.57223e-33, 3.57223e-33, 3.57223e-33, 3.57223e-33, 3.57223e-33, 3.57223e-33, 3.57223e-33, 3.57223e-33, 4.50113e-11, 3.57223e-33, 3.57223e-33, 6.2856e-13, 7.15006e-12, 3.57223e-33, 8.3284e-09, 3.57223e-33, 3.57223e-33
0.37379, 0, 1.18337e-08, 2.2223e-32, 1.41421, -1.18337e-08, 2.2223e-32, 0, 2.2223e-32, 2.2223e-32, 2.2223e-32, 2.2223e-32, 2.2223e-32, 2.2223e-32, 2.2223e-32, 2.2223e-32, 2.2223e-32, 2.2223e-32, 6.37147e-11, 2.2223e-32, 2.2223e-32, 9.70141e-13, 1.10147e-11, 2.2223e-32, 1.1758e-08, 2.2223e-32, 2.2223e-32
0.381656, 0, 1.66134e-08, 1.2924e-31, 1.41421, -1.66134e-08, 1.2924e-31, 0, 1.2924e-31, 1.2924e-31, 1.2924e-31, 1.2924e-31, 1.2924e-31, 1.2924e-31, 1.2924e-31, 1.2924e-31, 1.2924e-31, 1.2924e-31, 8.97119e-11, 1.2924e-31, 1.2924e-31, 1.49749e-12, 1.69406e-11, 1.2924e-31, 1.65052e-08, 1.2924e-31, 1.2924e-31
0.389523, 0, 2.31921e-08, 7.03098e-31, 1.41421, -2.31921e-08, 7.03098e-31, 0, 7.03098e-31, 7.03098e-31, 7.03098e-31, 7.03098e-31, 7.03098e-31, 7.03098e-31, 7.03098e-31, 7.03098e-31, 7.03098e-31, 7.03098e-31, 1.25658e-10, 7.03098e-31, 7.03098e-31, 2.31163e-12, 2.60132e-11, 7.03098e-31, 2.30381e-08, 7.03098e-31, 7.03098e-31
0.397389, 0, 3.21946e-08, 3.58749e-30, 1.41421, -3.21946e-08, 3.58749e-30, 0, 3.58749e-30, 3.58749e-30, 3.58749e-30, 3.58749e-30, 3.58749e-30, 3.58749e-30, 3.58749e-30, 3.58749e-30, 3.58749e-30, 3.58749e-30, 1.75105e-10, 3.58749e-30, 3.58749e-30, 3.56811e-12, 3.988e-11, 3.58749e-30, 3.19761e-08, 3.58749e-30, 3.58749e-30
0.405255, 0, 4.44434e-08, 1.72208e-29, 1.41421, -4.44434e-08, 1.72208e-29, 0, 1.72208e-29, 1.72208e-29, 1.72208e-29, 1.72208e-29, 1.72208e-29, 1.72208e-29, 1.72208e-29, 1.72208e-29, 1.72208e-29, 1.72208e-29, 2.42779e-10, 1.72208e-29, 1.72208e-29, 5.50594e-12, 6.10351e-11, 1.72208e-29, 4.41341e-08, 1.72208e-29, 1.72208e-29
0.413121, 0, 6.10146e-08, 7.80173e-29, 1.41421, -6.10146e-08, 7.80173e-29, 0, 7.80173e-29, 7.80173e-29, 7.80173e-29, 7.80173e-29, 7.80173e-29, 7.80173e-29, 7.80173e-29, 7.80173e-29, 7.80173e-29, 7.80173e-29, 3.34944e-10, 7.80173e-29, 7.80173e-29, 8.49137e-12, 9.32414e-11, 7.80173e-29, 6.05779e-08, 7.80173e-29, 7.80173e-29
0.420987, 0, 8.33069e-08, 3.34584e-28, 1.41421, -8.33069e-08, 3.34584e-28, 0, 3.34584e-28, 3.34584e-28, 3.34584e-28, 3.34584e-28, 3.34584e-28, 3.34584e-28, 3.34584e-28, 3.34584e-28, 3.34584e-28, 3.34584e-28, 4.59856e-10, 3.34584e-28, 3.34584e-28, 1.30837e-11, 1.42154e-10, 3.34584e-28, 8.26918e-08, 3.34584e-28, 3.34584e-28
0.428853, 0, 1.13129e-07, 1.36228e-27, 1.41421, -1.13129e-07, 1.36228e-27, 0, 1.36228e-27, 1.36228e-27, 1.36228e-27, 1.36228e-27, 1.36228e-27, 1.36228e-27, 1.36228e-27, 1.36228e-27, 1.36228e-27, 1.36228e-27, 6.2835e-10, 1.36228e-27, 1.36228e-27, 2.01336e-11, 2.16237e-10, 1.36228e-27, 1.12264e-07, 1.36228e-27, 1.36228e-27
0.436719, 0, 1.52803e-07, 5.27997e-27, 1.41421, -1.52803e-07, 5.27997e-27, 0, 5.27997e-27, 5.27997e-27, 5.27997e-27, 5.27997e-27, 5.27997e-27, 5.27997e-27, 5.27997e-27, 5.27997e-27, 5.27997e-27, 5.27997e-27, 8.5458e-10, 5.27997e-27, 5.27997e-27, 3.09294e-11, 3.28094e-10, 5.27997e-27, 1.51589e-07, 5.27997e-27, 5.27997e-27
0.444585, 0, 2.05297e-07, 1.95312e-26, 1.41421, -2.05297e-07, 1.95312e-26, 0, 1.95312e-26, 1.95312e-26, 1.95312e-26, 1.95312e-26, 1.95312e-26, 1.95312e-26, 7.62606e-14, 1.95312e-26, 1.95312e-26, 1.95312e-26, 1.15695e-09, 1.95312e-26, 1.95312e-26, 4.7413e-11, 4.96395e-10, 1.95312e-26, 2.03596e-07, 1.95312e-26, 1.95312e-26
0.452452, 0, 2.74376e-07, 6.91203e-26, 1.41421, -2.74376e-07, 6.91203e-26, 0, 6.91203e-26, 6.91203e-26, 6.91203e-26, 6.91203e-26, 6.91203e-26, 6.91203e-26, 2.44175e-13, 6.91203e-26, 6.91203e-26, 6.91203e-26, 1.5593e-09, 6.91203e-26, 6.91203e-26, 7.24953e-11, 7.48635e-10, 6.91203e-26, 2.71996e-07, 6.91203e-26, 6.91203e-26
0.460318, 0, 3.65969e-07, 2.36947e-25, 1.41421, -3.65969e-07, 4.68431e-12, 0, 1.13055e-14, 5.47704e-14, 6.11179e-14, 1.02486e-13, 3.43355e-11, 1.09087e-13, 4.02554e-12, 7.04495e-12, 3.2699e-12, 1.07067e-09, 2.09239e-09, 2.69428e-13, 3.85068e-14, 1.10516e-10, 1.12504e-09, 2.07565e-15, 3.61506e-07, 2.36947e-25, 1.03441e-11
0.468184, 0, 4.86767e-07, 5.01217e-10, 1.41421, -4.86767e-07, 5.16163e-10, 5.01217e-10, 5.01253e-10, 5.01392e-10, 5.01412e-10, 5.01544e-10, 6.10767e-10, 5.01565e-10, 5.13496e-10, 5.23695e-10, 5.1165e-10, 3.91729e-09, 3.29684e-09, 5.02077e-10, 5.0134e-10, 6.6913e-10, 2.18531e-09, 5.01224e-10, 4.78499e-07, 5.01217e-10, 5.34221e-10
0.47605, 0, 6.45856e-07, 1.59395e-09, 1.41421, -6.45856e-07, 1.6309e-09, 1.59395e-09, 1.59404e-09, 1.59438e-09, 1.59443e-09, 1.59476e-09, 1.86479e-09, 1.59481e-09, 1.62387e-09, 1.64952e-09, 1.61974e-09, 1.00395e-08, 5.31333e-09, 1.59607e-09, 1.59425e-09, 1.84811e-09, 4.10409e-09, 1.59396e-09, 6.30421e-07, 1.59395e-09, 1.67554e-09
0.483916, 0, 8.56346e-07, 3.93355e-09, 1.41421, -8.56346e-07, 4.01676e-09, 3.93355e-09, 3.93375e-09, 3.93452e-09, 3.93463e-09, 3.93537e-09, 4.54347e-09, 3.93548e-09, 4.00043e-09, 4.05869e-09, 3.99163e-09, 2.29527e-08, 8.8613e-09, 3.93833e-09, 3.93423e-09, 4.31668e-09, 7.65753e-09, 3.93358e-09, 8.27153e-07, 3.93355e-09, 4.1173e-09
0.491782, 0, 1.13722e-06, 8.84728e-09, 1.41421, -1.13722e-06, 9.02591e-09, 8.84728e-09, 8.84771e-09, 8.84937e-09, 8.84961e-09, 8.85119e-09, 1.01566e-08, 8.85144e-09, 8.99017e-09, 9.11593e-09, 8.97197e-09, 4.96751e-08, 1.53491e-08, 8.85756e-09, 8.84875e-09, 9.42227e-09, 1.43445e-08, 8.84736e-09, 1.08137e-06, 8.84728e-09, 9.24173e-09
0.499648, 0, 1.51736e-06, 1.89739e-08, 1.41421, -1.51736e-06, 1.93456e-08, 1.89739e-08, 1.89747e-08, 1.89782e-08, 1.89787e-08, 1.8982e-08, 2.16988e-08, 1.89825e-08, 1.927e-08, 1.9533e-08, 1.92334e-08, 1.03945e-07, 2.75177e-08, 1.89952e-08, 1.89769e-08, 1.98327e-08, 2.70455e-08, 1.8974e-08, 1.40983e-06, 1.89739e-08, 1.97948e-08
0.507514, 0, 2.04252e-06, 3.94572e-08, 1.41421, -2.04252e-06, 4.02127e-08, 3.94572e-08, 3.94591e-08, 3.94661e-08, 3.94671e-08, 3.94738e-08, 4.49948e-08, 3.94748e-08, 4.00918e-08, 4.05934e-08, 3.99846e-08, 2.12133e-07, 5.06393e-08, 3.95007e-08, 3.94635e-08, 4.07336e-08, 5.12542e-08, 3.94576e-08, 1.83523e-06, 3.94572e-08, 4.11255e-08
0.515381, 0, 2.78729e-06, 8.01245e-08, 1.41421, -2.78729e-06, 8.16284e-08, 8.01245e-08, 8.01281e-08, 8.01421e-08, 8.01441e-08, 8.01574e-08, 9.11475e-08, 8.01595e-08, 8.14579e-08, 8.23862e-08, 8.11743e-08, 4.23851e-07, 9.47009e-08, 8.0211e-08, 8.01369e-08, 8.20115e-08, 9.72545e-08, 8.01252e-08, 2.38927e-06, 8.01245e-08, 8.34454e-08
0.523247, 0, 3.87681e-06, 1.59387e-07, 1.41421, -3.87681e-06, 1.62324e-07, 1.59387e-07, 1.59394e-07, 1.59421e-07, 1.59425e-07, 1.59451e-07, 1.80912e-07, 1.59455e-07, 1.62804e-07, 1.63803e-07, 1.61437e-07, 8.30613e-07, 1.78313e-07, 1.59556e-07, 1.59411e-07, 1.62162e-07, 1.84112e-07, 1.59388e-07, 3.11792e-06, 1.59387e-07, 1.65872e-07
0.531113, 0, 5.5211e-06, 3.11052e-07, 1.41421, -5.5211e-06, 3.16682e-07, 3.11052e-07, 3.11065e-07, 3.11118e-07, 3.11125e-07, 3.11175e-07, 3.52319e-07, 3.11183e-07, 3.18659e-07, 3.19519e-07, 3.14982e-07, 1.59788e-06, 3.35529e-07, 3.11376e-07, 3.11098e-07, 3.1511e-07, 3.46519e-07, 3.11054e-07, 4.09015e-06, 3.11052e-07, 3.23484e-07
0.538979, 0, 8.07578e-06, 5.95957e-07, 1.41421, -8.07578e-06, 6.06557e-07, 5.95957e-07, 5.95982e-07, 5.96081e-07, 5.96095e-07, 5.96189e-07, 6.73657e-07, 5.96204e-07, 6.11857e-07, 6.11899e-07, 6.03356e-07, 3.01887e-06, 6.27489e-07, 5.96566e-07, 5.96044e-07, 6.0186e-07, 6.46516e-07, 5.95961e-07, 5.41245e-06, 5.95957e-07, 6.19365e-07
0.546845, 0, 1.21392e-05, 1.12142e-06, 1.41421, -1.21392e-05, 1.14103e-06, 1.12142e-06, 1.12147e-06, 1.12165e-06, 1.12167e-06, 1.12185e-06, 1.26513e-06, 1.12188e-06, 1.15345e-06, 1.15091e-06, 1.13511e-06, 5.60286e-06, 1.16189e-06, 1.12255e-06, 1.12158e-06, 1.12996e-06, 1.19304e-06, 1.12143e-06, 7.25263e-06, 1.12142e-06, 1.16472e-06
0.554711, 0, 1.87085e-05, 2.07295e-06, 1.41421, -1.87085e-05, 2.10858e-06, 2.07295e-06, 2.07303e-06, 2.07336e-06, 2.07341e-06, 2.07373e-06, 2.33411e-06, 2.07378e-06, 2.1354e-06, 2.12653e-06, 2.09782e-06, 1.02167e-05, 2.12468e-06, 2.075e-06, 2.07324e-06, 2.08522e-06, 2.17376e-06, 2.07296e-06, 9.8786e-06, 2.07295e-06, 2.15163e-06
0.562577, 0, 2.94241e-05, 3.76475e-06, 1.41421, -2.94241e-05, 3.82837e-06, 3.76475e-06, 3.7649e-06, 3.76549e-06, 3.76558e-06, 3.76614e-06, 4.23107e-06, 3.76623e-06, 3.88462e-06, 3.86043e-06, 3.80916e-06, 1.83061e-05, 3.83064e-06, 3.7684e-06, 3.76527e-06, 3.78229e-06, 3.90576e-06, 3.76477e-06, 1.37191e-05, 3.76475e-06, 3.90523e-06
0.570443, 0, 4.69432e-05, 6.71832e-06, 1.41421, -4.69432e-05, 6.82995e-06, 6.71832e-06, 6.71859e-06, 6.71962e-06, 6.71977e-06, 6.72076e-06, 7.53657e-06, 6.72092e-06, 6.94532e-06, 6.88621e-06, 6.79624e-06, 3.22337e-05, 6.80195e-06, 6.72474e-06, 6.71923e-06, 6.74327e-06, 6.91438e-06, 6.71837e-06, 1.94586e-05, 6.71832e-06, 6.96483e-06
0.57831, 0, 7.54947e-05, 1.17815e-05, 1.41421, -7.54947e-05, 1.1974e-05, 1.17815e-05, 1.1782e-05, 1.17838e-05, 1.1784e-05, 1.17857e-05, 1.31925e-05, 1.1786e-05, 1.22055e-05, 1.2071e-05, 1.19159e-05, 5.57813e-05, 1.18873e-05, 1.17926e-05, 1.17831e-05, 1.18168e-05, 1.20525e-05, 1.17816e-05, 2.81797e-05, 1.17815e-05, 1.22066e-05
0.586176, 0, 0.00012169, 2.03046e-05, 1.41421, -0.00012169, 2.06309e-05, 2.03046e-05, 2.03054e-05, 2.03084e-05, 2.03089e-05, 2.03118e-05, 2.26962e-05, 2.03122e-05, 2.10857e-05, 2.07953e-05, 2.05324e-05, 9.48793e-05, 2.0438e-05, 2.03234e-05, 2.03073e-05, 2.03542e-05, 2.06772e-05, 2.03048e-05, 4.15772e-05, 2.03046e-05, 2.10251e-05
