   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_242.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.409591, 0, 3.85302e-10, 1.58879e-38, 1.41421, -3.85302e-10, 1.58879e-38, 0, 1.58879e-38, 1.58879e-38, 1.58879e-38, 1.58879e-38, 1.58879e-38, 1.58879e-38, 1.58879e-38, 8.27029e-13, 1.58879e-38, 1.58879e-38, 2.77915e-15, 7.3112e-14, 3.84399e-10, 1.58879e-38, 1.58879e-38
0.417669, 0, 7.23143e-10, 1.86348e-37, 1.41421, -7.23143e-10, 1.86348e-37, 0, 1.86348e-37, 1.86348e-37, 1.86348e-37, 1.86348e-37, 1.86348e-37, 1.86348e-37, 1.86348e-37, 1.55247e-12, 1.86348e-37, 1.86348e-37, 5.43344e-15, 1.40976e-13, 7.21444e-10, 1.86348e-37, 1.86348e-37
0.425747, 0, 1.3392e-09, 1.97109e-36, 1.41421, -1.3392e-09, 1.97109e-36, 0, 1.97109e-36, 1.97109e-36, 1.97109e-36, 1.97109e-36, 1.97109e-36, 1.97109e-36, 1.97109e-36, 2.87586e-12, 1.97109e-36, 1.97109e-36, 1.05389e-14, 2.6887e-13, 1.33604e-09, 1.97109e-36, 1.97109e-36
0.433825, 0, 2.44786e-09, 5.26983e-35, 1.41421, -2.44786e-09, 5.26983e-35, 0, 5.26983e-35, 5.26983e-35, 5.26983e-35, 5.26983e-35, 5.26983e-35, 5.26983e-35, 5.26983e-35, 5.25903e-12, 5.26983e-35, 5.26983e-35, 2.03466e-14, 5.08155e-13, 2.44207e-09, 5.26983e-35, 5.26983e-35
0.441903, 0, 4.41487e-09, 4.24931e-34, 1.41421, -4.41487e-09, 4.24931e-34, 0, 4.24931e-34, 4.24931e-34, 4.24931e-34, 4.24931e-34, 4.24931e-34, 4.24931e-34, 4.24931e-34, 9.49062e-12, 4.24931e-34, 4.24931e-34, 3.89756e-14, 9.50255e-13, 4.40439e-09, 4.24931e-34, 4.24931e-34
0.449981, 0, 7.85919e-09, 3.16874e-33, 1.41421, -7.85919e-09, 3.16874e-33, 0, 3.16874e-33, 3.16874e-33, 3.16874e-33, 3.16874e-33, 3.16874e-33, 3.16874e-33, 3.16874e-33, 1.69087e-11, 3.16874e-33, 3.16874e-33, 7.43276e-14, 1.76195e-12, 7.84044e-09, 3.16874e-33, 3.16874e-33
0.458059, 0, 1.38106e-08, 2.33313e-32, 1.41421, -1.38106e-08, 2.33313e-32, 0, 2.33313e-32, 2.33313e-32, 2.33313e-32, 2.33313e-32, 2.33313e-32, 2.33313e-32, 2.33313e-32, 2.97459e-11, 2.33313e-32, 2.33313e-32, 1.41276e-13, 3.24308e-12, 1.37775e-08, 2.33313e-32, 2.33313e-32
0.466137, 0, 2.39586e-08, 1.62932e-31, 1.41421, -2.39586e-08, 1.62932e-31, 0, 1.62932e-31, 1.62932e-31, 1.62932e-31, 1.62932e-31, 1.62932e-31, 1.62932e-31, 1.62932e-31, 5.1679e-11, 1.62932e-31, 1.62932e-31, 2.67913e-13, 5.9334e-12, 2.39007e-08, 1.62932e-31, 1.62932e-31
0.474215, 0, 4.10372e-08, 1.06534e-30, 1.41421, -4.10372e-08, 1.06534e-30, 0, 1.06534e-30, 1.06534e-30, 1.06534e-30, 1.06534e-30, 1.06534e-30, 1.06534e-30, 1.06534e-30, 8.86881e-11, 1.06534e-30, 1.06534e-30, 5.07329e-13, 1.08066e-11, 4.09372e-08, 1.06534e-30, 1.06534e-30
0.482293, 0, 6.94074e-08, 6.50747e-30, 1.41421, -6.94074e-08, 6.50747e-30, 0, 6.50747e-30, 6.50747e-30, 6.50747e-30, 6.50747e-30, 6.50747e-30, 6.50747e-30, 6.50747e-30, 1.50373e-10, 6.50747e-30, 6.50747e-30, 9.59785e-13, 1.96254e-11, 6.92365e-08, 6.50747e-30, 6.50747e-30
0.490371, 0, 1.15931e-07, 3.71955e-29, 1.41421, -1.15931e-07, 3.71955e-29, 0, 3.71955e-29, 3.71955e-29, 3.71955e-29, 3.71955e-29, 3.71955e-29, 3.71955e-29, 3.71955e-29, 2.51959e-10, 3.71955e-29, 3.71955e-29, 1.81434e-12, 3.55968e-11, 1.15642e-07, 3.71955e-29, 3.71955e-29
0.498449, 0, 1.91256e-07, 1.99519e-28, 1.41421, -1.91256e-07, 1.99519e-28, 0, 1.99519e-28, 1.99519e-28, 1.99519e-28, 1.99519e-28, 1.99519e-28, 1.99519e-28, 1.99519e-28, 4.17311e-10, 1.99519e-28, 1.99519e-28, 3.42632e-12, 6.45888e-11, 1.9077e-07, 1.99519e-28, 1.99519e-28
0.506527, 0, 3.1168e-07, 1.00769e-27, 1.41421, -3.1168e-07, 1.00769e-27, 0, 1.00769e-27, 1.00769e-27, 1.00769e-27, 1.00769e-27, 1.00769e-27, 1.00769e-27, 1.00769e-27, 6.83417e-10, 1.00769e-27, 1.00769e-27, 6.46026e-12, 1.17394e-10, 3.10872e-07, 1.00769e-27, 1.00769e-27
