   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_148.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0752162, 0, 1.17623e-17, 0, 1.41421, -1.17623e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.71927e-20, 0, 0, 5.60356e-23, 2.30002e-19, 0, 1.14451e-17, 0, 0, 0
0.0830813, 0, 2.28347e-17, 0, 1.41421, -2.28347e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69204e-19, 0, 0, 1.10298e-22, 4.55404e-19, 0, 2.221e-17, 0, 0, 0
0.0909464, 0, 4.39224e-17, 0, 1.41421, -4.39224e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25328e-19, 0, 0, 2.15165e-22, 8.93604e-19, 0, 4.27032e-17, 0, 0, 0
0.0988115, 0, 8.37226e-17, 0, 1.41421, -8.37226e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.19862e-19, 0, 0, 4.16065e-22, 1.7381e-18, 0, 8.13642e-17, 0, 0, 0
0.106677, 0, 1.58176e-16, 0, 1.41421, -1.58176e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17058e-18, 0, 0, 7.97649e-22, 3.35184e-18, 0, 1.53653e-16, 0, 0, 0
0.114542, 0, 2.98818e-16, 0, 1.41421, -2.98818e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21019e-18, 0, 0, 1.53379e-21, 6.49218e-18, 0, 2.90114e-16, 0, 0, 0
0.122407, 0, 5.5433e-16, 0, 1.41421, -5.5433e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09813e-18, 0, 0, 2.88847e-21, 1.23005e-17, 0, 5.37929e-16, 0, 0, 0
0.130272, 0, 1.01979e-15, 0, 1.41421, -1.01979e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.53552e-18, 0, 0, 5.39617e-21, 2.31226e-17, 0, 9.89127e-16, 0, 0, 0
0.138137, 0, 1.86071e-15, 0, 1.41421, -1.86071e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37422e-17, 0, 0, 1.00016e-20, 4.31315e-17, 0, 1.80383e-15, 0, 0, 0
0.146002, 0, 3.36762e-15, 0, 1.41421, -3.36762e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48579e-17, 0, 0, 1.83938e-20, 7.98486e-17, 0, 3.2629e-15, 0, 0, 0
0.153867, 0, 6.04625e-15, 0, 1.41421, -6.04625e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.46045e-17, 0, 0, 3.35691e-20, 1.46729e-16, 0, 5.85488e-15, 0, 0, 0
0.161733, 0, 1.07698e-14, 0, 1.41421, -1.07698e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.94036e-17, 0, 0, 6.08033e-20, 2.6767e-16, 0, 1.04227e-14, 0, 0, 0
0.169598, 0, 1.90338e-14, 0, 1.41421, -1.90338e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40244e-16, 0, 0, 1.09315e-19, 4.84816e-16, 0, 1.84086e-14, 0, 0, 0
0.177463, 0, 3.33792e-14, 0, 1.41421, -3.33792e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45778e-16, 0, 0, 1.95093e-19, 8.71968e-16, 0, 3.22612e-14, 0, 0, 0
0.185328, 0, 5.80884e-14, 0, 1.41421, -5.80884e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27416e-16, 0, 0, 3.45665e-19, 1.55748e-15, 0, 5.61031e-14, 0, 0, 0
0.193193, 0, 1.00322e-13, 0, 1.41421, -1.00322e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.37627e-16, 0, 0, 6.08089e-19, 2.76309e-15, 0, 9.68211e-14, 0, 0, 0
0.201058, 0, 1.71961e-13, 0, 1.41421, -1.71961e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26336e-15, 0, 0, 1.06223e-18, 4.86923e-15, 0, 1.65827e-13, 0, 0, 0
0.208923, 0, 2.92557e-13, 0, 1.41421, -2.92557e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14756e-15, 0, 0, 1.8427e-18, 8.52449e-15, 0, 2.81883e-13, 0, 0, 0
0.216788, 0, 4.94046e-13, 0, 1.41421, -4.94046e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.62343e-15, 0, 0, 3.17487e-18, 1.48284e-14, 0, 4.75591e-13, 0, 0, 0
0.224654, 0, 8.28182e-13, 0, 1.41421, -8.28182e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06835e-15, 0, 0, 5.43354e-18, 2.56312e-14, 0, 7.96477e-13, 0, 0, 0
0.232519, 0, 1.37819e-12, 0, 1.41421, -1.37819e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00884e-14, 0, 0, 9.23808e-18, 4.40297e-14, 0, 1.32406e-12, 0, 0, 0
0.240384, 0, 2.27686e-12, 0, 1.41421, -2.27686e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66491e-14, 0, 0, 1.56056e-17, 7.51754e-14, 0, 2.18502e-12, 0, 0, 0
0.248249, 0, 3.73451e-12, 0, 1.41421, -3.73451e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72771e-14, 0, 0, 2.61972e-17, 1.27589e-13, 0, 3.57961e-12, 0, 0, 0
0.256114, 0, 6.08164e-12, 0, 1.41421, -6.08164e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.43676e-14, 0, 0, 4.371e-17, 2.15289e-13, 0, 5.82194e-12, 0, 0, 0
0.263979, 0, 9.83376e-12, 0, 1.41421, -9.83376e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.16491e-14, 0, 0, 7.25001e-17, 3.61211e-13, 0, 9.40083e-12, 0, 0, 0
0.271844, 0, 1.57889e-11, 0, 1.41421, -1.57889e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14882e-13, 0, 0, 1.19571e-16, 6.02697e-13, 0, 1.50712e-11, 0, 0, 0
0.279709, 0, 2.51734e-11, 0, 1.41421, -2.51734e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82898e-13, 0, 0, 1.96133e-16, 1.00026e-12, 0, 2.399e-11, 0, 0, 0
0.287575, 0, 3.98573e-11, 0, 1.41421, -3.98573e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89134e-13, 0, 0, 3.20058e-16, 1.65151e-12, 0, 3.79163e-11, 0, 0, 0
0.29544, 0, 6.26725e-11, 0, 1.41421, -6.26725e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53881e-13, 0, 0, 5.19755e-16, 2.71327e-12, 0, 5.95048e-11, 0, 0, 0
0.303305, 0, 9.78758e-11, 1.28919e-43, 1.41421, -9.78758e-11, 1.28919e-43, 0, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 1.28919e-43, 7.07555e-13, 1.28919e-43, 1.28919e-43, 8.40247e-16, 4.4366e-12, 1.28919e-43, 9.27309e-11, 1.28919e-43, 1.28919e-43, 1.28919e-43
0.31117, 0, 1.5182e-10, 2.1538e-42, 1.41421, -1.5182e-10, 2.1538e-42, 0, 2.1538e-42, 2.1538e-42, 2.1538e-42, 2.1538e-42, 2.1538e-42, 2.1538e-42, 2.1538e-42, 2.1538e-42, 2.1538e-42, 1.0954e-12, 2.1538e-42, 2.1538e-42, 1.35274e-15, 7.22191e-12, 2.1538e-42, 1.43501e-10, 2.1538e-42, 2.1538e-42, 2.1538e-42
0.319035, 0, 2.33921e-10, 3.01475e-41, 1.41421, -2.33921e-10, 3.01475e-41, 0, 3.01475e-41, 3.01475e-41, 3.01475e-41, 3.01475e-41, 3.01475e-41, 3.01475e-41, 3.01475e-41, 3.01475e-41, 3.01475e-41, 1.68422e-12, 3.01475e-41, 3.01475e-41, 2.16971e-15, 1.17062e-11, 3.01475e-41, 2.20528e-10, 3.01475e-41, 3.01475e-41, 3.01475e-41
0.3269, 0, 3.58035e-10, 3.73707e-40, 1.41421, -3.58035e-10, 3.73707e-40, 0, 3.73707e-40, 3.73707e-40, 3.73707e-40, 3.73707e-40, 3.73707e-40, 3.73707e-40, 3.73707e-40, 3.73707e-40, 3.73707e-40, 2.57196e-12, 3.73707e-40, 3.73707e-40, 3.46859e-15, 1.88999e-11, 3.73707e-40, 3.3656e-10, 3.73707e-40, 3.73707e-40, 3.73707e-40
0.334765, 0, 5.44423e-10, 4.16294e-39, 1.41421, -5.44423e-10, 4.16294e-39, 0, 4.16294e-39, 4.16294e-39, 4.16294e-39, 4.16294e-39, 4.16294e-39, 4.16294e-39, 4.16294e-39, 4.16294e-39, 4.16294e-39, 3.90116e-12, 4.16294e-39, 4.16294e-39, 5.52928e-15, 3.04027e-11, 4.16294e-39, 5.10114e-10, 4.16294e-39, 4.16294e-39, 4.16294e-39
0.34263, 0, 8.2251e-10, 4.1924e-38, 1.41421, -8.2251e-10, 4.1924e-38, 0, 4.1924e-38, 4.1924e-38, 4.1924e-38, 4.1924e-38, 4.1924e-38, 4.1924e-38, 4.1924e-38, 4.1924e-38, 4.1924e-38, 5.87775e-12, 4.1924e-38, 4.1924e-38, 8.79325e-15, 4.87423e-11, 4.1924e-38, 7.67881e-10, 4.1924e-38, 4.1924e-38, 4.1924e-38
0.350496, 0, 1.23477e-09, 3.83777e-37, 1.41421, -1.23477e-09, 3.83777e-37, 0, 3.83777e-37, 3.83777e-37, 3.83777e-37, 3.83777e-37, 3.83777e-37, 3.83777e-37, 3.83777e-37, 3.83777e-37, 3.83777e-37, 8.79721e-12, 3.83777e-37, 3.83777e-37, 1.39572e-14, 7.7907e-11, 3.83777e-37, 1.14805e-09, 3.83777e-37, 3.83777e-37, 3.83777e-37
0.358361, 0, 1.84212e-09, 3.2105e-36, 1.41421, -1.84212e-09, 3.2105e-36, 0, 3.2105e-36, 3.2105e-36, 3.2105e-36, 3.2105e-36, 3.2105e-36, 3.2105e-36, 3.2105e-36, 3.2105e-36, 3.2105e-36, 1.30806e-11, 3.2105e-36, 3.2105e-36, 2.21216e-14, 1.24182e-10, 3.2105e-36, 1.70483e-09, 3.2105e-36, 3.2105e-36, 3.2105e-36
0.366226, 0, 2.73147e-09, 2.46662e-35, 1.41421, -2.73147e-09, 2.46662e-35, 0, 2.46662e-35, 2.46662e-35, 2.46662e-35, 2.46662e-35, 2.46662e-35, 2.46662e-35, 2.46662e-35, 2.46662e-35, 2.46662e-35, 1.93235e-11, 2.46662e-35, 2.46662e-35, 3.50249e-14, 1.97461e-10, 2.46662e-35, 2.51465e-09, 2.46662e-35, 2.46662e-35, 2.46662e-35
0.374091, 0, 4.02611e-09, 1.74843e-34, 1.41421, -4.02611e-09, 1.74843e-34, 0, 1.74843e-34, 1.74843e-34, 1.74843e-34, 1.74843e-34, 1.74843e-34, 1.74843e-34, 1.74843e-34, 1.74843e-34, 1.74843e-34, 2.83636e-11, 1.74843e-34, 1.74843e-34, 5.54173e-14, 3.13307e-10, 1.74843e-34, 3.68438e-09, 1.74843e-34, 1.74843e-34, 1.74843e-34
0.381956, 0, 5.90007e-09, 1.19981e-33, 1.41421, -5.90007e-09, 1.19981e-33, 0, 1.19981e-33, 1.19981e-33, 1.19981e-33, 1.19981e-33, 1.19981e-33, 1.19981e-33, 1.19981e-33, 1.19981e-33, 1.19981e-33, 4.13699e-11, 1.19981e-33, 1.19981e-33, 8.76492e-14, 4.96168e-10, 1.19981e-33, 5.36245e-09, 1.19981e-33, 1.19981e-33, 1.19981e-33
0.389821, 0, 8.59795e-09, 7.99071e-33, 1.41421, -8.59795e-09, 7.99071e-33, 0, 7.99071e-33, 7.99071e-33, 7.99071e-33, 7.99071e-33, 7.99071e-33, 7.99071e-33, 7.99071e-33, 7.99071e-33, 7.99071e-33, 5.9965e-11, 7.99071e-33, 7.99071e-33, 1.38604e-13, 7.8442e-10, 7.99071e-33, 7.75342e-09, 7.99071e-33, 7.99071e-33, 7.99071e-33
0.397686, 0, 1.2462e-08, 5.0079e-32, 1.41421, -1.2462e-08, 5.0079e-32, 0, 5.0079e-32, 5.0079e-32, 5.0079e-32, 5.0079e-32, 5.0079e-32, 5.0079e-32, 5.0079e-32, 5.0079e-32, 5.0079e-32, 8.63859e-11, 5.0079e-32, 5.0079e-32, 2.19169e-13, 1.23821e-09, 5.0079e-32, 1.11372e-08, 5.0079e-32, 5.0079e-32, 5.0079e-32
0.405551, 0, 1.79697e-08, 2.9342e-31, 1.41421, -1.79697e-08, 2.9342e-31, 0, 2.9342e-31, 2.9342e-31, 2.9342e-31, 2.9342e-31, 2.9342e-31, 2.9342e-31, 2.9342e-31, 2.9342e-31, 2.9342e-31, 1.23699e-10, 2.9342e-31, 2.9342e-31, 3.46545e-13, 1.95165e-09, 2.9342e-31, 1.5894e-08, 2.9342e-31, 2.9342e-31, 2.9342e-31
0.413417, 0, 2.57848e-08, 1.60845e-30, 1.41421, -2.57848e-08, 1.60845e-30, 0, 1.60845e-30, 1.60845e-30, 1.60845e-30, 1.60845e-30, 1.60845e-30, 1.60845e-30, 1.60845e-30, 1.60845e-30, 1.60845e-30, 1.7608e-10, 1.60845e-30, 1.60845e-30, 5.47863e-13, 3.0717e-09, 1.60845e-30, 2.25365e-08, 1.60845e-30, 1.60845e-30, 1.60845e-30
0.421282, 0, 3.68285e-08, 8.27075e-30, 1.41421, -3.68285e-08, 8.27075e-30, 0, 8.27075e-30, 8.27075e-30, 8.27075e-30, 8.27075e-30, 8.27075e-30, 8.27075e-30, 8.27075e-30, 8.27075e-30, 8.27075e-30, 2.49188e-10, 8.27075e-30, 8.27075e-30, 8.65823e-13, 4.82718e-09, 8.27075e-30, 3.17513e-08, 8.27075e-30, 8.27075e-30, 8.27075e-30
0.429147, 0, 5.23765e-08, 4.00163e-29, 1.41421, -5.23765e-08, 4.00163e-29, 0, 4.00163e-29, 4.00163e-29, 4.00163e-29, 4.00163e-29, 4.00163e-29, 4.00163e-29, 4.00163e-29, 4.00163e-29, 4.00163e-29, 3.50644e-10, 4.00163e-29, 4.00163e-29, 1.36742e-12, 7.5733e-09, 4.00163e-29, 4.44512e-08, 4.00163e-29, 4.00163e-29, 4.00163e-29
0.437012, 0, 7.41988e-08, 3.49946e-28, 1.41421, -7.41988e-08, 3.49946e-28, 0, 3.49946e-28, 3.49946e-28, 3.49946e-28, 3.49946e-28, 3.49946e-28, 3.49946e-28, 3.49946e-28, 3.49946e-28, 3.49946e-28, 4.90669e-10, 3.49946e-28, 3.49946e-28, 2.15885e-12, 1.18643e-08, 3.49946e-28, 6.18417e-08, 3.49946e-28, 3.49946e-28, 3.49946e-28
0.444877, 0, 1.04724e-07, 1.44073e-27, 1.41421, -1.04724e-07, 1.44073e-27, 0, 1.44073e-27, 1.44073e-27, 1.44073e-27, 1.44073e-27, 1.44073e-27, 1.44073e-27, 1.44073e-27, 1.44073e-27, 1.44073e-27, 6.82854e-10, 1.44073e-27, 1.44073e-27, 3.4008e-12, 1.85365e-08, 1.44073e-27, 8.55015e-08, 1.44073e-27, 1.44073e-27, 1.44073e-27
0.452742, 0, 1.47326e-07, 5.64766e-27, 1.41421, -1.47326e-07, 5.64766e-27, 0, 5.64766e-27, 5.64766e-27, 5.64766e-27, 5.64766e-27, 5.64766e-27, 5.64766e-27, 5.64766e-27, 5.64766e-27, 5.64766e-27, 9.45247e-10, 5.64766e-27, 5.64766e-27, 5.34694e-12, 2.88877e-08, 5.64766e-27, 1.17488e-07, 5.64766e-27, 5.64766e-27, 5.64766e-27
0.460607, 0, 2.06656e-07, 2.11347e-26, 1.41421, -2.06656e-07, 2.11347e-26, 0, 2.11347e-26, 2.11347e-26, 2.11347e-26, 2.11347e-26, 2.11347e-26, 8.20501e-14, 2.11347e-26, 2.11347e-26, 2.11347e-26, 1.30164e-09, 2.11347e-26, 2.11347e-26, 8.38653e-12, 4.48871e-08, 2.11347e-26, 1.60459e-07, 2.11347e-26, 2.11347e-26, 2.11347e-26
0.468472, 0, 2.8914e-07, 7.56841e-26, 1.41421, -2.8914e-07, 7.56841e-26, 0, 7.56841e-26, 7.56841e-26, 7.56841e-26, 7.56841e-26, 7.56841e-26, 2.72803e-13, 7.56841e-26, 7.56841e-26, 7.56841e-26, 1.78328e-09, 7.56841e-26, 7.56841e-26, 1.31158e-11, 6.95124e-08, 7.56841e-26, 2.17831e-07, 7.56841e-26, 7.56841e-26, 7.56841e-26
0.476338, 0, 4.04536e-07, 2.62512e-25, 1.41421, -4.04536e-07, 4.21091e-12, 0, 1.23169e-14, 1.04951e-14, 6.85996e-12, 1.03807e-13, 3.65158e-13, 4.45439e-12, 5.84384e-12, 2.1872e-12, 8.27955e-10, 2.43096e-09, 4.83571e-13, 2.14158e-14, 2.04425e-11, 1.07234e-07, 1.65115e-15, 2.93988e-07, 2.62512e-25, 2.62512e-25, 9.38025e-12
0.484203, 0, 5.65785e-07, 4.33018e-10, 1.41421, -5.65785e-07, 4.4696e-10, 4.33018e-10, 4.33059e-10, 4.33053e-10, 4.55731e-10, 4.33362e-10, 4.34227e-10, 4.4709e-10, 4.52367e-10, 4.4026e-10, 3.17431e-09, 3.73069e-09, 4.34619e-10, 4.33089e-10, 4.64759e-10, 1.65145e-07, 4.33024e-10, 3.94891e-07, 4.33018e-10, 4.33018e-10, 4.64076e-10
0.492068, 0, 7.91288e-07, 1.4296e-09, 1.41421, -7.91288e-07, 1.46544e-09, 1.4296e-09, 1.4297e-09, 1.42969e-09, 1.48799e-09, 1.43048e-09, 1.43271e-09, 1.46523e-09, 1.47934e-09, 1.44822e-09, 8.47685e-09, 5.88152e-09, 1.43372e-09, 1.42978e-09, 1.47867e-09, 2.5322e-07, 1.42961e-09, 5.27663e-07, 1.4296e-09, 1.4296e-09, 1.50944e-09
0.499933, 0, 1.10795e-06, 3.66698e-09, 1.41421, -1.10795e-06, 3.75096e-09, 3.66698e-09, 3.66722e-09, 3.66719e-09, 3.80379e-09, 3.66905e-09, 3.67426e-09, 3.7498e-09, 3.78353e-09, 3.7106e-09, 2.01794e-08, 9.64879e-09, 3.67662e-09, 3.66741e-09, 3.74249e-09, 3.8655e-07, 3.66701e-09, 7.01825e-07, 3.66698e-09, 3.66698e-09, 3.85406e-09
0.507798, 0, 1.55521e-06, 8.57504e-09, 1.41421, -1.55521e-06, 8.76251e-09, 8.57504e-09, 8.57559e-09, 8.57551e-09, 8.88045e-09, 8.57966e-09, 8.5913e-09, 8.75895e-09, 8.83521e-09, 8.67242e-09, 4.54361e-08, 1.65751e-08, 8.59657e-09, 8.576e-09, 8.69065e-09, 5.87504e-07, 8.57512e-09, 9.29812e-07, 8.57504e-09, 8.57504e-09, 8.99266e-09
0.515663, 0, 2.19217e-06, 1.91121e-08, 1.41421, -2.19217e-06, 1.95173e-08, 1.91121e-08, 1.91133e-08, 1.91131e-08, 1.97722e-08, 1.91221e-08, 1.91473e-08, 1.95079e-08, 1.96744e-08, 1.93226e-08, 9.87823e-08, 2.97623e-08, 1.91586e-08, 1.91142e-08, 1.92882e-08, 8.8916e-07, 1.91123e-08, 1.22839e-06, 1.91121e-08, 1.91121e-08, 2.00147e-08
0.523528, 0, 3.11036e-06, 4.12527e-08, 1.41421, -3.11036e-06, 4.21062e-08, 4.12527e-08, 4.12552e-08, 4.12548e-08, 4.26432e-08, 4.12737e-08, 4.13267e-08, 4.21528e-08, 4.24373e-08, 4.1696e-08, 2.09083e-07, 5.53665e-08, 4.13507e-08, 4.1257e-08, 4.15193e-08, 1.34167e-06, 4.1253e-08, 1.62086e-06, 4.12527e-08, 4.12527e-08, 4.31541e-08
0.531393, 0, 4.44921e-06, 8.67957e-08, 1.41421, -4.44921e-06, 8.85533e-08, 8.67957e-08, 8.68009e-08, 8.68001e-08, 8.9659e-08, 8.6839e-08, 8.69481e-08, 8.87302e-08, 8.92349e-08, 8.77086e-08, 4.3238e-07, 1.05416e-07, 8.69976e-08, 8.68047e-08, 8.7197e-08, 2.01629e-06, 8.67964e-08, 2.14087e-06, 8.67957e-08, 8.67957e-08, 9.0711e-08
0.539259, 0, 6.43354e-06, 1.78519e-07, 1.41421, -6.43354e-06, 1.82061e-07, 1.78519e-07, 1.78529e-07, 1.78528e-07, 1.8429e-07, 1.78606e-07, 1.78826e-07, 1.83428e-07, 1.83435e-07, 1.80359e-07, 8.75041e-07, 2.02974e-07, 1.78926e-07, 1.78537e-07, 1.79119e-07, 3.0217e-06, 1.7852e-07, 2.83907e-06, 1.78519e-07, 1.78519e-07, 1.8641e-07
0.547124, 0, 9.42249e-06, 3.59406e-07, 1.41421, -9.42249e-06, 3.66399e-07, 3.59406e-07, 3.59427e-07, 3.59423e-07, 3.70799e-07, 3.59578e-07, 3.60013e-07, 3.70476e-07, 3.69111e-07, 3.63038e-07, 1.73441e-06, 3.91383e-07, 3.60209e-07, 3.59442e-07, 3.60299e-07, 4.51941e-06, 3.59409e-07, 3.79459e-06, 3.59406e-07, 3.59406e-07, 3.74984e-07
0.554989, 0, 1.39987e-05, 7.08748e-07, 1.41421, -1.39987e-05, 7.22275e-07, 7.08748e-07, 7.08788e-07, 7.08782e-07, 7.30785e-07, 7.09082e-07, 7.09921e-07, 7.32357e-07, 7.27521e-07, 7.15774e-07, 3.36844e-06, 7.50379e-07, 7.10302e-07, 7.08817e-07, 7.10067e-07, 6.75197e-06, 7.08754e-07, 5.13455e-06, 7.08748e-07, 7.08748e-07, 7.38881e-07
0.562854, 0, 2.11091e-05, 1.3695e-06, 1.41421, -2.11091e-05, 1.39514e-06, 1.3695e-06, 1.36957e-06, 1.36956e-06, 1.41128e-06, 1.37013e-06, 1.37172e-06, 1.41818e-06, 1.40509e-06, 1.38282e-06, 6.41164e-06, 1.42346e-06, 1.37244e-06, 1.36963e-06, 1.37144e-06, 1.00855e-05, 1.36951e-06, 7.06686e-06, 1.3695e-06, 1.3695e-06, 1.42662e-06
0.570719, 0, 3.22889e-05, 2.59358e-06, 1.41421, -3.22889e-05, 2.64123e-06, 2.59358e-06, 2.59372e-06, 2.5937e-06, 2.67121e-06, 2.59475e-06, 2.59771e-06, 2.69072e-06, 2.65971e-06, 2.61833e-06, 1.19635e-05, 2.66324e-06, 2.59905e-06, 2.59382e-06, 2.5964e-06, 1.50751e-05, 2.5936e-06, 9.93417e-06, 2.59358e-06, 2.59358e-06, 2.69973e-06
0.578584, 0, 5.00128e-05, 4.81477e-06, 1.41421, -5.00128e-05, 4.90159e-06, 4.81477e-06, 4.81502e-06, 4.81498e-06, 4.95621e-06, 4.81691e-06, 4.8223e-06, 5.00577e-06, 4.93526e-06, 4.85986e-06, 2.18855e-05, 4.90432e-06, 4.82474e-06, 4.81521e-06, 4.81886e-06, 2.25644e-05, 4.8148e-06, 1.43e-05, 4.81477e-06, 4.81477e-06, 5.00817e-06
0.586449, 0, 7.82268e-05, 8.76306e-06, 1.41421, -7.82268e-05, 8.91816e-06, 8.76306e-06, 8.76352e-06, 8.76345e-06, 9.01573e-06, 8.76689e-06, 8.77651e-06, 9.13301e-06, 8.9783e-06, 8.84362e-06, 3.9258e-05, 8.87773e-06, 8.78087e-06, 8.76385e-06, 8.76896e-06, 3.38349e-05, 8.76312e-06, 2.10837e-05, 8.76306e-06, 8.76306e-06, 9.10855e-06
0.594314, 0, 0.000123139, 1.56386e-05, 1.41421, -0.000123139, 1.59103e-05, 1.56386e-05, 1.56394e-05, 1.56392e-05, 1.60812e-05, 1.56453e-05, 1.56621e-05, 1.63444e-05, 1.60156e-05, 1.57797e-05, 6.90599e-05, 1.57848e-05, 1.56698e-05, 1.56399e-05, 1.5647e-05, 5.08283e-05, 1.56387e-05, 3.17653e-05, 1.56386e-05, 1.56386e-05, 1.62438e-05
0.60218, 0, 0.000194367, 2.73687e-05, 1.41421, -0.000194367, 2.78355e-05, 2.73687e-05, 2.73701e-05, 2.73699e-05, 2.81292e-05, 2.73802e-05, 2.74092e-05, 2.86951e-05, 2.80166e-05, 2.76112e-05, 0.000119154, 2.75547e-05, 2.74223e-05, 2.73711e-05, 2.73807e-05, 7.64675e-05, 2.73689e-05, 4.86905e-05, 2.73687e-05, 2.73687e-05, 2.84086e-05
