   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_93.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.454151, 0, 2.98333e-07, 1.0101e-25, 1.41421, -2.98333e-07, 1.0101e-25, 0, 1.0101e-25, 1.0101e-25, 1.0101e-25, 1.0101e-25, 1.0101e-25, 1.0101e-25, 3.03385e-13, 1.0101e-25, 1.0101e-25, 1.0101e-25, 2.97708e-09, 1.0101e-25, 7.46249e-11, 5.46692e-10, 1.0101e-25, 2.94735e-07, 1.0101e-25, 1.0101e-25
0.46201, 0, 3.97019e-07, 3.43273e-25, 1.41421, -3.97019e-07, 4.34158e-12, 0, 2.36019e-14, 5.33607e-14, 4.51378e-14, 3.30557e-13, 4.12133e-11, 3.41925e-13, 5.00855e-12, 8.32834e-12, 1.39491e-12, 1.22503e-09, 3.98754e-09, 6.35584e-14, 1.13557e-10, 8.18018e-10, 1.07828e-15, 3.90801e-07, 3.43273e-25, 1.29374e-11
0.469869, 0, 5.26878e-07, 4.98724e-10, 1.41421, -5.26878e-07, 5.12485e-10, 4.98724e-10, 4.98799e-10, 4.98894e-10, 4.98868e-10, 4.99772e-10, 6.29347e-10, 4.99808e-10, 5.13905e-10, 5.25121e-10, 5.03146e-10, 4.38138e-09, 5.81727e-09, 4.98926e-10, 6.70917e-10, 1.71799e-09, 4.98728e-10, 5.16051e-07, 4.98724e-10, 5.39729e-10
0.477727, 0, 6.97562e-07, 1.57554e-09, 1.41421, -6.97562e-07, 1.60932e-09, 1.57554e-09, 1.57572e-09, 1.57595e-09, 1.57589e-09, 1.57811e-09, 1.8962e-09, 1.5782e-09, 1.61227e-09, 1.64034e-09, 1.58639e-09, 1.11069e-08, 8.64009e-09, 1.57603e-09, 1.83562e-09, 3.38519e-09, 1.57554e-09, 6.78322e-07, 1.57554e-09, 1.6762e-09
0.485586, 0, 9.22962e-07, 3.86103e-09, 1.41421, -9.22962e-07, 3.93655e-09, 3.86103e-09, 3.86144e-09, 3.86196e-09, 3.86182e-09, 3.86678e-09, 4.57791e-09, 3.86698e-09, 3.94255e-09, 4.0059e-09, 3.88529e-09, 2.51696e-08, 1.32066e-08, 3.86214e-09, 4.25218e-09, 6.53461e-09, 3.86105e-09, 8.8796e-07, 3.86103e-09, 4.08607e-09
0.493445, 0, 1.22313e-06, 8.62228e-09, 1.41421, -1.22313e-06, 8.78321e-09, 8.62228e-09, 8.62315e-09, 8.62426e-09, 8.62395e-09, 8.63453e-09, 1.015e-08, 8.63495e-09, 8.79518e-09, 8.93099e-09, 8.67399e-09, 5.40309e-08, 2.09358e-08, 8.62464e-09, 9.20786e-09, 1.2553e-08, 8.62232e-09, 1.15816e-06, 8.62228e-09, 9.10183e-09
0.501304, 0, 1.62852e-06, 1.83593e-08, 1.41421, -1.62852e-06, 1.86918e-08, 1.83593e-08, 1.83611e-08, 1.83634e-08, 1.83628e-08, 1.83846e-08, 2.15158e-08, 1.83855e-08, 1.87152e-08, 1.89972e-08, 1.84662e-08, 1.12183e-07, 3.45188e-08, 1.83642e-08, 1.92317e-08, 2.4109e-08, 1.83594e-08, 1.50626e-06, 1.83593e-08, 1.93502e-08
0.509163, 0, 2.18713e-06, 3.7909e-08, 1.41421, -2.18713e-06, 3.858e-08, 3.7909e-08, 3.79127e-08, 3.79173e-08, 3.7916e-08, 3.79601e-08, 4.42784e-08, 3.79619e-08, 3.86986e-08, 3.91961e-08, 3.81246e-08, 2.27233e-07, 5.90323e-08, 3.79188e-08, 3.9202e-08, 4.62794e-08, 3.79092e-08, 1.95555e-06, 3.7909e-08, 3.99084e-08
0.517021, 0, 2.97679e-06, 7.64525e-08, 1.41421, -2.97679e-06, 7.7779e-08, 7.64525e-08, 7.64597e-08, 7.64688e-08, 7.64663e-08, 7.65535e-08, 8.9045e-08, 7.6557e-08, 7.80979e-08, 7.89972e-08, 7.68787e-08, 4.50754e-07, 1.03957e-07, 7.64719e-08, 7.83588e-08, 8.85623e-08, 7.64528e-08, 2.53822e-06, 7.64525e-08, 8.04054e-08
0.52488, 0, 4.12755e-06, 1.51072e-07, 1.41421, -4.12755e-06, 1.53646e-07, 1.51072e-07, 1.51086e-07, 1.51104e-07, 1.51099e-07, 1.51268e-07, 1.75502e-07, 1.51275e-07, 1.55307e-07, 1.56009e-07, 1.51899e-07, 8.77212e-07, 1.86746e-07, 1.5111e-07, 1.53867e-07, 1.68489e-07, 1.51073e-07, 3.30035e-06, 1.51072e-07, 1.58741e-07
